task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,1,1,0.0001,0.4976,497.4933,497.4933,493.4454,462.8918,0.0057,2.254,4.0479,1775956010816300095,0
ecgclass,1,1,0.4976,0.6101,112.4234,112.4234,108.8541,106.7905,0.0042,2.3479,3.5694,1775956011313911367,0
ecgclass,1,1,0.6101,0.7186,108.5305,108.5305,105.7339,104.4656,0.0019,1.8513,2.7966,1775956011425858640,0
ecgclass,1,1,0.7186,0.8258,107.1546,107.1546,104.6719,103.5641,0.002,1.5187,2.4828,1775956011534071926,0
ecgclass,1,1,0.8258,0.9329,107.1198,107.1198,104.6766,103.5548,0.0021,1.4708,2.4432,1775956011641194361,0
ecgclass,1,1,0.9329,1.0402,107.2967,107.2967,104.7912,103.7063,0.0021,1.4827,2.5055,1775956011748341467,0
ecgclass,1,1,1.0402,1.1474,107.1279,107.1279,104.6328,103.5445,0.002,1.5323,2.4952,1775956011855703271,0
ecgclass,1,1,1.1474,1.2544,107.0278,107.0278,104.6014,103.557,0.002,1.472,2.4264,1775956011962786429,0
ecgclass,1,1,1.2544,1.3613,106.8931,106.8931,104.4887,103.4471,0.0018,1.4098,2.4043,1775956012069767527,0
ecgclass,1,1,1.3613,1.4682,106.8683,106.8683,104.486,103.4442,0.002,1.426,2.3823,1775956012176692164,0
ecgclass,1,1,1.4682,1.5752,106.9369,106.9369,104.5394,103.4558,0.0018,1.3914,2.3975,1775956012283541373,0
ecgclass,1,1,1.5752,1.6821,106.8969,106.8969,104.5461,103.4561,0.002,1.3964,2.3508,1775956012390498370,0
ecgclass,1,1,1.6821,1.7893,107.1739,107.1739,104.7732,103.4339,0.0019,1.4217,2.4007,1775956012497436889,0
ecgclass,1,1,1.7893,1.8962,106.9291,106.9291,104.4947,103.4544,0.002,1.4577,2.4344,1775956012604662903,0
ecgclass,1,1,1.8962,2.003,106.7901,106.7901,104.5044,103.4663,0.0019,1.3597,2.2857,1775956012711509810,0
ecgclass,1,1,2.0031,2.1101,107.0347,107.0347,104.5115,103.4678,0.0019,1.5366,2.5232,1775956012818516993,0
ecgclass,1,1,2.1101,2.217,106.9217,106.9217,104.5084,103.4646,0.0019,1.4541,2.4132,1775956012925484903,0
ecgclass,1,1,2.2171,2.3239,106.8676,106.8676,104.4785,103.4463,0.0019,1.4322,2.389,1775956013032425135,0
ecgclass,1,1,2.324,2.4309,106.9043,106.9043,104.4905,103.4538,0.0018,1.4403,2.4138,1775956013139317243,0
ecgclass,1,1,2.4309,2.5379,106.9813,106.9813,104.5527,103.4606,0.0019,1.4932,2.4286,1775956013246290267,0
ecgclass,1,1,2.5379,2.6448,106.9391,106.9391,104.5422,103.4562,0.002,1.4846,2.3969,1775956013353278961,0
ecgclass,1,1,2.6448,2.7522,107.3737,107.3737,104.9305,103.4596,0.002,1.4822,2.4432,1775956013460231279,0
ecgclass,1,1,2.7522,2.8591,106.8866,106.8866,104.57,103.5396,0.0019,1.3607,2.3166,1775956013567498677,0
ecgclass,1,1,2.8591,2.9662,107.0395,107.0395,104.4972,103.4654,0.002,1.5194,2.5423,1775956013674560529,0
ecgclass,1,1,2.9662,3.0729,106.7703,106.7703,104.4627,103.436,0.0019,1.3556,2.3076,1775956013781452069,0
ecgclass,1,1,3.073,3.1799,106.9398,106.9398,104.4869,103.4558,0.0019,1.466,2.4529,1775956013888349420,0
ecgclass,1,1,3.1799,3.2869,106.9438,106.9438,104.5048,103.4587,0.002,1.4765,2.4391,1775956013995315410,0
ecgclass,1,1,3.2869,3.3938,106.8852,106.8852,104.4753,103.446,0.0021,1.4894,2.4099,1775956014102288420,0
ecgclass,1,1,3.3938,3.5007,106.9276,106.9276,104.5001,103.4609,0.0021,1.4658,2.4275,1775956014209166329,0
ecgclass,1,1,3.5007,3.6075,106.823,106.823,104.4562,103.4194,0.002,1.3692,2.3668,1775956014316012813,0
ecgclass,1,1,3.6076,3.7144,106.8552,106.8552,104.5325,103.468,0.0019,1.3487,2.3227,1775956014422831685,0
ecgclass,1,1,3.7144,3.8216,107.1432,107.1432,104.8996,103.4209,0.0019,1.3564,2.2436,1775956014529709731,0
ecgclass,1,1,3.8216,3.9284,106.8299,106.8299,104.4752,103.4288,0.0018,1.4019,2.3547,1775956014636914749,0
ecgclass,1,1,3.9284,4.0352,106.7336,106.7336,104.468,103.4325,0.0021,1.3196,2.2656,1775956014743677881,0
ecgclass,1,1,4.0352,4.1422,107.0087,107.0087,104.6163,103.4744,0.0019,1.3969,2.3924,1775956014850504891,0
ecgclass,1,1,4.1422,4.2493,107.0545,107.0545,104.6754,103.6329,0.0021,1.4307,2.3791,1775956014957563129,0
ecgclass,1,1,4.2493,4.3563,106.9717,106.9717,104.4789,103.4388,0.0019,1.5059,2.4929,1775956015064708882,0
