task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,1,1,0.0002,0.4557,455.5588,455.5588,451.8597,434.6789,0.0036,2.2113,3.6991,1775956091951481298,0
ecgclass,1,1,0.4557,0.5649,109.1583,109.1583,106.695,104.4749,0.003,1.5514,2.4633,1775956092406400535,0
ecgclass,1,1,0.5649,0.6772,112.3183,112.3183,110.1385,107.7587,0.0036,1.1425,2.1798,1775956092515167003,0
ecgclass,1,1,0.6773,0.7912,113.9152,113.9152,111.3017,108.9048,0.0038,1.5547,2.6136,1775956092627914592,0
ecgclass,1,1,0.7912,0.905,113.8482,113.8482,111.4085,108.9749,0.0037,1.3793,2.4397,1775956092741671687,0
ecgclass,1,1,0.9051,1.0144,109.3936,109.3936,107.1211,105.9588,0.0018,1.4277,2.2725,1775956092855585719,0
ecgclass,1,1,1.0145,1.1219,107.4901,107.4901,105.3219,104.1537,0.0018,1.2004,2.1681,1775956092964767776,0
ecgclass,1,1,1.122,1.2298,107.8656,107.8656,105.4845,104.3012,0.0019,1.4617,2.381,1775956093072534930,0
ecgclass,1,1,1.2298,1.3378,107.9221,107.9221,105.5002,104.3215,0.002,1.4343,2.4219,1775956093180389309,0
ecgclass,1,1,1.3378,1.4457,107.9602,107.9602,105.4981,104.321,0.0021,1.4834,2.4621,1775956093288377281,0
ecgclass,1,1,1.4458,1.5536,107.8048,107.8048,105.4964,104.3137,0.0018,1.3578,2.3084,1775956093396227529,0
ecgclass,1,1,1.5536,1.6612,107.6276,107.6276,105.2643,104.091,0.0018,1.4329,2.3634,1775956093504123298,0
ecgclass,1,1,1.6612,1.7691,107.8475,107.8475,105.5592,104.1178,0.0018,1.3337,2.2882,1775956093611668047,0
ecgclass,1,1,1.7691,1.8767,107.5664,107.5664,105.2292,104.0971,0.0019,1.4105,2.3372,1775956093719608136,0
ecgclass,1,1,1.8767,1.9842,107.5716,107.5716,105.2226,104.0832,0.0018,1.4167,2.349,1775956093827196447,0
ecgclass,1,1,1.9843,2.0917,107.4874,107.4874,105.2413,104.1087,0.0019,1.3139,2.2461,1775956093934680980,0
ecgclass,1,1,2.0918,2.1994,107.5988,107.5988,105.2347,104.0983,0.0017,1.4446,2.364,1775956094042315274,0
ecgclass,1,1,2.1994,2.307,107.6436,107.6436,105.2294,104.0841,0.0018,1.4172,2.4142,1775956094149903710,0
ecgclass,1,1,2.307,2.4145,107.4612,107.4612,105.2221,104.0957,0.002,1.3161,2.2391,1775956094257462244,0
ecgclass,1,1,2.4145,2.5221,107.6252,107.6252,105.2693,104.0949,0.0019,1.4274,2.356,1775956094365050764,0
ecgclass,1,1,2.5222,2.6298,107.6419,107.6419,105.2868,104.1084,0.0016,1.3998,2.3551,1775956094472664523,0
ecgclass,1,1,2.6298,2.7378,107.981,107.981,105.6836,104.111,0.0018,1.3878,2.2974,1775956094580311281,0
ecgclass,1,1,2.7378,2.8455,107.6429,107.6429,105.229,104.0976,0.0018,1.4708,2.4139,1775956094688391150,0
ecgclass,1,1,2.8455,2.953,107.5597,107.5597,105.2395,104.0977,0.002,1.3855,2.3202,1775956094795965199,0
ecgclass,1,1,2.953,3.0606,107.5454,107.5454,105.262,104.1268,0.0019,1.3256,2.2834,1775956094903480626,0
ecgclass,1,1,3.0606,3.1684,107.7526,107.7526,105.4042,104.2229,0.0019,1.406,2.3484,1775956095011122880,0
ecgclass,1,1,3.1684,3.2759,107.5647,107.5647,105.2332,104.0914,0.0018,1.4257,2.3314,1775956095118911932,0
ecgclass,1,1,3.276,3.3836,107.6071,107.6071,105.2547,104.1236,0.0018,1.4119,2.3524,1775956095226478826,0
ecgclass,1,1,3.3836,3.4912,107.5795,107.5795,105.2395,104.1115,0.0018,1.4184,2.3399,1775956095334108657,0
ecgclass,1,1,3.4912,3.5987,107.5504,107.5504,105.2401,104.1157,0.0018,1.3907,2.3103,1775956095441677172,0
ecgclass,1,1,3.5987,3.7064,107.7018,107.7018,105.2371,104.0828,0.0018,1.4508,2.4647,1775956095549303480,0
ecgclass,1,1,3.7065,3.8146,108.1617,108.1617,105.7259,104.121,0.0019,1.498,2.4358,1775956095657068775,0
ecgclass,1,1,3.8146,3.9222,107.5468,107.5468,105.221,104.0819,0.0018,1.3711,2.3258,1775956095765119818,0
ecgclass,1,1,3.9222,4.0306,108.3922,108.3922,105.2176,104.0928,0.0018,1.3702,3.1747,1775956095872682336,0
ecgclass,1,1,4.0306,4.1383,107.6558,107.6558,105.2739,104.1338,0.0018,1.4539,2.3818,1775956095981174243,0
ecgclass,1,1,4.1383,4.2458,107.5425,107.5425,105.2743,104.1189,0.0019,1.3609,2.2682,1775956096088753893,0
ecgclass,1,1,4.2458,4.3535,107.6214,107.6214,105.2704,104.1254,0.0018,1.4372,2.351,1775956096196388894,0
ecgclass,1,1,4.3535,4.4611,107.5723,107.5723,105.2166,104.083,0.0018,1.4262,2.3557,1775956096304015903,0
ecgclass,1,1,4.4611,4.5687,107.6179,107.6179,105.2237,104.0924,0.0018,1.4584,2.3942,1775956096411636877,0
ecgclass,1,1,4.5687,4.6764,107.6839,107.6839,105.2534,104.1174,0.0018,1.4663,2.4305,1775956096519279054,0
ecgclass,1,1,4.6764,4.784,107.5804,107.5804,105.2258,104.0825,0.0017,1.3802,2.3546,1775956096626892443,0
ecgclass,1,1,4.784,4.8916,107.5897,107.5897,105.2938,104.1346,0.0085,1.3611,2.296,1775956096734470968,0
ecgclass,1,1,4.8916,4.9997,108.0737,108.0737,105.6912,104.1255,0.0019,1.4329,2.3826,1775956096842148095,0
ecgclass,1,1,4.9997,5.1073,107.5954,107.5954,105.218,104.0813,0.0017,1.4405,2.3774,1775956096950245659,0
ecgclass,1,1,5.1073,5.2149,107.61,107.61,105.255,104.1057,0.0017,1.4031,2.355,1775956097057820033,0
ecgclass,1,1,5.2149,5.3225,107.6045,107.6045,105.2354,104.105,0.0018,1.4374,2.3691,1775956097165480739,0
ecgclass,1,1,5.3226,5.4302,107.6083,107.6083,105.2292,104.0984,0.0022,1.4398,2.3792,1775956097273104233,0
ecgclass,1,1,5.4302,5.5377,107.5404,107.5404,105.2505,104.1203,0.0019,1.3795,2.2899,1775956097380668886,0
ecgclass,1,1,5.5377,5.6455,107.7228,107.7228,105.2469,104.1094,0.0022,1.476,2.4758,1775956097488321999,0
ecgclass,1,1,5.6455,5.7531,107.6224,107.6224,105.2197,104.0883,0.0017,1.425,2.4027,1775956097596010212,0
ecgclass,1,1,5.7531,5.8607,107.5571,107.5571,105.2282,104.0989,0.0019,1.3435,2.3288,1775956097703567407,0
ecgclass,1,1,5.8607,5.9683,107.584,107.584,105.2232,104.079,0.0018,1.4074,2.3608,1775956097811204256,0
ecgclass,1,1,5.9683,6.0763,107.9636,107.9636,105.7062,104.1038,0.0017,1.298,2.2574,1775956097918695382,0
