task,slot,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,slot_0:ecgclass,no_sharing,0.0001,59.5324,57.4619,56.3295,0.002,0.6292,1.25,2.0705,1776320343482033753
ecgclass,slot_0:ecgclass,no_sharing,2.4053,49.3279,46.578,44.7176,0.0033,0.9688,1.7591,2.7498,1776320345887753037
ecgclass,slot_0:ecgclass,no_sharing,4.7413,50.472,47.7899,45.9286,0.003,0.9763,1.7078,2.6821,1776320348223712076
ecgclass,slot_0:ecgclass,no_sharing,7.127,50.8342,48.012,46.1625,0.0029,0.9819,1.8272,2.8221,1776320350609519716
ecgclass,slot_0:ecgclass,no_sharing,7.4063,49.9663,47.217,45.4219,0.0031,0.9616,1.7498,2.7494,1776320350888679542
ecgclass,slot_0:ecgclass,no_sharing,7.4934,49.3953,46.7122,44.8558,0.0033,0.9673,1.699,2.6831,1776320350975814260
ecgclass,slot_0:ecgclass,no_sharing,8.9474,51.1725,48.3536,46.4554,0.0032,0.9727,1.8539,2.8189,1776320352429941513
ecgclass,slot_0:ecgclass,no_sharing,10.3554,82.9713,80.1876,77.8192,0.0034,1.0435,1.7841,2.7837,1776320353837804356
ecgclass,slot_0:ecgclass,no_sharing,13.4803,52.815,50.1673,48.2403,0.0031,0.9749,1.7054,2.6476,1776320356962718737
ecgclass,slot_0:ecgclass,no_sharing,13.5584,50.1621,47.5873,45.8212,0.0031,0.9463,1.6332,2.5748,1776320357040688051
ecgclass,slot_0:ecgclass,no_sharing,14.605,56.5631,54.234,52.3463,0.0031,0.9591,1.421,2.3292,1776320358087066519
ecgclass,slot_0:ecgclass,no_sharing,14.6758,50.2317,47.6961,45.9413,0.0029,0.9288,1.6382,2.5356,1776320358158061457
ecgclass,slot_0:ecgclass,no_sharing,15.7652,53.3586,50.729,48.8305,0.0031,0.97,1.7257,2.6295,1776320359247546109
ecgclass,slot_0:ecgclass,no_sharing,17.496,48.3425,45.6064,43.9711,0.002,0.932,1.7798,2.7361,1776320360978495144
ecgclass,slot_0:ecgclass,no_sharing,17.8829,53.8893,51.2069,49.3567,0.0032,0.9617,1.7755,2.6824,1776320361365342306
ecgclass,slot_0:ecgclass,no_sharing,19.1142,54.1067,51.4047,49.5401,0.0032,0.9668,1.7681,2.702,1776320362596670931
ecgclass,slot_0:ecgclass,no_sharing,19.2683,49.283,46.7788,44.9816,0.003,0.9373,1.61,2.5042,1776320362750620527
ecgclass,slot_0:ecgclass,no_sharing,19.3598,82.1743,79.526,77.2674,0.0033,1.0421,1.6541,2.6483,1776320362842162566
ecgclass,slot_0:ecgclass,no_sharing,19.6744,54.2257,51.6048,49.6994,0.0031,0.9697,1.683,2.6209,1776320363156770996
ecgclass,slot_0:ecgclass,no_sharing,20.5763,54.5156,51.8724,50.0316,0.0032,1.0456,1.7688,2.6432,1776320364058763393
ecgclass,slot_0:ecgclass,no_sharing,20.9889,55.3663,52.7421,50.9377,0.0031,0.9708,1.7192,2.6242,1776320364471283788
ecgclass,slot_0:ecgclass,no_sharing,22.2376,55.3877,52.6824,50.8068,0.0031,0.9785,1.7598,2.7053,1776320365720052969
ecgclass,slot_0:ecgclass,no_sharing,22.4604,55.4557,52.8322,50.8817,0.0033,0.9716,1.7235,2.6235,1776320365942763059
ecgclass,slot_0:ecgclass,no_sharing,24.2989,54.3933,51.7246,49.8212,0.0032,0.956,1.786,2.6687,1776320367781319659
ecgclass,slot_0:ecgclass,no_sharing,25.5248,55.1538,52.5271,50.6851,0.0031,0.9664,1.7257,2.6267,1776320369007206695
ecgclass,slot_0:ecgclass,no_sharing,26.1807,54.775,52.0125,50.03,0.0033,1.013,1.8473,2.7625,1776320369663260765
ecgclass,slot_0:ecgclass,no_sharing,26.5981,55.4559,52.7764,50.978,0.0032,0.9845,1.739,2.6796,1776320370080466460
ecgclass,slot_0:ecgclass,no_sharing,27.0517,86.9522,84.1534,81.4656,0.0044,1.3496,1.7641,2.7988,1776320370534087996
ecgclass,slot_0:ecgclass,no_sharing,27.1285,70.478,61.8563,59.9084,0.0036,1.0219,7.7031,8.6217,1776320370616844966
ecgclass,slot_0:ecgclass,no_sharing,27.3082,54.2948,51.6248,48.8079,0.0031,2.0256,1.7283,2.67,1776320370790631793
ecgclass,slot_0:ecgclass,no_sharing,27.9934,53.1182,50.345,48.5559,0.0032,0.973,1.792,2.7732,1776320371475819993
ecgclass,slot_0:ecgclass,no_sharing,28.3821,53.5471,50.7666,48.8862,0.0031,0.9922,1.832,2.7806,1776320371864600305
ecgclass,slot_0:ecgclass,no_sharing,29.6459,50.2992,47.6881,45.9687,0.0031,0.9577,1.673,2.611,1776320373128246146
ecgclass,slot_0:ecgclass,no_sharing,30.3544,84.2979,81.8186,79.5791,0.0033,0.9842,1.5099,2.4793,1776320373836530059
ecgclass,slot_0:ecgclass,no_sharing,30.593,90.0943,87.3518,85.1154,0.0033,0.9787,1.7598,2.7425,1776320374075406798
ecgclass,slot_0:ecgclass,no_sharing,31.0534,57.302,54.6717,52.7084,0.003,0.9563,1.7586,2.6303,1776320374535808441
ecgclass,slot_0:ecgclass,no_sharing,31.6954,55.6746,53.0537,51.1419,0.003,0.9537,1.6994,2.6209,1776320375177746371
ecgclass,slot_0:ecgclass,no_sharing,32.0392,56.478,53.8517,51.9879,0.003,0.9792,1.7307,2.6263,1776320375521568283
ecgclass,slot_0:ecgclass,no_sharing,32.3611,88.3019,85.5481,83.3104,0.0036,1.0383,1.7786,2.7538,1776320375843529976
ecgclass,slot_0:ecgclass,no_sharing,33.2394,49.8552,47.1929,45.5914,0.0025,0.884,1.7312,2.6624,1776320376721754565
ecgclass,slot_0:ecgclass,no_sharing,33.537,59.4015,56.6507,55.1088,0.0029,0.7046,1.7982,2.7508,1776320377019427271
ecgclass,slot_0:ecgclass,no_sharing,34.8704,57.3108,54.5817,52.7376,0.0032,0.9717,1.766,2.7291,1776320378352826693
ecgclass,slot_0:ecgclass,no_sharing,36.2617,56.3016,53.6373,51.8446,0.0034,0.9788,1.7314,2.6643,1776320379744100488
ecgclass,slot_0:ecgclass,no_sharing,37.3462,79.4528,76.7276,74.2219,0.0045,1.2985,1.7662,2.7252,1776320380828641535
ecgclass,slot_0:ecgclass,no_sharing,37.419,71.8639,66.6327,63.9157,0.0022,1.9634,4.3316,5.2312,1776320380904031092
ecgclass,slot_0:ecgclass,no_sharing,38.5529,55.5608,52.7987,50.9533,0.0034,0.9811,1.8177,2.7622,1776320382035391670
ecgclass,slot_0:ecgclass,no_sharing,39.9079,54.8553,52.184,50.3933,0.0033,0.9715,1.8158,2.6714,1776320383390425516
ecgclass,slot_0:ecgclass,no_sharing,41.03,54.625,51.8606,49.9909,0.0034,0.9806,1.8015,2.7645,1776320384512513543
ecgclass,slot_0:ecgclass,no_sharing,41.3089,55.4018,52.6543,50.7885,0.0033,0.9649,1.7679,2.7475,1776320384791353906
ecgclass,slot_0:ecgclass,no_sharing,41.6298,55.5227,52.7296,50.8687,0.0035,0.9438,1.8311,2.7931,1776320385112257511
ecgclass,slot_0:ecgclass,no_sharing,41.7956,55.8188,53.1708,51.3969,0.0029,0.9587,1.7254,2.648,1776320385277976749
ecgclass,slot_0:ecgclass,no_sharing,42.1499,56.3896,53.7313,51.3263,0.0044,1.2424,1.755,2.6583,1776320385632295163
ecgclass,slot_0:ecgclass,no_sharing,42.1707,81.4862,47.2445,45.3899,0.0034,0.9305,33.38,34.2418,1776320385684732949
ecgclass,slot_0:ecgclass,no_sharing,42.3384,70.8294,68.1352,65.9729,0.0034,1.0392,1.6825,2.6942,1776320385820774358
ecgclass,slot_0:ecgclass,no_sharing,43.6554,55.3019,52.6309,50.7537,0.0031,0.9784,1.7445,2.671,1776320387137815313
ecgclass,slot_0:ecgclass,no_sharing,47.6503,53.7393,50.9708,49.1348,0.003,0.9698,1.822,2.7685,1776320391132773754
ecgclass,slot_0:ecgclass,no_sharing,48.2135,53.9401,51.2151,49.3117,0.0031,0.964,1.7526,2.7249,1776320391695925252
ecgclass,slot_0:ecgclass,no_sharing,48.497,58.2795,55.6224,53.7792,0.0031,0.9652,1.7588,2.6571,1776320391979385303
ecgclass,slot_0:ecgclass,no_sharing,48.8947,89.7365,87.0379,84.7639,0.0036,1.032,1.6954,2.6986,1776320392377110695
ecgclass,slot_0:ecgclass,no_sharing,49.2559,55.4774,52.7337,50.8506,0.0033,0.9681,1.7991,2.7436,1776320392738409434
ecgclass,slot_0:ecgclass,no_sharing,49.3857,55.3091,52.6371,50.8542,0.0032,0.9813,1.7037,2.6719,1776320392868033133
ecgclass,slot_0:ecgclass,no_sharing,50.469,55.3792,52.6355,50.8393,0.0033,0.9656,1.7815,2.7437,1776320393951498546
ecgclass,slot_0:ecgclass,no_sharing,51.8459,78.8558,76.047,73.8184,0.004,1.0556,1.8241,2.8087,1776320395328413337
ecgclass,slot_0:ecgclass,no_sharing,53.3534,83.8251,81.0123,78.9903,0.0033,1.0332,1.7867,2.8128,1776320396835835356
ecgclass,slot_0:ecgclass,no_sharing,58.662,56.5445,53.8924,52.0479,0.0031,0.9724,1.7655,2.6522,1776320402144481718
ecgclass,slot_0:ecgclass,no_sharing,60.7692,58.4903,55.7564,53.9385,0.0033,0.9646,1.8158,2.7339,1776320404251640854
ecgclass,slot_0:ecgclass,no_sharing,62.4135,57.7223,54.9206,53.0483,0.0033,0.9571,1.8554,2.8018,1776320405895997339
ecgclass,slot_0:ecgclass,no_sharing,63.4584,56.5135,53.765,51.8812,0.0032,0.972,1.7827,2.7486,1776320406940832096
