task,slot,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,slot_0:ecgclass,no_sharing_tpc,0.0001,116.2417,114.2866,112.6056,0.0029,1.0049,1.0045,1.9551,1776323611690261784
ecgclass,slot_0:ecgclass,no_sharing_tpc,0.482,60.0762,57.5204,55.8459,0.0028,0.9625,1.5612,2.5558,1776323612172723980
ecgclass,slot_0:ecgclass,no_sharing_tpc,0.9491,60.4343,57.8423,55.9315,0.0029,1.0191,1.6582,2.592,1776323612639938545
ecgclass,slot_0:ecgclass,no_sharing_tpc,1.4254,71.6915,69.1115,67.0023,0.0032,1.1273,1.6458,2.58,1776323613116274808
ecgclass,slot_0:ecgclass,no_sharing_tpc,1.4812,72.3898,57.5641,55.4443,0.0029,1.293,13.8512,14.8257,1776323613184261598
ecgclass,slot_0:ecgclass,no_sharing_tpc,1.4993,109.9019,56.8876,55.1756,0.0028,0.9588,52.135,53.0143,1776323613240655844
ecgclass,slot_0:ecgclass,no_sharing_tpc,1.7896,97.1396,94.4243,91.8046,0.003,1.7143,1.7202,2.7153,1776323613480494210
ecgclass,slot_0:ecgclass,no_sharing_tpc,2.0719,60.7853,58.1213,56.3263,0.0031,0.9435,1.7498,2.664,1776323613762859900
ecgclass,slot_0:ecgclass,no_sharing_tpc,2.6963,61.4154,58.6476,56.4012,0.0038,1.161,1.8096,2.7679,1776323614387336907
ecgclass,slot_0:ecgclass,no_sharing_tpc,2.7122,134.8786,90.5144,87.8048,0.003,1.8451,43.4649,44.3642,1776323614444816018
ecgclass,slot_0:ecgclass,no_sharing_tpc,2.9214,117.3663,114.8749,112.1899,0.0035,1.7052,1.5948,2.4914,1776323614612177821
ecgclass,slot_0:ecgclass,no_sharing_tpc,2.9362,210.7694,110.0448,107.4786,0.0028,1.9316,99.8487,100.7247,1776323614725198238
ecgclass,slot_0:ecgclass,no_sharing_tpc,3.1531,66.2684,63.9874,62.4405,0.0029,0.8907,1.4699,2.2811,1776323614843787304
ecgclass,slot_0:ecgclass,no_sharing_tpc,3.4996,110.7905,108.2093,106.2144,0.0035,1.1018,1.637,2.5812,1776323615190450985
ecgclass,slot_0:ecgclass,no_sharing_tpc,3.5775,137.9867,106.1201,103.4463,0.0029,1.7522,30.9191,31.8666,1776323615297569567
ecgclass,slot_0:ecgclass,no_sharing_tpc,3.8233,95.4111,92.7705,90.1438,0.0032,1.8159,1.6899,2.6405,1776323615514182812
ecgclass,slot_0:ecgclass,no_sharing_tpc,3.8539,190.0795,126.3905,113.3139,0.0039,5.9963,62.5377,63.6889,1776323615605590734
ecgclass,slot_0:ecgclass,no_sharing_tpc,3.8736,170.3196,126.3905,113.3139,0.0039,5.9963,42.7525,43.9291,1776323615605590734
ecgclass,slot_0:ecgclass,no_sharing_tpc,3.9359,209.4343,113.6155,111.0744,0.002,1.8102,94.9135,95.8188,1776323615720003921
ecgclass,slot_0:ecgclass,no_sharing_tpc,4.1157,142.3678,114.2799,111.7433,0.0029,1.4506,27.1931,28.088,1776323615832073621
ecgclass,slot_0:ecgclass,no_sharing_tpc,4.1988,178.5161,120.6299,117.9113,0.0024,1.6205,56.9565,57.8862,1776323615944935968
ecgclass,slot_0:ecgclass,no_sharing_tpc,4.4481,81.6441,78.9734,76.3253,0.0038,1.2053,1.6551,2.6707,1776323616138908788
ecgclass,slot_0:ecgclass,no_sharing_tpc,4.4929,135.783,100.232,97.5059,0.0024,1.8549,34.62,35.5509,1776323616216662509
ecgclass,slot_0:ecgclass,no_sharing_tpc,4.8598,60.6565,57.9305,56.1724,0.0029,0.9893,1.837,2.7261,1776323616550778986
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.1055,60.555,57.9045,56.1762,0.0029,0.9475,1.6975,2.6505,1776323616796425197
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.2363,61.4278,58.7474,56.943,0.0029,0.9334,1.7364,2.6804,1776323616927261969
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.32,87.182,84.7288,82.1657,0.0027,1.2832,1.5967,2.4533,1776323617010797711
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.4104,80.8156,78.3338,76.2172,0.004,1.0841,1.575,2.4817,1776323617101127108
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.4261,156.508,92.695,91.0548,0.0027,0.4769,62.912,63.813,1776323617178227273
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.4624,120.4658,92.695,91.0548,0.0027,0.4769,26.6848,27.7708,1776323617178227273
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.599,58.6312,56.2511,54.6897,0.0027,0.8891,1.5285,2.3801,1776323617289749535
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.6769,92.0498,89.7297,88.1722,0.0028,0.8963,1.4346,2.3201,1776323617367486044
ecgclass,slot_0:ecgclass,no_sharing_tpc,5.9304,116.6084,114.0784,111.4922,0.0029,1.8983,1.6437,2.53,1776323617621186672
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.0712,122.3032,119.9788,115.0756,0.0066,3.956,1.3976,2.3244,1776323617761748618
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.1195,185.7405,115.8263,113.0655,0.0038,1.66,69.0787,69.9141,1776323617877744968
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.2127,206.2349,115.4246,112.7735,0.0032,1.7286,89.896,90.8104,1776323617991746914
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.3391,251.8392,173.6173,171.4081,0.0035,0.5516,77.0981,78.2218,1776323618105422764
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.4094,181.5696,173.6173,171.4081,0.0035,0.5516,6.8045,7.9523,1776323618105422764
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.4731,232.8715,116.3136,114.1459,0.0037,1.1777,115.4675,116.558,1776323618277762776
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.6486,173.9333,118.0918,115.4919,0.0047,1.5834,54.8942,55.8414,1776323618392724531
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.7082,231.379,118.7484,116.1385,0.0031,1.8718,111.7213,112.6306,1776323618509084650
ecgclass,slot_0:ecgclass,no_sharing_tpc,6.9745,115.9017,113.4949,110.9161,0.0029,1.8804,1.5426,2.4068,1776323618665221538
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.2524,60.2248,57.7199,55.8792,0.0029,1.0904,1.6286,2.5049,1776323618943261957
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.47,96.7546,94.1996,91.5311,0.0033,1.6973,1.6859,2.555,1776323619160879023
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.4848,158.2515,77.9934,75.8533,0.0034,1.3551,79.3767,80.2581,1776323619253393687
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.7112,59.4993,57.1098,55.2565,0.0029,1.088,1.5228,2.3895,1776323619401908700
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.9821,60.9226,58.2296,56.2739,0.0031,1.1257,1.7283,2.6931,1776323619672999956
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.2063,86.0367,83.3223,80.6159,0.0048,1.5143,1.8072,2.7144,1776323619897346101
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.262,118.099,89.3439,86.2789,0.0038,1.3801,27.8409,28.7551,1776323619979001352
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.3266,145.6125,93.4874,90.8306,0.0048,0.8285,51.0278,52.125,1776323620066811819
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.3603,111.8815,93.4874,90.8306,0.0048,0.8285,17.2734,18.3941,1776323620066811819
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.4303,133.9505,93.6985,91.1617,0.0034,0.6973,39.1757,40.252,1776323620158635944
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.435,129.2377,93.6985,91.1617,0.0034,0.6973,34.4405,35.5392,1776323620158635944
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.4687,207.6414,113.9378,112.1348,0.0027,1.0864,92.8552,93.7036,1776323620250764357
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.7316,58.6941,56.2774,54.6012,0.003,1.0388,1.5297,2.4167,1776323620422293829
ecgclass,slot_0:ecgclass,no_sharing_tpc,9.5305,94.5575,91.8284,89.2221,0.003,1.8651,1.8208,2.7291,1776323621221555146
ecgclass,slot_0:ecgclass,no_sharing_tpc,9.6443,90.2872,87.8562,85.1874,0.0035,1.5281,1.5676,2.431,1776323621335020618
ecgclass,slot_0:ecgclass,no_sharing_tpc,9.6996,146.5273,113.0498,110.2375,0.0035,1.7242,32.5851,33.4775,1776323621421341808
ecgclass,slot_0:ecgclass,no_sharing_tpc,9.7797,147.3668,82.8833,80.7427,0.0034,1.2096,63.6196,64.4835,1776323621532517181
ecgclass,slot_0:ecgclass,no_sharing_tpc,9.8512,166.7721,92.1533,90.4521,0.0028,0.5066,73.6356,74.6189,1776323621614061995
ecgclass,slot_0:ecgclass,no_sharing_tpc,9.8789,139.2281,92.1533,90.4521,0.0028,0.5066,45.9321,47.0748,1776323621614061995
ecgclass,slot_0:ecgclass,no_sharing_tpc,10.0939,58.4209,56.1471,54.4527,0.0029,1.0308,1.4267,2.2738,1776323621784547798
ecgclass,slot_0:ecgclass,no_sharing_tpc,10.3697,60.8995,58.2375,56.3158,0.0031,1.1313,1.7087,2.662,1776323622060639630
ecgclass,slot_0:ecgclass,no_sharing_tpc,10.6711,78.4609,75.7934,73.3643,0.0032,1.2485,1.7076,2.6675,1776323622361952889
ecgclass,slot_0:ecgclass,no_sharing_tpc,11.7334,114.0146,111.2995,109.4247,0.0029,1.0757,1.8222,2.7151,1776323623424367504
ecgclass,slot_0:ecgclass,no_sharing_tpc,12.1547,60.3607,57.7367,55.5821,0.003,1.1429,1.6503,2.624,1776323623845554940
