task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0002,423.8412,421.7469,420.7969,0.0014,0.5315,1.4765,0.0,2.0943,1777619580899405762
ecgclass,no_sharing_tpc,2.4052,106.6341,104.1456,103.0816,0.0012,0.4734,1.5922,0.0,2.4885,1777619583304420881
ecgclass,no_sharing_tpc,4.7408,153.137,150.9204,148.3523,0.001,2.1316,1.4012,0.0,2.2166,1777619585639795394
ecgclass,no_sharing_tpc,7.126,106.6172,104.4049,102.494,0.0026,0.9442,1.3225,0.0,2.2124,1777619588025005728
ecgclass,no_sharing_tpc,7.4057,160.9049,158.6848,157.4258,0.0012,0.3896,1.452,0.0,2.2201,1777619588304789987
ecgclass,no_sharing_tpc,7.4924,275.2221,200.472,197.9125,0.0013,2.0746,73.9965,0.0,74.7501,1777619588464005781
ecgclass,no_sharing_tpc,8.9462,105.6604,103.4668,102.4914,0.0013,0.439,1.4043,0.0,2.1937,1777619589845264525
ecgclass,no_sharing_tpc,10.3554,105.3038,103.0785,102.2363,0.0013,0.4431,1.4091,0.0,2.2253,1777619591254448592
ecgclass,no_sharing_tpc,13.4792,105.7372,103.4696,102.5891,0.0013,0.441,1.4422,0.0,2.2676,1777619594378328539
ecgclass,no_sharing_tpc,13.5579,130.0457,102.4277,101.691,0.0011,0.3734,26.8221,0.0,27.6179,1777619594482355903
ecgclass,no_sharing_tpc,14.6053,174.6063,172.2502,169.5108,0.003,1.8473,1.4818,0.0,2.3561,1777619595504415497
ecgclass,no_sharing_tpc,14.6756,245.5325,140.7152,139.9025,0.0012,0.3746,104.0127,0.0,104.8173,1777619595677261247
ecgclass,no_sharing_tpc,15.7647,231.9214,229.8449,227.1961,0.0011,2.1447,1.3475,0.0,2.0766,1777619596663739095
ecgclass,no_sharing_tpc,17.4963,131.3605,128.872,126.0919,0.003,1.8068,1.4813,0.0,2.4886,1777619598395475779
ecgclass,no_sharing_tpc,17.8825,113.8332,111.4471,109.505,0.0029,1.0148,1.4653,0.0,2.3861,1777619598781624453
ecgclass,no_sharing_tpc,19.1142,109.5684,107.1659,105.23,0.0029,1.0122,1.4637,0.0,2.4025,1777619600013272504
ecgclass,no_sharing_tpc,19.268,105.9067,103.5814,102.5323,0.0014,0.5066,1.4706,0.0,2.3253,1777619600167157947
ecgclass,no_sharing_tpc,19.3597,117.6107,102.834,101.8451,0.0013,0.4844,13.9635,0.0,14.7767,1777619600271334826
ecgclass,no_sharing_tpc,19.6748,106.2624,103.9228,102.678,0.0017,0.6704,1.4451,0.0,2.3396,1777619600573905250
ecgclass,no_sharing_tpc,20.5755,202.5654,200.2997,198.5977,0.0025,0.8855,1.4319,0.0,2.2657,1777619601474568141
ecgclass,no_sharing_tpc,20.9885,109.149,106.6748,104.7764,0.003,0.9875,1.507,0.0,2.4742,1777619601887674630
ecgclass,no_sharing_tpc,22.2361,279.3829,277.1759,272.3991,0.0012,4.3076,1.4877,0.0,2.2071,1777619603135227248
ecgclass,no_sharing_tpc,22.4596,326.5543,270.1129,267.5561,0.0011,2.1446,55.6464,0.0,56.4414,1777619603412892641
ecgclass,no_sharing_tpc,24.2982,269.7186,267.4467,262.6904,0.0012,4.286,1.5481,0.0,2.272,1777619605197404387
ecgclass,no_sharing_tpc,25.5246,106.1249,103.7869,102.3202,0.0014,0.4815,1.4744,0.0,2.338,1777619606423700666
ecgclass,no_sharing_tpc,26.1805,211.1533,208.8309,206.0945,0.003,1.838,1.3566,0.0,2.3224,1777619607079466021
ecgclass,no_sharing_tpc,26.5982,128.7942,126.2398,123.5018,0.003,1.8261,1.4822,0.0,2.5544,1777619607497364849
ecgclass,no_sharing_tpc,27.0516,245.6353,242.8274,237.9225,0.0115,2.7652,1.4849,0.0,2.8079,1777619607950747982
ecgclass,no_sharing_tpc,27.128,350.996,180.885,178.6473,0.003,1.054,169.2078,0.0,170.111,1777619608194811042
ecgclass,no_sharing_tpc,27.3075,293.8793,121.7875,118.9271,0.0029,1.8367,171.1388,0.0,172.0918,1777619608376325276
ecgclass,no_sharing_tpc,27.9929,132.9229,130.6466,127.9852,0.0015,2.0861,1.4729,0.0,2.2763,1777619608892056312
ecgclass,no_sharing_tpc,28.3819,232.5966,230.4679,225.6307,0.0014,4.2754,1.3804,0.0,2.1288,1777619609280893730
ecgclass,no_sharing_tpc,29.6473,106.8037,104.4085,102.5816,0.0028,0.9679,1.4851,0.0,2.3952,1777619610546384104
ecgclass,no_sharing_tpc,30.3549,105.4664,103.1753,102.2953,0.0013,0.4518,1.4606,0.0,2.2911,1777619611254047672
ecgclass,no_sharing_tpc,30.592,279.6717,277.6199,275.1016,0.0016,2.0411,1.1954,0.0,2.0518,1777619611490862133
ecgclass,no_sharing_tpc,31.0541,106.0719,103.7914,102.7243,0.0016,0.5302,1.4231,0.0,2.2806,1777619611953151249
ecgclass,no_sharing_tpc,31.695,200.6075,198.4644,193.579,0.0026,4.1138,1.328,0.0,2.1431,1777619612593942565
ecgclass,no_sharing_tpc,32.0388,321.0998,319.0456,314.2085,0.0017,4.2496,1.2751,0.0,2.0542,1777619612937686240
ecgclass,no_sharing_tpc,32.3611,177.3937,175.154,173.8062,0.0038,0.7272,1.261,0.0,2.2396,1777619613260022604
ecgclass,no_sharing_tpc,33.2404,205.7474,203.2601,200.5879,0.0025,1.8402,1.622,0.0,2.4873,1777619614139713006
ecgclass,no_sharing_tpc,33.5371,233.4816,231.2296,228.5163,0.002,1.9177,1.3943,0.0,2.252,1777619614436152211
ecgclass,no_sharing_tpc,34.8707,160.6138,158.3328,155.7543,0.0014,2.0802,1.4684,0.0,2.2809,1777619615769834147
ecgclass,no_sharing_tpc,36.2612,109.3397,106.9647,104.9481,0.0031,1.0379,1.4262,0.0,2.375,1777619617160249733
ecgclass,no_sharing_tpc,37.3458,108.9399,106.5706,105.3137,0.0018,0.6175,1.4501,0.0,2.3693,1777619618244898424
ecgclass,no_sharing_tpc,37.4195,139.4982,103.7606,102.2158,0.0015,0.4917,34.9414,0.0,35.7377,1777619618352080059
ecgclass,no_sharing_tpc,38.5521,213.326,211.067,206.1812,0.0021,4.132,1.4579,0.0,2.259,1777619619451178813
ecgclass,no_sharing_tpc,39.907,105.6466,103.3019,102.28,0.0013,0.4598,1.4677,0.0,2.3447,1777619620806070425
ecgclass,no_sharing_tpc,41.0291,105.3119,103.0804,102.2027,0.0013,0.4435,1.4389,0.0,2.2315,1777619621928180883
ecgclass,no_sharing_tpc,41.3084,132.4685,130.117,128.1851,0.0029,1.0141,1.4195,0.0,2.3515,1777619622207487813
