task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,116.0047,114.1243,109.4095,0.0014,4.3268,1.1127,0.0,1.8804,1777620915869761469
ecgclass,no_sharing,0.4818,42.0532,40.2907,39.2541,0.0017,0.5168,1.0979,0.0,1.7625,1777620916351323101
ecgclass,no_sharing,0.9488,88.4469,86.3649,81.4696,0.003,3.9991,1.2505,0.0,2.0819,1777620916818461017
ecgclass,no_sharing,1.4255,84.4014,82.096,79.7273,0.0036,1.3982,1.3714,0.0,2.3054,1777620917295217992
ecgclass,no_sharing,1.4827,167.1851,139.3608,128.223,0.002,5.2503,26.9222,0.0,27.8243,1777620917378065183
ecgclass,no_sharing,1.4994,150.5203,139.3608,128.223,0.002,5.2503,10.2403,0.0,11.1595,1777620917378065183
ecgclass,no_sharing,1.7893,75.691,73.3279,71.1328,0.0031,1.337,1.4839,0.0,2.3631,1777620917659179506
ecgclass,no_sharing,2.072,46.9868,44.878,43.7739,0.0016,0.5372,1.4062,0.0,2.1088,1777620917941772757
ecgclass,no_sharing,2.6959,41.1265,39.3957,38.3417,0.0015,0.4889,1.0092,0.0,1.7308,1777620918565261529
ecgclass,no_sharing,2.7123,66.3376,41.3804,40.4126,0.0015,0.5173,24.2004,0.0,24.9572,1777620918604934724
ecgclass,no_sharing,2.9219,62.0682,60.0968,57.5583,0.0018,1.5456,1.2493,0.0,1.9714,1777620918791510744
ecgclass,no_sharing,2.9351,107.9774,58.8656,56.4049,0.0017,1.9757,48.4331,0.0,49.1118,1777620918851961861
ecgclass,no_sharing,3.1534,75.316,73.4739,68.8085,0.0021,4.1878,1.1408,0.0,1.842,1777620919022977774
ecgclass,no_sharing,3.5001,59.5019,57.3136,54.9999,0.0021,1.6568,1.3494,0.0,2.1883,1777620919369794422
ecgclass,no_sharing,3.5768,54.0349,51.9591,49.4167,0.0016,2.0571,1.2686,0.0,2.0758,1777620919446519245
ecgclass,no_sharing,3.8234,41.8098,39.991,38.9344,0.0015,0.5023,1.0977,0.0,1.8188,1777620919692897684
ecgclass,no_sharing,3.8555,52.0675,42.0808,41.048,0.0016,0.5279,9.3601,0.0,9.9867,1777620919733279174
ecgclass,no_sharing,3.8725,92.0801,56.5996,55.5889,0.0016,0.516,34.7621,0.0,35.4805,1777620919775654209
ecgclass,no_sharing,3.9359,68.6362,39.4023,38.4262,0.0016,0.4893,28.4519,0.0,29.2339,1777620919832736627
ecgclass,no_sharing,4.1157,71.1851,69.073,68.1021,0.0016,0.5079,1.3165,0.0,2.1121,1777620919985368876
ecgclass,no_sharing,4.1981,41.6961,39.7309,38.7718,0.0017,0.5133,1.2546,0.0,1.9652,1777620920067785253
ecgclass,no_sharing,4.4478,79.7079,77.6163,72.1957,0.0022,4.8893,1.3459,0.0,2.0916,1777620920317567282
ecgclass,no_sharing,4.4938,131.9041,97.3412,94.8199,0.0017,2.0769,33.5102,0.0,34.563,1777620920395659754
ecgclass,no_sharing,4.8597,86.3147,84.5204,81.755,0.0025,2.008,1.0352,0.0,1.7943,1777620920729113126
ecgclass,no_sharing,5.1052,73.1087,71.5736,70.1754,0.0026,0.7045,0.9966,0.0,1.5351,1777620920974588522
ecgclass,no_sharing,5.2369,60.0562,58.7248,56.9952,0.0028,0.9809,0.6816,0.0,1.3314,1777620921105938068
ecgclass,no_sharing,5.3202,53.6501,51.9587,47.2847,0.0018,4.2439,1.0836,0.0,1.6914,1777620921189600878
ecgclass,no_sharing,5.4111,78.6152,76.7482,72.0715,0.0017,4.2519,1.1799,0.0,1.867,1777620921280632615
ecgclass,no_sharing,5.4259,179.2181,114.8495,107.8078,0.0018,3.1951,63.6299,0.0,64.3686,1777620921357914810
ecgclass,no_sharing,5.4618,143.5277,114.8495,107.8078,0.0018,3.1951,27.7958,0.0,28.6783,1777620921357914810
ecgclass,no_sharing,5.5992,85.1233,78.4671,73.7641,0.0017,4.229,5.9946,0.0,6.6562,1777620921473567015
ecgclass,no_sharing,5.6773,94.4884,86.7982,82.0664,0.0016,3.526,7.0648,0.0,7.6902,1777620921552671938
ecgclass,no_sharing,5.9301,42.3274,40.7471,39.7897,0.0018,0.5031,0.9301,0.0,1.5803,1777620921799365256
ecgclass,no_sharing,6.0721,55.0361,53.1172,48.4526,0.0016,4.2162,1.1771,0.0,1.9188,1777620921941711887
ecgclass,no_sharing,6.1195,83.9539,75.6404,73.0802,0.0016,2.0553,7.5045,0.0,8.3134,1777620921995339812
ecgclass,no_sharing,6.2116,56.1578,54.2662,53.1346,0.0019,0.609,1.1456,0.0,1.8916,1777620922081144897
ecgclass,no_sharing,6.3395,89.8807,88.0781,81.0968,0.0019,6.4179,1.2295,0.0,1.8026,1777620922209154612
