task,slot,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,slot_0:ecgclass,single_ecgclass,0.0001,43.5793,41.8915,40.4572,0.0025,0.8427,0.8774,1.6879,1776335031154687068
ecgclass,slot_0:ecgclass,single_ecgclass,0.1209,50.7662,48.0671,46.3357,0.003,0.9512,1.7366,2.6992,1776335031276365003
ecgclass,slot_0:ecgclass,single_ecgclass,0.2379,54.0276,51.3316,49.5647,0.0032,0.9818,1.7571,2.696,1776335031393386587
ecgclass,slot_0:ecgclass,single_ecgclass,0.3572,60.3814,57.6429,55.4502,0.004,1.122,1.811,2.7385,1776335031512701808
ecgclass,slot_0:ecgclass,single_ecgclass,0.3719,104.7525,60.0954,47.554,0.0035,5.6972,43.5445,44.6571,1776335031569204055
ecgclass,slot_0:ecgclass,single_ecgclass,0.3757,100.9846,60.0954,47.554,0.0035,5.6972,39.7525,40.8892,1776335031569204055
ecgclass,slot_0:ecgclass,single_ecgclass,0.4478,71.733,54.4905,52.8004,0.0031,0.9378,16.2706,17.2425,1776335031617754469
ecgclass,slot_0:ecgclass,single_ecgclass,0.5179,44.3375,41.7781,40.1241,0.0033,0.9364,1.6501,2.5594,1776335031673283650
ecgclass,slot_0:ecgclass,single_ecgclass,0.6745,54.8623,52.2529,50.0868,0.0046,1.1769,1.7521,2.6094,1776335031830012105
ecgclass,slot_0:ecgclass,single_ecgclass,0.6783,98.9749,48.9704,46.6885,0.0039,1.0855,49.0646,50.0046,1776335031881105781
ecgclass,slot_0:ecgclass,single_ecgclass,0.7306,93.3936,47.9205,45.8877,0.0037,0.4986,44.5182,45.4731,1776335031928814183
ecgclass,slot_0:ecgclass,single_ecgclass,0.7343,89.8023,47.9205,45.8877,0.0037,0.4986,40.7748,41.8818,1776335031928814183
ecgclass,slot_0:ecgclass,single_ecgclass,0.7885,78.1446,43.895,42.2183,0.0031,0.9347,33.3693,34.2495,1776335031975589510
ecgclass,slot_0:ecgclass,single_ecgclass,0.8769,45.7234,43.2107,41.005,0.0039,1.1196,1.579,2.5127,1776335032032173475
ecgclass,slot_0:ecgclass,single_ecgclass,0.8946,70.7321,43.7695,41.5977,0.0037,1.0611,25.6343,26.9626,1776335032073947305
ecgclass,slot_0:ecgclass,single_ecgclass,0.9568,51.2345,44.3412,42.377,0.0031,1.13,5.9845,6.8933,1776335032116501308
ecgclass,slot_0:ecgclass,single_ecgclass,0.9645,110.1382,67.5126,65.3343,0.004,0.3717,41.7006,42.6256,1776335032159954807
ecgclass,slot_0:ecgclass,single_ecgclass,0.9685,106.4882,67.5126,65.3343,0.004,0.3717,37.703,38.9756,1776335032159954807
ecgclass,slot_0:ecgclass,single_ecgclass,0.9842,90.8313,67.5126,65.3343,0.004,0.3717,22.007,23.3187,1776335032159954807
ecgclass,slot_0:ecgclass,single_ecgclass,1.0292,93.4491,49.23,47.1852,0.0036,0.4844,43.2446,44.2192,1776335032226197037
ecgclass,slot_0:ecgclass,single_ecgclass,1.0499,72.8819,49.23,47.1852,0.0036,0.4844,22.5289,23.652,1776335032226197037
ecgclass,slot_0:ecgclass,single_ecgclass,1.1123,53.1299,43.8984,41.7518,0.0037,1.0838,8.3089,9.2315,1776335032274308163
ecgclass,slot_0:ecgclass,single_ecgclass,1.124,82.8905,42.758,41.0851,0.0033,0.9391,39.2065,40.1325,1776335032316954107
ecgclass,slot_0:ecgclass,single_ecgclass,1.2151,44.6343,42.1124,40.4911,0.0029,0.9173,1.5864,2.5219,1776335032370442115
ecgclass,slot_0:ecgclass,single_ecgclass,1.277,45.8667,43.2943,41.1974,0.0039,1.1604,1.6212,2.5724,1776335032432319526
ecgclass,slot_0:ecgclass,single_ecgclass,1.3097,57.524,45.5999,43.3739,0.0035,1.0475,11.0376,11.924,1776335032474458111
ecgclass,slot_0:ecgclass,single_ecgclass,1.331,103.1687,67.9514,65.4106,0.0029,0.3888,34.0934,35.2173,1776335032518831472
ecgclass,slot_0:ecgclass,single_ecgclass,1.3527,81.4633,67.9514,65.4106,0.0029,0.3888,12.3637,13.5119,1776335032518831472
ecgclass,slot_0:ecgclass,single_ecgclass,1.3575,76.9625,67.9514,65.4106,0.0029,0.3888,7.6447,9.0111,1776335032518831472
ecgclass,slot_0:ecgclass,single_ecgclass,1.3662,135.133,67.9355,65.9769,0.0034,0.3892,65.9313,67.1976,1776335032585817859
ecgclass,slot_0:ecgclass,single_ecgclass,1.4004,100.8806,67.9355,65.9769,0.0034,0.3892,31.6548,32.9451,1776335032585817859
ecgclass,slot_0:ecgclass,single_ecgclass,1.4201,81.2035,67.9355,65.9769,0.0034,0.3892,11.9431,13.268,1776335032585817859
ecgclass,slot_0:ecgclass,single_ecgclass,1.4826,61.6846,44.2892,42.2407,0.0037,1.0153,16.4807,17.3954,1776335032652834309
ecgclass,slot_0:ecgclass,single_ecgclass,1.5185,72.6719,47.8798,45.8582,0.0035,0.4854,23.705,24.7921,1776335032695946900
ecgclass,slot_0:ecgclass,single_ecgclass,1.5302,60.9994,47.8798,45.8582,0.0035,0.4854,12.0087,13.1196,1776335032695946900
ecgclass,slot_0:ecgclass,single_ecgclass,1.5545,83.8492,48.3052,46.2591,0.0036,0.4992,34.4446,35.544,1776335032742684497
ecgclass,slot_0:ecgclass,single_ecgclass,1.5852,53.1776,48.3052,46.2591,0.0036,0.4992,3.7479,4.8724,1776335032742684497
ecgclass,slot_0:ecgclass,single_ecgclass,1.6024,83.5862,48.8297,46.7444,0.0036,0.5099,33.6969,34.7565,1776335032789832540
ecgclass,slot_0:ecgclass,single_ecgclass,1.6191,66.9072,48.8297,46.7444,0.0036,0.5099,16.9933,18.0774,1776335032789832540
ecgclass,slot_0:ecgclass,single_ecgclass,1.6626,70.56,48.3417,46.7079,0.003,0.4419,21.1811,22.2182,1776335032837493842
ecgclass,slot_0:ecgclass,single_ecgclass,1.6773,55.8703,48.3417,46.7079,0.003,0.4419,6.4676,7.5286,1776335032837493842
ecgclass,slot_0:ecgclass,single_ecgclass,1.7444,44.6606,42.222,40.5849,0.003,0.909,1.5242,2.4386,1776335032899646412
ecgclass,slot_0:ecgclass,single_ecgclass,1.8133,45.9991,43.4761,41.8422,0.0031,0.9082,1.5795,2.523,1776335032968600284
ecgclass,slot_0:ecgclass,single_ecgclass,1.8675,45.4333,42.8891,40.8973,0.0033,1.0669,1.5752,2.5442,1776335033022795119
ecgclass,slot_0:ecgclass,single_ecgclass,1.8712,84.3968,43.7958,41.5662,0.0037,1.0929,39.6802,40.601,1776335033064597158
ecgclass,slot_0:ecgclass,single_ecgclass,1.9281,69.0417,42.7328,41.0805,0.0031,0.9332,25.2869,26.309,1776335033107139305
ecgclass,slot_0:ecgclass,single_ecgclass,1.9958,44.1751,41.7222,40.0849,0.0032,0.9407,1.5357,2.4529,1776335033151049675
ecgclass,slot_0:ecgclass,single_ecgclass,2.0522,46.3526,43.8807,41.7919,0.0039,1.0432,1.5559,2.4719,1776335033207447920
ecgclass,slot_0:ecgclass,single_ecgclass,2.0669,97.631,66.9945,64.9197,0.0038,0.3325,29.5215,30.6365,1776335033250137655
ecgclass,slot_0:ecgclass,single_ecgclass,2.0826,82.1242,66.9945,64.9197,0.0038,0.3325,13.7825,15.1297,1776335033250137655
