task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,sharing,0.0002,49.9389,47.26,44.1706,0.0031,1.2522,1.8706,0.0,2.6789,1777624394668140589
ecgclass,sharing,0.4815,39.2478,37.2959,35.6487,0.0028,0.904,1.214,0.0,1.9518,1777624395148594101
ecgclass,sharing,0.9485,58.0263,48.5872,45.9003,0.0034,1.2626,8.5082,0.0,9.4391,1777624395622896044
ecgclass,sharing,1.4255,34.7023,32.7629,31.1518,0.0028,0.9005,1.2045,0.0,1.9394,1777624396092584214
ecgclass,sharing,1.482,70.5488,46.1442,44.197,0.0032,0.5121,23.4821,0.0,24.4046,1777624396171420942
ecgclass,sharing,1.4986,53.988,46.1442,44.197,0.0032,0.5121,6.8939,0.0,7.8438,1777624396171420942
ecgclass,sharing,1.7894,43.6239,41.6063,39.8582,0.0032,0.9529,1.2765,0.0,2.0177,1777624396456638421
ecgclass,sharing,2.0716,35.5706,33.5443,31.9214,0.0028,0.8811,1.2379,0.0,2.0263,1777624396738738912
ecgclass,sharing,2.6961,62.7637,47.0453,44.3947,0.0031,1.4288,14.8296,0.0,15.7184,1777624397376815928
ecgclass,sharing,2.7129,79.0238,34.8465,32.7799,0.0038,1.0984,43.4222,0.0,44.1773,1777624397422148502
ecgclass,sharing,2.922,40.9849,34.8314,32.7386,0.0032,1.0645,5.2898,0.0,6.1535,1777624397593171878
ecgclass,sharing,2.9356,72.8881,46.9139,44.5989,0.0029,1.4729,25.2047,0.0,25.9743,1777624397626680709
ecgclass,sharing,3.1531,76.7047,47.765,44.622,0.0038,2.1792,28.116,0.0,28.9397,1777624397847149566
ecgclass,sharing,3.4999,60.0827,38.8115,36.1176,0.0031,1.6286,20.4258,0.0,21.2712,1777624398186221559
ecgclass,sharing,3.5772,60.3201,46.2275,44.0911,0.0041,1.4105,13.139,0.0,14.0926,1777624398256294341
ecgclass,sharing,3.8237,41.6372,33.7216,31.6108,0.0034,1.0465,7.0956,0.0,7.9155,1777624398496681483
ecgclass,sharing,3.8543,43.299,33.6291,31.6405,0.0031,1.0094,8.8546,0.0,9.6699,1777624398529030319
ecgclass,sharing,3.8726,57.9062,34.2341,32.113,0.0034,1.017,22.8629,0.0,23.672,1777624398561370171
ecgclass,sharing,3.9358,78.9559,40.5173,37.8613,0.0181,1.6259,37.6744,0.0,38.4386,1777624398639364029
ecgclass,sharing,4.1156,115.205,68.8675,65.279,0.003,2.1566,45.3689,0.0,46.3375,1777624398826869411
ecgclass,sharing,4.1983,71.4021,41.6742,39.4133,0.0043,1.2554,28.9526,0.0,29.7279,1777624398893215148
ecgclass,sharing,4.4482,55.6428,50.9201,48.0659,0.0051,1.9473,3.3743,0.0,4.7228,1777624399117451902
ecgclass,sharing,4.4927,114.4636,105.2029,101.6457,0.0041,2.5672,8.425,0.0,9.2606,1777624399167070391
ecgclass,sharing,4.8604,61.0921,58.7934,56.5272,0.0042,1.1039,1.4369,0.0,2.2987,1777624399527801085
ecgclass,sharing,5.1057,65.1498,42.0027,40.2312,0.0031,0.9497,22.3668,0.0,23.1471,1777624399793933005
ecgclass,sharing,5.2367,63.6206,47.7665,44.9454,0.0038,1.8071,15.1579,0.0,15.8541,1777624399917809604
ecgclass,sharing,5.3196,44.3802,42.2608,40.2436,0.005,1.1152,1.2996,0.0,2.1194,1777624399986864064
ecgclass,sharing,5.4106,147.742,106.4826,101.4787,0.0045,1.6683,40.086,0.0,41.2595,1777624400116683332
ecgclass,sharing,5.427,131.6032,106.4826,101.4787,0.0045,1.6683,23.7877,0.0,25.1207,1777624400116683332
ecgclass,sharing,5.4633,201.8516,109.9581,103.6242,0.0031,3.4678,91.1014,0.0,91.8936,1777624400220361643
