task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,sharing,2906,4.9254,61.039,53.645,123.673,179.738,42.816,40.342,0.002,1.099,17.721,0.0,18.223
gestureclass,sharing,2996,5.078,59.768,52.137,120.281,163.786,41.732,39.419,0.002,1.069,17.408,0.0,18.036
heartrate,sharing,2990,5.0678,61.701,52.814,132.073,188.505,43.109,40.705,0.003,1.065,18.107,0.0,18.592
diasbp,sharing,2979,5.0492,60.345,53.116,121.124,165.985,42.057,39.764,0.002,1.054,17.707,0.0,18.288
sysbp,sharing,2955,5.0085,60.859,54.031,119.388,170.813,43.015,40.608,0.003,1.067,17.361,0.0,17.844
etth1fore,sharing,2765,4.6864,59.588,52.765,119.193,167.571,41.811,39.658,0.003,0.915,17.234,0.0,17.777
weatherfore,sharing,2984,5.0576,60.092,52.759,122.904,172.372,42.259,40.098,0.003,0.909,17.28,0.0,17.833
trafficfore,sharing,3051,5.1712,60.302,51.814,123.899,170.13,42.109,39.964,0.003,0.908,17.558,0.0,18.193
eclfore,sharing,2986,5.061,61.663,53.43,125.139,172.112,43.092,40.909,0.003,0.912,18.018,0.0,18.571
exchangefore,sharing,3023,5.1237,61.181,53.795,125.793,175.553,42.745,40.568,0.003,0.911,17.872,0.0,18.437
