task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,sharing,0.0001,25.8074,24.3999,22.7379,0.0027,0.5598,0.7584,0.0,1.4075,1778760072485029301
ecgclass,sharing,0.3019,26.4728,24.9541,23.5783,0.0029,0.5014,0.9091,0.0,1.5187,1778760072787077588
ecgclass,sharing,0.5944,26.551,25.0795,23.4293,0.0027,0.5851,0.9005,0.0,1.4716,1778760073079551915
ecgclass,sharing,0.8912,26.4807,25.0351,23.5736,0.0032,0.5382,0.9203,0.0,1.4456,1778760073376384399
ecgclass,sharing,0.9262,55.1801,36.2482,26.4115,0.0027,4.5597,18.3661,0.0,18.9318,1778760073428775265
ecgclass,sharing,0.9366,44.858,36.2482,26.4115,0.0027,4.5597,8.0304,0.0,8.6097,1778760073428775265
ecgclass,sharing,1.1185,25.835,24.3834,22.8983,0.0035,0.5926,0.9451,0.0,1.4517,1778760073603625951
ecgclass,sharing,1.2955,25.84,24.4661,23.0359,0.0033,0.5592,0.8907,0.0,1.374,1778760073780567735
ecgclass,sharing,1.6856,26.4513,25.1468,23.3869,0.0029,0.6715,0.7782,0.0,1.3046,1778760074170622646
ecgclass,sharing,1.696,39.427,24.4404,23.1369,0.0031,0.5034,14.5273,0.0,14.9866,1778760074194767671
ecgclass,sharing,1.8267,26.8288,25.4286,23.6033,0.0034,0.6395,0.8807,0.0,1.4002,1778760074311777881
ecgclass,sharing,1.8351,42.5935,25.1514,23.2196,0.0032,0.5499,16.9227,0.0,17.442,1778760074336219947
ecgclass,sharing,1.9709,37.163,28.0119,26.3811,0.0033,0.7633,8.6548,0.0,9.1511,1778760074463757593
ecgclass,sharing,2.1876,39.3641,25.329,23.6396,0.0027,0.6207,13.5689,0.0,14.0351,1778760074685405848
ecgclass,sharing,2.2371,39.6068,24.7046,23.3874,0.0033,0.5732,14.4155,0.0,14.9022,1778760074735766525
ecgclass,sharing,2.3902,26.7909,25.4381,23.5819,0.0032,0.6632,0.8557,0.0,1.3527,1778760074875250054
ecgclass,sharing,2.4096,31.5146,25.1603,23.4273,0.0026,0.6209,5.873,0.0,6.3544,1778760074899682200
ecgclass,sharing,2.4201,45.4552,25.3533,23.6017,0.0034,0.6468,19.5773,0.0,20.1019,1778760074923897220
ecgclass,sharing,2.4603,29.1228,24.7669,23.4157,0.0032,0.5658,3.8514,0.0,4.3559,1778760074948335659
ecgclass,sharing,2.5726,48.2388,24.3638,23.0837,0.003,0.5297,23.3881,0.0,23.8749,1778760075080162104
ecgclass,sharing,2.6239,24.8153,23.6652,22.3514,0.0028,0.516,0.6669,0.0,1.1501,1778760075108815704
ecgclass,sharing,2.7804,27.5197,25.9302,23.6396,0.0029,0.6204,0.8411,0.0,1.5895,1778760075265471487
ecgclass,sharing,2.8077,46.7875,23.8945,22.7448,0.0033,0.4812,22.4612,0.0,22.893,1778760075314422683
ecgclass,sharing,3.038,26.8078,25.3663,23.5924,0.003,0.6473,0.9007,0.0,1.4415,1778760075523101667
ecgclass,sharing,3.1909,31.5216,30.2936,29.1594,0.0027,0.4438,0.7279,0.0,1.228,1778760075675878291
ecgclass,sharing,3.2741,45.7609,32.8726,31.2813,0.0031,0.6266,12.3959,0.0,12.8882,1778760075770733094
ecgclass,sharing,3.3252,32.3048,31.0862,29.6215,0.0028,0.4821,0.6821,0.0,1.2186,1778760075810108669
ecgclass,sharing,3.3817,34.1408,28.296,25.9397,0.0021,1.0431,5.4059,0.0,5.8449,1778760075871295170
ecgclass,sharing,3.3916,55.2797,32.4446,30.7619,0.0025,0.517,22.3165,0.0,22.8352,1778760075898081380
ecgclass,sharing,3.4139,56.8337,24.739,23.3284,0.0025,0.4769,31.5874,0.0,32.0948,1778760075929732269
