task,slot,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,slot_0:ecgclass,no_sharing_tpc,0.0001,161.3784,155.9004,154.1809,0.0035,0.7589,4.9808,5.4779,1776027916973021710
ecgclass,slot_0:ecgclass,no_sharing_tpc,2.405,45.0692,38.7529,37.5831,0.0031,0.663,5.6307,6.3163,1776027919378624504
ecgclass,slot_0:ecgclass,no_sharing_tpc,4.7407,64.5297,59.3557,54.4119,0.004,4.401,4.4267,5.174,1776027921713137608
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.1265,45.366,39.1569,37.6091,0.0031,0.6418,5.537,6.2091,1776027924099969508
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.4062,44.6053,38.5525,37.4106,0.0032,0.6636,5.3985,6.0528,1776027924379538247
ecgclass,slot_0:ecgclass,no_sharing_tpc,7.4919,44.9293,38.7836,37.4783,0.0045,0.757,5.4829,6.1456,1776027924465373638
ecgclass,slot_0:ecgclass,no_sharing_tpc,8.946,44.4014,38.5399,37.4399,0.0032,0.6435,5.1701,5.8615,1776027925919114820
ecgclass,slot_0:ecgclass,no_sharing_tpc,10.3554,47.2817,38.5909,37.4732,0.0028,0.6364,7.9834,8.6909,1776027927331409299
ecgclass,slot_0:ecgclass,no_sharing_tpc,13.4801,44.512,38.7533,37.5305,0.0029,0.7278,5.0533,5.7587,1776027930453146285
ecgclass,slot_0:ecgclass,no_sharing_tpc,13.5578,44.5766,38.5408,37.4035,0.0031,0.654,5.4042,6.0359,1776027930531167563
ecgclass,slot_0:ecgclass,no_sharing_tpc,14.6046,44.5008,38.7449,37.5471,0.0031,0.6759,5.0659,5.756,1776027931577625816
ecgclass,slot_0:ecgclass,no_sharing_tpc,14.6762,43.6811,38.5859,37.3949,0.003,0.6974,4.3752,5.0952,1776027931648587342
ecgclass,slot_0:ecgclass,no_sharing_tpc,15.764,111.8135,106.8574,101.7742,0.0035,4.5462,4.3252,4.9562,1776027932736267026
ecgclass,slot_0:ecgclass,no_sharing_tpc,17.4956,45.6591,40.5568,38.9816,0.0026,1.0697,4.478,5.1022,1776027934468071512
ecgclass,slot_0:ecgclass,no_sharing_tpc,17.8827,43.8018,38.6115,37.476,0.003,0.6498,4.5338,5.1903,1776027934855238333
ecgclass,slot_0:ecgclass,no_sharing_tpc,19.1139,49.6979,43.5904,38.6263,0.0039,4.3319,5.4507,6.1075,1776027936087369380
ecgclass,slot_0:ecgclass,no_sharing_tpc,19.2678,40.4799,38.9776,37.9085,0.0029,0.659,0.9034,1.5023,1776027936236688316
ecgclass,slot_0:ecgclass,no_sharing_tpc,19.3594,44.0769,38.8808,37.7848,0.0028,0.6428,4.5767,5.1961,1776027936331988010
ecgclass,slot_0:ecgclass,no_sharing_tpc,19.6748,45.0566,38.5879,37.5458,0.0026,0.5862,5.8963,6.4687,1776027936648639988
ecgclass,slot_0:ecgclass,no_sharing_tpc,20.576,39.9795,38.4577,37.4033,0.0028,0.6218,0.9108,1.5217,1776027937544904021
ecgclass,slot_0:ecgclass,no_sharing_tpc,20.9895,44.7783,38.5926,37.4964,0.0027,0.6232,5.5859,6.1858,1776027937963023596
ecgclass,slot_0:ecgclass,no_sharing_tpc,22.2363,44.9474,38.5992,37.5488,0.0026,0.6056,5.7597,6.3482,1776027939210032358
ecgclass,slot_0:ecgclass,no_sharing_tpc,22.4595,44.5938,38.5102,37.4487,0.0025,0.598,5.4798,6.0836,1776027939432981030
ecgclass,slot_0:ecgclass,no_sharing_tpc,24.2994,45.2788,39.0504,37.5177,0.0027,1.0793,5.583,6.2284,1776027941272965679
ecgclass,slot_0:ecgclass,no_sharing_tpc,25.5248,74.316,69.2326,64.2914,0.0029,4.4701,4.4806,5.0834,1776027942497253670
ecgclass,slot_0:ecgclass,no_sharing_tpc,26.1801,44.3277,38.5144,37.4341,0.0024,0.6048,5.2791,5.8133,1776027943153394849
ecgclass,slot_0:ecgclass,no_sharing_tpc,26.5983,44.5867,38.5343,37.4942,0.0025,0.5794,5.4591,6.0524,1776027943571787044
ecgclass,slot_0:ecgclass,no_sharing_tpc,27.0508,62.2156,56.3218,55.2727,0.0027,0.5907,5.4026,5.8937,1776027944024141245
ecgclass,slot_0:ecgclass,no_sharing_tpc,27.1281,44.0583,38.661,37.7148,0.0022,0.5797,4.9355,5.3974,1776027944100995822
ecgclass,slot_0:ecgclass,no_sharing_tpc,27.3074,44.0719,38.133,37.1662,0.0022,0.5784,5.4495,5.9389,1776027944280781717
ecgclass,slot_0:ecgclass,no_sharing_tpc,27.9934,46.9592,38.6546,37.549,0.0027,0.6467,7.6807,8.3045,1776027944969063503
ecgclass,slot_0:ecgclass,no_sharing_tpc,28.3814,44.2343,38.4398,37.3838,0.0027,0.6334,5.2447,5.7945,1776027945354618404
ecgclass,slot_0:ecgclass,no_sharing_tpc,29.646,48.3112,39.3105,38.1921,0.0029,0.6301,8.4262,9.0007,1776027946622415992
ecgclass,slot_0:ecgclass,no_sharing_tpc,30.354,44.9994,38.941,37.8828,0.0034,0.5987,5.4891,6.0584,1776027947327492436
ecgclass,slot_0:ecgclass,no_sharing_tpc,30.5923,43.6692,38.8883,37.8085,0.0031,0.6154,4.1852,4.781,1776027947564468889
ecgclass,slot_0:ecgclass,no_sharing_tpc,31.0533,44.5738,38.5599,37.4897,0.0029,0.6071,5.4169,6.0139,1776027948026687649
ecgclass,slot_0:ecgclass,no_sharing_tpc,31.6955,44.313,38.4712,37.4588,0.0024,0.5754,5.2598,5.8418,1776027948668702179
ecgclass,slot_0:ecgclass,no_sharing_tpc,32.0404,44.6084,38.6232,37.5509,0.0028,0.6061,5.3673,5.9852,1776027949013728082
ecgclass,slot_0:ecgclass,no_sharing_tpc,32.361,44.3771,38.6181,37.5087,0.0032,0.6481,5.1181,5.759,1776027949334057888
ecgclass,slot_0:ecgclass,no_sharing_tpc,33.2396,40.8852,39.3809,38.1467,0.003,0.773,0.9239,1.5043,1776027950208484342
ecgclass,slot_0:ecgclass,no_sharing_tpc,33.5362,78.4087,76.8334,71.8962,0.0026,4.4394,0.9358,1.5754,1776027950505157469
ecgclass,slot_0:ecgclass,no_sharing_tpc,34.8699,44.4386,38.549,37.4875,0.0027,0.6009,5.3215,5.8896,1776027951843196007
ecgclass,slot_0:ecgclass,no_sharing_tpc,36.2623,43.8409,38.6408,37.5624,0.0027,0.6133,4.6122,5.2001,1776027953234920247
ecgclass,slot_0:ecgclass,no_sharing_tpc,37.3458,44.4629,38.6143,37.5199,0.0026,0.6315,5.2583,5.8486,1776027954319036102
ecgclass,slot_0:ecgclass,no_sharing_tpc,37.4184,62.593,56.5823,51.7198,0.0028,4.0452,5.4157,6.0107,1776027954391782843
ecgclass,slot_0:ecgclass,no_sharing_tpc,38.5528,44.7812,38.627,37.4835,0.0027,0.6731,5.4767,6.1542,1776027955526233098
ecgclass,slot_0:ecgclass,no_sharing_tpc,39.9079,44.425,38.686,37.6095,0.0031,0.6276,5.1811,5.739,1776027956881029868
ecgclass,slot_0:ecgclass,no_sharing_tpc,41.0292,44.6937,38.6424,37.5916,0.0028,0.5853,5.4648,6.0513,1776027958002683633
ecgclass,slot_0:ecgclass,no_sharing_tpc,41.3087,43.6015,38.5759,37.4917,0.0025,0.63,4.4572,5.0257,1776027958281142613
ecgclass,slot_0:ecgclass,no_sharing_tpc,41.6297,44.8153,38.4856,37.3924,0.0024,0.6209,5.7588,6.3297,1776027958603433049
ecgclass,slot_0:ecgclass,no_sharing_tpc,41.7957,44.544,38.5696,37.4484,0.003,0.6525,5.3489,5.9743,1776027958769060562
ecgclass,slot_0:ecgclass,no_sharing_tpc,42.1497,44.7416,38.5229,37.4197,0.0027,0.6299,5.708,6.2187,1776027959123377468
ecgclass,slot_0:ecgclass,no_sharing_tpc,42.1712,74.2352,38.0052,37.0638,0.0023,0.5799,35.7118,36.23,1776027959174905043
ecgclass,slot_0:ecgclass,no_sharing_tpc,42.3383,50.055,45.2523,40.3785,0.0035,4.4486,4.257,4.8028,1776027959310580983
ecgclass,slot_0:ecgclass,no_sharing_tpc,43.6539,44.9505,39.0056,37.4867,0.0026,1.0586,5.3675,5.9449,1776027960627247268
ecgclass,slot_0:ecgclass,no_sharing_tpc,47.6501,45.1739,38.5276,37.4992,0.0023,0.5881,6.1045,6.6463,1776027964624187976
ecgclass,slot_0:ecgclass,no_sharing_tpc,48.2133,43.7875,38.5516,37.5117,0.0026,0.5924,4.6811,5.2359,1776027965185981408
ecgclass,slot_0:ecgclass,no_sharing_tpc,48.4965,77.6231,76.1866,75.0243,0.0033,0.6505,0.9177,1.4365,1776027965465405005
ecgclass,slot_0:ecgclass,no_sharing_tpc,48.8946,44.1756,38.5762,37.4066,0.0029,0.6702,4.8096,5.5994,1776027965867367648
ecgclass,slot_0:ecgclass,no_sharing_tpc,49.2562,81.3658,75.8341,70.9097,0.003,4.3919,4.822,5.5317,1776027966228985598
ecgclass,slot_0:ecgclass,no_sharing_tpc,49.3857,45.3746,39.2328,38.071,0.0029,0.6587,5.4693,6.1418,1776027966359185438
ecgclass,slot_0:ecgclass,no_sharing_tpc,50.469,44.4026,38.7133,37.5568,0.003,0.6565,5.0228,5.6893,1776027967441968991
ecgclass,slot_0:ecgclass,no_sharing_tpc,51.8458,45.1858,38.6349,37.4611,0.0034,0.6631,5.8599,6.5509,1776027968819651265
ecgclass,slot_0:ecgclass,no_sharing_tpc,53.3527,45.4364,38.7435,37.518,0.0032,0.6988,5.9543,6.6929,1776027970326657962
ecgclass,slot_0:ecgclass,no_sharing_tpc,58.6619,120.7263,114.7433,113.0133,0.0029,1.1775,5.4257,5.983,1776027975635277095
ecgclass,slot_0:ecgclass,no_sharing_tpc,60.7693,45.1345,38.8659,37.5642,0.0034,0.7792,5.5687,6.2686,1776027977742887817
ecgclass,slot_0:ecgclass,no_sharing_tpc,62.4138,44.5242,38.6206,37.4615,0.0028,0.6798,5.3303,5.9036,1776027979387151489
ecgclass,slot_0:ecgclass,no_sharing_tpc,63.4568,57.6556,51.5742,50.424,0.0033,0.664,5.5168,6.0813,1776027980430323650
ecgclass,slot_0:ecgclass,no_sharing_tpc,64.0511,44.5595,38.7527,37.5254,0.0034,0.724,5.0969,5.8068,1776027981024202245
