task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,154.3252,152.9311,151.7514,0.003,0.6079,0.9208,0.0,1.3941,1778561132215851773
ecgclass,no_sharing_tpc,0.2413,151.2575,149.8124,144.8423,0.0029,4.324,0.8981,0.0,1.4451,1778561132456963015
ecgclass,no_sharing_tpc,0.4744,161.243,159.8549,152.7724,0.0032,6.4233,0.8059,0.0,1.388,1778561132690036646
ecgclass,no_sharing_tpc,0.7128,161.8752,160.3424,153.2681,0.0032,6.4116,0.932,0.0,1.5328,1778561132928546534
ecgclass,no_sharing_tpc,0.7407,406.4682,272.0935,251.4164,0.0029,10.0132,133.8272,0.0,134.3746,1778561133089307146
ecgclass,no_sharing_tpc,0.751,396.1854,272.0935,251.4164,0.0029,10.0132,123.4953,0.0,124.0919,1778561133089307146
ecgclass,no_sharing_tpc,0.8949,512.5628,259.7841,252.6322,0.0036,3.2349,252.2533,0.0,252.7786,1778561133361914793
ecgclass,no_sharing_tpc,1.036,371.4054,259.7841,252.6322,0.0036,3.2349,111.0768,0.0,111.6213,1778561133361914793
ecgclass,no_sharing_tpc,1.3489,330.2205,271.0451,263.9966,0.0103,3.2141,58.6073,0.0,59.1754,1778561133622279498
ecgclass,no_sharing_tpc,1.3563,322.8838,271.0451,263.9966,0.0103,3.2141,51.2202,0.0,51.8388,1778561133622279498
ecgclass,no_sharing_tpc,1.461,591.4798,372.808,365.6919,0.0028,2.1529,218.0014,0.0,218.6718,1778561133893830136
ecgclass,no_sharing_tpc,1.4678,584.8205,372.808,365.6919,0.0028,2.1529,211.271,0.0,212.0125,1778561133893830136
ecgclass,no_sharing_tpc,1.5769,475.6603,372.808,365.6919,0.0028,2.1529,102.0992,0.0,102.8523,1778561133893830136
ecgclass,no_sharing_tpc,1.7498,1014.1521,710.7923,703.4233,0.0031,1.0836,302.7618,0.0,303.3598,1778561134267338728
ecgclass,no_sharing_tpc,1.7888,975.2562,710.7923,703.4233,0.0031,1.0836,263.7043,0.0,264.4639,1778561134267338728
ecgclass,no_sharing_tpc,1.9116,852.5276,710.7923,703.4233,0.0031,1.0836,140.9626,0.0,141.7353,1778561134267338728
ecgclass,no_sharing_tpc,1.9269,837.2378,710.7923,703.4233,0.0031,1.0836,125.6454,0.0,126.4456,1778561134267338728
ecgclass,no_sharing_tpc,1.9372,826.9622,710.7923,703.4233,0.0031,1.0836,115.3297,0.0,116.17,1778561134267338728
ecgclass,no_sharing_tpc,1.9681,796.0327,710.7923,703.4233,0.0031,1.0836,84.3823,0.0,85.2404,1778561134267338728
ecgclass,no_sharing_tpc,2.0581,1984.7906,1277.837,1270.6525,0.0027,0.5872,706.2283,0.0,706.9535,1778561134979146578
ecgclass,no_sharing_tpc,2.0995,1943.4693,1277.837,1270.6525,0.0027,0.5872,664.8867,0.0,665.6322,1778561134979146578
ecgclass,no_sharing_tpc,2.2242,1818.8484,1277.837,1270.6525,0.0027,0.5872,540.1754,0.0,541.0113,1778561134979146578
ecgclass,no_sharing_tpc,2.2461,1796.9916,1277.837,1270.6525,0.0027,0.5872,518.2319,0.0,519.1545,1778561134979146578
ecgclass,no_sharing_tpc,2.4299,1613.2112,1277.837,1270.6525,0.0027,0.5872,334.4414,0.0,335.3741,1778561134979146578
ecgclass,no_sharing_tpc,2.5527,1490.5841,1277.837,1270.6525,0.0027,0.5872,211.6542,0.0,212.7471,1778561134979146578
ecgclass,no_sharing_tpc,2.6184,1424.9001,1277.837,1270.6525,0.0027,0.5872,145.9589,0.0,147.063,1778561134979146578
ecgclass,no_sharing_tpc,2.66,1383.3547,1277.837,1270.6525,0.0027,0.5872,104.3642,0.0,105.5176,1778561134979146578
ecgclass,no_sharing_tpc,2.7059,1337.419,1277.837,1270.6525,0.0027,0.5872,58.4204,0.0,59.582,1778561134979146578
ecgclass,no_sharing_tpc,2.7129,1330.4651,1277.837,1270.6525,0.0027,0.5872,51.4371,0.0,52.628,1778561134979146578
ecgclass,no_sharing_tpc,2.7315,1311.9023,1277.837,1270.6525,0.0027,0.5872,32.8577,0.0,34.0652,1778561134979146578
ecgclass,no_sharing_tpc,2.7997,3163.0814,1917.9321,1910.562,0.0032,0.3801,1244.1463,0.0,1245.1493,1778561136258633491
ecgclass,no_sharing_tpc,2.8387,3124.0656,1917.9321,1910.562,0.0032,0.3801,1205.1096,0.0,1206.1336,1778561136258633491
ecgclass,no_sharing_tpc,2.9647,2998.1117,1917.9321,1910.562,0.0032,0.3801,1079.1435,0.0,1080.1796,1778561136258633491
ecgclass,no_sharing_tpc,3.0365,2926.4612,1917.9321,1910.562,0.0032,0.3801,1007.374,0.0,1008.5291,1778561136258633491
ecgclass,no_sharing_tpc,3.0596,2903.3487,1917.9321,1910.562,0.0032,0.3801,984.2458,0.0,985.4166,1778561136258633491
