task,slot,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,slot_0:ecgclass,sharing,0.0001,362.6511,357.5467,342.5601,0.003,14.4535,4.5388,5.1044,1775860497361558674
ecgclass,slot_0:ecgclass,sharing,0.4816,61.0418,40.0309,26.9952,0.0013,11.9127,20.4582,21.0109,1775860497859005932
ecgclass,slot_0:ecgclass,sharing,0.9486,51.8689,26.6123,25.4503,0.0014,0.4791,24.7874,25.2566,1775860498330292078
ecgclass,slot_0:ecgclass,sharing,1.4255,45.022,24.8734,24.1248,0.0015,0.4724,19.7611,20.1486,1775860498802229530
ecgclass,slot_0:ecgclass,sharing,1.4816,29.4843,25.6972,25.0356,0.0013,0.4045,3.3753,3.7871,1775860498841964096
ecgclass,slot_0:ecgclass,sharing,1.499,43.0324,24.7703,24.1206,0.0012,0.3992,17.8587,18.2621,1775860498873795513
ecgclass,slot_0:ecgclass,sharing,1.7901,48.0413,35.982,25.6534,0.0013,9.6503,11.5566,12.0593,1775860499158593824
ecgclass,slot_0:ecgclass,sharing,2.0719,35.4383,25.4428,24.7386,0.0014,0.447,9.6126,9.9955,1775860499438426205
ecgclass,slot_0:ecgclass,sharing,2.6961,55.7373,25.6635,24.876,0.0015,0.2425,29.6226,30.0738,1775860500082630330
ecgclass,slot_0:ecgclass,sharing,2.7125,39.3932,25.6635,24.876,0.0015,0.2425,13.1958,13.7297,1775860500082630330
ecgclass,slot_0:ecgclass,sharing,2.9222,58.2952,26.3785,25.683,0.0013,0.2131,31.4915,31.9167,1775860500310626797
ecgclass,slot_0:ecgclass,sharing,2.9366,43.9417,26.3785,25.683,0.0013,0.2131,17.0653,17.5632,1775860500310626797
ecgclass,slot_0:ecgclass,sharing,3.1534,58.1324,36.7656,25.4387,0.0017,10.1833,20.8454,21.3668,1775860500531151156
ecgclass,slot_0:ecgclass,sharing,3.4994,49.0565,34.9178,25.6014,0.0014,8.1901,13.6051,14.1387,1775860500869944586
ecgclass,slot_0:ecgclass,sharing,3.5767,30.1886,25.9357,25.1584,0.0017,0.4537,3.7801,4.2529,1775860500937377635
ecgclass,slot_0:ecgclass,sharing,3.8237,30.2079,26.096,25.4094,0.0016,0.4163,3.5608,4.1119,1775860501184232372
ecgclass,slot_0:ecgclass,sharing,3.8537,84.595,36.9293,25.5841,0.0013,5.3323,47.0841,47.6656,1775860501257750532
ecgclass,slot_0:ecgclass,sharing,3.8731,65.213,36.9293,25.5841,0.0013,5.3323,27.6794,28.2836,1775860501257750532
ecgclass,slot_0:ecgclass,sharing,3.9354,33.7441,24.5689,23.906,0.0015,0.4106,8.7798,9.1752,1775860501301086771
ecgclass,slot_0:ecgclass,sharing,4.1163,80.7118,42.6204,26.0867,0.0015,15.3489,37.4565,38.0914,1775860501510720807
ecgclass,slot_0:ecgclass,sharing,4.1983,67.2908,24.6116,23.9106,0.0013,0.4436,42.2761,42.6792,1775860501597510998
ecgclass,slot_0:ecgclass,sharing,4.4481,42.9339,24.9889,24.3015,0.0013,0.424,17.535,17.945,1775860501822538338
ecgclass,slot_0:ecgclass,sharing,4.4921,35.9895,24.863,24.1383,0.0013,0.464,10.6208,11.1265,1775860501859645089
ecgclass,slot_0:ecgclass,sharing,4.8601,30.9601,25.4272,24.6428,0.002,0.4703,5.0285,5.5329,1775860502222084509
ecgclass,slot_0:ecgclass,sharing,5.1053,74.0244,35.4553,26.1403,0.0017,8.1598,37.9145,38.5692,1775860502500191450
ecgclass,slot_0:ecgclass,sharing,5.237,56.3638,26.5545,25.4049,0.0015,0.4436,29.3384,29.8094,1775860502623275908
ecgclass,slot_0:ecgclass,sharing,5.3205,39.9346,25.3941,24.6325,0.0013,0.4815,14.158,14.5405,1775860502691611680
ecgclass,slot_0:ecgclass,sharing,5.411,65.5951,29.7555,25.614,0.0013,1.9343,35.4137,35.8397,1775860502803336730
ecgclass,slot_0:ecgclass,sharing,5.4263,50.4582,29.7555,25.614,0.0013,1.9343,20.0927,20.7027,1775860502803336730
ecgclass,slot_0:ecgclass,sharing,5.4616,59.4053,28.4783,24.8531,0.0024,0.431,30.3967,30.9271,1775860502848907804
ecgclass,slot_0:ecgclass,sharing,5.5991,30.7412,25.6098,24.8502,0.0016,0.4521,4.7219,5.1314,1775860502960770848
ecgclass,slot_0:ecgclass,sharing,5.6774,64.575,25.1118,24.4089,0.0014,0.4324,39.0124,39.4632,1775860503073319034
ecgclass,slot_0:ecgclass,sharing,5.93,65.5241,34.6158,26.758,0.0015,6.7325,30.2374,30.9083,1775860503317159967
ecgclass,slot_0:ecgclass,sharing,6.0717,69.3614,25.6899,24.9278,0.0021,0.4658,43.1976,43.6715,1775860503471841950
ecgclass,slot_0:ecgclass,sharing,6.1193,62.3913,25.7253,24.9451,0.0018,0.4836,36.0756,36.666,1775860503512308916
ecgclass,slot_0:ecgclass,sharing,6.2109,43.6513,25.8579,25.1463,0.0016,0.451,17.4022,17.7935,1775860503585212935
ecgclass,slot_0:ecgclass,sharing,6.3409,50.5219,26.5399,25.4022,0.0014,0.4397,23.489,23.982,1775860503721289488
ecgclass,slot_0:ecgclass,sharing,6.4085,49.7754,25.5639,24.8694,0.0014,0.4218,23.6998,24.2115,1775860503789135812
ecgclass,slot_0:ecgclass,sharing,6.4725,71.4774,29.3484,24.9677,0.0013,3.182,41.609,42.129,1775860503871012643
ecgclass,slot_0:ecgclass,sharing,6.648,55.2971,39.867,26.0904,0.0015,13.0092,14.8535,15.4301,1775860504019747292
ecgclass,slot_0:ecgclass,sharing,6.7075,69.881,30.5045,25.0765,0.0014,4.7295,38.9166,39.3765,1775860504103340643
ecgclass,slot_0:ecgclass,sharing,6.9742,30.7527,25.6847,24.921,0.0018,0.4828,4.626,5.068,1775860504335792100
ecgclass,slot_0:ecgclass,sharing,7.2524,51.6889,25.0637,24.3255,0.0015,0.4656,26.1734,26.6252,1775860504635504752
ecgclass,slot_0:ecgclass,sharing,7.4692,29.4039,25.3509,24.6319,0.0016,0.4589,3.6755,4.053,1775860504829797965
ecgclass,slot_0:ecgclass,sharing,7.4845,51.733,26.4285,25.2579,0.0018,0.4255,24.6198,25.3045,1775860504866082945
ecgclass,slot_0:ecgclass,sharing,7.7114,57.0827,28.7182,25.7177,0.0015,1.8419,27.8766,28.3644,1775860505096230926
ecgclass,slot_0:ecgclass,sharing,7.9828,43.6018,26.6934,25.4857,0.0021,0.4832,16.2528,16.9084,1775860505356045236
ecgclass,slot_0:ecgclass,sharing,8.206,32.023,26.5102,25.6734,0.0025,0.4951,5.0282,5.5128,1775860505567937339
ecgclass,slot_0:ecgclass,sharing,8.2621,47.899,25.8148,25.0106,0.002,0.478,21.5783,22.0842,1775860505640646582
ecgclass,slot_0:ecgclass,sharing,8.3262,52.0158,25.9574,25.1768,0.0018,0.4701,25.6076,26.0584,1775860505708707103
ecgclass,slot_0:ecgclass,sharing,8.3601,54.8642,26.9601,25.7956,0.0018,0.4354,27.3373,27.904,1775860505744362414
ecgclass,slot_0:ecgclass,sharing,8.4301,76.8473,41.7123,26.7264,0.0014,7.1127,34.5063,35.135,1775860505821504916
ecgclass,slot_0:ecgclass,sharing,8.4344,72.5367,41.7123,26.7264,0.0014,7.1127,30.1719,30.8244,1775860505821504916
ecgclass,slot_0:ecgclass,sharing,8.469,80.7557,29.3779,25.8975,0.0016,0.9245,50.8778,51.3778,1775860505876864904
ecgclass,slot_0:ecgclass,sharing,8.7315,68.7435,27.4544,26.2374,0.0025,0.5066,40.7825,41.2891,1775860506129193092
ecgclass,slot_0:ecgclass,sharing,9.5305,29.4228,25.6927,24.9371,0.0017,0.4588,3.3085,3.7301,1775860506890744749
ecgclass,slot_0:ecgclass,sharing,9.6428,29.8007,25.8697,25.0937,0.0019,0.4772,3.5195,3.931,1775860507003272581
ecgclass,slot_0:ecgclass,sharing,9.6994,61.6465,40.7448,25.9877,0.0019,13.4882,20.2911,20.9016,1775860507076598015
ecgclass,slot_0:ecgclass,sharing,9.7801,54.2946,25.0456,24.312,0.0015,0.4681,28.8472,29.249,1775860507165934793
ecgclass,slot_0:ecgclass,sharing,9.8519,70.3955,34.2868,25.5695,0.0018,0.2138,35.5189,36.1087,1775860507244322556
ecgclass,slot_0:ecgclass,sharing,9.8771,45.198,34.2868,25.5695,0.0018,0.2138,10.3128,10.9111,1775860507244322556
ecgclass,slot_0:ecgclass,sharing,10.0945,41.1797,25.037,24.2686,0.0018,0.4895,15.6965,16.1426,1775860507467113888
ecgclass,slot_0:ecgclass,sharing,10.3699,31.868,25.6652,24.8126,0.0022,0.5076,5.6829,6.2028,1775860507732487643
ecgclass,slot_0:ecgclass,sharing,10.6709,32.6569,25.2351,24.4563,0.0018,0.4974,6.9916,7.4218,1775860508034789769
ecgclass,slot_0:ecgclass,sharing,11.7324,70.1804,44.1284,25.7996,0.002,16.2566,25.4557,26.052,1775860509114840987
ecgclass,slot_0:ecgclass,sharing,12.1547,29.6431,25.5196,24.7988,0.0016,0.4525,3.561,4.1235,1775860509515177175
ecgclass,slot_0:ecgclass,sharing,12.4835,56.4463,37.8981,25.7086,0.0015,11.0559,17.8916,18.5482,1775860509858324780
ecgclass,slot_0:ecgclass,sharing,12.6918,61.3816,26.9188,25.219,0.0018,0.507,33.8814,34.4628,1775860510082667187
ecgclass,slot_0:ecgclass,sharing,12.8104,33.139,26.0589,25.2486,0.002,0.5015,6.6285,7.0801,1775860510173930609
ecgclass,slot_0:ecgclass,sharing,12.8208,76.1862,35.321,26.2258,0.0016,0.4307,40.2117,40.8652,1775860510217940269
ecgclass,slot_0:ecgclass,sharing,13.0111,33.3905,25.1054,24.3316,0.0015,0.4752,7.8275,8.2851,1775860510375908893
ecgclass,slot_0:ecgclass,sharing,13.1345,34.6689,25.8995,25.0746,0.0021,0.4928,8.2567,8.7694,1775860510499654594
ecgclass,slot_0:ecgclass,sharing,13.4378,34.5304,25.5396,24.6886,0.0025,0.5029,8.4355,8.9908,1775860510803177000
ecgclass,slot_0:ecgclass,sharing,13.8423,52.5591,25.3904,24.6633,0.0016,0.4295,26.7198,27.1687,1775860511225999824
ecgclass,slot_0:ecgclass,sharing,13.909,80.8072,34.8667,25.7681,0.0017,4.1827,45.4903,45.9405,1775860511311435496
ecgclass,slot_0:ecgclass,sharing,13.9194,70.6081,34.8667,25.7681,0.0017,4.1827,35.1412,35.7414,1775860511311435496
ecgclass,slot_0:ecgclass,sharing,14.103,75.161,27.3904,25.7405,0.0016,0.4087,47.2398,47.7706,1775860511507214466
ecgclass,slot_0:ecgclass,sharing,14.6137,39.7429,25.8575,24.5904,0.0017,0.9748,13.4311,13.8855,1775860511984064086
ecgclass,slot_0:ecgclass,sharing,14.7783,33.1235,25.6593,24.8418,0.0021,0.4959,6.9828,7.4642,1775860512142215672
ecgclass,slot_0:ecgclass,sharing,15.2046,60.8356,34.9716,26.6301,0.0024,7.5976,25.2659,25.864,1775860512586773913
ecgclass,slot_0:ecgclass,sharing,15.355,35.1532,26.2112,25.3673,0.0025,0.5034,8.4457,8.942,1775860512720409894
ecgclass,slot_0:ecgclass,sharing,15.6182,52.8128,26.4816,25.5879,0.003,0.522,25.8024,26.3312,1775860513000961001
ecgclass,slot_0:ecgclass,sharing,15.6761,44.0772,28.0564,26.2308,0.0026,0.4573,15.3835,16.0207,1775860513048456613
ecgclass,slot_0:ecgclass,sharing,15.7029,58.0537,27.2588,26.0282,0.0025,0.4392,30.1688,30.7949,1775860513090017763
ecgclass,slot_0:ecgclass,sharing,15.7313,72.0544,27.3476,26.2943,0.0034,0.3281,43.9315,44.7068,1775860513132192074
ecgclass,slot_0:ecgclass,sharing,15.7547,48.6677,27.3476,26.2943,0.0034,0.3281,20.5319,21.3201,1775860513132192074
ecgclass,slot_0:ecgclass,sharing,15.765,84.5611,27.5876,26.2385,0.0032,0.4716,56.2456,56.9735,1775860513178235714
ecgclass,slot_0:ecgclass,sharing,16.109,35.5558,26.5266,25.645,0.0027,0.5384,8.5502,9.0293,1775860513474515284
ecgclass,slot_0:ecgclass,sharing,16.1985,38.7802,25.7033,24.9118,0.0019,0.4758,12.5272,13.0769,1775860513568011300
ecgclass,slot_0:ecgclass,sharing,16.2754,34.9138,26.6368,25.8097,0.0022,0.5059,7.7732,8.277,1775860513640165675
ecgclass,slot_0:ecgclass,sharing,16.463,62.9432,26.4068,25.6273,0.002,0.4651,36.0718,36.5364,1775860513855972751
ecgclass,slot_0:ecgclass,sharing,16.4998,66.8323,26.9767,25.7579,0.002,0.4767,39.2487,39.8556,1775860513896022206
ecgclass,slot_0:ecgclass,sharing,16.8853,80.9326,26.4021,25.2736,0.0019,0.4546,54.0071,54.5305,1775860514296288815
ecgclass,slot_0:ecgclass,sharing,17.143,51.0304,25.4095,24.6302,0.0017,0.4881,25.1322,25.6209,1775860514525094831
ecgclass,slot_0:ecgclass,sharing,17.2082,74.5068,27.4111,26.2095,0.0018,0.4611,46.5422,47.0957,1775860514611643833
ecgclass,slot_0:ecgclass,sharing,17.2485,97.2703,44.2609,26.2794,0.0016,0.4537,52.2144,53.0093,1775860514657674024
ecgclass,slot_0:ecgclass,sharing,17.3559,81.0449,25.9987,25.1859,0.0022,0.4965,54.58,55.0462,1775860514767394585
ecgclass,slot_0:ecgclass,sharing,17.4156,68.351,26.7439,25.9528,0.0019,0.2223,41.0805,41.6072,1775860514813632232
ecgclass,slot_0:ecgclass,sharing,17.431,52.9907,26.7439,25.9528,0.0019,0.2223,25.6655,26.2468,1775860514813632232
