task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,172.7166,170.993,168.0178,0.0028,2.1963,1.2543,0.0,1.7236,1777564970357328275
ecgclass,no_sharing,2.4054,25.5978,24.0955,23.0781,0.0022,0.4417,0.9661,0.0,1.5023,1777564972762288192
ecgclass,no_sharing,4.7412,25.6283,24.1052,23.0895,0.0025,0.4254,0.9396,0.0,1.5231,1777564975098112089
ecgclass,no_sharing,7.1261,25.6362,24.0538,23.0334,0.002,0.4189,0.9565,0.0,1.5824,1777564977482986287
ecgclass,no_sharing,7.4053,25.7006,24.2383,23.2058,0.0025,0.4439,0.8864,0.0,1.4622,1777564977762102684
ecgclass,no_sharing,7.4922,25.4815,23.9587,22.9524,0.0026,0.4242,0.9146,0.0,1.5228,1777564977849043798
ecgclass,no_sharing,8.945,25.5654,24.0274,22.9954,0.0024,0.4159,0.9379,0.0,1.538,1777564979301913121
ecgclass,no_sharing,10.3562,25.6417,24.0829,23.0132,0.0023,0.4463,0.9801,0.0,1.5587,1777564980713084115
ecgclass,no_sharing,13.4789,25.687,24.081,23.0441,0.0027,0.4233,0.968,0.0,1.606,1777564983835818675
ecgclass,no_sharing,13.5587,42.2876,40.8076,39.5533,0.0024,0.6184,0.8647,0.0,1.48,1777564983915499107
ecgclass,no_sharing,14.606,25.6796,24.1856,23.1407,0.0025,0.4376,0.8867,0.0,1.494,1777564984962792568
ecgclass,no_sharing,14.6755,25.6338,24.154,23.1555,0.0026,0.4488,0.8383,0.0,1.4798,1777564985032268187
ecgclass,no_sharing,15.7642,28.2567,26.6332,25.6121,0.0025,0.4205,1.0679,0.0,1.6235,1777564986121142082
ecgclass,no_sharing,17.4954,25.7299,24.2039,23.1738,0.0025,0.4447,0.9358,0.0,1.526,1777564987852258735
ecgclass,no_sharing,17.8836,25.4948,23.9957,23.0033,0.002,0.4321,0.9339,0.0,1.4991,1777564988240480224
ecgclass,no_sharing,19.1146,25.5721,24.0145,22.9672,0.0027,0.4482,0.9372,0.0,1.5576,1777564989471447091
ecgclass,no_sharing,19.2675,25.5816,24.0461,23.0247,0.0024,0.4519,0.9267,0.0,1.5355,1777564989624354937
ecgclass,no_sharing,19.3593,25.4614,23.9942,22.9689,0.002,0.4249,0.8535,0.0,1.4672,1777564989716092513
ecgclass,no_sharing,19.6747,25.8665,24.2925,23.2492,0.0022,0.4178,0.9501,0.0,1.574,1777564990031595705
ecgclass,no_sharing,20.5756,27.1599,25.6486,24.6606,0.0021,0.4191,0.9229,0.0,1.5113,1777564990932392768
ecgclass,no_sharing,20.9888,25.9919,24.4855,23.021,0.0022,0.8709,0.9227,0.0,1.5064,1777564991345634634
ecgclass,no_sharing,22.2359,33.3798,31.7952,29.1098,0.0024,2.0709,0.9322,0.0,1.5846,1777564992592778533
ecgclass,no_sharing,22.46,25.5919,24.0187,22.9786,0.0022,0.415,0.9711,0.0,1.5731,1777564992816902251
ecgclass,no_sharing,24.2979,31.7135,30.1541,27.5065,0.0025,2.0517,0.9439,0.0,1.5594,1777564994654767441
