task,slot,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,slot_0:ecgclass,single_ecgclass,0.0,39.9532,24.1384,23.3795,0.0013,0.4663,15.3906,15.8148,1776037423304984311
ecgclass,slot_0:ecgclass,single_ecgclass,0.0611,32.6607,24.1076,23.3584,0.0013,0.4751,8.1637,8.5531,1776037423358806716
ecgclass,slot_0:ecgclass,single_ecgclass,0.1189,31.3997,24.1474,23.394,0.0013,0.4779,6.8781,7.2523,1776037423415284332
ecgclass,slot_0:ecgclass,single_ecgclass,0.1783,33.1159,24.4506,23.6672,0.0015,0.4907,8.3055,8.6652,1776037423476209284
ecgclass,slot_0:ecgclass,single_ecgclass,0.1856,80.1003,33.5795,24.8706,0.0013,4.2145,46.1142,46.5208,1776037423521304810
ecgclass,slot_0:ecgclass,single_ecgclass,0.1879,77.8608,33.5795,24.8706,0.0013,4.2145,43.8042,44.2814,1776037423521304810
ecgclass,slot_0:ecgclass,single_ecgclass,0.2256,81.8422,26.8687,26.0811,0.0013,0.2433,54.5766,54.9735,1776037423569698049
ecgclass,slot_0:ecgclass,single_ecgclass,0.2599,47.6112,26.8687,26.0811,0.0013,0.2433,20.2777,20.7426,1776037423569698049
ecgclass,slot_0:ecgclass,single_ecgclass,0.3376,32.2132,24.7854,23.9685,0.0013,0.5121,7.0667,7.4278,1776037423634196463
ecgclass,slot_0:ecgclass,single_ecgclass,0.3399,83.2078,34.1968,33.2747,0.0014,0.1947,48.5668,49.011,1776037423678003460
ecgclass,slot_0:ecgclass,single_ecgclass,0.3672,55.9783,34.1968,33.2747,0.0014,0.1947,21.2288,21.7815,1776037423678003460
ecgclass,slot_0:ecgclass,single_ecgclass,0.3672,55.9676,34.1968,33.2747,0.0014,0.1947,21.2109,21.7707,1776037423678003460
ecgclass,slot_0:ecgclass,single_ecgclass,0.3949,71.2578,24.5704,23.8273,0.0012,0.4656,46.2999,46.6874,1776037423730743286
ecgclass,slot_0:ecgclass,single_ecgclass,0.4383,70.0285,27.2464,26.5063,0.0013,0.2239,42.3188,42.7822,1776037423770176079
ecgclass,slot_0:ecgclass,single_ecgclass,0.4486,59.7649,27.2464,26.5063,0.0013,0.2239,32.0077,32.5185,1776037423770176079
ecgclass,slot_0:ecgclass,single_ecgclass,0.4782,88.8109,45.3346,44.4577,0.0014,0.1363,43.0357,43.4763,1776037423810833783
ecgclass,slot_0:ecgclass,single_ecgclass,0.4826,84.6324,45.3346,44.4577,0.0014,0.1363,38.7237,39.2978,1776037423810833783
ecgclass,slot_0:ecgclass,single_ecgclass,0.485,82.1965,45.3346,44.4577,0.0014,0.1363,36.2804,36.8618,1776037423810833783
ecgclass,slot_0:ecgclass,single_ecgclass,0.4924,74.8427,45.3346,44.4577,0.0014,0.1363,28.8711,29.508,1776037423810833783
ecgclass,slot_0:ecgclass,single_ecgclass,0.5155,121.6016,46.6163,45.8409,0.0014,0.1139,74.5432,74.9853,1776037423879573648
ecgclass,slot_0:ecgclass,single_ecgclass,0.5258,111.5463,46.6163,45.8409,0.0014,0.1139,64.2526,64.93,1776037423879573648
ecgclass,slot_0:ecgclass,single_ecgclass,0.5561,81.2395,46.6163,45.8409,0.0014,0.1139,33.9377,34.6232,1776037423879573648
ecgclass,slot_0:ecgclass,single_ecgclass,0.5624,74.9538,46.6163,45.8409,0.0014,0.1139,27.6411,28.3375,1776037423879573648
ecgclass,slot_0:ecgclass,single_ecgclass,0.6084,78.1119,29.5975,28.7993,0.0013,0.247,48.1203,48.5144,1776037423946027149
ecgclass,slot_0:ecgclass,single_ecgclass,0.6384,48.1122,29.5975,28.7993,0.0013,0.247,18.0542,18.5146,1776037423946027149
ecgclass,slot_0:ecgclass,single_ecgclass,0.6547,104.6233,60.0023,58.8516,0.0014,0.1618,44.0183,44.6211,1776037423988281494
ecgclass,slot_0:ecgclass,single_ecgclass,0.666,93.632,60.0023,58.8516,0.0014,0.1618,32.721,33.6297,1776037423988281494
ecgclass,slot_0:ecgclass,single_ecgclass,0.6773,82.3505,60.0023,58.8516,0.0014,0.1618,21.431,22.3482,1776037423988281494
ecgclass,slot_0:ecgclass,single_ecgclass,0.6786,81.075,60.0023,58.8516,0.0014,0.1618,20.1504,21.0727,1776037423988281494
ecgclass,slot_0:ecgclass,single_ecgclass,0.6828,76.812,60.0023,58.8516,0.0014,0.1618,15.8832,16.8098,1776037423988281494
