task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth__app1,sharing,0.0002,29.7709,22.9546,21.1791,0.0056,0.7178,2.9514,0.0,6.8163,1778789342718691050
nyudepth__app1,sharing,0.4816,40.0677,20.382,18.4319,0.0033,1.0652,16.7377,0.0,19.6856,1778789343213747469
nyudepth__app1,sharing,0.9484,212.6029,150.4865,146.0639,0.003,2.234,54.7218,0.0,62.1164,1778789343718646852
nyudepth__app1,sharing,1.4254,35.9414,18.4279,16.2006,0.004,1.2089,12.0378,0.0,17.5135,1778789344152932802
nyudepth__app1,sharing,1.4818,141.4263,126.9521,121.6322,0.0026,3.5199,5.1341,0.0,14.4743,1778789344202356485
nyudepth__app1,sharing,1.4984,397.5918,264.9933,254.9532,0.002,7.6708,116.9522,0.0,132.5985,1778789344330850289
nyudepth__app1,sharing,1.7891,186.7177,99.651,95.1233,0.0025,2.1356,83.7936,0.0,87.0667,1778789344588372268
nyudepth__app1,sharing,2.0715,116.6763,57.0298,54.791,0.004,1.1342,55.2502,0.0,59.6466,1778789344842260253
nyudepth__app1,sharing,2.6962,238.1966,164.9162,63.7762,0.0026,49.6469,64.0349,0.0,73.2804,1778789345475694424
nyudepth__app1,sharing,2.7124,224.2911,164.9162,63.7762,0.0026,49.6469,47.8518,0.0,59.3749,1778789345475694424
nyudepth__app1,sharing,2.9212,146.5118,72.5345,68.5912,0.0042,1.0911,68.7685,0.0,73.9773,1778789345705458755
nyudepth__app1,sharing,2.9355,136.2581,72.5345,68.5912,0.0042,1.0911,54.4586,0.0,63.7236,1778789345705458755
nyudepth__app1,sharing,3.1538,113.6394,97.5952,86.3486,0.0024,7.34,9.038,0.0,16.0442,1778789345878323297
nyudepth__app1,sharing,3.5001,98.747,52.8371,49.1185,0.0028,2.4871,40.5016,0.0,45.9099,1778789346256078443
nyudepth__app1,sharing,3.5781,67.4706,50.4773,47.1743,0.0031,2.251,13.5937,0.0,16.9933,1778789346307195492
nyudepth__app1,sharing,3.8236,216.6789,173.6342,162.4559,0.0016,4.6648,37.6375,0.0,43.0446,1778789346576675699
nyudepth__app1,sharing,3.8543,372.5564,196.3921,83.7644,0.0029,37.1933,173.6636,0.0,176.1644,1778789346743422357
nyudepth__app1,sharing,3.8721,356.8413,196.3921,83.7644,0.0029,37.1933,155.8943,0.0,160.4492,1778789346743422357
nyudepth__app1,sharing,3.9355,295.5117,196.3921,83.7644,0.0029,37.1933,92.4819,0.0,99.1196,1778789346743422357
nyudepth__app1,sharing,4.1153,165.3225,75.0559,71.7137,0.003,1.0898,87.2688,0.0,90.2666,1778789346918068710
nyudepth__app1,sharing,4.1981,84.6751,75.0559,71.7137,0.003,1.0898,4.4999,0.0,9.6191,1778789346918068710
nyudepth__app1,sharing,4.4473,48.9588,25.0915,23.0913,0.0032,0.8944,20.1883,0.0,23.8673,1778789347182957522
nyudepth__app1,sharing,4.4937,201.6449,91.6657,87.5016,0.0016,1.6855,106.0541,0.0,109.9792,1778789347315190527
nyudepth__app1,sharing,4.8604,183.64,120.258,114.9249,0.0022,3.471,48.7137,0.0,63.382,1778789347624583620
nyudepth__app1,sharing,5.1057,141.7367,93.211,80.1889,0.0037,10.5443,45.604,0.0,48.5257,1778789347866736068
nyudepth__app1,sharing,5.2364,155.1719,87.722,74.9972,0.0025,10.3238,64.7933,0.0,67.4499,1778789348016659991
nyudepth__app1,sharing,5.3198,147.8307,78.6385,74.9652,0.0017,2.0749,60.2949,0.0,69.1923,1778789348095566519
nyudepth__app1,sharing,5.4109,159.6916,106.6461,102.4858,0.0017,1.1525,48.346,0.0,53.0455,1778789348174720784
nyudepth__app1,sharing,5.4276,144.7368,106.6461,102.4858,0.0017,1.1525,31.6236,0.0,38.0907,1778789348174720784
nyudepth__app1,sharing,5.4621,335.722,220.2516,213.1193,0.0025,4.3153,104.6767,0.0,115.4704,1778789348282531031
nyudepth__app1,sharing,5.599,402.9179,189.6844,183.7051,0.0026,1.4612,189.0845,0.0,213.2334,1778789348503600700
nyudepth__app1,sharing,5.6772,328.5248,189.6844,183.7051,0.0026,1.4612,110.9195,0.0,138.8404,1778789348503600700
nyudepth__app1,sharing,5.9299,291.1336,232.7821,227.3366,0.0023,3.6176,49.0007,0.0,58.3515,1778789348694368876
nyudepth__app1,sharing,6.0717,455.3461,299.5732,294.5854,0.0024,1.4758,142.2057,0.0,155.7729,1778789348929373280
nyudepth__app1,sharing,6.1191,410.2817,299.5732,294.5854,0.0024,1.4758,94.7666,0.0,110.7085,1778789348929373280
nyudepth__app1,sharing,6.2111,843.4319,534.3593,470.9582,0.0028,12.6605,306.1416,0.0,309.0727,1778789349232688230
nyudepth__app1,sharing,6.3395,717.0956,534.3593,470.9582,0.0028,12.6605,177.7194,0.0,182.7363,1778789349232688230
nyudepth__app1,sharing,6.4083,650.4638,534.3593,470.9582,0.0028,12.6605,108.8812,0.0,116.1046,1778789349232688230
nyudepth__app1,sharing,6.4728,588.2621,534.3593,470.9582,0.0028,12.6605,44.4603,0.0,53.9028,1778789349232688230
nyudepth__app1,sharing,6.6489,790.9791,428.5742,421.845,0.0012,1.4181,352.386,0.0,362.4049,1778789349716718818
nyudepth__app1,sharing,6.7076,735.8315,428.5742,421.845,0.0012,1.4181,293.6177,0.0,307.2573,1778789349716718818
nyudepth__app1,sharing,6.9749,471.6518,428.5742,421.845,0.0012,1.4181,26.372,0.0,43.0776,1778789349716718818
nyudepth__app1,sharing,7.2532,559.0906,362.3106,355.3554,0.0035,5.2987,178.3981,0.0,196.78,1778789350147109137
nyudepth__app1,sharing,7.4691,703.8014,366.1912,343.4363,0.0017,4.5463,325.9747,0.0,337.6102,1778789350510639347
nyudepth__app1,sharing,7.4841,691.2699,366.1912,343.4363,0.0017,4.5463,311.0552,0.0,325.0786,1778789350510639347
nyudepth__app1,sharing,7.7107,467.407,366.1912,343.4363,0.0017,4.5463,84.4462,0.0,101.2157,1778789350510639347
nyudepth__app1,sharing,7.9816,417.6271,234.9494,228.8538,0.0015,4.2251,163.517,0.0,182.6777,1778789350860628105
nyudepth__app1,sharing,8.2073,423.7084,246.9715,240.0961,0.0027,0.9752,173.3685,0.0,176.7369,1778789351096120602
nyudepth__app1,sharing,8.2626,370.2683,246.9715,240.0961,0.0027,0.9752,118.0043,0.0,123.2968,1778789351096120602
nyudepth__app1,sharing,8.3278,307.8842,246.9715,240.0961,0.0027,0.9752,52.8266,0.0,60.9127,1778789351096120602
nyudepth__app1,sharing,8.3599,277.5502,246.9715,240.0961,0.0027,0.9752,20.7481,0.0,30.5787,1778789351096120602
nyudepth__app1,sharing,8.4303,336.6592,139.9249,121.6643,0.0026,4.5067,193.9461,0.0,196.7343,1778789351339773705
nyudepth__app1,sharing,8.4346,334.6593,139.9249,121.6643,0.0026,4.5067,189.6882,0.0,194.7344,1778789351339773705
nyudepth__app1,sharing,8.4678,303.6346,139.9249,121.6643,0.0026,4.5067,156.4724,0.0,163.7097,1778789351339773705
nyudepth__app1,sharing,8.7308,94.1582,73.3238,69.9447,0.002,1.7715,17.5776,0.0,20.8344,1778789351463849210
nyudepth__app1,sharing,9.5309,66.1147,55.0848,46.7764,0.002,3.9912,8.6217,0.0,11.0299,1778789352254956126
nyudepth__app1,sharing,9.6432,44.4269,32.2458,30.5505,0.0031,0.7632,8.359,0.0,12.1811,1778789352367028487
nyudepth__app1,sharing,9.6998,166.4381,96.0833,80.9253,0.0014,4.9417,64.3053,0.0,70.3548,1778789352479588223
nyudepth__app1,sharing,9.7791,229.9635,150.3108,146.5886,0.0019,2.4432,70.5316,0.0,79.6527,1778789352565143486
nyudepth__app1,sharing,9.8521,356.5333,195.267,145.0958,0.0018,10.8023,148.7775,0.0,161.2663,1778789352716295370
nyudepth__app1,sharing,9.8775,333.1568,195.267,145.0958,0.0018,10.8023,123.3265,0.0,137.8898,1778789352716295370
nyudepth__app1,sharing,10.0939,362.2863,272.7647,266.7725,0.0018,2.3401,79.3893,0.0,89.5216,1778789352888805832
nyudepth__app1,sharing,10.3696,435.0882,353.0429,346.2402,0.0014,3.9244,78.6211,0.0,82.0453,1778789353163665041
nyudepth__app1,sharing,10.6709,322.4726,185.0411,172.7489,0.0028,8.101,130.054,0.0,137.4315,1778789353516475721
nyudepth__app1,sharing,11.7333,23.6859,17.8038,15.7523,0.0028,1.0902,2.8021,0.0,5.8821,1778789354451567443
nyudepth__app1,sharing,12.1542,32.4404,18.8742,17.0183,0.0031,0.8918,10.5147,0.0,13.5663,1778789354880211956
nyudepth__app1,sharing,12.4836,132.4122,93.1413,86.5303,0.0017,5.1425,28.048,0.0,39.2709,1778789355227109396
nyudepth__app1,sharing,12.6915,25.7444,19.8676,18.2847,0.0028,0.7225,2.8644,0.0,5.8769,1778789355409857340
nyudepth__app1,sharing,12.8103,158.9952,107.0399,103.217,0.0016,1.1252,42.5594,0.0,51.9553,1778789355568297862
nyudepth__app1,sharing,12.8194,152.0376,107.0399,103.217,0.0016,1.1252,33.4635,0.0,44.9978,1778789355568297862
