task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth__app1,no_sharing,0.0001,89.6626,84.0504,78.6221,0.0025,4.7438,2.624,0.0,5.6121,1778783582398849774
nyudepth__app1,no_sharing,0.4824,22.3613,17.451,16.2714,0.0021,0.6287,2.0125,0.0,4.9102,1778783582880478110
nyudepth__app1,no_sharing,0.9492,28.559,23.2338,22.1227,0.0021,0.5565,2.7177,0.0,5.3252,1778783583347988869
nyudepth__app1,no_sharing,1.426,21.6184,16.724,15.431,0.0021,0.6454,2.0487,0.0,4.8944,1778783583824105168
nyudepth__app1,no_sharing,1.4827,26.6564,21.9515,20.8298,0.0021,0.5972,1.8506,0.0,4.7049,1778783583880690655
nyudepth__app1,no_sharing,1.4987,31.1084,17.5601,16.5123,0.0019,0.5427,11.049,0.0,13.5483,1778783583905802359
nyudepth__app1,no_sharing,1.79,21.5156,16.6729,15.4172,0.0089,0.6191,2.0218,0.0,4.8427,1778783584188119050
nyudepth__app1,no_sharing,2.0713,21.7566,16.9605,15.8977,0.0017,0.5485,2.0545,0.0,4.7962,1778783584469464281
nyudepth__app1,no_sharing,2.6965,25.3043,20.6562,19.4142,0.0021,0.6092,1.8845,0.0,4.6481,1778783585094495981
nyudepth__app1,no_sharing,2.7124,30.0608,18.2278,17.1569,0.0026,0.5481,9.2595,0.0,11.833,1778783585117786029
nyudepth__app1,no_sharing,2.9213,22.8877,17.4384,16.2288,0.0019,0.5992,2.7659,0.0,5.4493,1778783585320178002
nyudepth__app1,no_sharing,2.937,26.2001,16.5495,15.4833,0.0018,0.5498,7.0732,0.0,9.6506,1778783585340194165
nyudepth__app1,no_sharing,3.1531,38.0771,33.1839,31.7247,0.0022,0.8427,1.8637,0.0,4.8932,1778783585551054143
nyudepth__app1,no_sharing,3.4993,21.513,16.8588,15.7252,0.0023,0.526,2.0151,0.0,4.6542,1778783585897389918
nyudepth__app1,no_sharing,3.5783,22.6684,18.0428,16.8504,0.0027,0.5478,1.9298,0.0,4.6256,1778783585976328343
nyudepth__app1,no_sharing,3.8234,44.9014,40.3676,39.032,0.0033,0.638,1.9648,0.0,4.5338,1778783586221439586
nyudepth__app1,no_sharing,3.8543,37.3597,20.798,19.7449,0.002,0.5138,14.065,0.0,16.5617,1778783586264463176
nyudepth__app1,no_sharing,3.8724,41.3949,19.3992,18.4044,0.0025,0.497,19.1531,0.0,21.9958,1778783586287676720
nyudepth__app1,no_sharing,3.935,22.3517,17.0491,16.0543,0.0024,0.5481,2.6538,0.0,5.3026,1778783586333728310
nyudepth__app1,no_sharing,4.1161,35.5253,29.7405,28.195,0.0027,0.8426,3.1035,0.0,5.7849,1778783586515291559
nyudepth__app1,no_sharing,4.1978,21.4875,16.8242,15.7267,0.002,0.6009,1.9264,0.0,4.6633,1778783586595853874
nyudepth__app1,no_sharing,4.4484,21.9142,16.7267,15.3691,0.0027,0.6734,2.1956,0.0,5.1875,1778783586846661631
nyudepth__app1,no_sharing,4.4921,62.6118,57.051,54.0919,0.0031,2.126,2.8224,0.0,5.5608,1778783586891020419
nyudepth__app1,no_sharing,4.8605,26.5775,20.6794,17.9171,0.0021,2.0941,2.9399,0.0,5.8981,1778783587259589965
nyudepth__app1,no_sharing,5.1053,26.4091,21.7842,20.5796,0.0024,0.5805,1.9248,0.0,4.6249,1778783587503311417
nyudepth__app1,no_sharing,5.2361,38.5337,33.6031,30.7983,0.0025,2.1171,1.9753,0.0,4.9306,1778783587634211910
nyudepth__app1,no_sharing,5.3199,22.4845,17.7391,15.9883,0.0032,0.7644,1.9801,0.0,4.7455,1778783587718006032
nyudepth__app1,no_sharing,5.4112,35.8582,31.0027,28.1975,0.0021,2.1409,2.0847,0.0,4.8554,1778783587809373596
nyudepth__app1,no_sharing,5.4274,41.6176,19.4804,18.2674,0.0024,0.6161,19.5491,0.0,22.1372,1778783587843019974
nyudepth__app1,no_sharing,5.4635,29.1529,21.1935,19.6834,0.0017,0.5471,5.3477,0.0,7.9594,1778783587864950770
nyudepth__app1,no_sharing,5.599,27.4763,21.7288,16.7402,0.0025,4.3546,1.9295,0.0,5.7476,1778783587997019581
nyudepth__app1,no_sharing,5.6768,28.0104,22.2613,17.3621,0.0029,4.3737,1.9794,0.0,5.7491,1778783588074827501
nyudepth__app1,no_sharing,5.9296,21.2634,16.6439,15.5893,0.0025,0.5475,1.9715,0.0,4.6195,1778783588327643660
nyudepth__app1,no_sharing,6.0719,22.8245,17.2327,15.822,0.0027,0.76,2.6066,0.0,5.5918,1778783588470578761
nyudepth__app1,no_sharing,6.1189,28.1477,23.4328,20.6705,0.0022,2.148,1.9679,0.0,4.7149,1778783588516930403
nyudepth__app1,no_sharing,6.2107,21.7769,17.0902,15.9371,0.0019,0.5725,1.9073,0.0,4.6867,1778783588608714460
nyudepth__app1,no_sharing,6.3393,48.732,43.9638,36.5303,0.0031,6.7671,1.9033,0.0,4.7683,1778783588737268406
nyudepth__app1,no_sharing,6.4083,47.2763,42.5541,39.6785,0.0022,2.2181,1.9257,0.0,4.7222,1778783588806399334
nyudepth__app1,no_sharing,6.4729,23.7463,18.3595,17.1263,0.0021,0.6114,2.5661,0.0,5.3868,1778783588871517473
nyudepth__app1,no_sharing,6.6489,21.3566,16.5313,15.3519,0.002,0.5881,2.0852,0.0,4.8252,1778783589047082642
nyudepth__app1,no_sharing,6.708,48.6443,42.9405,41.4522,0.0029,0.7299,3.0408,0.0,5.7038,1778783589107207392
