task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,64.5504,60.0742,57.5672,0.0033,1.8822,1.6589,0.0,4.4762,1778781603748587803
nyudepth,no_sharing,1.2027,34.4939,29.8312,28.7489,0.0029,0.5036,1.9355,0.0,4.6627,1778781604951504351
nyudepth,no_sharing,2.3715,35.347,30.6622,28.6954,0.0029,1.4061,1.9038,0.0,4.6848,1778781606120311620
nyudepth,no_sharing,3.5636,34.2801,29.7133,28.7111,0.0034,0.5234,1.8601,0.0,4.5668,1778781607312347092
nyudepth,no_sharing,3.7032,34.4989,29.871,28.7524,0.0036,0.5149,1.8721,0.0,4.6279,1778781607451920135
nyudepth,no_sharing,3.7459,34.0452,29.5919,28.5374,0.0029,0.5141,1.7047,0.0,4.4534,1778781607494406375
nyudepth,no_sharing,4.4737,34.2464,29.6239,28.5356,0.0035,0.5247,1.9495,0.0,4.6225,1778781608222558269
nyudepth,no_sharing,5.1778,34.2631,29.6071,28.514,0.0032,0.5211,1.8919,0.0,4.656,1778781608926584513
nyudepth,no_sharing,6.7402,34.2567,29.6509,28.5695,0.0032,0.5109,1.8742,0.0,4.6058,1778781610488965141
nyudepth,no_sharing,6.7796,33.4024,29.1806,28.1851,0.0035,0.4956,1.5976,0.0,4.2218,1778781610528089621
nyudepth,no_sharing,7.3027,43.4871,38.5449,35.8405,0.0039,2.0066,1.996,0.0,4.9421,1778781611051512284
nyudepth,no_sharing,7.3377,55.3575,44.1802,43.1079,0.0023,0.518,8.4217,0.0,11.1773,1778781611093008018
nyudepth,no_sharing,7.8837,35.8186,31.0281,29.891,0.0036,0.5095,2.0211,0.0,4.7905,1778781611632611396
nyudepth,no_sharing,8.749,34.3523,29.721,28.6318,0.0041,0.5013,1.9262,0.0,4.6313,1778781612497771004
nyudepth,no_sharing,8.9416,34.2331,29.7139,28.6459,0.0028,0.509,1.9023,0.0,4.5192,1778781612690401877
