task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth__app1,no_sharing_tpc,0.0001,273.433,268.5519,261.389,0.0024,6.5165,2.074,0.0,4.8811,1778782269223217247
nyudepth__app1,no_sharing_tpc,1.203,68.8031,64.0908,63.011,0.0023,0.5654,1.967,0.0,4.7122,1778782270426057677
nyudepth__app1,no_sharing_tpc,2.3718,178.5064,172.8608,170.1347,0.0025,2.0569,2.8486,0.0,5.6456,1778782271595719374
nyudepth__app1,no_sharing_tpc,3.5632,69.3891,64.1652,63.0262,0.0022,0.5541,1.9214,0.0,5.2239,1778782272786135031
nyudepth__app1,no_sharing_tpc,3.7027,113.3418,108.5331,107.2812,0.0024,0.6258,1.8263,0.0,4.8087,1778782272925603811
nyudepth__app1,no_sharing_tpc,3.7467,136.256,64.0037,62.8732,0.0023,0.5788,69.5155,0.0,72.2522,1778782273037264263
nyudepth__app1,no_sharing_tpc,4.4729,68.7099,64.0692,62.9722,0.0022,0.5384,1.9908,0.0,4.6407,1778782273695936097
nyudepth__app1,no_sharing_tpc,5.1774,68.8765,64.1691,63.0122,0.0024,0.559,1.9088,0.0,4.7074,1778782274400348164
nyudepth__app1,no_sharing_tpc,6.7401,112.9341,107.3456,106.1522,0.0025,0.5706,3.0336,0.0,5.5885,1778782275964178490
nyudepth__app1,no_sharing_tpc,6.7792,140.9926,63.7464,62.826,0.0015,0.4536,73.9655,0.0,77.2462,1778782276074168919
nyudepth__app1,no_sharing_tpc,7.303,69.4864,64.2249,62.9848,0.0024,0.6114,2.5823,0.0,5.2615,1778782276526638462
nyudepth__app1,no_sharing_tpc,7.3376,101.7056,63.7805,62.7866,0.0021,0.4773,34.8146,0.0,37.925,1778782276593441175
nyudepth__app1,no_sharing_tpc,7.8822,195.5624,189.8085,184.8592,0.0025,4.3207,1.7502,0.0,5.7539,1778782277104957518
