task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth__app1,sharing,0.0001,36.9484,32.215,30.6829,0.0031,0.7966,1.9822,0.0,4.7334,1778782918489890509
nyudepth__app1,sharing,1.204,34.4899,29.9408,28.7463,0.0024,0.4933,1.972,0.0,4.5491,1778782919693727957
nyudepth__app1,sharing,2.3705,33.6645,29.3169,27.938,0.0026,0.7725,1.677,0.0,4.3476,1778782920859942715
nyudepth__app1,sharing,3.5632,34.8258,29.9992,28.6798,0.0028,0.5525,2.1214,0.0,4.8266,1778782922053065846
nyudepth__app1,sharing,3.7032,41.6043,31.8468,30.5335,0.0022,0.6582,7.3714,0.0,9.7575,1778782922198315198
nyudepth__app1,sharing,3.7459,33.7493,29.4512,28.2715,0.0023,0.5153,1.6801,0.0,4.2982,1778782922235365610
nyudepth__app1,sharing,4.4738,34.8222,30.0702,28.7596,0.0028,0.5174,2.0077,0.0,4.752,1778782922963622056
nyudepth__app1,sharing,5.1781,35.0041,30.2503,28.8999,0.0032,0.5648,2.0034,0.0,4.7539,1778782923667887474
nyudepth__app1,sharing,6.7396,34.4212,29.965,28.4876,0.0023,0.763,1.8041,0.0,4.4562,1778782925229204919
nyudepth__app1,sharing,6.7792,33.7315,29.5703,28.3419,0.0024,0.5386,1.4505,0.0,4.1611,1778782925268414089
nyudepth__app1,sharing,7.3026,37.0789,31.5642,30.0745,0.0032,0.6885,2.5306,0.0,5.5147,1778782925792903365
nyudepth__app1,sharing,7.338,34.6169,29.6562,28.4302,0.0026,0.5164,2.2485,0.0,4.9608,1778782925828049822
nyudepth__app1,sharing,7.8826,59.8395,32.5663,31.3012,0.0025,0.6677,24.7576,0.0,27.2732,1778782926395170255
nyudepth__app1,sharing,8.7492,33.9122,29.576,28.3413,0.0161,0.5102,1.7235,0.0,4.3361,1778782927238741788
nyudepth__app1,sharing,8.9426,34.3449,29.8123,28.5927,0.0024,0.5572,1.7865,0.0,4.5326,1778782927432181144
nyudepth__app1,sharing,9.5584,35.8481,31.7257,30.5961,0.0022,0.4854,1.7395,0.0,4.1225,1778782928047892033
nyudepth__app1,sharing,9.6344,33.7288,29.4212,28.2232,0.0023,0.524,1.7011,0.0,4.3077,1778782928123853746
nyudepth__app1,sharing,9.6803,33.8938,29.675,28.4829,0.0021,0.4922,1.5912,0.0,4.2188,1778782928169626502
nyudepth__app1,sharing,9.8374,34.7884,29.9444,28.7046,0.0026,0.5485,2.0444,0.0,4.8439,1778782928327226543
nyudepth__app1,sharing,10.2885,57.2188,31.6296,30.5944,0.002,0.5019,23.2384,0.0,25.5892,1778782928799488147
nyudepth__app1,sharing,10.495,34.9641,30.1576,28.8257,0.0024,0.5686,2.0895,0.0,4.8065,1778782928984898225
nyudepth__app1,sharing,11.1191,34.7595,29.9902,28.6898,0.0024,0.557,2.0387,0.0,4.7693,1778782929608898511
