batch_start_ns,observed_batch_size,send_time_rel_first
1775250622636078312,1,10.001496
1775250622674606015,4,10.003897
1775250622708373016,5,10.011081
1775250622742917791,3,10.023553
1775250622790474791,4,10.026325
1775250622838299753,7,10.05495
1775250622886893519,4,10.081734
1775250622925743720,6,10.093128
1775250622980536448,3,10.114448
1775250623028929647,5,10.127601
1775250623075887798,4,10.135911
1775250623111704878,5,10.139239
1775250623153190476,4,10.149097
1775250623206214138,5,10.167708
1775250623239683404,4,10.191957
1775250623298084140,4,10.197826
1775250623347454260,4,10.206285
1775250623396243762,3,10.214512
1775250623437202557,7,10.231327
1775250623484829173,3,10.24132
1775250623525975783,7,10.248806
1775250623560703203,4,10.271058
1775250623610093555,4,10.304772
1775250623653107460,3,10.313545
1775250623694317356,5,10.32629
1775250623733994555,4,10.340426
1775250623777785094,4,10.34524
1775250623826913434,3,10.363908
1775250623880145353,6,10.368448
1775250623906729970,6,10.395409
1775250623955411453,3,10.399752
1775250623994239132,4,10.408982
1775250624039924747,4,10.415537
1775250624076104487,4,10.429294
1775250624109746687,4,10.441489
1775250624131042877,5,10.458874
1775250624185840726,3,10.472372
1775250624232472190,5,10.479864
1775250624279724874,5,10.497456
1775250624324162696,4,10.504691
1775250624371911582,5,10.511663
1775250624422183937,5,10.527073
1775250624464760166,4,10.53755
1775250624498997705,5,10.544374
1775250624540048888,4,10.56951
1775250624574858424,4,10.58196
1775250624606787663,4,10.586658
1775250624651137318,3,10.593915
1775250624698042604,5,10.607126
1775250624748760556,6,10.619973
1775250624787990038,7,10.644521
1775250624829998099,5,10.660045
1775250624870626207,3,10.671857
1775250624910934408,5,10.675496
1775250624956384014,5,10.702495
1775250625005301927,5,10.710816
1775250625040050618,3,10.723681
1775250625074301729,4,10.727397
1775250625131215792,4,10.738439
1775250625174019840,4,10.749963
1775250625224607300,5,10.780686
1775250625271806521,4,10.786878
1775250625328002255,5,10.799209
1775250625363046441,8,10.807835
1775250625409398812,3,10.863959
1775250625461299691,5,10.873887
1775250625502538879,5,10.889424
1775250625530497239,4,10.913741
1775250625572815497,3,10.932676
1775250625617320184,4,10.944485
1775250625659546364,3,10.959919
1775250625695792159,3,10.96273
1775250625745100964,4,10.964339
1775250625793262704,6,10.986593
1775250625826376261,5,11.004109
1775250625874237176,4,11.022138
1775250625906076518,3,11.034466
1775250625945232043,3,11.039828
1775250625971189279,5,11.046966
1775250626022738639,3,11.073637
1775250626057790975,3,11.087697
1775250626106498431,6,11.093601
1775250626162159621,4,11.114223
1775250626207543841,4,11.143844
1775250626255622024,4,11.154987
1775250626295869530,3,11.171234
1775250626330554057,3,11.19152
1775250626376971443,4,11.201452
1775250626418195189,5,11.216819
1775250626458362069,4,11.23242
1775250626499742379,4,11.252748
1775250626548721886,4,11.280821
1775250626574730085,5,11.290305
1775250626625040943,4,11.310378
1775250626680387697,4,11.336612
1775250626732176707,4,11.352379
1775250626779509639,6,11.359283
1775250626828324243,4,11.381506
1775250626867098567,5,11.414491
1775250626917611052,3,11.430269
1775250626957798943,7,11.434373
1775250627010862668,5,11.445626
1775250627049679626,5,11.449935
1775250627096322080,4,11.458475
1775250627149113393,5,11.490194
1775250627197493951,5,11.509704
1775250627225388677,4,11.520217
1775250627281464041,4,11.541945
1775250627321914544,4,11.559359
1775250627372086010,6,11.563884
1775250627418256325,2,11.575556
1775250627459471521,6,11.587403
1775250627502387478,5,11.600478
1775250627536355445,5,11.633805
1775250627570369816,4,11.649405
1775250627604311171,3,11.656413
1775250627653160918,4,11.662935
1775250627698937921,5,11.67623
1775250627738167473,5,11.687886
1775250627786017588,5,11.704648
1775250627831045789,7,11.713416
1775250627875620883,5,11.737221
1775250627924262982,4,11.745852
1775250627976218066,4,11.756844
1775250628019778496,5,11.767928
1775250628065929070,6,11.778357
1775250628113957739,4,11.791479
1775250628155856581,6,11.795482
1775250628197999404,3,11.812917
1775250628250634644,4,11.817826
1775250628298932285,8,11.832454
1775250628345058917,5,11.872661
1775250628393207196,4,11.883021
1775250628445637309,5,11.892004
1775250628479872638,4,11.901226
1775250628522925026,5,11.919832
1775250628574007408,4,11.929143
1775250628622067530,3,11.937134
1775250628663611723,4,11.949076
1775250628711976940,4,11.971548
1775250628733597726,4,11.986542
1775250628763729386,29,12.005014
1775250628824477487,5,12.101041
1775250628880031368,7,12.11386
1775250628918940393,3,12.13792
1775250628956181731,4,12.148756
1775250628997106143,5,12.160293
1775250629032489567,3,12.196918
1775250629085499618,5,12.211627
1775250629120687616,6,12.224839
1775250629149537280,4,12.234885
1775250629199552113,4,12.239887
1775250629223006472,4,12.253574
1775250629273860664,4,12.259251
1775250629323428640,2,12.271304
1775250629366639121,6,12.278965
1775250629414369576,3,12.2945
1775250629461266942,5,12.298422
1775250629497415759,5,12.330944
1775250629532150979,5,12.346489
1775250629588480041,4,12.358582
1775250629625056573,4,12.365465
1775250629667328055,3,12.388006
1775250629710568396,4,12.404852
1775250629762339333,5,12.418711
1775250629817686654,5,12.428124
1775250629853396114,3,12.441624
1775250629894636290,4,12.444235
1775250629928176881,5,12.456222
1775250629983331537,3,12.468716
1775250630027314900,4,12.47002
1775250630071797894,3,12.479337
1775250630115724282,4,12.489416
1775250630143508838,4,12.507694
1775250630192285796,3,12.522019
1775250630233237449,4,12.534802
1775250630282566684,5,12.543216
1775250630329198456,6,12.555622
1775250630377489074,5,12.576955
1775250630431685931,5,12.590789
1775250630471158072,5,12.605509
1775250630510952639,4,12.618919
1775250630559742399,4,12.63114
1775250630593780790,5,12.64359
1775250630632974378,5,12.652015
1775250630677382346,3,12.657316
1775250630718053175,5,12.670603
1775250630761812260,3,12.687527
1775250630794784874,4,12.706391
1775250630837602270,4,12.719974
1775250630871689186,4,12.728917
1775250630908371386,4,12.739309
1775250630948828138,3,12.758048
1775250630993354056,7,12.763027
1775250631038146586,4,12.781057
1775250631078637140,6,12.797413
1775250631106645634,4,12.81122
1775250631154660660,4,12.819337
1775250631188181238,3,12.826588
1775250631235886819,4,12.836964
1775250631275205447,6,12.851221
1775250631313092526,3,12.863643
1775250631361523537,5,12.875319
1775250631403562699,4,12.889744
1775250631446052819,3,12.903018
1775250631490037062,5,12.911812
1775250631535220104,5,12.92964
1775250631575161463,5,12.945405
1775250631619064000,4,12.970316
1775250631663596338,3,12.980582
1775250631712049460,7,12.993554
1775250631759988420,4,13.029807
1775250631800889519,5,13.042658
1775250631828683754,41,13.049594
1775250631928601878,3,13.180389
1775250631955463127,13,13.191669
1775250632002163204,3,13.25389
1775250632042966284,4,13.284397
1775250632091258724,3,13.302483
1775250632133946919,3,13.306397
1775250632175137172,5,13.321807
1775250632210536166,3,13.330933
1775250632250520419,4,13.336296
1775250632276429329,6,13.346548
1775250632322922399,4,13.360092
1775250632372258514,4,13.369242
1775250632427059071,6,13.385145
1775250632468513735,4,13.414137
1775250632516685984,5,13.43147
1775250632558105726,5,13.451789
1775250632610190438,5,13.468699
1775250632654990018,6,13.471668
1775250632697917434,4,13.49648
1775250632723672022,5,13.502844
1775250632771943929,5,13.523316
1775250632825139803,4,13.530567
1775250632867206727,4,13.539799
1775250632914861194,5,13.553499
1775250632957140476,5,13.559647
1775250633002930889,4,13.577289
1775250633050782521,5,13.597044
1775250633102969272,4,13.610743
1775250633152859933,4,13.620112
1775250633201149372,6,13.633769
1775250633251078176,5,13.650787
1775250633299032647,5,13.662119
1775250633352952021,3,13.709724
1775250633387292307,4,13.729089
1775250633429208419,3,13.750265
1775250633472103652,5,13.761585
1775250633526250555,4,13.774747
1775250633561103994,6,13.782802
1775250633601704688,4,13.80162
1775250633660810160,5,13.808741
1775250633696132877,4,13.82782
1775250633712408092,4,13.849185
1775250633759809267,28,13.855308
1775250633818417198,9,13.922136
1775250633867810938,6,13.936769
1775250633908610668,7,13.953206
1775250633950456825,4,13.982391
1775250633990981292,6,13.99625
1775250634038794382,4,14.019418
1775250634088104405,4,14.023675
1775250634134930703,5,14.032865
1775250634187511206,5,14.051351
1775250634239989251,4,14.068902
1775250634287877786,5,14.189666
1775250634330385007,6,14.189697
1775250634372213982,3,14.189727
1775250634419837476,4,14.189739
1775250634456037337,5,14.189751
1775250634498563479,4,14.189768
1775250634531377220,4,14.189784
1775250634574868062,4,14.189796
1775250634621569709,5,14.189812
1775250634667389704,6,14.189832
1775250634707718655,3,14.202204
1775250634746622969,4,14.213571
1775250634782273104,6,14.2222
1775250634828772405,3,14.243005
1775250634869313263,5,14.262812
1775250634910064499,5,14.274239
1775250634957556402,5,14.286755
1775250634999819873,6,14.297762
1775250635038509089,9,14.319545
1775250635065833576,8,14.357987
1775250635110636787,12,14.368005
1775250635162722549,3,14.401519
1775250635201511203,8,14.421909
1775250635260211202,5,14.447078
1775250635301060306,4,14.462666
1775250635351611581,4,14.483005
1775250635395028068,4,14.493691
1775250635440105071,5,14.500973
1775250635469182223,6,14.51321
1775250635516343259,3,14.552014
1775250635558243020,4,14.558056
1775250635606289538,4,14.565138
1775250635654895823,6,14.572863
1775250635701762664,7,14.588931
1775250635742893062,4,14.613288
1775250635790826841,6,14.631099
1775250635824845091,4,14.645161
1775250635859911638,5,14.659803
1775250635906121584,3,14.68492
1775250635946792634,3,14.691669
1775250635982996945,5,14.697534
1775250636024852432,4,14.715406
1775250636069451546,4,14.726939
1775250636117956092,6,14.73592
1775250636174276744,5,14.751029
1775250636213561649,4,14.76752
1775250636245663751,5,14.775367
1775250636282039076,4,14.78798
1775250636316125051,4,14.797233
1775250636358364450,4,14.805402
1775250636405464611,3,14.810201
1775250636447058616,5,14.820392
1775250636485087347,6,14.840138
1775250636534908463,3,14.854593
1775250636575802361,5,14.858568
1775250636635210408,5,14.878335
1775250636685082377,5,14.887532
1775250636733391388,5,14.892497
1775250636772996459,5,14.908312
1775250636804537434,6,14.926527
1775250636853708056,3,14.944497
1775250636899448944,3,14.952429
1775250636945996079,7,14.956155
1775250636992040612,4,14.981546
1775250637033308011,6,14.987619
1775250637079299660,4,15.00247
1775250637107208485,7,15.016049
1775250637158558627,3,15.045314
1775250637199656071,4,15.049105
1775250637239760074,5,15.060668
1775250637280048352,4,15.081034
1775250637336914049,4,15.092155
1775250637379913911,5,15.120936
1775250637414597446,3,15.135599
1775250637460988948,4,15.159497
1775250637503696645,7,15.16856
1775250637550253541,3,15.193761
1775250637599615158,6,15.203629
1775250637651945571,4,15.223052
1775250637688241659,5,15.236206
1775250637737841846,4,15.240669
1775250637773022552,5,15.246875
1775250637812830170,3,15.25464
1775250637858235241,4,15.276059
1775250637901134484,5,15.2997
1775250637951193699,4,15.311971
1775250637983841786,6,15.32588
1775250638033979398,3,15.339448
1775250638074936150,5,15.347677
1775250638124490584,5,15.364577
1775250638168496499,6,15.386003
1775250638222465336,5,15.400504
1775250638257028682,2,15.422123
1775250638302161270,5,15.42214
1775250638355044818,7,15.43721
1775250638402336864,4,15.465225
1775250638442946939,6,15.477678
1775250638517155009,5,15.501346
1775250638566990975,5,15.5128
1775250638606232866,4,15.523382
1775250638657422865,5,15.538772
1775250638687570395,5,15.565529
1775250638738800566,4,15.579147
1775250638794775660,4,15.59618
1775250638834958129,4,15.603416
1775250638875418361,4,15.613007
1775250638925239246,3,15.628335
1775250638973725622,6,15.637133
1775250639007676026,4,15.656005
1775250639063526469,4,15.662158
1775250639095478848,5,15.6764
1775250639142534595,5,15.700651
1775250639175275310,5,15.728895
1775250639222885312,3,15.743652
1775250639268503440,5,15.759702
1775250639317117696,5,15.76484
1775250639362111882,5,15.771904
1775250639412694461,4,15.782408
1775250639459996568,6,15.789469
1775250639501654079,4,15.821586
1775250639535472942,5,15.828717
1775250639570541249,3,15.840662
1775250639614841668,5,15.848397
1775250639651108774,4,15.860989
1775250639686118606,5,15.877227
1775250639733316204,4,15.895235
1775250639760451195,4,15.911185
1775250639782257857,4,15.922726
1775250639822883943,27,15.94089
1775250639888246442,5,16.003195
1775250639935170427,7,16.025078
