batch_start_ns,observed_batch_size,send_time_rel_first
1775274766381608908,2,10.012383
1775274766417814027,6,10.033332
1775274766466009987,7,10.056111
1775274766513995170,7,10.099735
1775274766552405124,5,10.138436
1775274766591072435,6,10.159683
1775274766637368119,7,10.192091
1775274766685134326,6,10.243394
1775274766722376056,6,10.280299
1775274766759338677,3,10.343765
1775274766796495724,6,10.359767
1775274766834120624,4,10.387528
1775274766873545677,5,10.394539
1775274766916512254,7,10.413053
1775274766965277851,7,10.457518
1775274767003365715,6,10.489839
1775274767049108773,6,10.51267
1775274767089611658,6,10.539031
1775274767133022427,6,10.558764
1775274767182052132,7,10.595099
1775274767224594386,6,10.632294
1775274767267888472,7,10.673836
1775274767305573375,3,10.74489
1775274767344263157,6,10.746529
1775274767387913254,5,10.771557
1775274767433330682,6,10.793896
1775274767476875516,6,10.844513
1775274767515978060,6,10.863406
1775274767560246094,6,10.886863
1775274767597947357,5,10.908927
1775274767635700531,6,10.93474
1775274767678756511,4,10.979701
1775274767716134644,6,11.010483
1775274767762794329,6,11.051947
1775274767810384341,7,11.09279
1775274767851653428,6,11.136094
1775274767893943805,5,11.181294
1775274767933960696,6,11.192433
1775274767980681722,6,11.233686
1775274768028417569,5,11.26988
1775274768070892151,5,11.286274
1775274768102699102,5,11.306112
1775274768152521249,7,11.330463
1775274768200243765,7,11.359524
1775274768237820564,7,11.407939
1775274768279900635,6,11.434684
1775274768322642915,4,11.457752
1775274768371696280,6,11.473962
1775274768404935712,4,11.484503
1775274768440252965,6,11.53518
1775274768484673155,6,11.558762
1775274768527853728,6,11.587662
1775274768562410499,6,11.623172
1775274768595390213,5,11.638919
1775274768634534679,4,11.665018
1775274768685095617,7,11.680062
1775274768722673097,6,11.72281
1775274768770173106,6,11.751178
1775274768818200241,7,11.780122
1775274768861730014,6,11.826525
1775274768916811095,8,11.849274
1775274768953544390,6,11.910938
1775274768998308129,5,11.946751
1775274769040121792,6,11.979973
1775274769078969879,6,12.000838
1775274769120685519,5,12.028444
1775274769171667590,7,12.070967
1775274769219244162,6,12.133586
1775274769264769863,6,12.153292
1775274769311908712,8,12.170997
1775274769355652172,7,12.21044
1775274769395417975,5,12.276953
1775274769431708246,6,12.284199
1775274769475568640,7,12.315484
1775274769510444450,3,12.36087
1775274769554313773,6,12.385786
1775274769594021554,6,12.408267
1775274769638640690,5,12.44594
1775274769686829719,7,12.463047
1775274769728965402,6,12.486313
1775274769767992883,6,12.510874
1775274769811067493,8,12.542556
1775274769870405799,5,12.564172
1775274769915444956,7,12.577885
1775274769960758432,6,12.605427
1775274770002375809,7,12.64887
1775274770035877029,6,12.70599
1775274770085398128,5,12.726513
1775274770131379033,8,12.767478
1775274770159533116,7,12.801203
1775274770209195019,33,12.826432
1775274770293350641,14,12.960117
1775274770338109690,7,13.02085
1775274770384423605,5,13.055332
1775274770427948098,6,13.064825
1775274770465239178,5,13.102568
1775274770507425723,6,13.11986
1775274770555988093,7,13.145442
1775274770604040109,7,13.167318
1775274770655905186,7,13.208086
1775274770701013665,6,13.229067
1775274770738736638,6,13.24452
1775274770769383525,5,13.263357
1775274770811358703,6,13.269387
1775274770859797970,6,13.290512
1775274770903843418,6,13.310292
1775274770948037081,5,13.351741
1775274770989689259,6,13.358882
1775274771034187431,5,13.3802
1775274771067531626,5,13.387648
1775274771104251580,6,13.429451
1775274771143446727,6,13.464766
1775274771187444364,6,13.499084
1775274771236093847,7,13.517668
1775274771284368529,7,13.586106
1775274771318891849,5,13.609078
1775274771363723970,5,13.63909
1775274771410132458,8,13.648261
1775274771455445233,4,13.686243
1775274771491931840,6,13.720455
1775274771534050752,6,13.764126
1775274771573781435,6,13.80334
1775274771618478072,6,13.835887
1775274771656291388,6,13.86044
1775274771711536854,7,13.881991
1775274771756347765,6,13.91741
1775274771803496534,6,13.953088
1775274771851153088,7,14.0395
1775274771896286858,6,14.079119
1775274771939832442,6,14.119938
1775274771985208139,6,14.185278
1775274772031650668,6,14.215299
1775274772069521365,6,14.23268
1775274772115257273,6,14.286561
1775274772160035833,5,14.320828
1775274772204285447,6,14.346346
1775274772249186481,7,14.363639
1775274772289988884,6,14.382951
1775274772335333981,7,14.395367
1775274772374368013,6,14.425089
1775274772418842354,6,14.442448
1775274772459191774,6,14.482286
1775274772496219677,6,14.495306
1775274772539224125,4,14.527315
1775274772585844519,6,14.536355
1775274772629047692,6,14.580649
1775274772674758289,4,14.60551
1775274772717502419,7,14.609285
1775274772760796666,6,14.632312
1775274772802989450,8,14.66077
1775274772853020734,7,14.679784
1775274772900865103,7,14.721646
1775274772956175951,7,14.755448
1775274773001292151,8,14.807701
1775274773036369427,6,14.862167
1775274773079520489,3,14.883962
1775274773122389793,6,14.886496
1775274773154068350,6,14.917783
1775274773190052882,4,14.945735
1775274773232479063,6,14.963714
1775274773265046386,5,14.992372
1775274773315196353,6,14.997092
1775274773364161875,7,15.025912
1775274773403505726,6,15.045834
1775274773443532747,4,15.07901
1775274773491000025,8,15.117419
1775274773535646221,6,15.155372
1775274773578245507,6,15.177753
1775274773617004641,6,15.193325
1775274773655180028,3,15.216852
1775274773699257317,7,15.218509
1775274773750640820,7,15.248055
1775274773797441539,6,15.283414
1775274773836254044,6,15.31152
1775274773881846208,5,15.355077
1775274773930322116,7,15.37257
1775274773967938276,5,15.426831
1775274774012996354,6,15.449791
1775274774061695099,5,15.465023
1775274774103487891,6,15.491632
1775274774146563861,6,15.515121
1775274774193176575,7,15.53893
1775274774234107882,5,15.566453
1775274774281250341,8,15.598083
1775274774325185116,6,15.650079
1775274774374591021,6,15.669636
1775274774418386582,8,15.716013
1775274774469039364,7,15.754361
1775274774519602483,6,15.808255
1775274774562459217,6,15.837537
1775274774613848550,7,15.876125
1775274774652439738,5,15.918624
1775274774697865647,7,15.955925
1775274774732481770,5,15.972436
1775274774776554719,5,15.991048
1775274774825185791,8,16.014216
1775274774871751594,6,16.072895
1775274774910915629,5,16.100679
1775274774966223877,8,16.127462
1775274775004360143,5,16.18725
1775274775043620331,7,16.214218
1775274775088375000,6,16.237111
1775274775127977519,6,16.258386
1775274775171713298,7,16.315814
1775274775208792813,5,16.370221
1775274775254497580,6,16.380841
1775274775299160676,5,16.413663
1775274775336193909,6,16.431162
1775274775383667118,6,16.465171
1775274775430691263,5,16.499014
1775274775479302515,7,16.533102
1775274775517106921,6,16.590913
1775274775555287118,5,16.625186
1775274775598859102,6,16.66254
1775274775645231909,6,16.680339
1775274775698942530,7,16.715564
1775274775751926070,7,16.767427
1775274775799939394,7,16.788214
1775274775839440810,7,16.826498
1775274775859282180,3,16.850363
1775274775900480175,22,16.85508
1775274775963448577,11,16.941332
1775274776019697062,7,16.984592
1775274776061326290,6,17.024212
1775274776106463781,6,17.053825
1775274776143769022,6,17.089004
1775274776189072447,5,17.117907
1775274776222580137,5,17.149795
1775274776259748664,6,17.179256
1775274776306781600,4,17.203533
1775274776349478389,6,17.215658
1775274776394238678,6,17.243694
1775274776438443091,6,17.309854
1775274776486451606,7,17.339412
1775274776539943080,7,17.360965
1775274776593604060,7,17.382648
1775274776636734132,7,17.448648
1775274776681113960,6,17.490991
1775274776728124225,6,17.516478
1775274776775911713,7,17.544457
1775274776814304526,6,17.580398
1775274776854112960,6,17.612222
1775274776898686174,6,17.627237
1775274776936637144,6,17.657916
1775274776970136914,6,17.674481
1775274777014308156,6,17.689314
1775274777060498937,7,17.745592
1775274777107830972,5,17.796667
1775274777155321501,6,17.870927
1775274777194459786,5,17.893493
1775274777241428149,7,17.912955
1775274777285288003,7,17.929681
1775274777322189572,5,17.952136
1775274777359941546,4,17.963
1775274777403450179,6,17.977152
1775274777444811699,7,18.016402
1775274777481706458,5,18.057274
1775274777526902620,7,18.077034
1775274777572112682,7,18.101812
1775274777621296981,8,18.1215
1775274777664355251,6,18.180037
1775274777707113871,5,18.205644
1775274777748417130,6,18.229104
1775274777792297523,7,18.263772
1775274777837509356,6,18.319157
1775274777886354114,5,18.35794
1775274777928777935,6,18.364538
1775274777972367650,6,18.395873
1775274778008806656,5,18.420663
1775274778054817982,7,18.439492
1775274778098782648,6,18.460733
1775274778139740446,7,18.48866
1775274778183331131,6,18.52316
1775274778228384609,8,18.558125
1775274778272620713,8,18.615354
1775274778320930586,7,18.66124
1775274778362885984,7,18.701268
1775274778410374362,5,18.73044
1775274778453305288,7,18.756178
1775274778501631522,6,18.774161
1775274778538944293,5,18.811589
1775274778584180677,7,18.85115
1775274778628175373,6,18.895826
1775274778682704068,8,18.91716
1775274778724782679,5,18.963017
1775274778765310765,6,19.023232
1775274778809582170,36,19.050142
1775274778892420823,13,19.204848
1775274778935204574,5,19.295929
1775274778986123994,5,19.311379
1775274779029140372,6,19.335372
1775274779080714711,4,19.354825
1775274779129225860,6,19.370209
1775274779181390946,6,19.41967
1775274779234353665,6,19.436178
1775274779287340635,6,19.450673
1775274779333448523,6,19.465973
1775274779386297339,8,19.486761
1775274779436480687,6,19.517555
1775274779493835505,6,19.560116
1775274779544131396,6,19.591511
1775274779593437558,6,19.610651
1775274779648693225,6,19.642507
1775274779713263373,5,19.647064
1775274779772787314,6,19.667924
1775274779827820814,6,19.683078
1775274779883729850,6,19.705102
1775274779936985517,6,19.743654
1775274779979971185,5,19.774922
1775274780018887693,4,19.801226
1775274780069657708,4,19.845765
1775274780119330461,6,19.860966
1775274780165432809,6,19.897316
1775274780217907824,5,19.940081
1775274780269260296,6,19.964118
1775274780321863135,6,19.995448
1775274780373173896,6,20.010176
1775274780422890900,6,20.027803
1775274780472545303,6,20.059992
1775274780524046229,7,20.096367
1775274780573211647,6,20.121327
1775274780622878170,6,20.156676
1775274780665628170,6,20.173733
1775274780709985918,3,20.20638
1775274780771944620,6,20.230461
1775274780818955466,6,20.261348
1775274780868397252,6,20.281927
1775274780929872971,7,20.30315
1775274780976533255,5,20.329866
1775274781021072618,6,20.348901
1775274781070806872,6,20.382368
1775274781121677690,6,20.406426
1775274781167874662,6,20.424536
1775274781219013557,41,20.452279
1775274781321783914,15,20.642509
1775274781386323322,6,20.727047
1775274781435462679,6,20.747258
1775274781492023633,7,20.798748
1775274781543718406,6,20.838855
1775274781594745288,6,20.857364
1775274781642554566,4,20.880976
1775274781703174300,7,20.897539
1775274781758112737,6,20.951761
1775274781812389724,6,20.99663
1775274781862069098,5,21.032978
1775274781915295204,6,21.087583
1775274781966685428,6,21.117369
1775274782014112915,7,21.136107
1775274782067858947,5,21.15967
1775274782121852697,6,21.18329
1775274782176493445,6,21.216107
1775274782244601417,6,21.232873
1775274782309796524,6,21.260664
1775274782365367489,6,21.283489
1775274782405323428,5,21.322447
1775274782455684501,6,21.339771
1775274782501837981,5,21.34602
1775274782563130804,7,21.38581
1775274782619688559,4,21.400903
1775274782673682518,6,21.425299
1775274782718541490,5,21.461721
1775274782779586826,6,21.510586
1775274782832650928,6,21.558978
1775274782880014434,6,21.575315
1775274782936584558,5,21.592759
1775274782988581919,6,21.606735
1775274783041173148,6,21.641211
1775274783092759017,6,21.680959
1775274783139899925,6,21.741961
1775274783189553718,6,21.766644
1775274783249410669,7,21.811581
1775274783307113796,6,21.844368
1775274783358383816,6,21.884336
1775274783411677985,6,21.931426
1775274783469185087,6,21.94383
1775274783510892967,4,21.956644
1775274783558292354,6,21.992275
1775274783612887511,6,22.028346
1775274783656909839,6,22.049147
1775274783702814721,4,22.064875
1775274783751753253,6,22.102545
1775274783796783650,3,22.14191
1775274783849525693,8,22.175945
1775274783899619648,6,22.206534
1775274783945410707,7,22.238873
1775274783988323543,3,22.264873
1775274784043000202,5,22.275114
1775274784088115932,6,22.313586
1775274784138141105,6,22.355318
1775274784190218978,6,22.36254
1775274784242486237,6,22.370945
1775274784297639530,6,22.400866
1775274784350262660,6,22.603302
1775274784402989622,7,22.603324
1775274784447980558,4,22.603349
1775274784486856995,5,22.603364
1775274784539113394,6,22.603382
1775274784589128007,7,22.603402
1775274784633675330,5,22.607975
1775274784677235244,6,22.614081
1775274784735794637,6,22.650577
1775274784779929978,4,22.672318
1775274784829252811,5,22.710683
1775274784876007638,4,22.732047
1775274784919972264,5,22.749698
1775274784964290681,6,22.786381
1775274785014159749,6,22.828514
1775274785061376831,6,22.849567
1775274785100589618,6,22.887426
1775274785150410715,5,22.91077
1775274785197551594,5,22.97824
1775274785243902120,6,23.004255
1775274785294767288,4,23.022137
1775274785351635811,7,23.03141
1775274785399439939,6,23.075333
1775274785446446064,5,23.110407
1775274785502467073,6,23.189749
1775274785550444707,6,23.242143
1775274785597377949,6,23.284522
1775274785646923038,7,23.315171
1775274785692990986,6,23.34223
1775274785732821721,5,23.376506
1775274785771618686,6,23.4079
1775274785817066985,3,23.449882
1775274785862212556,6,23.460654
1775274785909444108,6,23.47693
1775274785958573545,7,23.504529
1775274786011886424,8,23.525587
1775274786063318178,6,23.558751
1775274786112118796,5,23.606498
1775274786171694008,7,23.623234
1775274786222150404,6,23.633445
1775274786271963892,6,23.661163
1775274786322324845,6,23.693001
1775274786363940992,6,23.736501
1775274786400474751,5,23.757808
1775274786450044671,4,23.804308
1775274786492980037,7,23.814523
1775274786538375774,6,23.863595
1775274786582619539,5,23.886472
1775274786630187630,6,23.90538
1775274786685742705,6,23.932904
1775274786734939374,6,23.953852
1775274786782898067,6,23.966054
1775274786830816219,6,23.992096
1775274786874573439,5,24.038491
1775274786909513711,6,24.063086
1775274786950259702,4,24.090494
1775274786997266777,6,24.094491
1775274787041174282,5,24.151686
1775274787090298969,4,24.162773
1775274787134112220,5,24.169861
1775274787179275552,6,24.182394
1775274787225507964,6,24.200466
1775274787275391353,7,24.217536
1775274787323656935,7,24.24927
1775274787363124239,6,24.278982
1775274787407367813,3,24.313983
1775274787449834966,6,24.32594
1775274787503221257,6,24.344418
1775274787552791867,5,24.377356
1775274787603953184,8,24.412244
1775274787640454942,5,24.448757
1775274787690964609,4,24.503645
1775274787737565462,6,24.51491
1775274787781863938,5,24.544028
1775274787828265824,6,24.566482
1775274787875798194,6,24.581088
1775274787918317317,6,24.591417
1775274787965135477,5,24.604305
1775274788007666980,5,24.632482
1775274788059171156,6,24.651279
1775274788114357169,6,24.689117
1775274788172660434,7,24.718017
1775274788215135016,7,24.759352
1775274788264230172,5,24.831487
1775274788305819128,6,24.84604
1775274788349594798,3,24.859871
1775274788398436526,7,24.866088
1775274788443099612,5,24.894371
1775274788493408013,6,24.910169
1775274788533783013,5,24.939451
1775274788581137498,5,24.958235
1775274788638416672,6,24.995308
1775274788687250820,6,25.026219
1775274788738560991,6,25.080118
1775274788793805766,7,25.097749
1775274788844388125,6,25.148336
1775274788890205245,5,25.171569
1775274788941274118,6,25.19217
1775274788978478846,5,25.203835
1775274789029822057,6,25.219552
1775274789074163113,6,25.264527
1775274789123862397,6,25.302436
1775274789167191023,6,25.342636
1775274789211116438,4,25.359332
1775274789261984105,6,25.376849
1775274789313103970,6,25.395358
1775274789360533337,6,25.449267
1775274789407792088,5,25.466742
1775274789455413061,7,25.474884
1775274789513394776,7,25.504729
1775274789551216642,5,25.517791
1775274789594057085,5,25.553219
1775274789631136159,3,25.598576
1775274789675889177,4,25.637815
1775274789730610947,6,25.645746
1775274789781688301,6,25.675643
1775274789824951056,4,25.709905
1775274789880871831,7,25.723221
1775274789924359803,5,25.749921
1775274789980354250,7,25.789515
1775274790033000399,5,25.861323
1775274790074562524,6,25.885179
1775274790130414757,6,25.923155
1775274790167372128,5,25.95198
1775274790217210845,5,25.973798
1775274790269170114,7,26.031077
1775274790315066627,6,26.070805
1775274790372888787,6,26.090928
1775274790423804966,6,26.116046
1775274790473304213,6,26.126824
1775274790520065040,6,26.157121
1775274790563830500,4,26.189076
1775274790614040688,6,26.210292
1775274790664050730,6,26.232757
1775274790705455951,5,26.279885
1775274790750427606,4,26.310498
1775274790793235588,5,26.325655
1775274790847981948,5,26.341913
1775274790897342652,6,26.354331
1775274790941319838,6,26.362014
1775274790988892948,4,26.372379
1775274791041519117,7,26.389909
1775274791084277578,6,26.410502
1775274791122371871,5,26.426967
1775274791166806840,6,26.434465
1775274791223266331,5,26.466732
