req_id,task,send_time_rel,latency_ms,start_time_ns,end_time_ns
0,diasbp,2e-06,304.4813,1775274872992618043,1775274873289333458
1,ecgclass,1.9e-05,442.4877,1775274873295362825,1775274873421643701
2,eclfore,2.6e-05,442.7466,1775274873295362825,1775274873421643701
3,etth1fore,3.3e-05,443.1748,1775274873295362825,1775274873421643701
4,exchangefore,3.9e-05,443.1822,1775274873295362825,1775274873421643701
5,gestureclass,4.5e-05,443.1856,1775274873295362825,1775274873421643701
6,heartrate,5.1e-05,443.1865,1775274873295362825,1775274873421643701
7,sysbp,5.7e-05,443.6376,1775274873295362825,1775274873421643701
8,trafficfore,6.4e-05,443.6429,1775274873295362825,1775274873421643701
9,weatherfore,7e-05,443.644,1775274873295362825,1775274873421643701
10,eclfore,0.001519,442.2028,1775274873295362825,1775274873421643701
11,eclfore,0.002969,441.0486,1775274873295362825,1775274873421643701
12,exchangefore,0.003161,441.081,1775274873295362825,1775274873421643701
13,exchangefore,0.005428,438.8263,1775274873295362825,1775274873421643701
14,etth1fore,0.011971,432.2925,1775274873295362825,1775274873421643701
15,etth1fore,0.011989,432.2808,1775274873295362825,1775274873421643701
16,gestureclass,0.020513,424.0606,1775274873295362825,1775274873421643701
17,sysbp,0.025891,418.6952,1775274873295362825,1775274873421643701
18,ecgclass,0.029184,415.669,1775274873295362825,1775274873421643701
19,diasbp,0.03049,414.3741,1775274873295362825,1775274873421643701
20,weatherfore,0.031781,413.0924,1775274873295362825,1775274873421643701
21,heartrate,0.043046,401.835,1775274873295362825,1775274873421643701
22,trafficfore,0.043062,402.1311,1775274873295362825,1775274873421643701
23,exchangefore,0.047538,397.6676,1775274873295362825,1775274873421643701
24,weatherfore,0.051003,394.2113,1775274873295362825,1775274873421643701
25,gestureclass,0.061281,384.2382,1775274873295362825,1775274873421643701
26,ecgclass,0.062614,382.9181,1775274873295362825,1775274873421643701
27,weatherfore,0.062624,382.9403,1775274873295362825,1775274873421643701
28,trafficfore,0.070015,375.56,1775274873295362825,1775274873421643701
29,etth1fore,0.073311,372.6597,1775274873295362825,1775274873421643701
30,heartrate,0.075606,370.373,1775274873295362825,1775274873421643701
31,diasbp,0.076874,369.2715,1775274873295362825,1775274873421643701
32,sysbp,0.076885,369.2679,1775274873295362825,1775274873421643701
33,sysbp,0.082269,363.8885,1775274873295362825,1775274873421643701
34,weatherfore,0.092608,353.5542,1775274873295362825,1775274873421643701
35,sysbp,0.09263,353.5359,1775274873295362825,1775274873421643701
36,diasbp,0.095154,351.0163,1775274873295362825,1775274873421643701
37,heartrate,0.095167,351.1703,1775274873295362825,1775274873421643701
38,heartrate,0.09653,349.8132,1775274873295362825,1775274873421643701
39,diasbp,0.101835,344.5127,1775274873295362825,1775274873421643701
40,eclfore,0.106169,340.1825,1775274873295362825,1775274873421643701
41,gestureclass,0.112443,333.9522,1775274873295362825,1775274873421643701
42,heartrate,0.118798,327.6031,1775274873295362825,1775274873421643701
43,exchangefore,0.118813,327.5924,1775274873295362825,1775274873421643701
44,gestureclass,0.11918,327.2295,1775274873295362825,1775274873421643701
45,trafficfore,0.122501,323.9129,1775274873295362825,1775274873421643701
46,eclfore,0.123794,324.399,1775274873295362825,1775274873421643701
47,diasbp,0.125052,323.1535,1775274873295362825,1775274873421643701
48,heartrate,0.126311,321.8999,1775274873295362825,1775274873421643701
49,exchangefore,0.126323,321.8935,1775274873295362825,1775274873421643701
50,eclfore,0.126328,321.8923,1775274873295362825,1775274873421643701
51,trafficfore,0.131893,316.7143,1775274873295362825,1775274873421643701
52,heartrate,0.139187,309.4287,1775274873295362825,1775274873421643701
53,diasbp,0.144518,304.1017,1775274873295362825,1775274873421643701
54,weatherfore,0.14587,302.7544,1775274873295362825,1775274873421643701
55,weatherfore,0.14718,301.4495,1775274873295362825,1775274873421643701
