run_idx,device,backbone,task,batch_size,req_idx,latency_ms,backbone_ms,decoder_ms,gpu_peak_mb
0,NVIDIA A16,momentbase,ecgclass,1,0,156.1103,141.4907,14.3278,443.067
0,NVIDIA A16,momentbase,ecgclass,1,1,9.9831,9.5345,0.2821,443.067
0,NVIDIA A16,momentbase,ecgclass,1,2,9.4881,9.0618,0.2794,443.067
0,NVIDIA A16,momentbase,ecgclass,1,3,9.4279,9.0373,0.2557,443.067
0,NVIDIA A16,momentbase,ecgclass,1,4,9.6446,9.0695,0.4331,443.067
0,NVIDIA A16,momentbase,ecgclass,1,5,9.4337,9.0415,0.2608,443.067
0,NVIDIA A16,momentbase,ecgclass,1,6,9.4558,9.074,0.2511,443.067
0,NVIDIA A16,momentbase,ecgclass,1,7,9.4819,9.0961,0.2536,443.067
0,NVIDIA A16,momentbase,ecgclass,1,8,9.509,9.1133,0.2626,443.067
0,NVIDIA A16,momentbase,ecgclass,1,9,9.4915,9.1135,0.2456,443.067
0,NVIDIA A16,momentbase,ecgclass,1,10,9.4945,9.106,0.2572,443.067
0,NVIDIA A16,momentbase,ecgclass,1,11,9.6018,9.0781,0.39,443.067
0,NVIDIA A16,momentbase,ecgclass,1,12,9.5073,9.1131,0.2603,443.067
0,NVIDIA A16,momentbase,ecgclass,1,13,9.5126,9.1214,0.2504,443.067
0,NVIDIA A16,momentbase,ecgclass,1,14,9.4922,9.1117,0.249,443.067
0,NVIDIA A16,momentbase,ecgclass,1,15,9.5083,9.1134,0.2609,443.067
0,NVIDIA A16,momentbase,ecgclass,1,16,9.5124,9.1144,0.2584,443.067
0,NVIDIA A16,momentbase,ecgclass,1,17,9.5725,9.1787,0.2528,443.067
0,NVIDIA A16,momentbase,ecgclass,1,18,9.5557,9.1677,0.2553,443.067
0,NVIDIA A16,momentbase,ecgclass,1,19,9.5744,9.1829,0.2583,443.067
0,NVIDIA A16,momentbase,ecgclass,1,20,9.7737,9.1862,0.4517,443.067
0,NVIDIA A16,momentbase,ecgclass,1,21,9.5413,9.1615,0.248,443.067
0,NVIDIA A16,momentbase,ecgclass,1,22,9.5298,9.1467,0.2505,443.067
0,NVIDIA A16,momentbase,ecgclass,1,23,9.5561,9.1716,0.252,443.067
0,NVIDIA A16,momentbase,ecgclass,1,24,9.5573,9.1447,0.2705,443.067
0,NVIDIA A16,momentbase,ecgclass,1,25,9.5436,9.1509,0.2533,443.067
0,NVIDIA A16,momentbase,ecgclass,1,26,9.5492,9.1578,0.2532,443.067
0,NVIDIA A16,momentbase,ecgclass,1,27,9.5879,9.1981,0.2563,443.067
0,NVIDIA A16,momentbase,ecgclass,1,28,9.5643,9.1692,0.262,443.067
0,NVIDIA A16,momentbase,ecgclass,1,29,9.5601,9.1788,0.2505,443.067
0,NVIDIA A16,momentbase,ecgclass,1,30,9.7865,9.165,0.4892,443.067
0,NVIDIA A16,momentbase,ecgclass,1,31,9.4827,9.1048,0.2474,443.067
0,NVIDIA A16,momentbase,ecgclass,1,32,9.4605,9.084,0.2442,443.067
0,NVIDIA A16,momentbase,ecgclass,1,33,9.4761,9.0885,0.2519,443.067
0,NVIDIA A16,momentbase,ecgclass,1,34,9.497,9.1011,0.2578,443.067
0,NVIDIA A16,momentbase,ecgclass,1,35,9.444,9.0491,0.2546,443.067
0,NVIDIA A16,momentbase,ecgclass,1,36,9.4594,9.0557,0.2632,443.067
0,NVIDIA A16,momentbase,ecgclass,1,37,9.4494,9.0552,0.2551,443.067
0,NVIDIA A16,momentbase,ecgclass,1,38,9.4674,9.0745,0.2566,443.067
0,NVIDIA A16,momentbase,ecgclass,1,39,9.449,9.0593,0.2513,443.067
0,NVIDIA A16,momentbase,ecgclass,1,40,9.419,9.0247,0.2508,443.067
0,NVIDIA A16,momentbase,ecgclass,1,41,9.6691,9.0372,0.2519,443.067
0,NVIDIA A16,momentbase,ecgclass,1,42,9.4302,9.0439,0.2531,443.067
0,NVIDIA A16,momentbase,ecgclass,1,43,9.4733,9.0862,0.2495,443.067
0,NVIDIA A16,momentbase,ecgclass,1,44,9.5251,9.124,0.2647,443.067
0,NVIDIA A16,momentbase,ecgclass,1,45,9.5159,9.1068,0.272,443.067
0,NVIDIA A16,momentbase,ecgclass,1,46,9.4857,9.0858,0.2582,443.067
0,NVIDIA A16,momentbase,ecgclass,1,47,9.4758,9.0709,0.2621,443.067
0,NVIDIA A16,momentbase,ecgclass,1,48,9.5188,9.1177,0.2608,443.067
0,NVIDIA A16,momentbase,ecgclass,1,49,9.4871,9.0956,0.2554,443.067
0,NVIDIA A16,momentbase,ecgclass,1,50,9.504,9.1096,0.2548,443.067
0,NVIDIA A16,momentbase,ecgclass,1,51,9.7818,9.1229,0.5113,443.067
0,NVIDIA A16,momentbase,ecgclass,1,52,9.5127,9.1247,0.2541,443.067
0,NVIDIA A16,momentbase,ecgclass,1,53,9.5347,9.1549,0.2502,443.067
0,NVIDIA A16,momentbase,ecgclass,1,54,9.529,9.1381,0.2539,443.067
0,NVIDIA A16,momentbase,ecgclass,1,55,9.5864,9.1868,0.2606,443.067
0,NVIDIA A16,momentbase,ecgclass,1,56,9.6202,9.2197,0.2549,443.067
0,NVIDIA A16,momentbase,ecgclass,1,57,9.5753,9.1759,0.2641,443.067
0,NVIDIA A16,momentbase,ecgclass,1,58,9.559,9.171,0.2529,443.067
0,NVIDIA A16,momentbase,ecgclass,1,59,9.567,9.1685,0.2569,443.067
0,NVIDIA A16,momentbase,ecgclass,1,60,9.6016,9.1885,0.2641,443.067
0,NVIDIA A16,momentbase,ecgclass,1,61,9.587,9.1813,0.2615,443.067
0,NVIDIA A16,momentbase,ecgclass,1,62,10.1355,9.1802,0.2665,443.067
0,NVIDIA A16,momentbase,ecgclass,1,63,9.6002,9.204,0.2507,443.067
0,NVIDIA A16,momentbase,ecgclass,1,64,9.6161,9.2207,0.2619,443.067
0,NVIDIA A16,momentbase,ecgclass,1,65,9.595,9.2106,0.2485,443.067
