req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
0,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.0203376,1777092792.020342,1777092792.0361896,1777092792.046339,1777092792.2220154,0.0045299530029296875,14.835357666015625,10.149478912353516,176.68843269348145,201.67779922485352,9.245269,0.002467,0.409254,27.51708984375
1,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.0206604,1777092792.0206652,1777092792.0467634,1777092792.0563295,1777092792.2221131,0.00476837158203125,25.086164474487305,9.566068649291992,166.7957305908203,201.45273208618164,8.807087,0.001343,0.04332,27.53076171875
2,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.020811,1777092792.020814,1777092792.0467634,1777092792.0563295,1777092792.222156,0.00286102294921875,24.93739128112793,9.566068649291992,166.8386459350586,201.34496688842773,8.807087,0.001343,0.04332,27.53076171875
3,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.0208955,1777092792.0208976,1777092792.0467634,1777092792.0563295,1777092792.222201,0.0021457672119140625,24.85370635986328,9.566068649291992,166.8837070465088,201.30562782287598,8.807087,0.001343,0.04332,27.53076171875
4,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.0209973,1777092792.0209994,1777092792.0467634,1777092792.0563295,1777092792.2222466,0.0021457672119140625,24.751901626586914,9.566068649291992,166.9292449951172,201.249361038208,8.807087,0.001343,0.04332,27.53076171875
5,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.0210457,1777092792.0210469,1777092792.0467634,1777092792.0563295,1777092792.2222822,0.0011920928955078125,24.704456329345703,9.566068649291992,166.96476936340332,201.23648643493652,8.807087,0.001343,0.04332,27.53076171875
6,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.021085,1777092792.0210857,1777092792.0467634,1777092792.0563295,1777092792.222312,0.0007152557373046875,24.66559410095215,9.566068649291992,166.99457168579102,201.22694969177246,8.807087,0.001343,0.04332,27.53076171875
7,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.0211225,1777092792.0211236,1777092792.0467634,1777092792.0563295,1777092792.2223444,0.0011920928955078125,24.627685546875,9.566068649291992,167.02699661254883,201.22194290161133,8.807087,0.001343,0.04332,27.53076171875
8,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777092792.02116,1777092792.0211613,1777092792.0467634,1777092792.0563295,1777092792.2223763,0.001430511474609375,24.590015411376953,9.566068649291992,167.05894470214844,201.216459274292,8.807087,0.001343,0.04332,27.53076171875
9,0.0,site2,172.31.40.38:8010,momentlarge,etth1fore,1777092792.0211985,1777092792.0212004,1777092792.0369473,1777092792.0604115,1777092792.222433,0.0019073486328125,14.670848846435547,23.464202880859375,163.09762001037598,201.2345790863037,22.510882,0.00263,0.48270700000000005,1450.60546875
27,0.0,site2,172.31.34.115:8000,momentbase,heartrate,1777092792.0244703,1777092792.024472,1777092792.0527804,1777092792.0688775,1777092792.2224667,0.0016689300537109375,26.48746967315674,16.097068786621094,155.41017055511475,197.9963779449463,14.931089,0.002123,0.6041310000000001,443.064453125
18,0.0,site2,172.31.34.115:8010,swinbase,eurosatclass,1777092792.021526,1777092792.0215273,1777092792.0382874,1777092792.07855,1777092792.2225,0.0011920928955078125,9.290456771850586,40.262699127197266,151.41963958740234,200.9739875793457,37.695012,0.002125,2.03013,339.7099609375
36,0.0,site2,172.31.39.15:8000,swinsmall,imgclass10,1777092792.0249143,1777092792.0249162,1777092792.0551982,1777092792.0891373,1777092792.2225342,0.0019073486328125,21.04640007019043,33.93912315368652,142.63248443603516,197.61991500854492,32.985408,0.002603,0.46480099999999996,195.9267578125
45,0.0,site2,172.31.40.38:8000,dinosmall,nyudepth,1777092792.0277178,1777092792.0277205,1777092792.0712152,1777092792.091706,1777092792.2310205,0.0026226043701171875,39.360761642456055,20.49088478088379,143.4483528137207,203.30262184143066,17.783152,0.001795,2.2625129999999998,92.642578125
54,0.0,site2,172.31.39.15:8010,papageip,sysbp,1777092792.0305588,1777092792.0305612,1777092792.083863,1777092792.1008296,1777092792.231162,0.002384185791015625,51.895856857299805,16.966581344604492,131.73842430114746,200.60324668884277,14.354491000000001,0.002123,2.0952919999999997,27.51708984375
64,0.0,site2,172.31.46.11:8010,dinobase,vocseg,1777092792.0309393,1777092792.0309405,1777092792.0871248,1777092792.104988,1777092792.235525,0.0011920928955078125,29.986858367919922,17.86327362060547,156.73422813415527,204.58555221557617,15.949708,0.0018989999999999999,0.621947,339.98193359375
28,0.0,site2,172.31.34.115:8000,momentbase,heartrate,1777092792.0245223,1777092792.0245233,1777092792.069465,1777092792.1141617,1777092792.2356553,0.00095367431640625,43.120741844177246,44.696807861328125,123.3144998550415,211.13300323486328,42.000414,0.0028020000000000002,0.258298,444.376953125
29,0.0,site2,172.31.34.115:8000,momentbase,heartrate,1777092792.0245588,1777092792.0245595,1777092792.069465,1777092792.1141617,1777092792.2356896,0.0007152557373046875,43.08450222015381,44.696807861328125,123.34883213043213,211.13085746765137,42.000414,0.0028020000000000002,0.258298,444.376953125
