req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
0,0.0,site2,172.31.46.11:8000,papageissvri,diasbp,1777013394.3009408,1777013394.3009458,1777013394.3130746,1777013394.324474,1777013394.3304667,0.0050067901611328125,11.041402816772461,11.399507522583008,7.080078125,29.5259952545166,9.438692999999999,0.002502,1.461909,27.51708984375
3,0.0,site2,172.31.46.11:8060,papageissvri,diasbp__app27,1777013394.301237,1777013394.3012385,1777013394.3142264,1777013394.32548,1777013394.3305562,0.001430511474609375,11.895060539245605,11.253595352172852,6.168961524963379,29.319047927856445,9.924555999999999,0.0018909999999999999,0.8928579999999999,27.51708984375
2,0.0,site2,172.31.46.11:8040,papageissvri,diasbp__app19,1777013394.3011858,1777013394.3011878,1777013394.313864,1777013394.3292518,1777013394.332242,0.0019073486328125,11.573433876037598,15.387773513793945,4.093050956726074,31.05616569519043,14.208094,0.002794,0.5333910000000001,27.51708984375
1,0.0,site2,172.31.46.11:8020,papageissvri,diasbp__app11,1777013394.3011298,1777013394.3011317,1777013394.3130753,1777013394.3290937,1777013394.3323002,0.0019073486328125,10.85209846496582,16.018390655517578,4.297971725463867,31.170368194580078,14.710488000000002,0.004497,0.6789740000000001,27.51708984375
25,0.0,site2,172.31.39.15:8030,papageip,sysbp__app14,1777013394.3102343,1777013394.310236,1777013394.3316717,1777013394.360314,1777013394.3615878,0.0016689300537109375,20.367741584777832,28.64217758178711,2.3418664932250977,51.35345458984375,15.314385999999999,0.0029679999999999997,12.645753,27.51708984375
24,0.0,site2,172.31.39.15:8010,papageip,sysbp,1777013394.3101795,1777013394.3101819,1777013394.3307977,1777013394.368906,1777013394.3709216,0.002384185791015625,19.549846649169922,38.10834884643555,3.0815601348876953,60.74213981628418,26.907438,0.002493,10.579030999999999,27.51708984375
26,0.0,site2,172.31.39.15:8050,papageip,sysbp__app22,1777013394.310288,1777013394.3102899,1777013394.3388374,1777013394.373486,1777013394.3800325,0.0019073486328125,27.477025985717773,34.64865684509277,7.616996765136719,69.74458694458008,25.108522,0.0021720000000000003,8.918863,27.51708984375
27,0.0,site2,172.31.39.15:8070,papageip,sysbp__app30,1777013394.310456,1777013394.310459,1777013394.338824,1777013394.3757951,1777013394.3856392,0.00286102294921875,27.30560302734375,36.971092224121094,10.903596878051758,75.18315315246582,27.470895,0.002885,8.842103,27.51708984375
13,0.0,site2,172.31.34.115:8040,momentbase,heartrate__app17,1777013394.3046994,1777013394.3047025,1777013394.3218322,1777013394.4789708,1777013394.4800673,0.0030994415283203125,15.929222106933594,157.13858604431152,2.296924591064453,175.3678321838379,141.527244,0.0025229999999999996,14.832339999999999,443.064453125
14,0.0,site2,172.31.34.115:8060,momentbase,heartrate__app25,1777013394.3047705,1777013394.3047729,1777013394.3278558,1777013394.4813156,1777013394.4822578,0.002384185791015625,21.87967300415039,153.4597873687744,2.145528793334961,177.48737335205078,139.560836,0.003085,13.150695,443.064453125
18,0.0,site2,172.31.39.15:8040,swinsmall,imgclass10__app18,1777013394.3060324,1777013394.3060358,1777013394.330571,1777013394.4863534,1777013394.4872744,0.003337860107421875,21.692991256713867,155.78246116638184,3.7631988525390625,181.2419891357422,148.75384499999998,0.002819,6.412898,195.9267578125
19,0.0,site2,172.31.39.15:8060,swinsmall,imgclass10__app26,1777013394.3076634,1777013394.307669,1777013394.3322897,1777013394.49241,1777013394.4934363,0.0054836273193359375,21.72541618347168,160.12024879455566,3.9217472076416016,185.77289581298828,155.344278,0.002784,4.230303,195.9267578125
17,0.0,site2,172.31.39.15:8020,swinsmall,imgclass10__app10,1777013394.3052764,1777013394.3052797,1777013394.3248239,1777013394.506821,1777013394.5078423,0.003337860107421875,16.58797264099121,181.99706077575684,3.977537155151367,202.56590843200684,180.05079099999998,0.003132,1.381336,195.9267578125
16,0.0,site2,172.31.39.15:8000,swinsmall,imgclass10,1777013394.3049347,1777013394.3049364,1777013394.3249574,1777013394.507546,1777013394.50825,0.0016689300537109375,16.975879669189453,182.5885772705078,3.7491321563720703,203.31525802612305,181.50335,0.0053,0.472109,195.9267578125
12,0.0,site2,172.31.34.115:8000,momentbase,heartrate,1777013394.304543,1777013394.3045497,1777013394.3218448,1777013394.509764,1777013394.5118752,0.00667572021484375,16.08407497406006,187.91913986206055,3.3222436904907227,207.33213424682617,176.432402,0.002638,10.861857,443.064453125
21,0.0,site2,172.31.40.38:8040,dinosmall,nyudepth__app16,1777013394.3088179,1777013394.3088214,1777013394.329134,1777013394.5221102,1777013394.53353,0.0035762786865234375,17.357349395751953,192.9762363433838,14.374971389770508,224.71213340759277,177.42481800000002,0.00347,14.717157,92.642578125
22,0.0,site2,172.31.40.38:8060,dinosmall,nyudepth__app24,1777013394.3091745,1777013394.3091767,1777013394.3370683,1777013394.5244446,1777013394.5388598,0.0021457672119140625,24.954557418823242,187.3762607574463,17.35234260559082,229.68530654907227,173.353697,0.0040149999999999995,13.250579,92.642578125
15,0.0,site2,172.31.34.115:8020,momentbase,heartrate__app9,1777013394.304834,1777013394.3048365,1777013394.3248253,1777013394.5322323,1777013394.5391762,0.0026226043701171875,18.78833770751953,207.40699768066406,8.144378662109375,234.3423366546631,198.127786,0.002698,8.504773,443.064453125
20,0.0,site2,172.31.40.38:8000,dinosmall,nyudepth,1777013394.308341,1777013394.3083458,1777013394.3288538,1777013394.5894735,1777013394.598597,0.00476837158203125,17.513036727905273,260.6196403503418,12.11857795715332,290.2560234069824,245.901983,0.00263,13.892315,92.642578125
23,0.0,site2,172.31.40.38:8020,dinosmall,nyudepth__app8,1777013394.3098352,1777013394.3098376,1777013394.3376231,1777013394.6078973,1777013394.6187932,0.002384185791015625,24.863004684448242,270.27416229248047,13.818502426147461,308.9580535888672,254.16324200000003,0.00232,15.345521000000002,92.642578125
41,0.2895771774342128,site2,172.31.46.11:8040,papageissvri,diasbp__app19,1777013394.5876305,1777013394.5876353,1777013394.5890856,1777013394.6171365,1777013394.619484,0.00476837158203125,0.34749507904052734,28.050899505615234,3.4502744674682617,31.853437423706055,20.646496,0.00229,6.6935199999999995,27.51708984375
30,0.0,site2,172.31.46.11:8050,dinobase,vocseg__app23,1777013394.311309,1777013394.311311,1777013394.3322618,1777013394.6180093,1777013394.6289878,0.0019073486328125,17.82691478729248,285.7475280761719,14.102339744567871,317.67868995666504,277.796246,0.0023020000000000002,7.3268439999999995,339.98193359375
31,0.0,site2,172.31.46.11:8070,dinobase,vocseg__app31,1777013394.3116686,1777013394.3116705,1777013394.341783,1777013394.632431,1777013394.6421218,0.0019073486328125,26.822924613952637,290.6479835510254,12.980341911315918,330.45315742492676,282.85372600000005,0.002506,7.129103000000001,339.98193359375
11,0.0,site2,172.31.34.115:8070,swinbase,eurosatclass__app29,1777013394.3028805,1777013394.3028843,1777013394.3335154,1777013394.643253,1777013394.6440768,0.003814697265625,27.407288551330566,309.7376823425293,4.047513008117676,341.19629859924316,302.561849,0.003084,6.232234,339.7099609375
10,0.0,site2,172.31.34.115:8050,swinbase,eurosatclass__app21,1777013394.3025124,1777013394.3025155,1777013394.3244953,1777013394.6431427,1777013394.64414,0.0030994415283203125,18.785476684570312,318.6473846435547,4.19163703918457,341.6275978088379,310.76788799999997,0.002578,7.29148,339.7099609375
44,0.3211664061733033,site2,172.31.39.15:8000,swinsmall,imgclass10,1777013394.6199138,1777013394.6199174,1777013394.6227033,1777013394.6717744,1777013394.6726043,0.0035762786865234375,-0.25916099548339844,49.07107353210449,3.8750171661376953,52.69050598144531,48.177926,0.0037749999999999997,0.39722599999999997,195.9267578125
49,0.37653982095115296,site2,172.31.39.15:8010,papageip,sysbp,1777013394.6750715,1777013394.675076,1777013394.6762204,1777013394.6854994,1777013394.6865048,0.0045299530029296875,0.07843971252441406,9.279012680053711,2.071380615234375,11.43336296081543,8.50245,0.0022180000000000004,0.353654,27.51708984375
43,0.3189878492436253,site2,172.31.34.115:8040,momentbase,heartrate__app17,1777013394.6195009,1777013394.6195061,1777013394.6215298,1777013394.6979847,1777013394.7000272,0.005245208740234375,0.8232593536376953,76.45487785339355,3.242969512939453,80.52635192871094,70.087113,0.00231,5.7778730000000005,443.064453125
