req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
0,0.0,site2,192.168.245.195:8000,papageissvri,diasbp,1776817211.2661643,1776817211.2661693,1776817211.270425,1776817211.3015294,1776817211.3030531,0.0050067901611328125,2.9834508895874023,31.104326248168945,2.796053886413574,36.888837814331055,29.112322,0.002804,1.18125,27.51708984375
1,0.0,site2,192.168.245.195:8010,papageissvri,etth1fore,1776817211.2663636,1776817211.2663689,1776817211.2709007,1776817211.3058026,1776817211.3073413,0.005245208740234375,2.3407936096191406,34.90185737609863,3.7298202514648438,40.97771644592285,32.802929,0.003636,0.736249,27.6416015625
7,0.0,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.268458,1776817211.268466,1776817211.2745209,1776817211.311563,1776817211.3139246,0.008106231689453125,-3.2186508178710938,37.04214096069336,11.635065078735352,45.46666145324707,35.498195,0.0026850000000000003,0.8035880000000001,443.064453125
4,0.0,site2,192.168.245.193:8000,momentbase,heartrate,1776817211.2671664,1776817211.2671702,1776817211.271625,1776817211.3124974,1776817211.3147383,0.003814697265625,3.9374828338623047,40.87233543395996,2.7582645416259766,47.57189750671387,39.00668,0.0027,0.926478,443.064453125
8,0.0,site2,192.168.245.191:8010,dinosmall,vocseg,1776817211.2686121,1776817211.2686155,1776817211.2937806,1776817211.327362,1776817211.3436537,0.003337860107421875,14.672279357910156,33.58149528503418,26.784420013427734,75.04153251647949,29.841907,0.002773,2.497973,92.671875
6,0.0,site2,192.168.245.191:8000,dinosmall,nyudepth,1776817211.2677824,1776817211.2677925,1776817211.293425,1776817211.3333738,1776817211.355946,0.010013580322265625,14.795303344726562,39.94870185852051,33.40959548950195,88.16361427307129,37.062604,0.003473,1.207867,92.642578125
2,0.0,site2,192.168.245.195:8010,papageissvri,etth1fore,1776817211.2665498,1776817211.2665539,1776817211.30672,1776817211.3414607,1776817211.3589957,0.0040531158447265625,37.97507286071777,34.74068641662598,19.726037979125977,92.44585037231445,33.306114,0.0035930000000000003,0.297393,27.6435546875
10,0.014027292730991302,site2,192.168.245.195:8010,papageissvri,etth1fore,1776817211.2778206,1776817211.277826,1776817211.30672,1776817211.3414607,1776817211.3591726,0.0054836273193359375,26.702880859375,34.74068641662598,19.902944564819336,81.35199546813965,33.306114,0.0035930000000000003,0.297393,27.6435546875
3,0.0,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776817211.2666993,1776817211.266703,1776817211.2881472,1776817211.3486855,1776817211.362923,0.0035762786865234375,0.3669261932373047,60.538291931152344,35.31479835510254,96.22359275817871,58.03598,0.00182,2.000083,195.9267578125
9,0.009833093555733693,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.2749891,1776817211.2749941,1776817211.3124666,1776817211.3499322,1776817211.3630388,0.0050067901611328125,28.198957443237305,37.465572357177734,22.38011360168457,88.04965019226074,36.274257,0.0015179999999999998,0.21577200000000002,443.439453125
11,0.02854769096825911,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.2927182,1776817211.2927234,1776817211.3124666,1776817211.3499322,1776817211.3631358,0.005245208740234375,10.469675064086914,37.465572357177734,22.477149963378906,70.41764259338379,36.274257,0.0015179999999999998,0.21577200000000002,443.439453125
12,0.04091835705450472,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.3045936,1776817211.304599,1776817211.3124666,1776817211.3499322,1776817211.363225,0.0054836273193359375,-1.405954360961914,37.465572357177734,22.56631851196289,58.63142013549805,36.274257,0.0015179999999999998,0.21577200000000002,443.439453125
5,0.0,site2,192.168.245.194:8000,swinsmall,imgclass10,1776817211.2673144,1776817211.2673178,1776817211.292454,1776817211.3560555,1776817211.3633142,0.003337860107421875,-7.744193077087402,63.60149383544922,40.139079093933105,95.99971771240234,62.71549999999999,0.0016109999999999998,0.39865,195.9267578125
13,0.05233743344180836,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.316291,1776817211.3162963,1776817211.3509378,1776817211.3823335,1776817211.3849432,0.005245208740234375,25.36797523498535,31.395673751831055,11.883258819580078,68.65215301513672,30.388357000000003,0.0014,0.186794,443.439453125
14,0.06153613386491408,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.3251932,1776817211.325199,1776817211.3509378,1776817211.3823335,1776817211.3850632,0.0057220458984375,16.465425491333008,31.395673751831055,12.003183364868164,59.870004653930664,30.388357000000003,0.0014,0.186794,443.439453125
16,0.06788006519119388,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.3323503,1776817211.3323555,1776817211.3509378,1776817211.3823335,1776817211.385185,0.005245208740234375,9.308815002441406,31.395673751831055,12.125015258789062,52.83474922180176,30.388357000000003,0.0014,0.186794,443.439453125
15,0.06691653549982766,site2,192.168.245.194:8000,swinsmall,imgclass10,1776817211.3300931,1776817211.3300984,1776817211.356801,1776817211.400866,1776817211.4017253,0.005245208740234375,-6.177783012390137,44.064998626708984,33.739686012268066,71.63214683532715,43.33887,0.00125,0.366039,195.9267578125
22,0.10787418846517491,site2,192.168.245.195:8000,papageissvri,diasbp,1776817211.3717544,1776817211.37176,1776817211.3733425,1776817211.4060204,1776817211.407799,0.0054836273193359375,0.3103017807006836,32.67788887023926,3.0509233474731445,36.04459762573242,30.583505,0.0032069999999999998,1.0493499999999998,27.51708984375
17,0.07292184714917589,site2,192.168.245.191:8010,dinosmall,vocseg,1776817211.3592305,1776817211.359236,1776817211.3744495,1776817211.4086018,1776817211.426144,0.0054836273193359375,4.7206878662109375,34.15226936340332,28.03492546081543,66.91336631774902,30.785355,0.002953,2.4777649999999998,92.671875
20,0.095793363026825,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.3644636,1776817211.364469,1776817211.3832266,1776817211.4156458,1776817211.4327812,0.0054836273193359375,9.484052658081055,32.41920471191406,26.408910751342773,68.31765174865723,30.849033000000002,0.008782,0.471412,443.251953125
23,0.1087984222456986,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.371943,1776817211.3719478,1776817211.3832266,1776817211.4156458,1776817211.4328954,0.00476837158203125,2.005338668823242,32.41920471191406,26.523113250732422,60.95242500305176,30.849033000000002,0.008782,0.471412,443.251953125
18,0.07527463909316313,site2,192.168.245.191:8000,dinosmall,nyudepth,1776817211.3599167,1776817211.359922,1776817211.3772757,1776817211.4138243,1776817211.4432597,0.005245208740234375,6.516456604003906,36.548614501953125,40.27271270751953,83.3430290222168,34.498775,0.002697,1.181858,92.642578125
21,0.10283496999605868,site2,192.168.245.194:8000,swinsmall,imgclass10,1776817211.3663023,1776817211.3663077,1776817211.4015656,1776817211.4412792,1776817211.449971,0.0054836273193359375,2.3773908615112305,39.71362113952637,41.5722131729126,83.66870880126953,39.037853,0.00113,0.33487,195.9267578125
19,0.09523221398235152,site2,192.168.245.191:8010,dinosmall,vocseg,1776817211.3638132,1776817211.3638186,1776817211.4147336,1776817211.4396179,1776817211.4584816,0.0054836273193359375,40.42220115661621,24.88422393798828,29.35647964477539,94.66838836669922,23.16256,0.001741,1.190438,92.671875
24,0.13353975441818983,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.3967617,1776817211.396767,1776817211.416695,1776817211.4454463,1776817211.4622712,0.005245208740234375,10.654687881469727,28.751134872436523,26.09848976135254,65.50955772399902,27.706445,0.0015400000000000001,0.286234,443.251953125
25,0.14527602737180745,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.4093618,1776817211.409367,1776817211.416695,1776817211.4454463,1776817211.4623542,0.005245208740234375,-1.94549560546875,28.751134872436523,26.181459426879883,52.99234390258789,27.706445,0.0015400000000000001,0.286234,443.251953125
26,0.15764669345805307,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.4487305,1776817211.4487357,1776817211.4494371,1776817211.4765828,1776817211.478899,0.005245208740234375,-8.572101593017578,27.1456241607666,11.589765548706055,30.168533325195312,26.031325000000002,0.001522,0.671904,443.064453125
27,0.16399062478433288,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.4489253,1776817211.4489293,1776817211.4773247,1776817211.517086,1776817211.5194938,0.0040531158447265625,19.121885299682617,39.76130485534668,11.681318283081055,70.56856155395508,38.620685,0.0015400000000000001,0.17713399999999999,443.626953125
28,0.1722377355084966,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.4630046,1776817211.463009,1776817211.4773247,1776817211.517086,1776817211.5196111,0.0045299530029296875,5.042076110839844,39.76130485534668,11.798620223999023,56.60653114318848,38.620685,0.0015400000000000001,0.17713399999999999,443.626953125
29,0.17794727370214844,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.4631627,1776817211.4631665,1776817211.4773247,1776817211.517086,1776817211.5197089,0.003814697265625,4.8847198486328125,39.76130485534668,11.896371841430664,56.54621124267578,38.620685,0.0015400000000000001,0.17713399999999999,443.626953125
31,0.19031793978839406,site2,192.168.245.193:8010,momentbase,sysbp,1776817211.4637775,1776817211.4637809,1776817211.4773247,1776817211.517086,1776817211.519927,0.003337860107421875,4.270315170288086,39.76130485534668,12.114524841308594,56.14948272705078,38.620685,0.0015400000000000001,0.17713399999999999,443.626953125
32,0.19653801531910758,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776817211.4638915,1776817211.463895,1776817211.4776337,1776817211.5391812,1776817211.5402176,0.0035762786865234375,-7.338762283325195,61.54751777648926,22.113800048828125,76.32613182067871,59.038909000000004,0.005027,1.802637,195.9267578125
30,0.1845125059737895,site2,192.168.245.194:8000,swinsmall,imgclass10,1776817211.463288,1776817211.4632914,1776817211.476176,1776817211.5422018,1776817211.5430205,0.003337860107421875,-19.995808601379395,66.0257339477539,33.6991548538208,79.73241806030273,65.401639,0.001129,0.29854200000000003,195.9267578125
34,0.25349321863862856,site2,192.168.245.195:8010,papageissvri,etth1fore,1776817211.5166187,1776817211.5166233,1776817211.5182598,1776817211.5463433,1776817211.5481722,0.0045299530029296875,-0.5545616149902344,28.08356285095215,4.019975662231445,31.55350685119629,26.912622,0.002779,0.55506,27.6416015625
