req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
0,0.0,site2,192.168.245.195:8000,papageissvri,diasbp,1776816499.7534862,1776816499.7534916,1776816499.7597415,1776816499.7916508,1776816499.7930906,0.0054836273193359375,4.821062088012695,31.90922737121582,2.86865234375,39.60442543029785,29.026540999999998,0.0041400000000000005,1.494445,44.14697265625
4,0.0,site2,192.168.245.193:8000,momentbase,heartrate,1776816499.7545378,1776816499.7545416,1776816499.7599957,1776816499.8074338,1776816499.8098166,0.003814697265625,0.6852149963378906,47.43814468383789,7.151603698730469,55.278778076171875,44.15081,0.006043000000000001,1.7329750000000002,460.06591796875
6,0.0,site2,192.168.245.191:8000,dinosmall,nyudepth,1776816499.7552745,1776816499.7552786,1776816499.7748394,1776816499.8048878,1776816499.821442,0.0040531158447265625,8.8958740234375,30.048370361328125,27.219057083129883,66.16735458374023,26.530417,0.00377,1.955765,93.4267578125
1,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore,1776816499.7536933,1776816499.7536983,1776816499.7902157,1776816499.8210812,1776816499.8261063,0.0050067901611328125,35.088539123535156,30.86543083190918,6.453990936279297,72.41296768188477,29.060907,0.0038369999999999997,0.223505,44.15087890625
2,0.0,site2,192.168.245.195:8000,papageissvri,etth1fore,1776816499.7538803,1776816499.753885,1776816499.7902157,1776816499.8210812,1776816499.8263264,0.00476837158203125,34.90185737609863,30.86543083190918,6.674051284790039,72.44610786437988,29.060907,0.0038369999999999997,0.223505,44.15087890625
10,0.014027292730991302,site2,192.168.245.195:8000,papageissvri,etth1fore,1776816499.7644138,1776816499.7644193,1776816499.7902157,1776816499.8210812,1776816499.8265152,0.0054836273193359375,24.367570877075195,30.86543083190918,6.862878799438477,62.10136413574219,29.060907,0.0038369999999999997,0.223505,44.15087890625
3,0.0,site2,192.168.245.194:8000,swinsmall,eurosatclass,1776816499.7540455,1776816499.754049,1776816499.7696302,1776816499.825567,1776816499.832443,0.0035762786865234375,-5.743980407714844,55.93681335449219,28.20110321044922,78.39751243591309,53.635117,0.005451,1.352018,213.06787109375
8,0.0,site2,192.168.245.191:8000,dinosmall,vocseg,1776816499.756546,1776816499.7565503,1776816499.8030958,1776816499.837947,1776816499.8554642,0.004291534423828125,35.88056564331055,34.85107421875,28.182268142700195,98.91819953918457,30.475925,0.0031,1.230104,93.4267578125
7,0.0,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.7563722,1776816499.7563765,1776816499.8058672,1776816499.854793,1776816499.861804,0.004291534423828125,44.72184181213379,48.92587661743164,11.77978515625,105.43179512023926,45.448824,0.004874,0.431991,460.81591796875
9,0.009833093555733693,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.7636585,1776816499.7636638,1776816499.8058672,1776816499.854793,1776816499.861939,0.005245208740234375,37.43457794189453,48.92587661743164,11.914730072021484,98.28042984008789,45.448824,0.004874,0.431991,460.81591796875
11,0.02854769096825911,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.7793434,1776816499.7793489,1776816499.8058672,1776816499.854793,1776816499.8620863,0.0054836273193359375,21.749496459960938,48.92587661743164,12.06207275390625,82.74292945861816,45.448824,0.004874,0.431991,460.81591796875
12,0.04091835705450472,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.7912924,1776816499.7912977,1776816499.8058672,1776816499.854793,1776816499.8621936,0.005245208740234375,9.80067253112793,48.92587661743164,12.169361114501953,70.90115547180176,45.448824,0.004874,0.431991,460.81591796875
13,0.05233743344180836,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.8036897,1776816499.8036954,1776816499.8058672,1776816499.854793,1776816499.8622966,0.0057220458984375,-2.5970935821533203,48.92587661743164,12.272357940673828,58.606863021850586,45.448824,0.004874,0.431991,460.81591796875
5,0.0,site2,192.168.245.194:8000,swinsmall,imgclass10,1776816499.7547216,1776816499.7547252,1776816499.8242245,1776816499.8741362,1776816499.87524,0.0035762786865234375,48.174142837524414,49.9117374420166,22.42898941040039,120.51844596862793,47.949825000000004,0.004863,1.189931,213.06787109375
14,0.06153613386491408,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.824551,1776816499.8245573,1776816499.8526165,1776816499.8904233,1776816499.8927765,0.006198883056640625,23.290395736694336,37.80674934387207,7.122039794921875,68.22538375854492,35.360579,0.003513,0.687388,461.00341796875
16,0.06788006519119388,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.8272443,1776816499.8272495,1776816499.8526165,1776816499.8904233,1776816499.8929076,0.005245208740234375,20.598173141479492,37.80674934387207,7.253170013427734,65.66333770751953,35.360579,0.003513,0.687388,461.00341796875
22,0.10787418846517491,site2,192.168.245.195:8000,papageissvri,diasbp,1776816499.8630092,1776816499.8630157,1776816499.867557,1776816499.895446,1776816499.8971417,0.0064373016357421875,3.1125545501708984,27.889013290405273,3.1244754791259766,34.13248062133789,25.880924,0.003173,0.96632,44.15087890625
15,0.06691653549982766,site2,192.168.245.194:8000,swinsmall,imgclass10,1776816499.826578,1776816499.8265839,1776816499.8733199,1776816499.9161189,1776816499.9172804,0.0059604644775390625,25.410890579223633,42.79899597167969,22.48668670654297,90.70253372192383,41.394693000000004,0.0044399999999999995,0.380598,212.63720703125
21,0.10283496999605868,site2,192.168.245.194:8000,swinsmall,imgclass10,1776816499.8623238,1776816499.862329,1776816499.8733199,1776816499.9161189,1776816499.9174085,0.005245208740234375,-10.334253311157227,42.79899597167969,22.614717483520508,55.0847053527832,41.394693000000004,0.0044399999999999995,0.380598,212.63720703125
20,0.095793363026825,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.8592901,1776816499.8592951,1776816499.8890526,1776816499.9209394,1776816499.9237483,0.0050067901611328125,24.988651275634766,31.886816024780273,7.577657699584961,64.45813179016113,29.411184,0.0038840000000000003,0.442067,460.62841796875
23,0.1087984222456986,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.8631961,1776816499.8632002,1776816499.8890526,1776816499.9209394,1776816499.9238768,0.0040531158447265625,21.083593368530273,31.886816024780273,7.706165313720703,60.68062782287598,29.411184,0.0038840000000000003,0.442067,460.62841796875
24,0.13353975441818983,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.885803,1776816499.8858087,1776816499.8890526,1776816499.9209394,1776816499.9240072,0.0057220458984375,-1.5249252319335938,31.886816024780273,7.836580276489258,38.204193115234375,29.411184,0.0038840000000000003,0.442067,460.62841796875
17,0.07292184714917589,site2,192.168.245.191:8000,dinosmall,vocseg,1776816499.8274155,1776816499.827421,1776816499.8484402,1776816499.9270759,1776816499.9449432,0.0054836273193359375,10.354280471801758,78.63569259643555,28.53226661682129,117.52772331237793,25.639103,0.003623,52.023904,93.4267578125
25,0.14527602737180745,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.8964872,1776816499.8964925,1776816499.9193823,1776816499.9465272,1776816499.955251,0.005245208740234375,18.121004104614258,27.144908905029297,13.492584228515625,58.763742446899414,25.063457,0.00304,0.412742,460.81591796875
26,0.15764669345805307,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.9087238,1776816499.9087293,1776816499.9193823,1776816499.9465272,1776816499.9553866,0.0054836273193359375,5.8841705322265625,27.144908905029297,13.628244400024414,46.66280746459961,25.063457,0.00304,0.412742,460.81591796875
27,0.16399062478433288,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.9146655,1776816499.9146707,1776816499.9193823,1776816499.9465272,1776816499.9555027,0.005245208740234375,-0.057220458984375,27.144908905029297,13.744354248046875,40.83728790283203,25.063457,0.00304,0.412742,460.81591796875
18,0.07527463909316313,site2,192.168.245.191:8000,dinosmall,nyudepth,1776816499.8279808,1776816499.8279855,1776816499.875724,1776816499.9571126,1776816499.9746008,0.00476837158203125,37.073612213134766,81.38847351074219,28.153181076049805,146.6200351715088,78.78763900000001,0.003573,1.448903,93.80322265625
19,0.09523221398235152,site2,192.168.245.191:8000,dinosmall,vocseg,1776816499.85858,1776816499.8585868,1776816499.875724,1776816499.9625437,1776816499.9910822,0.00667572021484375,6.472349166870117,86.81964874267578,39.20340538024902,132.50207901000977,78.78763900000001,0.002769,6.346449,93.80322265625
28,0.1722377355084966,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.922976,1776816499.922981,1776816499.94574,1776816499.9698467,1776816499.9963536,0.0050067901611328125,17.9901123046875,24.106740951538086,31.27574920654297,73.37760925292969,21.973247,0.0035099999999999997,0.58796,460.62841796875
29,0.17794727370214844,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.92859,1776816499.9285955,1776816499.94574,1776816499.9698467,1776816499.9964688,0.0054836273193359375,12.375593185424805,24.106740951538086,31.390905380249023,67.87872314453125,21.973247,0.0035099999999999997,0.58796,460.62841796875
31,0.19031793978839406,site2,192.168.245.193:8000,momentbase,sysbp,1776816499.9519336,1776816499.9519389,1776816499.9683309,1776816499.9907975,1776816499.9967456,0.005245208740234375,11.623144149780273,22.466659545898438,10.716915130615234,44.81196403503418,20.656274,0.0030299999999999997,1.1140729999999999,460.25341796875
30,0.1845125059737895,site2,192.168.245.194:8000,swinsmall,imgclass10,1776816499.9512606,1776816499.951266,1776816499.9604657,1776816500.0035224,1776816500.004857,0.0054836273193359375,-12.125492095947266,43.05672645568848,22.659778594970703,53.59649658203125,41.086482000000004,0.0048969999999999994,1.1259,212.63720703125
34,0.25349321863862856,site2,192.168.245.195:8000,papageissvri,etth1fore,1776816500.0042922,1776816500.0042973,1776816500.0057569,1776816500.0334988,1776816500.0352056,0.0050067901611328125,0.030755996704101562,27.74190902709961,3.13568115234375,30.913352966308594,25.98218,0.0030759999999999997,0.696574,44.15087890625
32,0.19653801531910758,site2,192.168.245.194:8000,swinsmall,eurosatclass,1776816499.9521074,1776816499.9521124,1776816500.0025506,1776816500.0438776,1776816500.0461018,0.0050067901611328125,29.113054275512695,41.32699966430664,23.549318313598633,93.9943790435791,39.367422999999995,0.004973,1.16058,212.49365234375
35,0.2845253199836491,site2,192.168.245.193:8000,momentbase,sysbp,1776816500.0352826,1776816500.0352879,1776816500.0355623,1776816500.0584462,1776816500.060699,0.005245208740234375,-4.494428634643555,22.883892059326172,7.021665573120117,25.41637420654297,21.011176,0.00306,1.09485,460.06591796875
33,0.24650870798098276,site2,192.168.245.194:8000,swinsmall,imgclass10,1776816499.9970887,1776816499.9970934,1776816500.0427208,1776816500.0842361,1776816500.085304,0.00476837158203125,24.302244186401367,41.515350341796875,22.392988204956055,88.21535110473633,39.869443,0.00478,0.912142,212.49365234375
38,0.3292500358339217,site2,192.168.245.193:8000,momentbase,sysbp,1776816500.08027,1776816500.0802755,1776816500.0806444,1776816500.1055858,1776816500.1080456,0.0054836273193359375,-4.400014877319336,24.941444396972656,7.228612899780273,27.77552604675293,22.337081,0.00367,1.464091,460.06591796875
36,0.29353903578305424,site2,192.168.245.194:8000,swinsmall,eurosatclass,1776816500.0441651,1776816500.0441709,1776816500.0838118,1776816500.1249745,1776816500.126384,0.0057220458984375,18.315792083740234,41.162729263305664,22.734642028808594,82.21888542175293,39.187093,0.00487,0.562297,212.63720703125
37,0.32397072847762576,site2,192.168.245.194:8000,swinsmall,eurosatclass,1776816500.0752652,1776816500.0752707,1776816500.0838118,1776816500.1249745,1776816500.126512,0.0054836273193359375,-12.784004211425781,41.162729263305664,22.862672805786133,51.24688148498535,39.187093,0.00487,0.562297,212.63720703125
