req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
1,0.0,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731145.1434083,1776731145.143413,1776731145.147604,1776731145.1776857,1776731145.1788704,0.00476837158203125,2.4542808532714844,30.081748962402344,2.9213428497314453,35.462141036987305,28.605854,0.00275,0.654197
0,0.0,site2,192.168.245.195:8000,papageissvri,diasbp,1776731145.1432128,1776731145.1432185,1776731145.1475306,1776731145.1789296,1776731145.1799386,0.0057220458984375,2.5348663330078125,31.399011611938477,2.7861595153808594,36.725759506225586,29.627879999999998,0.0033469999999999997,0.97412
3,0.0,site2,192.168.245.193:8000,momentbase,heartrate,1776731145.144085,1776731145.1440885,1776731145.1482952,1776731145.1842825,1776731145.1861227,0.0035762786865234375,3.139376640319824,35.98737716674805,2.907395362854004,42.0377254486084,34.276342,0.0026520000000000003,0.8833460000000001
6,0.0,site2,192.168.245.193:8010,momentbase,sysbp,1776731145.1452663,1776731145.14527,1776731145.1505716,1776731145.1921444,1776731145.1939886,0.003814697265625,4.424810409545898,41.57280921936035,2.7208328247070312,48.722267150878906,39.677127,0.002624,0.9799539999999999
5,0.0,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731145.1447132,1776731145.1447167,1776731145.1658447,1776731145.208135,1776731145.2240622,0.0035762786865234375,12.442708015441895,42.29021072387695,24.61254596710205,79.34904098510742,39.333428,0.004463,1.739476
7,0.0,site2,192.168.245.191:8010,dinosmall,vocseg,1776731145.145402,1776731145.1454048,1776731145.1703942,1776731145.21343,1776731145.2363093,0.00286102294921875,16.365528106689453,43.03574562072754,31.50320053100586,90.90733528137207,40.70299,0.0036,1.427902
2,0.0,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731145.143567,1776731145.1435707,1776731145.1628745,1776731145.2205834,1776731145.23986,0.0035762786865234375,11.20901107788086,57.7089786529541,27.37140655517578,96.29297256469727,55.167866000000004,0.002253,2.005624
4,0.0,site2,192.168.245.194:8000,swinsmall,imgclass10,1776731145.1442196,1776731145.144223,1776731145.1669815,1776731145.2307475,1776731145.2401245,0.003337860107421875,14.530181884765625,63.7660026550293,17.605304718017578,95.90482711791992,62.724136,0.001694,0.454518
8,0.06327305120725943,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731145.2045476,1776731145.2045531,1776731145.2153916,1776731145.2411554,1776731145.2597287,0.0054836273193359375,2.1532773971557617,25.763750076293945,27.25851535797119,55.181026458740234,24.01133,0.00247,0.979218
9,0.10690838771807691,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731145.2476997,1776731145.2477055,1776731145.2565076,1776731145.3051393,1776731145.3060348,0.0057220458984375,0.7073879241943359,48.63166809082031,8.990287780761719,58.335065841674805,47.809380999999995,0.001864,0.40588199999999997
