req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
0,0.0,site2,192.168.245.195:8000,papageissvri,diasbp,1776818631.0640113,1776818631.0640163,1776818631.0730894,1776818631.1051092,1776818631.1067312,0.0050067901611328125,7.894277572631836,32.019853591918945,2.8007030487060547,42.71984100341797,29.283866,0.00452,1.304363,61.0283203125
7,0.0,site2,192.168.245.193:8000,momentbase,heartrate,1776818631.0661328,1776818631.0661354,1776818631.0745418,1776818631.1166975,1776818631.119047,0.0026226043701171875,0.48482418060302734,42.15574264526367,10.270953178405762,52.91414260864258,38.784199,0.0049099999999999994,2.136616,477.81884765625
11,0.0,site2,192.168.245.191:8000,dinosmall,nyudepth,1776818631.0678263,1776818631.0678287,1776818631.0900085,1776818631.119331,1776818631.1390307,0.002384185791015625,-4.283666610717773,29.322385787963867,46.163320541381836,71.20442390441895,24.876782,0.0063230000000000005,1.756016,94.9658203125
5,0.0,site2,192.168.245.194:8000,swinsmall,eurosatclass,1776818631.064663,1776818631.0646653,1776818631.081719,1776818631.1366856,1776818631.1420767,0.002384185791015625,-9.585261344909668,54.96668815612793,32.02998638153076,77.41379737854004,53.197224,0.002923,0.9685860000000001,229.80810546875
14,0.0,site2,192.168.245.193:8000,momentbase,sysbp__app13,1776818631.0691943,1776818631.0691967,1776818631.1145895,1776818631.1665611,1776818631.1695173,0.002384185791015625,37.47117519378662,51.9716739654541,10.877728462219238,100.32296180725098,47.463316,0.004,1.636538,478.56884765625
24,0.010563837990768165,site2,192.168.245.193:8000,momentbase,sysbp__app13,1776818631.0849593,1776818631.084962,1776818631.1145895,1776818631.1665611,1776818631.1696367,0.0026226043701171875,21.705985069274902,51.9716739654541,10.997176170349121,84.67745780944824,47.463316,0.004,1.636538,478.56884765625
8,0.0,site2,192.168.245.193:8000,momentbase,heartrate__app9,1776818631.0662382,1776818631.066241,1776818631.1145895,1776818631.167531,1776818631.1708071,0.00286102294921875,40.42685031890869,52.94156074523926,11.197686195373535,104.5689582824707,47.463316,0.003513,3.801571,478.56884765625
13,0.0,site2,192.168.245.193:8000,momentbase,sysbp,1776818631.0690818,1776818631.0690844,1776818631.1145895,1776818631.1675737,1776818631.170924,0.0026226043701171875,37.58347034454346,52.98423767089844,11.271834373474121,101.84216499328613,47.463316,0.003663,3.662654,478.56884765625
23,0.009833093555733693,site2,192.168.245.193:8000,momentbase,heartrate,1776818631.0848613,1776818631.084864,1776818631.1145895,1776818631.168141,1776818631.1710236,0.0026226043701171875,21.803975105285645,53.551435470581055,10.804295539855957,86.16232872009277,47.463316,0.00443,1.24871,478.56884765625
27,0.02854769096825911,site2,192.168.245.193:8000,momentbase,heartrate,1776818631.090252,1776818631.0902574,1776818631.1145895,1776818631.168141,1776818631.1711142,0.0054836273193359375,16.410470008850098,53.551435470581055,10.89489459991455,80.86228370666504,47.463316,0.00443,1.24871,478.56884765625
