req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
1,0.0,site2,172.31.32.69:8010,papageissvri,etth1fore,1777586005.0072324,1777586005.0072324,1777586005.008428,1777586005.018155,1777586005.0189621,0.0,0.28502941131591797,9.727001190185547,1.717686653137207,11.729717254638672,8.985758,0.002046,0.284859,27.6416015625
0,0.0,site2,172.31.32.69:8000,papageissvri,diasbp,1777586005.0071397,1777586005.0071397,1777586005.008425,1777586005.0186503,1777586005.0192661,0.0,0.3751516342163086,10.225296020507812,1.5259981155395508,12.126445770263672,8.861583,0.001853,0.370037,27.51708984375
3,0.0,site2,172.31.46.11:8000,momentbase,heartrate,1777586005.0072792,1777586005.0072792,1777586005.0091712,1777586005.0253828,1777586005.0264833,0.0,0.9055137634277344,16.211509704589844,2.087116241455078,19.204139709472656,15.268816,0.002,0.465299,443.064453125
6,0.0,site2,172.31.46.11:8010,momentbase,sysbp,1777586005.0073378,1777586005.0073378,1777586005.0103047,1777586005.0252619,1777586005.026524,0.0,1.9941329956054688,14.957189559936523,2.234935760498047,19.18625831604004,13.866699,0.002427,0.581929,443.064453125
5,0.0,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586005.0073183,1777586005.0073183,1777586005.0115542,1777586005.0260231,1777586005.0296514,0.0,1.80816650390625,14.468908309936523,6.056070327758789,22.333145141601562,11.900597000000001,0.001656,1.600687,92.642578125
7,0.0,site2,172.31.40.38:8010,dinosmall,vocseg,1777586005.0073557,1777586005.0073557,1777586005.0121896,1777586005.026628,1777586005.029858,0.0,2.5048255920410156,14.438390731811523,5.559206008911133,22.502422332763672,13.423663000000001,0.002017,0.551244,92.671875
4,0.0,site2,172.31.35.65:8000,swinsmall,imgclass10,1777586005.0072994,1777586005.0072994,1777586005.010565,1777586005.0403323,1777586005.041207,0.0,0.9007453918457031,29.767274856567383,3.2396316528320312,33.90765190124512,28.939491,0.0024040000000000003,0.3559,195.9267578125
2,0.0,site2,172.31.35.65:8010,swinsmall,eurosatclass,1777586005.007258,1777586005.007258,1777586005.0100372,1777586005.039885,1777586005.0412543,0.0,0.3839731216430664,29.84786033630371,3.764510154724121,33.9963436126709,28.963274000000002,0.002028,0.402436,195.9267578125
8,0.06327305120725943,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586005.0688307,1777586005.0688307,1777586005.0707471,1777586005.0785637,1777586005.0814047,0.0,-0.5114078521728516,7.816553115844727,5.26881217956543,12.573957443237305,6.996111,0.001353,0.442025,92.642578125
9,0.10690838771807691,site2,172.31.35.65:8010,swinsmall,eurosatclass,1777586005.1121693,1777586005.1121693,1777586005.1146474,1777586005.1438766,1777586005.144661,0.0,0.08285045623779297,29.229164123535156,3.1796693801879883,32.49168395996094,28.362816,0.002722,0.38695,195.9267578125
10,0.13945438589517303,site2,172.31.32.69:8010,papageissvri,etth1fore,1777586005.1441436,1777586005.1441436,1777586005.1451256,1777586005.1547337,1777586005.1556377,0.0,0.07140636444091797,9.608030319213867,1.814723014831543,11.494159698486328,8.846654000000001,0.001831,0.26862199999999997,27.6416015625
11,0.14359762297772477,site2,172.31.32.69:8010,papageissvri,etth1fore,1777586005.1481793,1777586005.1481793,1777586005.1550744,1777586005.1636891,1777586005.1644082,0.0,5.9844255447387695,8.614778518676758,1.6297101974487305,16.228914260864258,8.067961,0.001082,0.21839999999999998,27.6416015625
12,0.3018225119056611,site2,172.31.40.38:8010,dinosmall,vocseg,1777586005.3080707,1777586005.3080707,1777586005.3102517,1777586005.3187106,1777586005.3220096,0.0,-0.1480579376220703,8.458852767944336,5.628108978271484,13.93890380859375,7.423271000000001,0.002013,0.567442,92.671875
13,0.3211664061733033,site2,172.31.35.65:8000,swinsmall,imgclass10,1777586005.326528,1777586005.326528,1777586005.3287747,1777586005.3584428,1777586005.3593802,0.0,-0.118255615234375,29.668092727661133,3.302335739135742,32.8521728515625,28.822042999999997,0.0029100000000000003,0.35599,195.9267578125
14,0.37653982095115296,site2,172.31.46.11:8010,momentbase,sysbp,1777586005.3819375,1777586005.3819375,1777586005.3828747,1777586005.3966599,1777586005.3974915,0.0,-0.03552436828613281,13.785123825073242,1.804351806640625,15.553951263427734,12.883301,0.002689,0.420901,443.064453125
15,0.38364482826844526,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586005.3886983,1777586005.3886983,1777586005.391074,1777586005.3993099,1777586005.4024704,0.0,-0.05221366882324219,8.235931396484375,5.588293075561523,13.772010803222656,7.295211,0.001436,0.49117900000000003,92.642578125
16,0.40153496348497486,site2,172.31.40.38:8010,dinosmall,vocseg,1777586005.4060094,1777586005.4060094,1777586005.4078343,1777586005.4159858,1777586005.4191585,0.0,-0.5042552947998047,8.151531219482422,5.501747131347656,13.149023056030273,7.204244999999999,0.0018599999999999999,0.547331,92.671875
18,0.4454463035298972,site2,172.31.32.69:8000,papageissvri,diasbp,1777586005.4504766,1777586005.4504766,1777586005.4514263,1777586005.4609811,1777586005.4617872,0.0,0.039458274841308594,9.554862976074219,1.7162561416625977,11.310577392578125,8.734288,0.001719,0.36984700000000004,27.51708984375
17,0.428444678207049,site2,172.31.35.65:8000,swinsmall,imgclass10,1777586005.433815,1777586005.433815,1777586005.435926,1777586005.4655554,1777586005.4662943,0.0,-0.25391578674316406,29.62946891784668,3.1037330627441406,32.479286193847656,28.790639,0.0019069999999999998,0.372411,195.9267578125
19,0.6314435227206293,site2,172.31.46.11:8000,momentbase,heartrate,1777586005.6369836,1777586005.6369836,1777586005.6379058,1777586005.6514862,1777586005.6523087,0.0,-0.06437301635742188,13.580322265625,1.8091201782226562,15.325069427490234,12.702552,0.0022340000000000003,0.41087799999999997,443.064453125
20,0.6746549164189573,site2,172.31.40.38:8010,dinosmall,vocseg,1777586005.6800706,1777586005.6800706,1777586005.6825771,1777586005.6910405,1777586005.6947973,0.0,0.1773834228515625,8.463382720947266,6.085872650146484,14.726638793945312,7.469867,0.001575,0.56433,92.671875
21,0.8329258143120031,site2,172.31.40.38:8010,dinosmall,vocseg,1777586005.8394387,1777586005.8394387,1777586005.8414752,1777586005.8501632,1777586005.8536336,0.0,-0.2925395965576172,8.687973022460938,5.799531936645508,14.194965362548828,7.198620999999999,0.001771,0.573169,92.671875
22,1.0725305245889964,site2,172.31.40.38:8010,dinosmall,vocseg,1777586006.0773566,1777586006.0773566,1777586006.0792346,1777586006.0871751,1777586006.0902703,0.0,-0.45108795166015625,7.940530776977539,5.424261093139648,12.913703918457031,7.0452010000000005,0.0014240000000000001,0.535799,92.671875
23,1.0914079708079982,site2,172.31.32.69:8010,papageissvri,etth1fore,1777586006.0968711,1777586006.0968711,1777586006.0978458,1777586006.1072273,1777586006.10818,0.0,0.06401538848876953,9.381532669067383,1.8633604049682617,11.308908462524414,8.653243,0.001735,0.273831,27.6416015625
24,1.129670518388216,site2,172.31.46.11:8000,momentbase,heartrate,1777586006.1359353,1777586006.1359353,1777586006.1370428,1777586006.1504881,1777586006.1518035,0.0,0.12087821960449219,13.445377349853516,2.301931381225586,15.868186950683594,12.567518999999999,0.002202,0.409768,443.064453125
26,1.1470211634832792,site2,172.31.32.69:8000,papageissvri,diasbp,1777586006.1518328,1777586006.1518328,1777586006.1526585,1777586006.1620085,1777586006.162956,0.0,-0.0845193862915039,9.350061416625977,1.8576383590698242,11.123180389404297,8.574722,0.001649,0.344147,27.51708984375
27,1.1479145340809238,site2,172.31.46.11:8010,momentbase,sysbp,1777586006.1522918,1777586006.1522918,1777586006.1530385,1777586006.1666157,1777586006.1677737,0.0,-0.22602081298828125,13.57722282409668,2.130746841430664,15.481948852539062,12.726332,0.002385,0.40436900000000003,443.064453125
25,1.1300691430728522,site2,172.31.35.65:8010,swinsmall,eurosatclass,1777586006.1360302,1777586006.1360302,1777586006.138415,1777586006.167677,1777586006.1684825,0.0,-0.010371208190917969,29.26182746887207,3.2008886337280273,32.45234489440918,28.389020000000002,0.0021959999999999996,0.374628,195.9267578125
28,1.2298882790426433,site2,172.31.46.11:8010,momentbase,sysbp,1777586006.235069,1777586006.235069,1777586006.2359478,1777586006.2495027,1777586006.2504141,0.0,-0.09393692016601562,13.554811477661133,1.8842220306396484,15.345096588134766,12.701557000000001,0.0024600000000000004,0.40793399999999996,443.064453125
29,1.2554369857329113,site2,172.31.40.38:8010,dinosmall,vocseg,1777586006.261004,1777586006.261004,1777586006.2626736,1777586006.2705982,1777586006.2737947,0.0,-0.6594657897949219,7.924556732177734,5.5255889892578125,12.790679931640625,7.025761,0.001636,0.531555,92.671875
30,1.3806460909295588,site2,172.31.46.11:8010,momentbase,sysbp,1777586006.3853805,1777586006.3853805,1777586006.3866234,1777586006.4000897,1777586006.4009664,0.0,0.2701282501220703,13.466358184814453,1.8494129180908203,15.585899353027344,12.601792,0.003075,0.38528,443.064453125
31,1.4059269964591186,site2,172.31.40.38:8010,dinosmall,vocseg,1777586006.4116666,1777586006.4116666,1777586006.4135268,1777586006.4216557,1777586006.42481,0.0,-0.46896934509277344,8.128881454467773,5.483388900756836,13.143301010131836,7.168664,0.001781,0.548391,92.671875
32,1.4187481506525548,site2,172.31.32.69:8000,papageissvri,diasbp,1777586006.4240544,1777586006.4240544,1777586006.424948,1777586006.4345374,1777586006.4353142,0.0,-0.016570091247558594,9.589433670043945,1.6869306564331055,11.259794235229492,8.726166000000001,0.0021809999999999998,0.398175,27.51708984375
33,1.4259290070701676,site2,172.31.46.11:8000,momentbase,heartrate,1777586006.4313545,1777586006.4313545,1777586006.432401,1777586006.4462948,1777586006.447141,0.0,0.05984306335449219,13.893842697143555,1.832723617553711,15.786409378051758,13.052842,0.001768,0.388565,443.064453125
34,1.434231931775763,site2,172.31.46.11:8000,momentbase,heartrate,1777586006.4388168,1777586006.4388168,1777586006.4466546,1777586006.4596064,1777586006.4604828,0.0,6.8511962890625,12.951850891113281,1.8630027770996094,21.66604995727539,12.163886,0.001772,0.37581000000000003,443.064453125
35,1.457139369829752,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586006.4620016,1777586006.4620016,1777586006.4646862,1777586006.4736881,1777586006.4778807,0.0,0.2567768096923828,9.001970291137695,6.6204071044921875,15.879154205322266,8.087489,0.002179,0.46430499999999997,92.642578125
36,1.4647669430976347,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586006.4694235,1777586006.4694235,1777586006.4766169,1777586006.4841928,1777586006.487347,0.0,4.765510559082031,7.57598876953125,5.581855773925781,17.923355102539062,6.790406,0.001256,0.44025,92.642578125
37,1.5207157974903631,site2,172.31.32.69:8000,papageissvri,diasbp,1777586006.5259197,1777586006.5259197,1777586006.5267317,1777586006.535843,1777586006.5366695,0.0,-0.09810924530029297,9.111166000366211,1.736760139465332,10.74981689453125,8.362425,0.001313,0.34665999999999997,27.51708984375
38,1.6335277225081557,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586006.638317,1777586006.638317,1777586006.6404395,1777586006.6483188,1777586006.651757,0.0,-0.30541419982910156,7.8792572021484375,5.866050720214844,13.43989372253418,7.025323,0.001366,0.463998,92.642578125
40,1.6607001622134674,site2,172.31.40.38:8010,dinosmall,vocseg,1777586006.6658933,1777586006.6658933,1777586006.6679804,1777586006.6762555,1777586006.679679,0.0,-0.24199485778808594,8.275032043457031,5.7525634765625,13.785600662231445,7.263554,0.00165,0.560493,92.671875
39,1.6498837214259279,site2,172.31.35.65:8010,swinsmall,eurosatclass,1777586006.6552954,1777586006.6552954,1777586006.6587818,1777586006.6889198,1777586006.6899247,0.0,1.0911226272583008,30.138015747070312,3.4002065658569336,34.62934494018555,29.129144,0.002473,0.5313450000000001,195.9267578125
41,1.6709970683865674,site2,172.31.35.65:8000,swinsmall,imgclass10,1777586006.677334,1777586006.677334,1777586006.6799767,1777586006.7097025,1777586006.710589,0.0,0.2777576446533203,29.72579002380371,3.251314163208008,33.25486183166504,28.83739,0.001921,0.39097,195.9267578125
42,1.708844326438974,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586006.7145822,1777586006.7145822,1777586006.716582,1777586006.72439,1777586006.7280772,0.0,-0.4279613494873047,7.80797004699707,6.114959716796875,13.49496841430664,6.970693,0.001494,0.46264299999999997,92.642578125
43,1.7801767182403792,site2,172.31.46.11:8000,momentbase,heartrate,1777586006.7857184,1777586006.7857184,1777586006.7866259,1777586006.8002596,1777586006.8011262,0.0,-0.07915496826171875,13.63372802734375,1.8532276153564453,15.407800674438477,12.750614,0.002504,0.39071,443.064453125
44,1.8704348279678884,site2,172.31.32.69:8000,papageissvri,diasbp,1777586006.8759274,1777586006.8759274,1777586006.8769748,1777586006.8865116,1777586006.8877563,0.0,0.13720989227294922,9.5367431640625,2.1549463272094727,11.828899383544922,8.679079,0.001807,0.388404,27.51708984375
45,1.881784623555176,site2,172.31.46.11:8000,momentbase,heartrate,1777586006.8872204,1777586006.8872204,1777586006.8882394,1777586006.9021235,1777586006.9030113,0.0,0.0324249267578125,13.88406753540039,1.8744468688964844,15.790939331054688,12.539546,0.0026079999999999996,0.393667,443.064453125
46,1.9048508681427023,site2,172.31.35.65:8000,swinsmall,imgclass10,1777586006.9096408,1777586006.9096408,1777586006.9118812,1777586006.9413304,1777586006.94225,0.0,-0.12445449829101562,29.4492244720459,3.284454345703125,32.60922431945801,28.597771,0.0021100000000000003,0.361999,195.9267578125
47,1.95945490992984,site2,172.31.35.65:8010,swinsmall,eurosatclass,1777586006.9648573,1777586006.9648573,1777586006.9670596,1777586006.9967122,1777586006.997576,0.0,-0.19299983978271484,29.65259552001953,3.2590627670288086,32.718658447265625,28.257335,0.001921,0.38541299999999995,195.9267578125
48,2.0484472589078697,site2,172.31.40.38:8000,dinosmall,nyudepth,1777586007.053181,1777586007.053181,1777586007.055677,1777586007.0638583,1777586007.066896,0.0,0.06818771362304688,8.181333541870117,5.465507507324219,13.715028762817383,7.278814,0.00157,0.482471,92.642578125
