task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,60.5793,58.3156,57.1699,0.0029,0.6242,1.4417,2.2637,1776647144254975440
ecgclass,no_sharing,0.2413,71.3,60.1672,58.8766,0.0027,0.6802,3.1297,11.1328,1776647144497842203
ecgclass,no_sharing,0.4749,63.148,59.8747,58.6201,0.0029,0.6799,2.3966,3.2733,1776647144730748664
ecgclass,no_sharing,0.7137,73.6005,62.8565,59.7836,0.0041,2.2576,3.4251,10.744,1776647144970580717
ecgclass,no_sharing,0.7412,103.9946,56.4153,53.5925,0.0025,2.1818,39.5284,47.5793,1776647145034198163
ecgclass,no_sharing,0.7499,151.8781,55.0032,54.014,0.0016,0.5347,87.7824,96.8749,1776647145091168403
ecgclass,no_sharing,0.9007,62.2764,59.567,58.4461,0.0018,0.6602,1.9763,2.7093,1776647145156173642
ecgclass,no_sharing,1.0374,60.8954,57.997,56.9728,0.002,0.5463,2.2285,2.8985,1776647145293062916
ecgclass,no_sharing,1.3499,68.7661,60.5933,59.1731,0.0027,0.6996,2.1784,8.1728,1776647145605489667
ecgclass,no_sharing,1.3563,116.8773,59.1266,57.2255,0.0042,1.0048,56.8383,57.7507,1776647145666639512
ecgclass,no_sharing,1.4608,74.6973,61.4009,58.7766,0.0021,2.0195,12.4907,13.2964,1776647145726717853
ecgclass,no_sharing,1.4677,126.4529,58.2559,55.7236,0.0021,2.0182,67.4136,68.1971,1776647145788555049
ecgclass,no_sharing,1.577,77.7497,60.1081,57.5561,0.0018,2.0599,16.8641,17.6416,1776647145847276816
ecgclass,no_sharing,1.7499,62.6357,58.5811,57.3729,0.0024,0.5459,3.1216,4.0546,1776647146006486351
ecgclass,no_sharing,1.7893,83.1883,59.4161,56.8734,0.0015,2.0413,22.9061,23.7722,1776647146065668307
ecgclass,no_sharing,1.9124,61.5337,58.0571,57.0288,0.003,0.5346,2.7397,3.4765,1776647146168561484
ecgclass,no_sharing,1.9285,103.7395,57.9196,55.4075,0.0049,1.8559,45.0954,45.8199,1776647146227056709
ecgclass,no_sharing,1.9369,156.038,60.0284,57.5024,0.0025,2.0304,95.2108,96.0096,1776647146285544039
ecgclass,no_sharing,1.9681,184.9303,59.7985,57.2707,0.0024,2.037,124.4597,125.1319,1776647146345988246
ecgclass,no_sharing,2.0581,158.6506,63.1595,62.0307,0.0021,0.5949,94.7535,95.4911,1776647146406341441
ecgclass,no_sharing,2.0992,178.9963,60.8598,59.6575,0.0024,0.6048,117.4099,118.1365,1776647146470067382
ecgclass,no_sharing,2.2263,112.6873,60.2116,59.2346,0.0017,0.5033,51.7323,52.4757,1776647146531445103
ecgclass,no_sharing,2.2473,152.4563,60.3039,59.2632,0.0017,0.5323,91.5277,92.1524,1776647146592279773
ecgclass,no_sharing,2.4302,60.9636,58.0345,56.9024,0.002,0.5428,2.2523,2.9291,1776647146685950057
ecgclass,no_sharing,2.5535,61.2934,58.2489,57.2132,0.0021,0.5438,2.2924,3.0444,1776647146809273137
ecgclass,no_sharing,2.6186,65.0439,58.6363,57.5388,0.0021,0.6231,5.6076,6.4077,1776647146877666367
ecgclass,no_sharing,2.6608,83.6563,60.0674,57.4625,0.0025,1.9769,22.7654,23.5889,1776647146937031437
ecgclass,no_sharing,2.7054,100.4114,60.8195,58.2467,0.0023,2.0485,38.9152,39.5919,1776647146997822429
ecgclass,no_sharing,2.7131,153.6019,60.031,57.5154,0.0027,2.0674,92.7801,93.5709,1776647147059324978
ecgclass,no_sharing,2.7317,195.9136,60.2215,57.6625,0.0018,2.0827,134.8999,135.692,1776647147120045233
ecgclass,no_sharing,2.8,188.7703,60.5947,57.9759,0.002,2.0452,127.3935,128.1756,1776647147180877503
ecgclass,no_sharing,2.8392,211.2715,61.0242,58.422,0.0023,2.0166,149.4551,150.2473,1776647147242094539
ecgclass,no_sharing,2.9667,145.5204,61.2321,58.6277,0.0026,2.0058,83.5304,84.2883,1776647147303650754
