task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,39.5803,37.8701,36.9617,0.0013,0.4803,0.9387,1.7103,1776645982714554678
ecgclass,single_ecgclass,0.4822,75.0699,72.3934,70.5815,0.0028,1.012,1.7102,2.6765,1776645983197510552
ecgclass,single_ecgclass,0.9489,51.9032,49.2854,47.5574,0.0025,0.9457,1.709,2.6178,1776645983664140272
ecgclass,single_ecgclass,1.4264,48.7938,46.2254,45.1952,0.0016,0.5483,1.7107,2.5684,1776645984141636238
ecgclass,single_ecgclass,1.4814,68.0819,65.5028,64.2821,0.0017,0.6218,1.5731,2.5791,1776645984196497326
ecgclass,single_ecgclass,1.4991,97.1897,46.2857,45.1931,0.0016,0.5524,50.0534,50.904,1776645984262712684
ecgclass,single_ecgclass,1.7897,48.8789,46.4223,45.3546,0.0015,0.5402,1.6124,2.4566,1776645984504823284
ecgclass,single_ecgclass,2.0719,48.784,46.2357,45.1861,0.0016,0.5581,1.6887,2.5483,1776645984787178994
ecgclass,single_ecgclass,2.6975,49.5014,46.9491,45.8445,0.0015,0.5376,1.6675,2.5523,1776645985412683490
ecgclass,single_ecgclass,2.7122,77.2867,41.8871,40.891,0.0015,0.4986,34.5452,35.3996,1776645985460291302
ecgclass,single_ecgclass,2.9218,50.1201,47.4902,45.7989,0.0014,0.5455,1.7142,2.6299,1776645985637049443
ecgclass,single_ecgclass,2.9365,79.1588,43.188,42.1939,0.0013,0.496,35.0893,35.9708,1776645985685169759
ecgclass,single_ecgclass,3.154,48.8455,46.3168,45.2056,0.0015,0.5441,1.6742,2.5287,1776645985869221192
ecgclass,single_ecgclass,3.5003,49.1979,46.6214,45.5058,0.0014,0.5397,1.698,2.5766,1776645986215557225
ecgclass,single_ecgclass,3.5767,42.4523,39.9292,38.9997,0.0013,0.4727,1.6291,2.5231,1776645986291900065
ecgclass,single_ecgclass,3.8235,45.9161,43.2314,42.2781,0.0012,0.5061,1.7343,2.6847,1776645986538829552
ecgclass,single_ecgclass,3.8543,54.508,38.6971,37.672,0.0012,0.4493,14.9837,15.8109,1776645986582835236
ecgclass,single_ecgclass,3.8727,71.3501,34.5823,33.7278,0.0012,0.4201,35.9004,36.7678,1776645986622111716
ecgclass,single_ecgclass,3.936,40.6446,32.104,31.2927,0.0013,0.4046,7.6985,8.5407,1776645986657254962
ecgclass,single_ecgclass,4.116,43.3476,40.8417,39.9094,0.0013,0.4873,1.6177,2.5059,1776645986831125946
ecgclass,single_ecgclass,4.1985,43.407,40.8577,39.9538,0.0013,0.4858,1.6625,2.5493,1776645986913680016
ecgclass,single_ecgclass,4.4492,45.9991,42.4519,41.5266,0.0015,0.4986,1.6687,3.5472,1776645987164465407
ecgclass,single_ecgclass,4.493,40.1633,36.8362,35.9479,0.0013,0.4576,2.4555,3.3271,1776645987208995518
ecgclass,single_ecgclass,4.8606,44.9281,42.3501,41.4167,0.0014,0.5021,1.6696,2.5779,1776645987575869764
ecgclass,single_ecgclass,5.1059,44.7495,42.2964,41.2737,0.0013,0.5037,1.6019,2.4531,1776645987821092512
ecgclass,single_ecgclass,5.2369,44.9352,42.4284,41.4879,0.0014,0.5143,1.606,2.5069,1776645987952095608
ecgclass,single_ecgclass,5.3201,43.1874,40.6588,39.7297,0.0014,0.4876,1.6391,2.5285,1776645988035275550
ecgclass,single_ecgclass,5.4105,45.4557,42.894,41.9607,0.0014,0.5066,1.6408,2.5617,1776645988125672866
ecgclass,single_ecgclass,5.4262,67.7378,37.4733,36.5577,0.0013,0.4519,29.4611,30.2646,1776645988169235443
ecgclass,single_ecgclass,5.4621,77.9397,45.4762,44.3613,0.0017,0.5712,31.5747,32.4636,1776645988207268307
ecgclass,single_ecgclass,5.6003,53.3664,50.8196,49.0471,0.0017,0.5928,1.646,2.5468,1776645988315523659
ecgclass,single_ecgclass,5.6769,50.3442,47.8295,46.7305,0.0016,0.5771,1.6403,2.5147,1776645988392093535
ecgclass,single_ecgclass,5.9296,52.9804,50.3959,49.2373,0.0017,0.595,1.6968,2.5845,1776645988644861144
ecgclass,single_ecgclass,6.0718,49.3116,46.7417,45.2694,0.0015,0.9177,1.7111,2.5699,1776645988787101584
ecgclass,single_ecgclass,6.1186,44.5631,41.3407,40.3558,0.0014,0.4925,2.3673,3.2223,1776645988834483531
ecgclass,single_ecgclass,6.2113,44.9257,42.4705,41.4356,0.0014,0.5064,1.5883,2.4552,1776645988926482078
ecgclass,single_ecgclass,6.3395,48.7583,46.1753,45.1382,0.0014,0.5443,1.6966,2.5829,1776645989054772440
ecgclass,single_ecgclass,6.4085,44.9166,42.4711,41.494,0.0014,0.5175,1.5807,2.4455,1776645989123625714
ecgclass,single_ecgclass,6.4726,47.3588,44.9358,43.8363,0.0018,0.587,1.5492,2.423,1776645989187723458
ecgclass,single_ecgclass,6.6483,48.8389,46.3717,45.3359,0.0016,0.5424,1.5826,2.4671,1776645989363410301
