req_id,req_time,site_manager,device,backbone,task,latency
0,0.0,site2,http://10.100.20.53:8001,chronostiny,diasbp,320.5394744873047
1,0.004217788367370918,site2,http://10.100.20.53:8001,chronostiny,ecgclass,336.11178398132324
2,0.004217788367370918,site2,http://10.100.20.53:8001,chronostiny,heartrate,346.8015193939209
3,0.10745154810204467,site2,http://10.100.20.53:8001,chronostiny,diasbp,250.25343894958496
4,0.1158933417090595,site2,http://10.100.20.53:8001,chronostiny,diasbp,249.89008903503418
5,0.1158933417090595,site2,http://10.100.20.53:8001,chronostiny,heartrate,258.03422927856445
6,0.12453310125334104,site2,http://10.100.20.53:8001,chronostiny,diasbp,259.37914848327637
7,0.1261963978619886,site2,http://10.100.20.53:8001,chronostiny,sysbp,266.83831214904785
8,0.1261963978619886,site2,http://10.100.20.53:8001,chronostiny,diasbp,274.5528221130371
9,0.14002026865387063,site2,http://10.100.20.53:8001,chronostiny,heartrate,267.96770095825195
10,0.14070185510219843,site2,http://10.100.20.53:8001,chronostiny,heartrate,275.897741317749
11,0.14753405268688238,site2,http://10.100.20.53:8001,chronostiny,heartrate,279.3569564819336
12,0.1550683678363658,site2,http://10.100.20.53:8001,chronostiny,diasbp,281.01277351379395
13,0.1630113859536668,site2,http://10.100.20.53:8001,chronostiny,heartrate,277.33731269836426
14,0.16468468262754157,site2,http://10.100.20.53:8001,chronostiny,ecgclass,283.674955368042
15,0.16630517474246512,site2,http://10.100.20.53:8001,chronostiny,diasbp,291.75305366516113
16,0.16803002597043443,site2,http://10.100.20.53:8001,chronostiny,heartrate,297.58310317993164
17,0.1714681298909461,site2,http://10.100.20.53:8001,chronostiny,sysbp,303.6375045776367
18,0.18439516388873783,site2,http://10.100.20.53:8001,chronostiny,heartrate,294.8489189147949
19,0.18439516388873783,site2,http://10.100.20.53:8001,chronostiny,ecgclass,302.81543731689453
20,0.18522281880660368,site2,http://10.100.20.53:8001,chronostiny,diasbp,311.3834857940674
21,0.19167081579209205,site2,http://10.100.20.53:8001,chronostiny,heartrate,313.4183883666992
22,0.2236512967521376,site2,http://10.100.20.53:8001,chronostiny,diasbp,290.0683879852295
23,0.2335705616026476,site2,http://10.100.20.53:8001,chronostiny,diasbp,289.6747589111328
24,0.2664104786671145,site2,http://10.100.20.53:8001,chronostiny,diasbp,264.91761207580566
