req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
0,0.0,site2,10.100.20.49:8030,momentsmall,diasbp,1768808156.8265893,1768808156.857927,562.9160404205322,513.8918,0.013791000000000001,68.82672119140625,56.0
1,0.10002778549597109,site2,10.100.20.49:8000,momentbase,ecgclass,1768808156.9277346,1768808156.9621663,670.2122688293457,627.087147,0.013430000000000001,0.0,0.0
2,0.20005557099194218,site2,10.100.20.49:8000,momentbase,ecgclass,1768808157.0283217,1768808157.5991468,590.1885032653809,17.650196,0.003305,0.0,0.0
3,0.30008335648791334,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808157.1267729,1768808157.173896,661.6542339324951,611.4118990000001,0.017747000000000002,4.0,4.0
4,0.40011114198388437,site2,10.100.20.49:8000,momentbase,ecgclass,1768808157.2269042,1768808157.6226187,416.64910316467285,15.819847000000001,0.001833,0.0,0.0
5,0.5001389274798556,site2,10.100.20.49:8030,momentsmall,diasbp,1768808157.3273692,1768808157.390517,87.65649795532227,22.560899999999997,0.003105,68.82672119140625,56.0
6,0.6001667129758267,site2,10.100.20.49:8000,momentbase,ecgclass,1768808157.427245,1768808157.6481266,237.40744590759277,14.911427999999999,0.0025840000000000004,0.0,0.0
7,0.7001944984717977,site2,10.100.20.49:8030,momentsmall,heartrate,1768808157.5277247,1768808157.529817,26.312589645385742,22.320466,0.00656,72.31608581542969,69.0
8,0.8002222839677687,site2,10.100.20.49:8000,momentbase,ecgclass,1768808157.6287138,1768808157.6653347,52.613019943237305,14.700998,0.0019429999999999998,0.0,0.0
9,0.9002500694637399,site2,10.100.20.49:8000,momentbase,ecgclass,1768808157.7275524,1768808157.7297184,32.41133689880371,28.46308,0.004346,0.0,0.0
10,1.000277854959711,site2,10.100.20.49:8000,momentbase,ecgclass,1768808157.8276308,1768808157.8332098,17.595529556274414,10.231874,0.003405,0.0,0.0
11,1.1003056404556821,site2,10.100.20.49:8010,chronosbase,sysbp,1768808157.92742,1768808157.9493577,497.97701835632324,472.767157,0.013771,126.73008728027344,98.0
12,1.2003334259516534,site2,10.100.20.49:8030,momentsmall,heartrate,1768808158.0273907,1768808158.0295727,19.5004940032959,15.465238,0.003815,72.31608581542969,69.0
13,1.3003612114476244,site2,10.100.20.49:8030,momentsmall,heartrate,1768808158.1271276,1768808158.129247,19.453048706054688,15.444016,0.0041659999999999996,72.31608581542969,69.0
14,1.4003889969435954,site2,10.100.20.49:8030,momentsmall,diasbp,1768808158.2278368,1768808158.2300396,27.636289596557617,23.54192,0.00687,68.82672119140625,56.0
15,1.5004167824395667,site2,10.100.20.49:8000,momentbase,ecgclass,1768808158.3287022,1768808158.3309247,33.48731994628906,29.1935,0.004197,0.0,0.0
16,1.6004445679355375,site2,10.100.20.49:8000,momentbase,ecgclass,1768808158.4275656,1768808158.429493,13.509988784790039,10.140164,0.002503,0.0,0.0
17,1.7004723534315087,site2,10.100.20.49:8000,momentbase,ecgclass,1768808158.5273142,1768808158.5294356,14.167308807373047,10.193886,0.004077,0.0,0.0
18,1.8005001389274797,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808158.6277204,1768808158.6300924,47.15609550476074,42.916032,0.004396,4.0,4.0
19,1.900527924423451,site2,10.100.20.49:8000,momentbase,ecgclass,1768808158.7281034,1768808158.730297,14.02139663696289,10.291623999999999,0.004006,0.0,0.0
20,2.000555709919422,site2,10.100.20.49:8010,chronosbase,sysbp,1768808158.8273742,1768808158.829745,85.7229232788086,80.988783,0.004116,126.73008728027344,98.0
21,2.100583495415393,site2,10.100.20.49:8000,momentbase,ecgclass,1768808158.9272642,1768808158.9292707,13.834476470947266,10.119743,0.003015,0.0,0.0
22,2.2006112809113643,site2,10.100.20.49:8000,momentbase,ecgclass,1768808159.0273921,1768808159.0295453,13.854026794433594,10.20923,0.004056,0.0,0.0
23,2.3006390664073355,site2,10.100.20.49:8030,momentsmall,heartrate,1768808159.1275105,1768808159.129825,19.0274715423584,14.924658,0.00672,72.31608581542969,69.0
24,2.4006668519033068,site2,10.100.20.49:8010,chronosbase,sysbp,1768808159.227765,1768808159.2300942,84.57541465759277,79.982084,0.0051270000000000005,126.73008728027344,98.0
25,2.5006946373992776,site2,10.100.20.49:8010,chronosbase,sysbp,1768808159.3275425,1768808159.3291645,83.8172435760498,79.900841,0.002794,126.73008728027344,98.0
26,2.600722422895249,site2,10.100.20.49:8010,chronosbase,sysbp,1768808159.4275804,1768808159.4292653,83.97912979125977,79.886469,0.003205,126.73008728027344,98.0
27,2.7007502083912196,site2,10.100.20.49:8000,momentbase,ecgclass,1768808159.5277183,1768808159.5296702,13.806581497192383,10.185062,0.003546,0.0,0.0
28,2.800777993887191,site2,10.100.20.49:8010,chronosbase,sysbp,1768808159.6277897,1768808159.6299176,84.34343338012695,80.05145900000001,0.004958,126.73008728027344,98.0
29,2.900805779383162,site2,10.100.20.49:8030,momentsmall,heartrate,1768808159.7273765,1768808159.7296023,18.816232681274414,14.885337999999999,0.002925,72.31608581542969,69.0
30,3.0008335648791333,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808159.827448,1768808159.8298395,46.74816131591797,42.465709,0.0041860000000000005,4.0,4.0
31,3.100861350375104,site2,10.100.20.49:8030,momentsmall,diasbp,1768808159.9274106,1768808159.929504,18.85509490966797,15.034163999999999,0.0059889999999999995,68.82672119140625,56.0
32,3.200889135871075,site2,10.100.20.49:8000,momentbase,ecgclass,1768808160.0275183,1768808160.0297241,14.267921447753906,10.264583,0.0043170000000000005,0.0,0.0
33,3.3009169213670466,site2,10.100.20.49:8000,momentbase,ecgclass,1768808160.1280174,1768808160.1302304,13.903379440307617,10.206104,0.004076,0.0,0.0
34,3.4009447068630174,site2,10.100.20.49:8000,momentbase,ecgclass,1768808160.2281756,1768808160.2304306,14.000177383422852,10.280408,0.004116,0.0,0.0
35,3.5009724923589887,site2,10.100.20.49:8000,momentbase,ecgclass,1768808160.328431,1768808160.3306577,14.245986938476562,10.204692,0.003936,0.0,0.0
36,3.6010002778549595,site2,10.100.20.49:8000,momentbase,ecgclass,1768808160.4279213,1768808160.4300125,13.727903366088867,10.194557,0.004076,0.0,0.0
37,3.701028063350931,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808160.5278904,1768808160.530179,46.74506187438965,42.464857,0.004287,4.0,4.0
38,3.801055848846902,site2,10.100.20.49:8000,momentbase,ecgclass,1768808160.6278627,1768808160.6299918,14.053821563720703,10.312555,0.004296,0.0,0.0
39,3.9010836343428728,site2,10.100.20.49:8000,momentbase,ecgclass,1768808160.7281897,1768808160.7304022,14.180660247802734,10.164652,0.004667,0.0,0.0
40,4.001111419838844,site2,10.100.20.49:8030,momentsmall,heartrate,1768808160.8286703,1768808160.8309746,18.890380859375,14.919019,0.006279000000000001,72.31608581542969,69.0
41,4.101139205334816,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808160.92782,1768808160.9299936,46.87309265136719,42.484718,0.004497,4.0,4.0
42,4.201166990830786,site2,10.100.20.49:8000,momentbase,ecgclass,1768808161.0279238,1768808161.0301847,14.432430267333984,10.266846,0.004336,0.0,0.0
43,4.301194776326757,site2,10.100.20.49:8000,momentbase,ecgclass,1768808161.1286051,1768808161.1307065,13.930559158325195,10.213005,0.004247,0.0,0.0
44,4.4012225618227285,site2,10.100.20.49:8030,momentsmall,diasbp,1768808161.2277927,1768808161.2299185,19.062519073486328,14.980723,0.00668,68.82672119140625,56.0
45,4.5012503473187,site2,10.100.20.49:8010,chronosbase,sysbp,1768808161.3281152,1768808161.3303878,84.68985557556152,80.028715,0.005078,126.73008728027344,98.0
46,4.601278132814671,site2,10.100.20.49:8000,momentbase,ecgclass,1768808161.4280272,1768808161.430106,14.05191421508789,10.164111,0.002915,0.0,0.0
47,4.701305918310641,site2,10.100.20.49:8030,momentsmall,diasbp,1768808161.5283515,1768808161.5304964,18.966197967529297,14.919029,0.004106,68.82672119140625,56.0
48,4.8013337038066135,site2,10.100.20.49:8000,momentbase,ecgclass,1768808161.6285596,1768808161.6307783,14.54615592956543,10.28899,0.0041860000000000005,0.0,0.0
49,4.901361489302584,site2,10.100.20.49:8030,momentsmall,heartrate,1768808161.7283747,1768808161.7305722,18.7990665435791,14.927812000000001,0.00638,72.31608581542969,69.0
50,5.001389274798555,site2,10.100.20.49:8000,momentbase,ecgclass,1768808161.8283927,1768808161.8305922,14.049291610717773,10.259704999999999,0.0039759999999999995,0.0,0.0
51,5.101417060294526,site2,10.100.20.49:8010,chronosbase,sysbp,1768808161.9286923,1768808161.9308436,85.05821228027344,80.07633799999999,0.004807,126.73008728027344,98.0
52,5.201444845790498,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808162.0279546,1768808162.0300186,46.59605026245117,42.599000999999994,0.003145,4.0,4.0
53,5.301472631286469,site2,10.100.20.49:8000,momentbase,ecgclass,1768808162.128769,1768808162.1308684,14.245271682739258,10.305415,0.003986,0.0,0.0
54,5.401500416782439,site2,10.100.20.49:8010,chronosbase,sysbp,1768808162.2282717,1768808162.2305799,85.45112609863281,80.09321299999999,0.004887,126.73008728027344,98.0
55,5.50152820227841,site2,10.100.20.49:8010,chronosbase,sysbp,1768808162.3288894,1768808162.3304272,83.56523513793945,79.91170699999999,0.002764,126.73008728027344,98.0
56,5.601555987774382,site2,10.100.20.49:8000,momentbase,ecgclass,1768808162.4286926,1768808162.430774,13.973236083984375,10.190019999999999,0.003085,0.0,0.0
57,5.701583773270352,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808162.52891,1768808162.5310957,46.60606384277344,42.517978,0.003866,4.0,4.0
58,5.801611558766324,site2,10.100.20.49:8030,momentsmall,heartrate,1768808162.6287348,1768808162.630749,19.024372100830078,14.949074999999999,0.003986,72.31608581542969,69.0
59,5.901639344262295,site2,10.100.20.49:8030,momentsmall,heartrate,1768808162.729022,1768808162.7312157,18.738985061645508,14.847420999999999,0.003786,72.31608581542969,69.0
60,6.001667129758267,site2,10.100.20.49:8010,chronosbase,sysbp,1768808162.8290277,1768808162.8312802,84.75399017333984,80.12626300000001,0.004427,126.73008728027344,98.0
61,6.101694915254237,site2,10.100.20.49:8000,momentbase,ecgclass,1768808162.9289584,1768808162.930925,13.87786865234375,10.15072,0.003164,0.0,0.0
62,6.201722700750208,site2,10.100.20.49:8000,momentbase,ecgclass,1768808163.0291088,1768808163.0312448,14.019966125488281,10.241598,0.004037,0.0,0.0
63,6.3017504862461795,site2,10.100.20.49:8010,chronosbase,sysbp,1768808163.1284075,1768808163.1305516,84.40017700195312,80.01218,0.004136,126.73008728027344,98.0
64,6.40177827174215,site2,10.100.20.49:8000,momentbase,ecgclass,1768808163.2290275,1768808163.2310987,13.95869255065918,10.209950000000001,0.0034649999999999998,0.0,0.0
65,6.501806057238122,site2,10.100.20.49:8000,momentbase,ecgclass,1768808163.329218,1768808163.331353,13.885259628295898,10.18357,0.004076,0.0,0.0
66,6.601833842734093,site2,10.100.20.49:8000,momentbase,ecgclass,1768808163.4293783,1768808163.4316196,14.346599578857422,10.194506,0.004556999999999999,0.0,0.0
67,6.7018616282300645,site2,10.100.20.49:8000,momentbase,ecgclass,1768808163.5289621,1768808163.5311234,13.846158981323242,10.215258,0.004216999999999999,0.0,0.0
68,6.801889413726035,site2,10.100.20.49:8030,momentsmall,heartrate,1768808163.629052,1768808163.631266,18.985271453857422,14.920612,0.003996,72.31608581542969,69.0
69,6.901917199222006,site2,10.100.20.49:8000,momentbase,ecgclass,1768808163.7293322,1768808163.7316432,14.493942260742188,10.24922,0.003936,0.0,0.0
70,7.001944984717977,site2,10.100.20.49:8000,momentbase,ecgclass,1768808163.8290653,1768808163.8311963,13.847589492797852,10.208558,0.004057000000000001,0.0,0.0
71,7.101972770213948,site2,10.100.20.49:8030,momentsmall,heartrate,1768808163.9291565,1768808163.9312925,18.794536590576172,15.011239,0.003806,72.31608581542969,69.0
72,7.202000555709919,site2,10.100.20.49:8010,chronosbase,sysbp,1768808164.0292342,1768808164.0315058,84.7022533416748,79.969996,0.005137999999999999,126.73008728027344,98.0
73,7.302028341205891,site2,10.100.20.49:8000,momentbase,ecgclass,1768808164.129145,1768808164.13111,13.731002807617188,10.174285999999999,0.0034649999999999998,0.0,0.0
74,7.402056126701862,site2,10.100.20.49:8030,momentsmall,diasbp,1768808164.2291172,1768808164.2312896,18.789291381835938,14.915744,0.005899,68.82672119140625,56.0
75,7.502083912197833,site2,10.100.20.49:8000,momentbase,ecgclass,1768808164.329148,1768808164.3313286,14.436006546020508,10.254878,0.004227000000000001,0.0,0.0
76,7.602111697693804,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808164.4288645,1768808164.4311628,46.865224838256836,42.542235,0.004076,4.0,4.0
77,7.702139483189775,site2,10.100.20.49:8010,chronosbase,sysbp,1768808164.5289226,1768808164.5311637,84.3191146850586,80.05856,0.004347,126.73008728027344,98.0
78,7.8021672686857455,site2,10.100.20.49:8000,momentbase,ecgclass,1768808164.629403,1768808164.6314266,13.77558708190918,10.160485,0.003024,0.0,0.0
79,7.902195054181717,site2,10.100.20.49:8000,momentbase,ecgclass,1768808164.7293832,1768808164.7316444,14.220237731933594,10.206065,0.004556999999999999,0.0,0.0
80,8.002222839677689,site2,10.100.20.49:8010,chronosbase,sysbp,1768808164.8288229,1768808164.8311288,84.73634719848633,79.97976,0.004718,126.73008728027344,98.0
81,8.10225062517366,site2,10.100.20.49:8000,momentbase,ecgclass,1768808164.9287336,1768808164.930724,13.631582260131836,10.133294,0.0027240000000000003,0.0,0.0
82,8.202278410669631,site2,10.100.20.49:8030,momentsmall,heartrate,1768808165.0306065,1768808165.0326548,18.48292350769043,14.936065,0.00608,72.31608581542969,69.0
83,8.3023061961656,site2,10.100.20.49:8000,momentbase,ecgclass,1768808165.129325,1768808165.131438,14.138936996459961,10.293326,0.004206,0.0,0.0
84,8.402333981661572,site2,10.100.20.49:8000,momentbase,ecgclass,1768808165.2296786,1768808165.2316961,13.935327529907227,10.227216,0.004216,0.0,0.0
85,8.502361767157543,site2,10.100.20.49:8000,momentbase,ecgclass,1768808165.3298285,1768808165.331992,13.909578323364258,10.215689,0.004377,0.0,0.0
86,8.602389552653515,site2,10.100.20.49:8000,momentbase,ecgclass,1768808165.4289334,1768808165.4311135,13.98324966430664,10.191052,0.004006,0.0,0.0
87,8.702417338149486,site2,10.100.20.49:8030,momentsmall,heartrate,1768808165.5291471,1768808165.531281,18.80025863647461,14.909555,0.0043159999999999995,72.31608581542969,69.0
88,8.802445123645457,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808165.6291475,1768808165.6313152,46.58913612365723,42.580964,0.004156,4.0,4.0
