req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
0,0.0,site2,10.100.20.48:8030,momentsmall,diasbp,1769402412.671265,1769402412.6887076,999.7982978820801,961.993974,0.011958,68.82672119140625,56.0
1,0.020001111172842936,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.6914716,1769402412.7105615,1013.1111145019531,985.1764790000001,0.011778,0.0,0.0
2,0.04000222234568587,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.7120922,1769402413.7245727,1058.539867401123,42.666204,0.002774,0.0,0.0
3,0.06000333351852881,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402412.7314596,1769402412.7579706,1793.907880783081,1759.281427,0.012259,4.0,4.0
4,0.08000444469137175,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.7524755,1769402413.7734823,1063.1227493286133,31.227709,0.002003,0.0,0.0
5,0.10000555586421468,site2,10.100.20.48:8030,momentsmall,diasbp,1769402412.7718124,1769402413.6725328,928.3962249755859,24.986195,0.002283,68.82672119140625,56.0
6,0.12000666703705762,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.7911508,1769402413.8164694,1081.1638832092285,49.060991,0.001673,0.0,0.0
7,0.14000777820990054,site2,10.100.20.48:8030,momentsmall,heartrate,1769402412.8114724,1769402413.7095718,937.0558261871338,26.821562,0.004257,72.31608581542969,69.0
8,0.1600088893827435,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.8319905,1769402413.8731134,1073.6949443817139,30.797252,0.0020829999999999998,0.0,0.0
9,0.1800100005555864,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.851329,1769402413.9122224,1099.8153686523438,32.859316,0.002454,0.0,0.0
10,0.20001111172842936,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.8716452,1769402413.9553149,1121.5424537658691,31.925732,0.002334,0.0,0.0
11,0.2200122229012723,site2,10.100.20.48:8010,chronosbase,sysbp,1769402412.8919556,1769402412.9253633,1589.4391536712646,1541.7119699999998,0.012629000000000001,126.73008728027344,98.0
12,0.24001333407411524,site2,10.100.20.48:8030,momentsmall,heartrate,1769402412.9112778,1769402413.7540448,865.8287525177002,18.547060000000002,0.002444,72.31608581542969,69.0
13,0.26001444524695816,site2,10.100.20.48:8030,momentsmall,heartrate,1769402412.9315777,1769402413.7829459,879.65989112854,26.428293,0.002254,72.31608581542969,69.0
14,0.2800155564198011,site2,10.100.20.48:8030,momentsmall,diasbp,1769402412.9519262,1769402413.811996,892.0004367828369,30.250288,0.0036950000000000004,68.82672119140625,56.0
15,0.300016667592644,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.97127,1769402413.9940672,1056.8749904632568,28.910897000000002,0.001882,0.0,0.0
16,0.320017778765487,site2,10.100.20.48:8000,momentbase,ecgclass,1769402412.991616,1769402414.0302002,1078.563928604126,31.165013,0.001853,0.0,0.0
17,0.3400188899383299,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.0119781,1769402414.0708578,1100.3859043121338,34.387144,0.002014,0.0,0.0
18,0.3600200011111728,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402413.0313861,1769402414.5262587,1534.4936847686768,30.53982,0.001843,4.0,4.0
19,0.38002111228401575,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.0517204,1769402414.1134737,1103.7273406982422,39.381086,0.001472,0.0,0.0
20,0.4000222234568587,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.0721135,1769402414.4896793,1547.7111339569092,128.146736,0.002363,126.73008728027344,98.0
21,0.42002333462970165,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.091774,1769402414.1649525,1129.1348934173584,48.238357,0.0022730000000000003,0.0,0.0
22,0.4400244458025446,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.1113772,1769402414.222764,1161.874532699585,34.880946,0.001933,0.0,0.0
23,0.4600255569753875,site2,10.100.20.48:8030,momentsmall,heartrate,1769402413.1317842,1769402413.8446577,758.2061290740967,32.583675,0.003305,72.31608581542969,69.0
24,0.4800266681482305,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.1512053,1769402414.6262784,1646.4040279388428,156.57901299999997,0.001953,126.73008728027344,98.0
25,0.5000277793210733,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.1715655,1769402414.798408,1777.2250175476074,145.743438,0.001652,126.73008728027344,98.0
26,0.5200288904939163,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.1918757,1769402414.9494781,1881.544589996338,119.07159300000001,0.001562,126.73008728027344,98.0
27,0.5400300016667593,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.2111824,1769402414.277706,1104.4836044311523,23.044656,0.002233,0.0,0.0
28,0.5600311128396022,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.2315686,1769402415.0742142,1993.1597709655762,139.411215,0.001683,126.73008728027344,98.0
29,0.5800322240124451,site2,10.100.20.48:8030,momentsmall,heartrate,1769402413.2519696,1769402413.8907397,669.0402030944824,28.273235,0.002304,72.31608581542969,69.0
30,0.600033335185288,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402413.2713542,1769402414.5691717,1331.8352699279785,25.419985999999998,0.002193,4.0,4.0
31,0.620034446358131,site2,10.100.20.48:8030,momentsmall,diasbp,1769402413.2917004,1769402413.9217227,672.2207069396973,28.871738,0.003395,68.82672119140625,56.0
32,0.640035557530974,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.3120384,1769402414.3236227,1048.8426685333252,31.795433999999997,0.001853,0.0,0.0
33,0.6600366687038168,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.3314457,1769402414.361708,1060.9676837921143,27.777049,0.001772,0.0,0.0
34,0.6800377798766598,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.3519292,1769402414.3932269,1070.610523223877,27.687842,0.001763,0.0,0.0
35,0.7000388910495028,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.3714204,1769402414.4332511,1098.3386039733887,34.480016,0.003075,0.0,0.0
36,0.7200400022223457,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.3919888,1769402414.4706979,1101.454734802246,21.212332,0.001742,0.0,0.0
37,0.7400411133951886,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402413.4115317,1769402414.6038864,1226.0751724243164,22.174129,0.001572,4.0,4.0
38,0.7600422245680315,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.431935,1769402414.4987442,1100.7740497589111,32.142853,0.001863,0.0,0.0
39,0.7800433357408745,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.451296,1769402414.5333588,1123.1169700622559,34.610134,0.001703,0.0,0.0
40,0.8000444469137175,site2,10.100.20.48:8030,momentsmall,heartrate,1769402413.4717064,1769402413.9648168,521.6407775878906,22.780292,0.003585,72.31608581542969,69.0
41,0.8200455580865603,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402413.492184,1769402414.6444123,1187.9732608795166,32.61916900000001,0.002373,4.0,4.0
42,0.8400466692594033,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.5116274,1769402414.5751803,1105.3466796875,30.306645,0.001763,0.0,0.0
43,0.8600477804322463,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.5319834,1769402414.6205766,1123.918056488037,33.455735,0.0020729999999999998,0.0,0.0
44,0.8800488916050891,site2,10.100.20.48:8030,momentsmall,diasbp,1769402413.5513244,1769402413.9980326,480.73863983154297,30.030794,0.003666,68.82672119140625,56.0
45,0.9000500027779321,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.571696,1769402415.2293124,1807.0275783538818,144.64664499999998,0.002303,126.73008728027344,98.0
46,0.920051113950775,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.592146,1769402414.6673527,1137.9725933074951,52.886511,0.002164,0.0,0.0
47,0.940052225123618,site2,10.100.20.48:8030,momentsmall,diasbp,1769402413.61167,1769402414.0383332,462.9969596862793,30.223948,0.002573,68.82672119140625,56.0
48,0.960053336296461,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.632061,1769402414.730846,1149.2056846618652,48.469279,0.0016929999999999998,0.0,0.0
49,0.9800544474693038,site2,10.100.20.48:8030,momentsmall,heartrate,1769402413.6514375,1769402414.0752974,455.77120780944824,30.125579,0.003376,72.31608581542969,69.0
50,1.0000555586421467,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.6711836,1769402414.7859728,1153.7055969238281,24.147326,0.001733,0.0,0.0
51,1.0200566698149898,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.6915648,1769402415.3797016,1833.5301876068115,139.89874799999998,0.001993,126.73008728027344,98.0
52,1.0400577809878326,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402413.7117605,1769402414.6973999,1029.6669006347656,31.078662,0.002183,4.0,4.0
53,1.0600588921606755,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.7323098,1769402414.8255897,1137.519359588623,40.893240999999996,0.0019429999999999998,0.0,0.0
54,1.0800600033335186,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.7517176,1769402415.5258627,1904.4630527496338,128.25474,0.0016619999999999998,126.73008728027344,98.0
55,1.1000611145063615,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.771809,1769402415.6582286,2025.2797603607178,135.811728,0.002053,126.73008728027344,98.0
56,1.1200622256792043,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.7912786,1769402414.8746624,1136.1238956451416,50.993937,0.001953,0.0,0.0
57,1.1400633368520472,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402413.8112504,1769402414.7456396,979.0890216827393,42.825897000000005,0.002113,4.0,4.0
58,1.1600644480248903,site2,10.100.20.48:8030,momentsmall,heartrate,1769402413.8317716,1769402414.1090305,351.15575790405273,59.294557999999995,0.001682,72.31608581542969,69.0
59,1.1800655591977331,site2,10.100.20.48:8030,momentsmall,heartrate,1769402413.8521144,1769402414.183354,377.64525413513184,38.240307,0.0017519999999999999,72.31608581542969,69.0
60,1.200066670370576,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.8714507,1769402415.8023176,2060.969352722168,126.140358,0.001713,126.73008728027344,98.0
61,1.220067781543419,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.892175,1769402414.929176,1067.9092407226562,24.063138000000002,0.001833,0.0,0.0
62,1.240068892716262,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.9118476,1769402414.9604194,1085.1080417633057,34.819223,0.0019219999999999999,0.0,0.0
63,1.2600700038891048,site2,10.100.20.48:8010,chronosbase,sysbp,1769402413.9322178,1769402415.9397273,2146.475315093994,136.837192,0.002183,126.73008728027344,98.0
64,1.280071115061948,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.9512436,1769402414.9977026,1074.6331214904785,26.11808,0.001763,0.0,0.0
65,1.3000722262347908,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.9720933,1769402415.0263033,1095.639944076538,38.854544,0.0016330000000000001,0.0,0.0
66,1.3200733374076337,site2,10.100.20.48:8000,momentbase,ecgclass,1769402413.9916122,1769402415.0688155,1108.6523532867432,20.681503,0.002163,0.0,0.0
67,1.3400744485804768,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.012566,1769402415.1005526,1133.225440979004,42.893239,0.001742,0.0,0.0
68,1.3600755597533196,site2,10.100.20.48:8030,momentsmall,heartrate,1769402414.031384,1769402414.230527,232.5739860534668,31.654007999999997,0.0025239999999999998,72.31608581542969,69.0
69,1.3800766709261625,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.0513048,1769402415.160317,1151.834487915039,40.662729,0.001843,0.0,0.0
70,1.4000777820990056,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.0713627,1769402415.203743,1166.7697429656982,32.495451,0.001593,0.0,0.0
71,1.4200788932718484,site2,10.100.20.48:8030,momentsmall,heartrate,1769402414.09188,1769402414.2656188,218.8577651977539,31.788973999999996,0.002003,72.31608581542969,69.0
72,1.4400800044446913,site2,10.100.20.48:8010,chronosbase,sysbp,1769402414.111373,1769402416.0797164,2101.595163345337,130.95832099999998,0.001742,126.73008728027344,98.0
73,1.4600811156175344,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.131532,1769402415.2386367,1165.5361652374268,28.600835,0.0017230000000000001,0.0,0.0
74,1.4800822267903773,site2,10.100.20.48:8030,momentsmall,diasbp,1769402414.1519408,1769402414.3115366,191.63823127746582,26.705685,0.004847000000000001,68.82672119140625,56.0
75,1.5000833379632204,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.1717074,1769402415.302854,1175.4369735717773,42.394099,0.002053,0.0,0.0
76,1.520084449136063,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402414.1932216,1769402414.7914927,617.6357269287109,16.022542,0.001782,4.0,4.0
77,1.540085560308906,site2,10.100.20.48:8010,chronosbase,sysbp,1769402414.2127311,1769402416.213789,2134.1278553009033,128.106835,0.001702,126.73008728027344,98.0
78,1.560086671481749,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.231943,1769402415.3496916,1169.034719467163,48.551174,0.001713,0.0,0.0
79,1.580087782654592,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.251337,1769402415.4017696,1192.6674842834473,36.751048000000004,0.001683,0.0,0.0
80,1.600088893827435,site2,10.100.20.48:8010,chronosbase,sysbp,1769402414.2721639,1769402416.347643,2219.9811935424805,141.46109,0.0018729999999999999,126.73008728027344,98.0
81,1.6200900050002776,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.2924664,1769402415.4482982,1190.5908584594727,29.166425999999998,0.001793,0.0,0.0
82,1.6400911161731206,site2,10.100.20.48:8030,momentsmall,heartrate,1769402414.3118966,1769402414.3480644,77.69060134887695,32.181742,0.003134,72.31608581542969,69.0
83,1.6600922273459637,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.3318305,1769402415.4838753,1182.1441650390625,28.352385,0.001833,0.0,0.0
84,1.6800933385188066,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.351726,1769402415.5147216,1179.128646850586,14.513052,0.002003,0.0,0.0
85,1.7000944496916497,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.3721316,1769402415.5313578,1190.058946609497,24.960987,0.001452,0.0,0.0
86,1.7200955608644926,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.3917525,1769402415.562786,1196.8777179718018,23.986982,0.001792,0.0,0.0
87,1.7400966720373352,site2,10.100.20.48:8030,momentsmall,heartrate,1769402414.4115727,1769402414.4145277,34.201622009277344,22.194359,0.002674,72.31608581542969,69.0
88,1.7600977832101783,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402414.4327095,1769402414.8227985,423.9153861999512,18.816411000000002,0.0021339999999999996,4.0,4.0
89,1.7800988943830214,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402414.4519367,1769402414.8594525,464.7068977355957,36.867134,0.001974,4.0,4.0
90,1.8001000055558642,site2,10.100.20.48:8010,chronosbase,sysbp,1769402414.471923,1769402416.4929676,2169.4531440734863,146.22280700000002,0.001652,126.73008728027344,98.0
91,1.8201011167287073,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.4915562,1769402415.5891385,1122.0324039459229,21.765665,0.0017829999999999999,0.0,0.0
92,1.84010222790155,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.5126817,1769402415.6131215,1132.2860717773438,30.136053999999998,0.0016220000000000002,0.0,0.0
93,1.8601033390743928,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.5315433,1769402415.6456823,1130.5491924285889,11.599029,0.001732,0.0,0.0
94,1.880104450247236,site2,10.100.20.48:8010,chronosbase,sysbp,1769402414.5519207,1769402416.641993,2253.819227218628,161.578944,0.001713,126.73008728027344,98.0
95,1.900105561420079,site2,10.100.20.48:8010,chronosbase,sysbp,1769402414.5720365,1769402416.8064697,2356.6524982452393,119.77284200000001,0.001923,126.73008728027344,98.0
96,1.920106672592922,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.5915794,1769402415.6626909,1102.144479751587,29.325118,0.001663,0.0,0.0
97,1.940107783765765,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.6113462,1769402415.6942754,1111.4838123321533,26.966554,0.0016229999999999999,0.0,0.0
98,1.9601088949386076,site2,10.100.20.48:8030,momentsmall,heartrate,1769402414.6319668,1769402414.633642,48.81882667541504,40.507924,0.002293,72.31608581542969,69.0
99,1.9801100061114505,site2,10.100.20.48:8030,momentsmall,heartrate,1769402414.6517568,1769402414.6818569,89.03622627258301,43.157571999999995,0.001923,72.31608581542969,69.0
100,2.0001111172842934,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.6720426,1769402415.7268806,1094.5227146148682,37.96007,0.001643,0.0,0.0
101,2.0201122284571364,site2,10.100.20.48:8030,momentsmall,diasbp,1769402414.6920447,1769402414.742577,93.77408027648926,40.914393,0.004287,68.82672119140625,56.0
102,2.0401133396299795,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.711463,1769402415.76729,1084.5849514007568,24.730205,0.001883,0.0,0.0
103,2.060114450802822,site2,10.100.20.48:8010,chronosbase,sysbp,1769402414.7312894,1769402416.9292152,2325.5553245544434,120.65037000000001,0.001803,126.73008728027344,98.0
104,2.0801155619756653,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.751616,1769402415.7984939,1069.1089630126953,17.288412,0.0019429999999999998,0.0,0.0
105,2.1001166731485084,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.7719939,1769402415.8252153,1078.2074928283691,23.276618999999997,0.002403,0.0,0.0
106,2.120117784321351,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.7915032,1769402415.8552954,1093.5554504394531,27.8694,0.002063,0.0,0.0
107,2.140118895494194,site2,10.100.20.48:8030,momentsmall,heartrate,1769402414.812012,1769402414.8134005,57.26122856140137,51.850553,0.003986,72.31608581542969,69.0
108,2.160120006667037,site2,10.100.20.48:8030,momentsmall,diasbp,1769402414.832073,1769402414.8712084,97.11813926696777,53.037130000000005,0.003505,68.82672119140625,56.0
109,2.18012111783988,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.851441,1769402415.8856435,1080.5339813232422,41.597384,0.001643,0.0,0.0
110,2.200122229012723,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.8719895,1769402415.9329753,1084.630012512207,22.026914,0.0020329999999999997,0.0,0.0
111,2.220123340185566,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.8914092,1769402415.959625,1099.2040634155273,29.099054,0.001472,0.0,0.0
112,2.2401244513584087,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.9118202,1769402415.9912167,1111.1676692962646,30.029092,0.0017430000000000002,0.0,0.0
113,2.2601255625312517,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.9313443,1769402416.0236938,1135.2167129516602,39.676075999999995,0.0017430000000000002,0.0,0.0
114,2.2801266737040944,site2,10.100.20.48:8020,papageissvri,gestureclass,1769402414.9519768,1769402414.954807,35.359859466552734,27.120178000000003,0.002264,4.0,4.0
115,2.3001277848769375,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.9714684,1769402416.0713239,1123.755693435669,22.234970999999998,0.002104,0.0,0.0
116,2.3201288960497806,site2,10.100.20.48:8000,momentbase,ecgclass,1769402414.9915287,1769402416.1013138,1142.3914432525635,30.85501,0.002114,0.0,0.0
117,2.3401300072226237,site2,10.100.20.48:8000,momentbase,ecgclass,1769402415.0123658,1769402416.134535,1158.769130706787,34.889759999999995,0.0017230000000000001,0.0,0.0
