task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
qwenA,stfq,0.0002,4199.8343,4197.977,4197.977,0.0,0.0,0.9999,0.0,1.8574,1779836116465725939,1
qwenA,stfq,4.4735,1804.6191,1727.2685,1727.2685,0.0,0.0,76.5097,0.0,77.3506,1779836121014592745,1
qwenA,stfq,1.2029,6718.6449,6716.5151,6716.5151,0.0,0.0,1.0662,0.0,2.1298,1779836117668577202,1
qwenA,stfq,2.3711,7335.7644,6409.5713,6409.5713,0.0,0.0,925.3905,0.0,926.1931,1779836119761059021,1
qwenA,stfq,6.7399,3473.8982,3005.7629,3005.7629,0.0,0.0,467.3226,0.0,468.1352,1779836123671770987,1
qwenA,stfq,3.5635,6825.7947,6514.9275,6514.9275,0.0,0.0,309.9391,0.0,310.8672,1779836120337973242,1
qwenA,stfq,3.7028,7017.7457,6519.777,6519.777,0.0,0.0,497.0722,0.0,497.9688,1779836120664423569,1
qwenA,stfq,3.7463,6974.3159,6519.4318,6519.4318,0.0,0.0,453.9723,0.0,454.8841,1779836120664815486,1
qwenA,stfq,8.9418,3170.5279,2150.009,2150.009,0.0,0.0,1019.5682,0.0,1020.5189,1779836126425923575,1
qwenA,stfq,5.1778,6934.5779,6525.7541,6525.7541,0.0,0.0,407.8586,0.0,408.8238,1779836122050236806,1
qwenA,stfq,9.6345,3614.1267,2855.756,2855.756,0.0,0.0,757.5526,0.0,758.3706,1779836126856613862,1
qwenA,stfq,6.7794,7599.5579,6750.6292,6750.6292,0.0,0.0,847.8789,0.0,848.9287,1779836124091823519,1
qwenA,stfq,7.3042,7074.8954,6748.5033,6748.5033,0.0,0.0,325.2623,0.0,326.3921,1779836124094033063,1
qwenA,stfq,7.3378,7041.409,6745.2496,6745.2496,0.0,0.0,294.9691,0.0,296.1594,1779836124097314023,1
qwenA,stfq,7.8831,6779.0484,6739.1403,6739.1403,0.0,0.0,38.9824,0.0,39.9082,1779836124386620287,1
qwenA,stfq,11.2301,3711.0298,2020.3196,2020.3196,0.0,0.0,1689.5661,0.0,1690.7102,1779836129384220561,1
qwenA,stfq,12.7624,3676.2826,2784.5133,2784.5133,0.0,0.0,890.769,0.0,891.7693,1779836130117712655,1
qwenA,stfq,13.997,2441.7906,2041.4403,2041.4403,0.0,0.0,399.2918,0.0,400.3502,1779836130860828713,1
qwenA,stfq,8.7482,7690.5808,6731.0727,6731.0727,0.0,0.0,958.4651,0.0,959.5082,1779836126171222968,1
qwenA,stfq,9.5572,7472.1951,6639.3918,6639.3918,0.0,0.0,831.9337,0.0,832.8034,1779836126853719888,1
qwenA,stfq,9.6799,7680.2824,6634.9727,6634.9727,0.0,0.0,1044.0376,0.0,1045.3096,1779836127188539258,1
qwenA,stfq,9.838,7780.9112,6542.7809,6542.7809,0.0,0.0,1237.2754,0.0,1238.1303,1779836127539875862,1
qwenA,stfq,14.8237,3048.6012,2930.3106,2930.3106,0.0,0.0,117.4042,0.0,118.2905,1779836131405719212,1
qwenA,stfq,10.2885,7762.7735,6645.9878,6645.9878,0.0,0.0,1115.9317,0.0,1116.7857,1779836127868969277,1
qwenA,stfq,10.4948,8263.7141,6645.4949,6645.4949,0.0,0.0,1617.3491,0.0,1618.2192,1779836128576769767,1
qwenA,stfq,11.1182,7640.4493,6643.3349,6643.3349,0.0,0.0,996.2215,0.0,997.1144,1779836128578972908,1
qwenA,stfq,16.1813,2840.1575,2168.0704,2168.0704,0.0,0.0,671.2568,0.0,672.0871,1779836133317166638,1
qwenA,stfq,12.1496,7767.2694,6667.6414,6667.6414,0.0,0.0,1098.8166,0.0,1099.6279,1779836129712988802,1
qwenA,stfq,16.7691,3476.6061,2880.7011,2880.7011,0.0,0.0,594.9061,0.0,595.905,1779836133828630411,1
qwenA,stfq,13.6546,7483.6211,6745.0669,6745.0669,0.0,0.0,737.5383,0.0,738.5542,1779836130856680262,1
