task,send_time_s,latency_ms,phase
qwenB,0.4265,2870.228,1
qwenB,1.1250,2422.297,1
qwenB,1.7162,2157.457,1
qwenB,0.0003,4199.804,1
qwenB,0.7818,3595.951,1
qwenB,1.2134,3336.799,1
qwenB,1.9424,2934.603,1
qwenB,2.2325,3353.458,1
qwenB,2.3485,4858.911,1
qwenB,0.3695,7257.448,1
qwenB,0.0147,7612.397,1
qwenB,0.2189,7408.245,1
qwenB,0.4070,7220.152,1
qwenB,0.5100,7117.206,1
qwenB,0.0252,7602.112,1
qwenB,0.9479,6973.948,1
qwenB,0.9174,7004.429,1
qwenB,1.1045,6817.501,1
qwenB,0.9895,6932.555,1
qwenB,1.1444,6777.611,1
qwenB,1.0580,6864.098,1
qwenB,1.4424,6765.408,1
qwenB,1.5169,6691.037,1
qwenB,1.4309,6777.042,1
qwenB,1.6815,6714.381,1
qwenB,1.8008,6595.161,1
qwenB,1.6817,6714.331,1
qwenB,2.1655,6502.741,1
qwenB,2.2160,6452.333,1
qwenB,2.1441,6524.379,1
qwenB,2.1191,6549.347,1
qwenB,2.1396,6528.869,1
qwenB,2.5454,7416.196,1
qwenB,3.1264,7262.946,1
qwenB,2.2600,8638.582,1
qwenB,2.7184,8357.117,1
qwenB,3.5739,7830.678,1
qwenB,4.0475,8319.394,1
qwenB,2.3486,10571.263,1
qwenB,4.2913,9362.067,1
qwenB,2.4606,11918.583,1
qwenB,2.4611,11918.067,1
qwenB,2.5216,11857.712,1
qwenB,2.7309,11931.392,1
qwenB,2.9736,11688.693,1
qwenB,2.5828,12079.556,1
qwenB,2.5250,12137.430,1
qwenB,3.1150,11826.163,1
qwenB,3.1102,11831.043,1
qwenB,3.1147,11826.604,1
qwenB,3.1868,11943.302,1
qwenB,3.5944,11798.874,1
qwenB,3.6874,11705.976,1
qwenB,3.6829,11710.505,1
qwenB,3.7847,11608.687,1
qwenB,3.9089,11484.588,1
qwenB,4.6785,12174.269,1
qwenB,4.1881,13172.201,1
qwenB,4.7675,13104.887,1
qwenB,4.2968,14724.766,1
qwenB,5.0628,14680.243,1
qwenB,5.1548,15567.528,1
qwenB,4.5440,16876.352,1
qwenB,4.3758,17044.601,1
qwenB,4.4050,17015.500,1
qwenB,4.3484,17072.170,1
qwenB,4.7521,16939.628,1
qwenB,4.8370,17030.919,1
qwenB,4.8545,17280.706,1
qwenB,4.9597,17175.605,1
qwenB,4.9473,17188.080,1
qwenB,5.5520,17991.233,1
qwenB,5.0333,18842.884,1
qwenB,5.0693,19667.170,1
qwenB,5.7498,19316.699,1
qwenB,6.3518,19121.768,1
qwenB,5.1633,20814.078,1
qwenB,6.5840,19806.114,1
qwenB,5.4306,21542.154,1
qwenB,5.4714,21832.444,1
qwenB,5.4939,22717.611,1
qwenB,5.5065,22705.099,1
qwenB,6.9018,21598.144,1
qwenB,5.6392,23134.720,1
qwenB,6.1134,23005.841,1
qwenB,6.0168,23102.572,1
qwenB,6.1250,22994.495,1
qwenB,5.8043,23315.232,1
qwenB,6.3264,23526.824,1
qwenB,6.9076,23276.190,1
qwenB,7.2356,23120.335,1
qwenB,6.5645,23791.504,1
qwenB,6.6164,23995.409,1
qwenB,6.6890,24254.457,1
qwenB,7.4907,23715.812,1
qwenB,6.6925,24692.736,1
qwenB,7.3382,24305.691,1
qwenB,7.5226,24708.730,1
qwenB,6.8579,26043.748,1
qwenB,6.8853,26016.338,1
qwenB,7.9413,25550.063,1
qwenB,6.9052,27246.115,1
qwenB,6.9089,27579.502,1
qwenB,8.0222,26718.536,1
qwenB,6.9333,28291.068,1
qwenB,7.1638,28318.936,1
qwenB,6.9557,28527.180,1
qwenB,7.0192,28463.767,1
qwenB,7.3996,28353.694,1
qwenB,7.3043,28449.100,1
qwenB,7.4525,28300.997,1
qwenB,7.4491,28304.402,1
qwenB,7.4689,28549.927,1
qwenB,7.5192,28836.845,1
qwenB,7.4853,28870.802,1
qwenB,8.4132,28276.900,1
qwenB,7.6162,29893.052,1
qwenB,7.7126,29972.404,1
qwenB,7.7200,29964.974,1
qwenB,7.7255,30545.211,1
qwenB,7.9206,30350.157,1
qwenB,8.9752,29554.226,1
qwenB,8.7167,29990.568,1
qwenB,7.9838,30981.008,1
qwenB,8.1027,31551.490,1
qwenB,8.1672,31487.059,1
qwenB,8.3102,32008.040,1
qwenB,8.3217,32580.882,1
qwenB,8.9940,31908.568,1
qwenB,9.2910,31792.190,1
qwenB,8.3861,33180.225,1
qwenB,9.5876,33050.405,1
qwenB,8.4576,34445.231,1
qwenB,8.8770,34292.541,1
qwenB,8.8645,34305.173,1
qwenB,8.8241,34345.662,1
qwenB,8.7506,34419.130,1
qwenB,8.8784,34560.122,1
qwenB,8.9816,34790.990,1
qwenB,9.0505,35962.586,1
qwenB,9.0740,35939.186,1
qwenB,10.0062,35006.966,1
qwenB,9.1124,36166.860,1
qwenB,9.1519,36472.817,1
qwenB,9.1533,36807.033,1
qwenB,9.5447,36671.141,1
qwenB,10.1973,36018.614,1
qwenB,9.6131,37713.158,1
qwenB,10.4304,37819.860,1
qwenB,10.4734,38872.404,1
qwenB,9.7551,39590.760,1
qwenB,10.6858,39104.944,1
qwenB,9.9788,40083.077,1
qwenB,9.8495,40212.368,1
qwenB,9.7885,40273.327,1
qwenB,10.1268,40462.953,1
qwenB,10.8564,40673.452,1
qwenB,11.1167,41160.839,1
qwenB,10.3720,42173.084,1
qwenB,10.2610,42284.125,1
qwenB,10.3724,42454.831,1
qwenB,10.3965,42430.757,1
qwenB,10.4110,42762.699,1
qwenB,11.2506,42265.291,1
qwenB,10.4579,43312.740,1
qwenB,10.5328,43493.382,1
qwenB,10.5103,43515.870,1
qwenB,10.5673,43727.049,1
qwenB,10.6077,43877.904,1
qwenB,10.6252,44435.196,1
qwenB,11.7291,43331.305,1
qwenB,10.7588,44965.402,1
qwenB,11.9212,44297.121,1
qwenB,10.8708,45609.516,1
qwenB,10.9328,45879.834,1
qwenB,11.0183,45794.342,1
qwenB,11.0217,46243.905,1
qwenB,11.1356,46406.228,1
qwenB,11.0572,46484.615,1
qwenB,11.3311,46641.901,1
qwenB,12.1530,46311.573,1
qwenB,11.3435,47389.219,1
qwenB,11.3810,47545.400,1
qwenB,11.5900,48362.298,1
qwenB,11.6394,48312.894,1
qwenB,11.8837,48660.901,1
qwenB,12.3150,48409.468,1
qwenB,12.9650,48274.865,1
qwenB,11.9267,49598.046,1
qwenB,11.9835,49989.853,1
qwenB,11.9420,50031.328,1
qwenB,12.0210,50533.165,1
qwenB,12.0705,50973.668,1
qwenB,13.1796,50056.236,1
qwenB,13.5770,50077.235,1
qwenB,13.6450,51392.551,1
qwenB,12.4942,52543.443,1
qwenB,12.2485,52789.135,1
qwenB,12.7198,53242.140,1
qwenB,12.8010,53433.236,1
qwenB,13.9735,52260.776,1
qwenB,12.9231,53512.540,1
qwenB,12.9546,53481.152,1
qwenB,13.0165,54183.851,1
qwenB,14.1069,53536.296,1
qwenB,13.1880,54636.692,1
qwenB,14.8583,53669.899,1
qwenB,13.2155,55492.298,1
qwenB,13.2778,55698.536,1
qwenB,13.3137,55662.714,1
qwenB,13.3172,55659.256,1
qwenB,13.6255,55782.147,1
qwenB,13.6750,55913.625,1
qwenB,14.9221,55113.229,1
qwenB,13.6774,57268.075,1
qwenB,13.7269,57218.707,1
qwenB,15.4782,55735.507,1
qwenB,13.8314,57643.292,1
qwenB,13.8810,57593.803,1
qwenB,14.0164,58251.200,1
qwenB,14.1504,58304.155,1
qwenB,14.2145,58502.771,1
qwenB,14.6097,58378.625,1
qwenB,14.3350,58653.279,1
qwenB,14.6432,59276.933,1
qwenB,14.8657,59321.156,1
qwenB,14.9665,59417.164,1
qwenB,15.6255,58758.223,1
qwenB,16.1918,58546.583,1
qwenB,15.0200,60505.296,1
qwenB,15.1353,60755.240,1
qwenB,16.5415,59763.139,1
qwenB,15.1668,61137.956,1
qwenB,17.0111,59933.489,1
qwenB,15.4287,61515.977,1
qwenB,15.5700,62694.330,1
qwenB,17.1652,61445.120,1
qwenB,15.6720,63527.244,1
qwenB,17.4965,61965.563,1
qwenB,15.7075,63754.606,1
qwenB,15.7089,64021.723,1
qwenB,15.9549,63958.782,1
qwenB,16.0196,64490.002,1
qwenB,16.4450,64411.788,1
qwenB,17.7357,63301.401,1
qwenB,16.5720,64647.842,1
qwenB,16.6114,64608.488,1
qwenB,16.6178,65019.703,1
qwenB,16.7667,65728.735,1
qwenB,16.8396,65655.763,1
qwenB,17.1627,65530.696,1
qwenB,17.2757,65836.165,1
qwenB,17.9445,65619.990,1
qwenB,17.2842,66722.377,1
qwenB,17.3600,67137.403,1
qwenB,17.2887,67208.746,1
qwenB,17.3985,67291.331,1
qwenB,17.7012,67439.318,1
qwenB,17.7932,67852.207,1
qwenB,18.0124,67890.181,1
qwenB,18.5396,68411.800,1
qwenB,17.7933,69679.709,1
qwenB,17.8078,70613.827,1
qwenB,18.7728,69648.812,1
qwenB,17.8776,71087.820,1
qwenB,17.8791,71268.157,1
qwenB,19.0472,70357.003,1
qwenB,18.0060,71927.131,1
qwenB,18.1750,72367.260,1
qwenB,18.2655,72276.807,1
qwenB,19.0871,71955.996,1
qwenB,18.4151,72818.401,1
qwenB,19.5900,71827.852,1
qwenB,18.4256,73437.255,1
qwenB,18.5141,73532.146,1
qwenB,18.7301,74273.372,1
qwenB,18.8333,74434.630,1
qwenB,19.6682,74093.502,1
qwenB,18.8528,75359.868,1
qwenB,19.7761,74619.454,1
qwenB,18.9809,75777.968,1
qwenB,18.8923,75866.525,1
qwenB,19.0458,75983.796,1
qwenB,19.0496,76396.753,1
qwenB,19.1816,77267.457,1
qwenB,19.2402,77393.636,1
qwenB,19.2527,77381.177,1
qwenB,19.3538,77280.139,1
qwenB,19.5645,77419.727,1
qwenB,20.3181,76666.172,1
qwenB,19.9362,77316.150,1
qwenB,19.6307,78136.243,1
qwenB,19.6897,78849.794,1
qwenB,19.7389,79306.239,1
qwenB,19.7174,79327.800,1
qwenB,19.7512,79488.648,1
qwenB,19.7547,79669.651,1
qwenB,20.3934,79662.573,1
qwenB,19.9116,80830.157,1
qwenB,20.8924,80893.807,1
qwenB,19.9528,82111.220,1
qwenB,20.0500,82197.869,1
qwenB,20.0827,82345.325,1
qwenB,20.1715,82441.775,1
qwenB,20.2454,82548.826,1
qwenB,20.9258,82659.379,1
qwenB,21.0605,83447.598,1
qwenB,20.3398,84360.474,1
qwenB,20.5760,84124.323,1
qwenB,20.6594,84412.329,1
qwenB,21.1537,84957.133,1
qwenB,20.7366,85556.485,1
qwenB,20.7743,85518.833,1
qwenB,20.8467,86451.722,1
qwenB,21.8263,85907.061,1
qwenB,20.9034,86830.008,1
qwenB,20.9363,87129.065,1
qwenB,21.0047,87492.903,1
qwenB,21.0112,88164.122,1
qwenB,21.0166,88342.734,1
qwenB,22.1505,87208.847,1
qwenB,21.0310,88814.724,1
qwenB,21.0710,89286.620,1
qwenB,21.2016,89404.869,1
qwenB,21.5218,89269.660,1
qwenB,22.8547,87936.803,1
qwenB,21.7349,89552.400,1
qwenB,21.7794,89507.983,1
qwenB,22.8794,89314.222,1
qwenB,21.8188,90548.033,1
qwenB,23.0252,90019.782,1
qwenB,21.9302,91296.889,1
qwenB,22.1910,91716.821,1
qwenB,22.2905,91617.371,1
qwenB,23.1603,91567.986,1
qwenB,22.2909,92845.759,1
qwenB,22.7537,92565.368,1
qwenB,23.2969,92022.212,1
qwenB,22.7602,92902.041,1
qwenB,22.8573,93138.304,1
qwenB,23.3264,93166.252,1
qwenB,22.9704,94345.170,1
qwenB,22.9039,94411.713,1
qwenB,23.6303,93941.327,1
qwenB,22.9748,94782.332,1
