task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
qwenA,vllm,0.0001,12034.9979,12033.5063,12033.5063,0.0,0.0,0.8512,0.0,1.4916,1779835791349360673,1
qwenA,vllm,4.4735,10599.2994,10597.9084,10597.9084,0.0,0.0,0.7534,0.0,1.3911,1779835795822634804,1
qwenA,vllm,8.9418,9776.8271,9775.4431,9775.4431,0.0,0.0,0.7725,0.0,1.384,1779835800290962663,1
qwenA,vllm,11.2298,8211.3392,8209.6783,8209.6783,0.0,0.0,0.9296,0.0,1.661,1779835802579137446,1
qwenA,vllm,6.74,13768.2514,13766.8596,13766.8596,0.0,0.0,0.6924,0.0,1.3919,1779835798089091412,1
qwenA,vllm,13.9973,7582.257,7580.7864,7580.7864,0.0,0.0,0.8571,0.0,1.4706,1779835805346565592,1
qwenA,vllm,9.6348,13012.831,13011.4779,13011.4779,0.0,0.0,0.7033,0.0,1.3531,1779835800983904226,1
qwenA,vllm,12.7625,10839.4415,10838.1745,10838.1745,0.0,0.0,0.7691,0.0,1.267,1779835804111658143,1
qwenA,vllm,16.1805,8481.6945,8454.9839,8454.9839,0.0,0.0,26.1269,0.0,26.7105,1779835807555035310,1
qwenA,vllm,14.8237,10190.9015,10178.9708,10178.9708,0.0,0.0,11.322,0.0,11.9307,1779835806183366689,1
qwenA,vllm,1.2031,25443.3298,25441.8645,25441.8645,0.0,0.0,0.8121,0.0,1.4653,1779835792552270520,1
qwenA,vllm,2.3709,25729.2972,25727.9228,25727.9228,0.0,0.0,0.706,0.0,1.3744,1779835793720019257,1
qwenA,vllm,16.7686,11712.326,11711.2218,11711.2218,0.0,0.0,0.5498,0.0,1.1043,1779835808117487544,1
qwenA,vllm,3.5636,26578.6569,26577.1731,26577.1731,0.0,0.0,0.6812,0.0,1.4839,1779835794912693053,1
qwenA,vllm,3.7033,26439.0721,26437.7649,26437.7649,0.0,0.0,0.7179,0.0,1.3073,1779835795052339912,1
qwenA,vllm,3.7468,26395.6151,26394.3066,26394.3066,0.0,0.0,0.7577,0.0,1.3085,1779835795095910747,1
qwenA,vllm,5.1774,26108.5372,26105.7837,26105.7837,0.0,0.0,2.0943,0.0,2.7535,1779835796527868642,1
qwenA,vllm,7.3383,26280.0162,26278.2638,26278.2638,0.0,0.0,0.829,0.0,1.7524,1779835798687524616,1
qwenA,vllm,6.7795,26838.8486,26837.4193,26837.4193,0.0,0.0,0.7255,0.0,1.4292,1779835798128612750,1
qwenA,vllm,7.3024,26316.0176,26314.4428,26314.4428,0.0,0.0,0.8888,0.0,1.5749,1779835798651696835,1
qwenA,vllm,7.8831,26277.2193,26275.5243,26275.5243,0.0,0.0,0.8435,0.0,1.695,1779835799232295005,1
qwenA,vllm,19.9535,15043.8936,15042.2856,15042.2856,0.0,0.0,0.9944,0.0,1.6079,1779835811302849615,1
qwenA,vllm,8.7483,26249.1686,26247.9725,26247.9725,0.0,0.0,0.716,0.0,1.1962,1779835800097406275,1
qwenA,vllm,10.289,25586.864,25585.3308,25585.3308,0.0,0.0,0.8876,0.0,1.5332,1779835801638209983,1
qwenA,vllm,11.1188,24757.0713,24756.0,24756.0,0.0,0.0,0.6592,0.0,1.0713,1779835802467792917,1
qwenA,vllm,9.838,26037.9717,26036.6603,26036.6603,0.0,0.0,0.9284,0.0,1.3115,1779835801187262184,1
qwenA,vllm,9.5574,26318.639,26317.5832,26317.5832,0.0,0.0,0.7486,0.0,1.0559,1779835800906470170,1
qwenA,vllm,9.6804,26195.663,26193.0674,26193.0674,0.0,0.0,2.3391,0.0,2.5956,1779835801031112021,1
qwenA,vllm,10.4948,25381.3105,25380.1776,25380.1776,0.0,0.0,0.8981,0.0,1.1329,1779835801844109229,1
qwenA,vllm,12.1489,24635.2427,24633.604,24633.604,0.0,0.0,0.874,0.0,1.6387,1779835803498159508,1
qwenA,vllm,13.0908,24490.2196,24488.8896,24488.8896,0.0,0.0,0.731,0.0,1.33,1779835804439853623,1
qwenA,vllm,13.2995,24281.5318,24279.8092,24279.8092,0.0,0.0,1.3423,0.0,1.7226,1779835804649170846,1
qwenA,vllm,13.527,24517.8213,24516.294,24516.294,0.0,0.0,0.7458,0.0,1.5273,1779835804876094933,1
qwenA,vllm,13.5645,24480.3486,24479.0597,24479.0597,0.0,0.0,0.7446,0.0,1.2889,1779835804913590524,1
qwenA,vllm,14.1914,23853.4994,23852.2325,23852.2325,0.0,0.0,0.7961,0.0,1.2669,1779835805540545102,1
qwenA,vllm,13.6556,24389.3054,24388.232,24388.232,0.0,0.0,0.6976,0.0,1.0734,1779835805004676995,1
qwenA,vllm,21.8268,17011.1814,17009.4821,17009.4821,0.0,0.0,0.9043,0.0,1.6993,1779835813176058450,1
qwenA,vllm,20.655,18182.9848,18181.6438,18181.6438,0.0,0.0,0.7606,0.0,1.341,1779835812004135461,1
qwenA,vllm,15.1771,23660.954,23659.5456,23659.5456,0.0,0.0,0.8407,0.0,1.4084,1779835806526349471,1
qwenA,vllm,15.8483,23410.6896,23408.9123,23408.9123,0.0,0.0,1.0779,0.0,1.7773,1779835807197765447,1
qwenA,vllm,15.5274,23731.6446,23718.6296,23718.6296,0.0,0.0,12.5089,0.0,13.015,1779835806888265197,1
qwenA,vllm,15.2977,23961.3917,23957.9403,23957.9403,0.0,0.0,3.0105,0.0,3.4514,1779835806649063807,1
qwenA,vllm,16.0199,24827.2936,24825.1545,24825.1545,0.0,0.0,1.5366,0.0,2.1392,1779835807369789319,1
qwenA,vllm,16.6205,25348.3021,25346.9448,25346.9448,0.0,0.0,0.7372,0.0,1.3573,1779835807969612502,1
qwenA,vllm,25.9239,16411.901,16410.4768,16410.4768,0.0,0.0,0.762,0.0,1.4242,1779835817273011667,1
qwenA,vllm,17.436,26772.5322,26770.7297,26770.7297,0.0,0.0,0.9451,0.0,1.8025,1779835808785271604,1
qwenA,vllm,24.1065,20102.0112,20100.5542,20100.5542,0.0,0.0,0.8304,0.0,1.457,1779835815455696753,1
qwenA,vllm,18.1323,27554.7194,27553.3826,27553.3826,0.0,0.0,0.685,0.0,1.3368,1779835809481352620,1
qwenA,vllm,18.6733,27445.7698,27444.5479,27444.5479,0.0,0.0,0.669,0.0,1.2219,1779835810022314146,1
qwenA,vllm,18.7108,28141.9945,28127.8224,28127.8224,0.0,0.0,13.5086,0.0,14.1721,1779835810072710276,1
qwenA,vllm,29.3316,18141.7613,18139.1428,18139.1428,0.0,0.0,2.0337,0.0,2.6185,1779835820681991059,1
qwenA,vllm,32.5266,15330.3912,15328.995,15328.995,0.0,0.0,0.8078,0.0,1.3962,1779835823875800061,1
qwenA,vllm,19.2764,31199.4958,31198.0621,31198.0621,0.0,0.0,0.8125,0.0,1.4337,1779835810625594197,1
qwenA,vllm,20.5147,31861.5286,31860.1414,31860.1414,0.0,0.0,0.6719,0.0,1.3872,1779835811863748693,1
qwenA,vllm,20.8156,31560.704,31559.4718,31559.4718,0.0,0.0,0.7544,0.0,1.2322,1779835812164679754,1
qwenA,vllm,20.898,31478.4958,31477.1072,31477.1072,0.0,0.0,0.838,0.0,1.3886,1779835812247172284,1
qwenA,vllm,33.5906,19909.7199,19869.4964,19869.4964,0.0,0.0,39.5896,0.0,40.2235,1779835824978544804,1
qwenA,vllm,21.075,33343.4396,33342.2526,33342.2526,0.0,0.0,0.5701,0.0,1.1869,1779835812423969951,1
qwenA,vllm,21.1696,33248.9607,33247.8662,33247.8662,0.0,0.0,0.6564,0.0,1.0945,1779835812518604631,1
qwenA,vllm,21.0855,33333.0107,33332.0684,33332.0684,0.0,0.0,0.649,0.0,0.9423,1779835812434556514,1
qwenA,vllm,36.9454,20467.186,20465.2629,20465.2629,0.0,0.0,1.2653,0.0,1.9231,1779835828295021958,1
qwenA,vllm,23.8243,34096.9703,34095.3438,34095.3438,0.0,0.0,0.9773,0.0,1.6265,1779835815173679055,1
qwenA,vllm,24.2485,33672.9419,33671.7309,33671.7309,0.0,0.0,0.6948,0.0,1.211,1779835815597528356,1
qwenA,vllm,24.448,33473.4685,33472.3533,33472.3533,0.0,0.0,0.7055,0.0,1.1153,1779835815797025905,1
qwenA,vllm,24.6284,33730.6008,33728.8489,33728.8489,0.0,0.0,1.076,0.0,1.752,1779835815977802124,1
qwenA,vllm,24.6935,34039.2785,34037.9358,34037.9358,0.0,0.0,0.71,0.0,1.3427,1779835816042572583,1
qwenA,vllm,25.235,33914.9206,33913.4765,33913.4765,0.0,0.0,0.8349,0.0,1.444,1779835816584188884,1
qwenA,vllm,26.6771,33319.0465,33317.3724,33317.3724,0.0,0.0,1.1139,0.0,1.6741,1779835818026531835,1
qwenA,vllm,30.3847,31652.9565,31651.5497,31651.5497,0.0,0.0,0.663,0.0,1.4067,1779835821733690614,1
qwenA,vllm,39.4148,23008.0078,23005.956,23005.956,0.0,0.0,1.451,0.0,2.0518,1779835830764590468,1
