task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
qwenA,stfq,0.0001,3998.0202,3996.1932,3996.1932,0.0,0.0,0.9549,0.0,1.827,1779564124570276396,1
qwenA,stfq,2.4047,7116.0526,7114.2223,7114.2223,0.0,0.0,0.9837,0.0,1.8304,1779564126974891020,1
qwenA,stfq,8.9449,2052.5293,2032.0088,2032.0088,0.0,0.0,19.6338,0.0,20.5205,1779564133533681636,1
qwenA,stfq,4.7408,6920.6424,6918.5857,6918.5857,0.0,0.0,0.9475,0.0,2.0567,1779564129310896971,1
qwenA,stfq,7.1263,7119.5569,6916.9353,6916.9353,0.0,0.0,201.7748,0.0,202.6216,1779564131897290121,1
qwenA,stfq,7.4925,7399.5047,7007.6642,7007.6642,0.0,0.0,390.954,0.0,391.8405,1779564132452635624,1
qwenA,stfq,7.406,7486.1276,7009.4897,7009.4897,0.0,0.0,475.6641,0.0,476.6379,1779564132450852802,1
qwenA,stfq,13.479,3380.722,3099.9187,3099.9187,0.0,0.0,279.9563,0.0,280.8033,1779564138328123485,1
qwenA,stfq,10.3548,7229.5773,7088.0829,7088.0829,0.0,0.0,140.5408,0.0,141.4944,1779564135064500791,1
qwenA,stfq,17.8824,2179.019,2138.5724,2138.5724,0.0,0.0,39.5536,0.0,40.4466,1779564142491175813,1
qwenA,stfq,13.5585,7302.4595,6932.2525,6932.2525,0.0,0.0,369.3731,0.0,370.207,1779564138497059523,1
qwenA,stfq,14.6048,7225.8992,6937.5833,6937.5833,0.0,0.0,287.246,0.0,288.3159,1779564139461259116,1
qwenA,stfq,14.6767,7154.057,6934.6724,6934.6724,0.0,0.0,218.3061,0.0,219.3846,1779564139464218645,1
qwenA,stfq,15.7648,7055.3932,7032.0552,7032.0552,0.0,0.0,22.3982,0.0,23.338,1779564140356344007,1
qwenA,stfq,19.2687,3551.5296,3102.9672,3102.9672,0.0,0.0,447.628,0.0,448.5624,1779564144285478498,1
qwenA,stfq,17.4959,7007.1173,6917.7026,6917.7026,0.0,0.0,88.4709,0.0,89.4147,1779564142153583486,1
qwenA,stfq,22.46,2294.9684,2105.2741,2105.2741,0.0,0.0,188.8671,0.0,189.6942,1779564147218026562,1
qwenA,stfq,19.115,7650.8052,7051.6389,7051.6389,0.0,0.0,598.2509,0.0,599.1663,1779564144282423741,1
qwenA,stfq,19.3609,7578.0792,7050.0798,7050.0798,0.0,0.0,527.2508,0.0,527.9994,1779564144457373348,1
qwenA,stfq,19.6752,7603.2791,7042.7467,7042.7467,0.0,0.0,559.7105,0.0,560.5325,1779564144804081775,1
qwenA,stfq,20.5758,7517.1425,7231.3541,7231.3541,0.0,0.0,284.9655,0.0,285.7885,1779564145429906901,1
qwenA,stfq,20.9893,7426.9238,7234.0992,7234.0992,0.0,0.0,192.1151,0.0,192.8246,1779564145750577407,1
qwenA,stfq,25.5248,3290.9703,3175.3526,3175.3526,0.0,0.0,114.6514,0.0,115.6178,1779564150208631873,1
qwenA,stfq,22.2364,7498.5731,7329.7819,7329.7819,0.0,0.0,168.0839,0.0,168.7912,1779564146973717243,1
qwenA,stfq,27.9935,3293.1774,2297.1968,2297.1968,0.0,0.0,995.0991,0.0,995.9805,1779564153557777913,1
qwenA,stfq,24.298,7460.0985,7431.7867,7431.7867,0.0,0.0,27.4465,0.0,28.3118,1779564148894672001,1
