task,send_time_s,latency_ms,phase
qwenA,0.0001,3807.173,1
qwenA,2.4046,6885.061,1
qwenA,8.9449,2335.499,1
qwenA,4.7412,6890.958,1
qwenA,7.1259,6954.750,1
qwenA,7.4057,7156.224,1
qwenA,7.4922,7069.826,1
qwenA,13.4793,3151.234,1
qwenA,10.3551,7324.527,1
qwenA,17.8820,2490.920,1
qwenA,13.5588,7052.940,1
qwenA,14.6046,6881.569,1
qwenA,14.6764,7362.361,1
qwenA,19.2679,3356.046,1
qwenA,15.7646,7319.783,1
qwenA,17.4967,6960.669,1
qwenA,22.4600,2328.767,1
qwenA,19.1154,7334.702,1
qwenA,19.3591,7257.305,1
qwenA,19.6747,7108.625,1
qwenA,20.5760,7151.976,1
qwenA,20.9894,7449.662,1
qwenA,25.5254,3092.133,1
qwenA,22.2358,7254.834,1
qwenA,27.9933,2699.438,1
qwenA,24.2981,7267.590,1
qwenA,29.6464,3368.236,1
qwenA,26.1812,7294.648,1
qwenA,26.5974,7210.429,1
qwenA,27.0513,7391.564,1
qwenA,32.3613,2325.634,1
qwenA,27.1278,7723.984,1
qwenA,27.3075,8029.551,1
qwenA,28.3815,7343.271,1
qwenA,33.5371,3229.764,1
qwenA,30.3550,7196.535,1
qwenA,30.5926,7291.358,1
qwenA,31.0547,7388.079,1
qwenA,31.6949,7328.052,1
qwenA,32.0392,7619.078,1
qwenA,33.2393,7436.098,1
qwenA,34.8710,7264.949,1
qwenA,39.9081,2858.223,1
qwenA,36.2609,7467.791,1
qwenA,41.3089,3365.699,1
qwenA,37.3455,7496.225,1
qwenA,37.4189,7586.686,1
qwenA,38.5521,7334.231,1
qwenA,43.6532,2395.797,1
qwenA,41.0293,7300.029,1
qwenA,41.6297,7402.038,1
qwenA,41.7959,7401.335,1
qwenA,42.1503,7552.812,1
qwenA,42.1708,7847.929,1
qwenA,42.3384,7851.012,1
qwenA,48.2124,3201.597,1
qwenA,51.8444,2339.670,1
qwenA,47.6495,7600.360,1
qwenA,48.4968,7728.266,1
qwenA,48.8948,7573.443,1
qwenA,49.2555,7560.605,1
qwenA,49.3858,7755.391,1
qwenA,50.4693,7576.092,1
qwenA,53.3527,7717.524,1
qwenA,58.6619,3299.760,1
qwenA,61.3039,2852.210,2
qwenA,61.5707,3900.336,2
qwenA,62.4093,3960.733,2
qwenA,62.7695,4502.044,2
qwenA,63.0262,4588.739,2
qwenA,60.7691,7422.180,2
qwenA,63.2969,5457.863,2
qwenA,60.9749,8017.366,2
qwenA,61.1054,8056.273,2
qwenA,61.1796,8152.112,2
qwenA,61.1850,8146.769,2
qwenA,61.3824,8127.686,2
qwenA,63.9278,5751.119,2
qwenA,61.8236,8395.261,2
qwenA,61.8652,8529.243,2
qwenA,61.8714,8523.107,2
qwenA,61.9871,8585.609,2
qwenA,62.3069,8433.267,2
qwenA,64.0191,6963.770,2
qwenA,62.6750,8846.049,2
qwenA,64.9231,6597.998,2
qwenA,62.9334,8770.503,2
qwenA,62.9703,8733.682,2
qwenA,62.9867,9046.196,2
qwenA,63.0041,9416.993,2
qwenA,63.0195,9569.134,2
qwenA,63.2410,9591.615,2
qwenA,63.3453,10190.048,2
qwenA,63.4617,10240.167,2
qwenA,63.4851,10781.646,2
qwenA,63.7246,10972.444,2
qwenA,63.8863,10810.793,2
qwenA,65.3184,9378.783,2
qwenA,63.9532,11167.125,2
qwenA,64.0574,11378.987,2
qwenA,64.0678,11368.703,2
qwenA,64.1292,11726.092,2
qwenA,64.4113,11833.554,2
qwenA,64.5372,11948.834,2
qwenA,66.1175,10539.075,2
qwenA,65.1783,12528.211,2
qwenA,66.1573,11733.670,2
qwenA,66.9181,12037.547,2
qwenA,65.5507,13906.103,2
qwenA,67.0852,13110.940,2
qwenA,65.6406,15200.706,2
qwenA,67.4796,13794.933,2
qwenA,65.7738,15500.778,2
qwenA,65.8208,15453.840,2
qwenA,65.8485,15612.651,2
qwenA,66.1340,15865.298,2
qwenA,66.1967,16150.323,2
qwenA,67.6372,14709.961,2
qwenA,66.3172,16857.393,2
qwenA,66.3698,16974.961,2
qwenA,68.5254,15066.787,2
qwenA,66.4544,17797.727,2
qwenA,66.7249,17527.201,2
qwenA,67.0638,17516.096,2
qwenA,67.2336,17968.819,2
qwenA,67.2909,17911.567,2
qwenA,68.7422,16655.564,2
qwenA,67.3063,18091.525,2
qwenA,67.3567,18474.262,2
qwenA,69.8688,16208.081,2
qwenA,67.3654,18881.543,2
qwenA,67.6005,18966.725,2
qwenA,67.6435,19411.845,2
qwenA,70.1290,17244.587,2
qwenA,67.9847,19561.077,2
qwenA,68.0852,19704.465,2
qwenA,68.2724,19686.091,2
qwenA,70.5259,17824.177,2
qwenA,68.3151,20454.618,2
qwenA,68.7306,20216.671,2
qwenA,69.6801,20248.340,2
qwenA,69.4211,20507.458,2
qwenA,69.5056,20422.963,2
qwenA,69.7105,20476.556,2
qwenA,69.8334,20675.084,2
qwenA,71.0380,20224.823,2
qwenA,70.0706,21595.778,2
qwenA,70.2260,21609.956,2
qwenA,72.0341,20046.917,2
qwenA,70.3874,22475.139,2
qwenA,70.2925,22570.129,2
qwenA,72.3546,20871.893,2
qwenA,70.4457,22781.002,2
qwenA,70.5225,22955.666,2
qwenA,72.8538,20624.400,2
qwenA,70.7254,23739.302,2
qwenA,73.1364,22213.825,2
qwenA,71.1115,24876.744,2
qwenA,71.5353,24703.632,2
qwenA,71.5567,24682.250,2
qwenA,73.8182,22603.848,2
qwenA,71.9048,24700.669,2
qwenA,71.9503,25198.749,2
qwenA,72.3392,25055.784,2
qwenA,72.3780,25017.001,2
qwenA,73.8793,23695.299,2
qwenA,72.5468,25763.727,2
qwenA,72.6689,25812.692,2
qwenA,72.7063,25946.076,2
qwenA,72.7602,26061.167,2
qwenA,74.7303,24091.029,2
qwenA,73.0913,26300.826,2
qwenA,75.3654,24521.567,2
qwenA,73.2763,27150.278,2
qwenA,73.2319,27194.734,2
qwenA,73.5815,27023.602,2
qwenA,73.3147,27290.485,2
qwenA,73.6510,27384.104,2
qwenA,76.1759,25353.166,2
qwenA,73.8561,27995.257,2
qwenA,74.0222,28242.495,2
qwenA,74.1997,28458.167,2
qwenA,74.3180,28584.108,2
qwenA,74.4664,28902.371,2
qwenA,76.3251,27384.432,2
qwenA,74.5937,29475.901,2
qwenA,75.0119,29057.764,2
qwenA,76.9620,27507.354,2
qwenA,75.4477,29984.158,2
qwenA,75.4590,30455.808,2
qwenA,75.6345,30618.587,2
qwenA,75.7402,30850.149,2
qwenA,76.0451,30722.574,2
qwenA,77.2761,30134.186,2
qwenA,77.7711,30127.812,2
qwenA,76.1933,32269.718,2
qwenA,76.3976,32412.223,2
qwenA,76.4120,32397.870,2
qwenA,76.8805,32178.828,2
qwenA,76.4444,32615.024,2
qwenA,77.8690,31673.242,2
qwenA,76.9301,32612.175,2
qwenA,78.9198,31358.719,2
qwenA,77.0174,34534.848,2
qwenA,79.0056,32806.343,2
qwenA,77.4121,34399.980,2
qwenA,77.4367,34375.355,2
qwenA,77.4381,34373.976,2
qwenA,77.4925,34514.744,2
qwenA,79.6620,32523.928,2
qwenA,77.5113,35364.424,2
qwenA,77.7835,35336.656,2
qwenA,79.9673,33827.668,2
qwenA,77.9968,35975.333,2
qwenA,78.3543,35788.494,2
qwenA,78.3917,36398.232,2
qwenA,78.6081,36351.549,2
qwenA,78.7034,36426.562,2
qwenA,80.4976,35123.333,2
qwenA,78.9638,36826.609,2
qwenA,79.0374,37319.647,2
qwenA,79.1680,37189.171,2
qwenA,79.2495,37676.110,2
qwenA,79.5180,37583.678,2
qwenA,79.3580,37743.716,2
qwenA,80.7900,36489.647,2
qwenA,81.9526,35823.752,2
qwenA,79.7925,37983.850,2
qwenA,79.9717,38428.403,2
qwenA,80.1614,38556.764,2
qwenA,80.3227,38715.700,2
qwenA,82.2532,36963.406,2
qwenA,80.3772,39037.886,2
qwenA,80.4076,39007.593,2
qwenA,80.7506,40293.676,2
qwenA,80.9694,40317.993,2
qwenA,81.3409,40118.955,2
qwenA,83.3761,38255.670,2
qwenA,81.9297,39874.138,2
qwenA,81.3907,40413.150,2
qwenA,81.9361,40344.434,2
qwenA,83.4702,39153.513,2
qwenA,84.4724,38728.635,2
qwenA,82.1728,41028.322,2
qwenA,82.3292,41694.967,2
qwenA,82.5742,41768.647,2
qwenA,82.8829,41951.838,2
qwenA,84.7143,40776.106,2
qwenA,82.9862,42824.089,2
qwenA,84.9107,41070.442,2
qwenA,83.2493,43486.219,2
qwenA,83.4387,43486.727,2
qwenA,83.6414,43284.458,2
qwenA,84.2423,42861.522,2
qwenA,83.9099,43193.941,2
qwenA,84.2804,43005.960,2
qwenA,85.3336,42430.208,2
qwenA,84.4089,43529.966,2
qwenA,85.5993,42885.812,2
qwenA,84.6868,44117.628,2
qwenA,85.8451,43868.237,2
qwenA,84.7218,45161.456,2
qwenA,84.7678,45704.253,2
qwenA,84.7753,45868.390,2
qwenA,84.8357,45808.004,2
qwenA,84.8962,46000.883,2
qwenA,85.2958,45920.511,2
qwenA,86.5071,44954.999,2
qwenA,85.5076,46579.118,2
qwenA,85.4831,46603.688,2
qwenA,86.5824,45682.945,2
qwenA,85.5831,46852.315,2
qwenA,85.5716,46863.851,2
qwenA,86.9785,45782.928,2
qwenA,85.5979,47748.678,2
qwenA,85.8013,48092.284,2
qwenA,85.9322,48144.389,2
qwenA,86.0408,48035.873,2
qwenA,86.0633,48381.112,2
qwenA,87.1096,47681.932,2
qwenA,87.9330,47654.721,2
qwenA,86.4298,49474.151,2
qwenA,86.4982,49895.388,2
qwenA,86.5215,50114.239,2
qwenA,86.5988,50501.377,2
qwenA,89.1699,48100.513,2
qwenA,88.5029,48958.849,2
qwenA,86.6393,50822.619,2
qwenA,86.7328,50729.079,2
qwenA,86.7373,50724.617,2
qwenA,86.7821,51261.750,2
qwenA,86.9889,51863.886,2
qwenA,89.3103,50007.771,2
qwenA,87.1160,52450.016,2
qwenA,87.4498,52116.200,2
qwenA,87.4819,52454.016,2
qwenA,87.5123,52822.864,2
qwenA,87.6500,52855.013,2
qwenA,89.6601,51409.461,2
qwenA,88.3312,53246.192,2
qwenA,88.7183,53028.071,2
qwenA,88.8794,53034.830,2
qwenA,88.8560,53058.293,2
qwenA,89.0249,53066.038,2
qwenA,89.0463,53213.681,2
qwenA,89.8244,53249.521,2
qwenA,89.2659,54298.492,2
qwenA,90.3675,53828.063,2
qwenA,89.3998,55443.587,2
qwenA,89.5119,55331.647,2
qwenA,89.5406,55485.613,2
qwenA,89.5940,55998.175,2
qwenA,89.6458,56192.448,2
qwenA,90.5670,55438.628,2
qwenA,91.5574,55297.858,2
qwenA,89.6967,57510.031,2
qwenA,89.9737,57233.090,2
qwenA,90.0465,57338.240,2
qwenA,91.7767,56254.749,2
qwenA,90.1204,58091.317,2
qwenA,90.1709,58437.523,2
qwenA,90.3171,58606.081,2
qwenA,92.4789,56854.756,2
qwenA,90.4868,59576.115,2
qwenA,90.6420,59738.958,2
qwenA,92.7962,57769.753,2
qwenA,91.0012,59564.754,2
qwenA,91.2691,60104.781,2
qwenA,93.9221,57620.195,2
qwenA,91.5380,60172.419,2
qwenA,91.3896,60320.872,2
qwenA,91.6143,60638.794,2
qwenA,94.1860,58403.502,2
qwenA,91.9048,61001.510,2
qwenA,91.9343,61139.235,2
qwenA,95.4389,58285.857,2
qwenA,92.3238,61401.077,2
qwenA,92.4672,61973.697,2
qwenA,92.3271,62113.757,2
qwenA,92.7858,61905.326,2
qwenA,92.9905,61948.980,2
qwenA,93.5805,61826.771,2
qwenA,93.0129,62394.350,2
qwenA,93.7996,61803.126,2
qwenA,93.6540,61948.765,2
qwenA,95.6680,59934.790,2
qwenA,96.7366,59122.615,2
qwenA,94.0059,62726.623,2
qwenA,94.2789,62622.116,2
qwenA,94.6214,62447.481,2
qwenA,94.6292,62828.341,2
qwenA,96.8194,60807.330,2
qwenA,97.5907,60700.886,2
qwenA,95.2999,63159.803,2
qwenA,95.4035,63373.215,2
qwenA,95.5124,63506.518,2
qwenA,95.7923,64275.501,2
qwenA,96.0535,64328.878,2
qwenA,98.0359,62766.408,2
qwenA,96.3376,64464.819,2
qwenA,96.4563,64523.088,2
qwenA,96.6531,64569.195,2
qwenA,98.6816,62785.029,2
qwenA,96.7510,65179.754,2
qwenA,96.8562,65566.861,2
qwenA,97.1021,65320.989,2
qwenA,99.0555,63543.975,2
qwenA,97.2908,65708.777,2
qwenA,97.1319,65867.653,2
qwenA,97.5743,65609.249,2
qwenA,97.7112,65971.320,2
qwenA,100.2215,63922.091,2
qwenA,98.1623,67200.170,2
qwenA,98.1005,67262.088,2
qwenA,100.4522,64910.439,2
qwenA,98.2462,67300.689,2
qwenA,98.2706,67526.901,2
qwenA,98.2930,67680.933,2
qwenA,98.9821,67623.123,2
qwenA,101.2777,65496.530,2
qwenA,99.0951,68143.575,2
qwenA,99.2640,68216.809,2
qwenA,99.8076,68159.651,2
qwenA,100.0785,68138.598,2
qwenA,100.1390,68254.232,2
qwenA,101.6071,67030.105,2
qwenA,102.5309,66524.410,2
qwenA,100.3585,69181.056,2
qwenA,100.4926,69900.624,2
qwenA,100.5329,70311.171,2
qwenA,100.6688,70425.006,2
qwenA,102.6751,68585.890,2
qwenA,101.1054,70551.736,2
qwenA,103.1657,68491.469,2
qwenA,101.1288,70704.510,2
qwenA,101.6057,70934.322,2
qwenA,101.6757,71108.143,2
qwenA,101.8455,70938.453,2
qwenA,102.1290,70832.072,2
qwenA,103.2929,70471.330,2
qwenA,102.4808,71454.975,2
qwenA,102.5224,71583.610,2
qwenA,104.4629,69960.458,2
qwenA,102.5737,72821.922,2
qwenA,102.7085,72855.110,2
qwenA,102.7619,73245.461,2
qwenA,102.9393,73555.151,2
qwenA,102.9417,73723.212,2
qwenA,104.4737,72191.265,2
qwenA,103.1633,73677.520,2
qwenA,103.2855,74262.416,2
qwenA,105.6180,71930.024,2
qwenA,103.3333,74855.296,2
qwenA,103.4066,74781.974,2
qwenA,103.7055,74734.750,2
qwenA,103.6780,74762.237,2
qwenA,106.0615,73046.172,2
qwenA,104.1910,75170.641,2
qwenA,104.4735,75775.300,2
qwenA,106.9945,73424.219,2
qwenA,104.4953,76802.385,2
qwenA,107.3315,74134.499,2
qwenA,104.6170,76849.027,2
qwenA,105.3888,76337.736,2
qwenA,108.1379,73588.755,2
qwenA,105.4330,76944.133,2
qwenA,105.6076,77012.996,2
qwenA,105.8142,77126.406,2
qwenA,106.3393,77014.731,2
qwenA,106.6205,76902.428,2
qwenA,108.3106,75455.987,2
qwenA,106.8260,76940.636,2
qwenA,106.8364,77529.802,2
qwenA,109.1865,75349.582,2
qwenA,106.9391,78084.539,2
qwenA,107.0529,78757.542,2
qwenA,107.6009,78455.475,2
qwenA,107.7474,78731.703,2
qwenA,109.2553,77468.282,2
qwenA,107.7789,78944.769,2
qwenA,107.9161,79073.018,2
qwenA,107.9535,79035.631,2
qwenA,110.4699,76697.527,2
qwenA,108.1631,79322.000,2
qwenA,108.3695,79922.889,2
qwenA,108.3809,80545.298,2
qwenA,110.8969,78206.458,2
qwenA,108.5536,80819.833,2
qwenA,109.1036,80269.995,2
qwenA,108.5701,80803.532,2
qwenA,111.6297,78776.534,2
qwenA,109.2309,81418.859,2
qwenA,109.3468,81871.990,2
qwenA,109.5212,82131.011,2
qwenA,109.7430,81909.198,2
qwenA,109.8531,81974.521,2
qwenA,110.2759,81719.513,2
qwenA,112.0148,80294.790,2
qwenA,110.4923,82226.484,2
qwenA,112.1554,80732.291,2
qwenA,110.9473,82791.886,2
qwenA,111.3727,82366.595,2
qwenA,111.4111,82893.916,2
qwenA,112.5688,81914.473,2
qwenA,111.4766,83424.430,2
qwenA,113.1488,81752.305,2
qwenA,111.6199,83675.883,2
qwenA,111.9581,84048.744,2
qwenA,112.0545,84362.226,2
qwenA,112.0471,84369.684,2
qwenA,113.2145,83467.829,2
qwenA,112.0578,84624.629,2
qwenA,113.6838,83334.850,2
qwenA,112.0611,85203.485,2
qwenA,112.1095,85470.696,2
qwenA,112.2822,86000.273,2
qwenA,112.7153,85816.135,2
qwenA,112.8518,85922.060,2
qwenA,113.0418,85899.713,2
qwenA,112.9213,86020.286,2
qwenA,114.0848,85199.780,2
qwenA,113.1414,86728.285,2
qwenA,113.1821,87002.538,2
qwenA,114.8636,85781.175,2
qwenA,113.2250,88145.072,2
qwenA,113.2888,88321.920,2
qwenA,113.2814,88329.362,2
qwenA,113.4769,88309.868,2
qwenA,113.6694,88533.617,2
qwenA,115.0164,87427.798,2
qwenA,113.6942,89063.816,2
qwenA,115.9722,87239.284,2
qwenA,114.2123,89473.001,2
qwenA,114.1242,89561.105,2
qwenA,114.2890,90086.332,2
qwenA,115.9990,88838.847,2
qwenA,114.4477,90881.727,2
qwenA,114.5772,91065.793,2
qwenA,116.4683,89414.242,2
qwenA,114.8871,91404.930,2
qwenA,115.0699,91567.743,2
qwenA,115.1592,91721.589,2
qwenA,115.6771,91372.818,2
qwenA,115.7450,91473.661,2
qwenA,116.5492,90837.533,2
qwenA,115.8927,92590.421,2
qwenA,117.8206,90662.592,2
qwenA,115.9966,92809.981,2
qwenA,116.1954,93022.044,2
qwenA,116.2058,93253.546,2
qwenA,118.2006,91428.757,2
qwenA,116.2312,93972.450,2
qwenA,118.9884,91679.119,2
qwenA,116.3450,94645.816,2
qwenA,116.3919,94767.628,2
qwenA,116.5468,94782.459,2
qwenA,116.8265,94679.404,2
qwenA,117.3329,94173.156,2
qwenA,117.4177,94418.194,2
qwenA,119.0649,93252.881,2
qwenA,117.4691,95032.927,2
qwenA,117.7534,95241.202,2
qwenA,119.3782,94316.723,2
qwenA,117.9417,95920.180,2
qwenA,118.2541,95775.763,2
qwenA,118.4954,96201.467,2
qwenA,119.4939,95371.507,2
qwenA,118.6390,96476.420,2
qwenA,121.4815,93878.733,3
qwenA,118.7658,96911.041,2
qwenA,118.9869,96690.060,2
qwenA,119.0358,97037.152,2
qwenA,119.1043,97600.144,2
qwenA,122.0997,94949.025,3
qwenA,119.1577,98069.213,2
qwenA,119.1903,98281.082,2
qwenA,127.2683,90373.341,3
qwenA,119.2643,98620.540,2
qwenA,119.3088,99041.417,2
qwenA,119.4595,99633.069,2
qwenA,119.6161,99794.763,2
qwenA,119.7624,99891.345,2
qwenA,131.4187,88659.985,3
qwenA,119.9572,100121.563,2
qwenA,119.9857,100093.165,2
qwenA,120.1091,100314.102,3
qwenA,136.9164,84052.550,3
qwenA,121.5294,99439.522,3
qwenA,123.3478,98430.000,3
qwenA,123.0504,98727.531,3
qwenA,125.1865,96767.789,3
qwenA,138.3152,83809.134,3
qwenA,126.6714,95630.713,3
qwenA,126.4812,95821.061,3
qwenA,150.0003,72301.909,3
qwenA,130.6214,93207.221,3
qwenA,132.8407,91377.087,3
qwenA,135.3142,89080.930,3
qwenA,135.9071,88488.144,3
qwenA,152.4618,72285.548,3
qwenA,157.6339,67768.338,3
qwenA,136.0039,89786.506,3
qwenA,136.2520,89538.488,3
qwenA,137.5031,88682.449,3
qwenA,139.6331,86797.757,3
qwenA,141.1529,86081.799,3
qwenA,148.6947,78718.136,3
qwenA,145.0799,82333.031,3
qwenA,142.2191,85193.894,3
qwenA,158.2621,69408.390,3
qwenA,164.8189,63821.885,3
qwenA,151.9478,76863.160,3
qwenA,152.6057,76595.581,3
qwenA,153.4470,75754.337,3
qwenA,156.0380,73679.911,3
qwenA,156.1978,73520.129,3
qwenA,156.6356,73648.836,3
qwenA,167.2719,63427.556,3
qwenA,158.2084,72810.804,3
qwenA,174.5409,56478.288,3
qwenA,163.1939,68627.866,3
qwenA,162.4174,69404.427,3
qwenA,163.4866,68690.011,3
qwenA,163.9839,68363.519,3
qwenA,179.4727,53289.990,3
qwenA,164.0135,68921.268,3
qwenA,166.4644,68063.711,3
qwenA,168.7575,66095.126,3
qwenA,169.4331,65853.070,3
qwenA,171.5966,64242.908,3
qwenA,170.8887,64950.859,3
qwenA,172.6177,63221.899,3
qwenA,178.9329,57238.626,3
