task,send_time_s,latency_ms,phase
qwenB,0.6163,2342.802,1
qwenB,0.0002,3807.086,1
qwenB,2.1935,2383.576,1
qwenB,1.2409,3336.229,1
qwenB,2.6683,3330.493,1
qwenB,3.8155,2421.619,1
qwenB,5.0042,1983.981,1
qwenB,4.3057,2994.981,1
qwenB,0.0146,7677.260,1
qwenB,0.3242,7367.792,1
qwenB,0.1281,7563.941,1
qwenB,0.2166,7475.396,1
qwenB,0.5548,7316.747,1
qwenB,5.2773,2759.553,1
qwenB,1.1423,7354.673,1
qwenB,1.4235,7322.047,1
qwenB,1.5351,7210.722,1
qwenB,1.6277,7118.076,1
qwenB,1.7002,7045.602,1
qwenB,1.7017,7044.174,1
qwenB,2.3231,6966.703,1
qwenB,6.0400,3642.677,1
qwenB,3.1735,6969.841,1
qwenB,3.4276,6889.089,1
qwenB,3.5196,6797.280,1
qwenB,3.3671,6949.710,1
qwenB,3.5071,6809.761,1
qwenB,7.1363,3512.120,1
qwenB,3.9620,6686.452,1
qwenB,6.1729,4647.000,1
qwenB,4.6083,6841.005,1
qwenB,4.6137,6835.628,1
qwenB,4.8523,6779.891,1
qwenB,4.8349,6797.375,1
qwenB,4.8627,6769.548,1
qwenB,5.0807,6728.558,1
qwenB,5.6862,6582.834,1
qwenB,5.7547,6826.623,1
qwenB,7.3643,5382.988,1
qwenB,5.8702,7042.910,1
qwenB,8.2447,4668.491,1
qwenB,8.9914,4607.682,1
qwenB,5.8703,7898.072,1
qwenB,8.3775,5941.189,1
qwenB,5.8998,8662.245,1
qwenB,6.0414,8696.509,1
qwenB,9.4646,5730.495,1
qwenB,6.2973,9062.268,1
qwenB,6.6334,8971.693,1
qwenB,6.3087,9296.507,1
qwenB,7.1145,8490.761,1
qwenB,6.8151,8790.229,1
qwenB,7.3109,8840.060,1
qwenB,9.7858,6603.981,1
qwenB,7.7452,9343.916,1
qwenB,7.9478,9313.483,1
qwenB,7.9882,9273.144,1
qwenB,8.0691,9192.343,1
qwenB,7.8267,9434.700,1
qwenB,9.8355,7678.186,1
qwenB,10.6275,7052.160,1
qwenB,8.3762,9473.669,1
qwenB,8.3818,10002.429,1
qwenB,8.4593,9925.001,1
qwenB,8.7884,9777.743,1
qwenB,8.7650,9801.180,1
qwenB,8.6473,9918.889,1
qwenB,9.4131,9326.801,1
qwenB,9.5461,9871.875,1
qwenB,9.6196,9962.467,1
qwenB,10.9181,8663.923,1
qwenB,9.7159,10043.682,1
qwenB,9.6630,10096.683,1
qwenB,11.8315,7928.235,1
qwenB,12.0685,8543.243,1
qwenB,9.7613,11167.868,1
qwenB,10.1072,11209.354,1
qwenB,9.7941,11522.434,1
qwenB,12.3180,9407.594,1
qwenB,10.1556,12049.011,1
qwenB,10.3835,12066.210,1
qwenB,10.1891,12260.657,1
qwenB,10.4489,12000.861,1
qwenB,10.7727,12551.821,1
qwenB,12.4057,11084.735,1
qwenB,10.9636,13058.203,1
qwenB,11.0701,13129.348,1
qwenB,11.4328,12766.824,1
qwenB,13.8426,10357.041,1
qwenB,11.7556,12444.099,1
qwenB,11.6027,12597.048,1
qwenB,11.9770,12646.699,1
qwenB,12.0909,13230.140,1
qwenB,13.9376,11560.392,1
qwenB,12.2932,13204.953,1
qwenB,12.1353,13362.845,1
qwenB,12.1568,13341.431,1
qwenB,12.3076,13368.482,1
qwenB,15.7901,10492.254,1
qwenB,12.3453,14438.080,1
qwenB,15.9918,11259.395,1
qwenB,16.2890,11273.283,1
qwenB,12.4261,15301.936,1
qwenB,12.5915,15455.628,1
qwenB,12.6870,15752.216,1
qwenB,16.3349,12104.342,1
qwenB,13.3277,15289.837,1
qwenB,13.7534,15106.942,1
qwenB,13.9221,15325.321,1
qwenB,14.1429,15347.824,1
qwenB,16.7133,13095.778,1
qwenB,14.5842,15538.394,1
qwenB,14.6660,15696.252,1
qwenB,14.8642,15663.115,1
qwenB,14.8666,16284.993,1
qwenB,15.8044,15515.780,1
qwenB,16.0416,15278.685,1
qwenB,15.9992,15321.084,1
qwenB,16.8774,14857.249,1
qwenB,16.0920,15642.678,1
qwenB,16.2242,15680.951,1
qwenB,17.3907,14975.082,1
qwenB,16.2326,16298.978,1
qwenB,16.3194,16378.724,1
qwenB,16.5451,16153.165,1
qwenB,16.6056,17036.821,1
qwenB,16.6887,17285.350,1
qwenB,16.6170,17357.140,1
qwenB,17.5419,16901.025,1
qwenB,18.4536,16398.262,1
qwenB,16.7132,18310.530,1
qwenB,16.7279,18996.865,1
qwenB,16.8776,19016.649,1
qwenB,16.9381,19194.109,1
qwenB,18.5094,17622.810,1
qwenB,17.0246,19498.205,1
qwenB,17.0620,19704.885,1
qwenB,17.1624,19604.560,1
qwenB,19.1671,17774.399,1
qwenB,17.4692,20246.392,1
qwenB,19.1809,18703.086,1
qwenB,19.9001,18302.795,1
qwenB,17.5613,21051.735,1
qwenB,17.6407,20972.381,1
qwenB,17.9305,20925.768,1
qwenB,18.0040,21019.100,1
qwenB,18.0944,21098.018,1
qwenB,18.5040,21393.867,1
qwenB,20.5260,19371.959,1
qwenB,21.6729,18837.890,1
qwenB,18.7721,22141.289,1
qwenB,18.8586,22225.087,1
qwenB,18.8760,22207.692,1
qwenB,18.9708,22580.596,1
qwenB,18.8874,22664.086,1
qwenB,22.1821,19615.906,1
qwenB,23.0996,18866.035,1
qwenB,19.1705,22795.146,1
qwenB,19.1932,23259.167,1
qwenB,19.2146,23718.245,1
qwenB,19.3404,23592.494,1
qwenB,19.3468,23754.942,1
qwenB,19.5852,23755.704,1
qwenB,20.5535,23416.082,1
qwenB,20.5243,23445.218,1
qwenB,23.2476,20894.854,1
qwenB,20.6450,23497.491,1
qwenB,20.6536,24516.564,1
qwenB,21.1681,24002.163,1
qwenB,23.3914,21946.641,1
qwenB,21.5874,23987.918,1
qwenB,21.9229,23963.415,1
qwenB,22.3370,23949.349,1
qwenB,22.2763,24010.083,1
qwenB,22.5885,23867.624,1
qwenB,22.6622,24249.871,1
qwenB,24.1141,23036.386,1
qwenB,22.9729,24177.606,1
qwenB,25.0192,22299.317,1
qwenB,23.1851,24736.747,1
qwenB,25.1772,22981.927,1
qwenB,23.2900,25039.427,1
qwenB,25.6633,22666.146,1
qwenB,23.3174,25476.447,1
qwenB,23.3188,25878.440,1
qwenB,26.1916,23182.901,1
qwenB,23.3577,26016.844,1
qwenB,23.3601,26829.346,1
qwenB,23.8049,26708.024,1
qwenB,26.6131,23899.888,1
qwenB,24.4146,26650.173,1
qwenB,24.4645,26770.055,1
qwenB,24.8369,26397.688,1
qwenB,24.9825,26898.511,1
qwenB,24.9869,27064.996,1
qwenB,25.1547,27151.000,1
qwenB,26.7341,25571.683,1
qwenB,25.1916,27293.418,1
qwenB,25.3703,27358.141,1
qwenB,27.2103,25518.192,1
qwenB,25.3706,27687.191,1
qwenB,25.3759,27681.924,1
qwenB,25.6199,27615.541,1
qwenB,25.9996,27478.019,1
qwenB,26.3355,27678.208,1
qwenB,26.3889,27965.791,1
qwenB,26.4103,27944.449,1
qwenB,26.4207,28113.515,1
qwenB,27.8223,26711.953,1
qwenB,28.6738,26110.874,1
qwenB,26.5988,28894.467,1
qwenB,26.6376,29027.066,1
qwenB,28.8839,27024.379,1
qwenB,29.6468,26991.393,1
qwenB,26.7385,29899.723,1
qwenB,26.8736,29942.527,1
qwenB,26.8820,30576.213,1
qwenB,26.9074,30719.844,1
qwenB,26.9178,30709.510,1
qwenB,29.7496,28053.145,1
qwenB,31.1466,27143.890,1
qwenB,27.6586,31023.731,1
qwenB,27.9699,30883.200,1
qwenB,28.0060,31016.241,1
qwenB,28.1474,31411.827,1
qwenB,32.6719,27057.022,1
qwenB,31.7879,27941.072,1
qwenB,28.4734,31431.910,1
qwenB,28.2950,31610.435,1
qwenB,28.8816,31350.794,1
qwenB,29.1529,31399.074,1
qwenB,29.0314,31520.658,1
qwenB,29.4108,31320.122,1
qwenB,32.7318,28168.872,1
qwenB,29.4262,32181.982,1
qwenB,29.5670,32208.751,1
qwenB,29.7292,32232.579,1
qwenB,33.3352,28626.640,1
qwenB,29.9293,32217.023,1
qwenB,30.0189,32372.740,1
qwenB,30.0333,32821.944,1
qwenB,34.4236,28601.368,1
qwenB,33.5915,29433.526,1
qwenB,30.9662,32236.203,1
qwenB,31.0831,32287.924,1
qwenB,31.5547,32277.035,1
qwenB,31.9908,32165.350,1
qwenB,31.9804,32175.803,1
qwenB,32.1307,32214.908,1
qwenB,32.4030,31942.686,1
qwenB,32.4895,32179.522,1
qwenB,32.7124,32343.537,1
qwenB,33.0024,32224.331,1
qwenB,33.0699,32401.226,1
qwenB,33.1594,32563.245,1
qwenB,33.2048,32985.764,1
qwenB,33.2907,33079.388,1
qwenB,34.5295,32316.332,1
qwenB,33.3416,33749.286,1
qwenB,33.6142,33657.506,1
qwenB,33.6626,33609.136,1
qwenB,33.9061,33708.879,1
qwenB,34.0424,33897.692,1
qwenB,34.1519,33788.207,1
qwenB,34.4451,33916.401,1
qwenB,35.3662,36337.786,1
qwenB,35.4520,37839.494,1
qwenB,34.6080,39093.931,1
qwenB,36.3504,37529.072,1
qwenB,35.0449,39462.569,1
qwenB,36.6264,38254.488,1
qwenB,35.2605,40426.096,1
qwenB,35.2880,41368.712,1
qwenB,35.3084,41524.150,1
qwenB,37.1024,39979.502,1
qwenB,35.3936,41688.342,1
qwenB,35.4664,42240.136,1
qwenB,35.5789,42312.179,1
qwenB,35.6063,42463.453,1
qwenB,35.6377,42678.341,1
qwenB,38.0233,40611.909,1
qwenB,36.1384,42817.269,1
qwenB,36.6180,42519.693,1
qwenB,36.6638,43188.735,1
qwenB,36.7223,43301.947,1
qwenB,36.9413,43428.766,1
qwenB,37.0608,44025.769,1
qwenB,37.0609,45107.665,1
qwenB,38.8335,43513.702,1
qwenB,37.3140,45295.808,1
qwenB,38.0768,44853.781,1
qwenB,38.1542,45683.439,1
qwenB,38.2711,45809.418,1
qwenB,38.9589,45621.054,1
qwenB,38.3496,47048.237,1
qwenB,38.5565,47029.174,1
qwenB,39.2256,47586.512,1
qwenB,38.8604,49658.728,1
qwenB,39.5568,49213.005,1
qwenB,38.9733,50143.094,1
qwenB,40.1657,49497.198,1
qwenB,38.9946,50668.374,1
qwenB,39.0743,51680.279,1
qwenB,39.1197,51803.309,1
qwenB,40.3428,50748.978,1
qwenB,39.1311,52131.795,1
qwenB,39.3932,52857.359,1
qwenB,39.6033,53439.017,1
qwenB,39.7005,53341.846,1
qwenB,39.7279,54076.127,1
qwenB,39.7604,54364.406,1
qwenB,41.2434,53051.750,1
qwenB,39.8098,54900.293,1
qwenB,40.2322,54871.782,1
qwenB,40.4383,55379.953,1
qwenB,41.5209,54901.139,1
qwenB,40.6111,55811.028,1
qwenB,40.9756,56770.087,1
qwenB,41.0292,57036.076,1
qwenB,41.1930,58028.812,1
qwenB,41.8192,57816.995,1
qwenB,42.2473,58536.745,1
qwenB,41.5015,59282.614,1
