task,send_time_s,latency_ms,phase
ecgclass,0.0003,349.452,1
ecgclass,1.2028,59.556,1
ecgclass,2.3707,38.347,1
ecgclass,3.5637,97.999,1
ecgclass,3.7037,39.232,1
ecgclass,3.7468,127.299,1
ecgclass,4.4727,96.936,1
ecgclass,5.1778,67.338,1
ecgclass,6.7400,43.814,1
ecgclass,6.7809,115.970,1
ecgclass,7.3031,56.578,1
ecgclass,7.3376,88.746,1
ecgclass,7.8822,52.919,1
ecgclass,8.7479,34.671,1
ecgclass,8.9429,119.994,1
ecgclass,9.5577,134.648,1
ecgclass,9.6342,123.957,1
ecgclass,9.6801,78.111,1
ecgclass,9.8374,122.837,1
ecgclass,10.2887,72.755,2
ecgclass,10.3011,128.986,2
ecgclass,10.3399,90.350,2
ecgclass,10.3474,151.648,2
ecgclass,10.4043,163.087,2
ecgclass,10.4427,124.775,2
ecgclass,10.4639,172.778,2
ecgclass,10.4759,230.156,2
ecgclass,10.4905,215.606,2
ecgclass,10.4931,281.233,2
ecgclass,10.4983,344.281,2
ecgclass,10.5204,322.468,2
ecgclass,10.5319,380.783,2
ecgclass,10.5717,408.688,2
ecgclass,10.5943,386.195,2
ecgclass,10.6009,448.394,2
ecgclass,10.6161,500.484,2
ecgclass,10.6359,480.754,2
ecgclass,10.6470,538.380,2
ecgclass,10.6579,594.609,2
ecgclass,10.6851,567.500,2
ecgclass,10.6937,627.487,2
ecgclass,10.7355,653.282,2
ecgclass,10.7786,610.379,2
ecgclass,10.8122,645.272,2
ecgclass,10.8150,710.367,2
ecgclass,10.8502,675.222,2
ecgclass,10.8940,700.124,2
ecgclass,10.9280,735.118,2
ecgclass,10.9366,726.754,2
ecgclass,10.9472,786.417,2
ecgclass,10.9518,849.092,2
ecgclass,10.9624,838.520,2
ecgclass,10.9628,907.585,2
ecgclass,10.9684,969.293,2
ecgclass,11.0096,928.044,2
ecgclass,11.1345,872.061,2
ecgclass,11.1517,922.541,2
ecgclass,11.1623,911.990,2
ecgclass,11.1734,969.956,2
ecgclass,11.1846,1026.055,2
ecgclass,11.1889,1021.758,2
ecgclass,11.2222,1057.195,2
ecgclass,11.2655,1081.103,2
ecgclass,11.3131,1033.629,2
ecgclass,11.4787,937.091,2
ecgclass,11.5447,938.820,2
ecgclass,11.5954,888.280,2
ecgclass,11.6279,924.845,2
ecgclass,11.6475,973.099,2
ecgclass,11.6479,972.802,2
ecgclass,11.6777,1012.296,2
ecgclass,11.6973,1059.930,2
ecgclass,11.7449,1012.460,2
ecgclass,11.8086,1018.427,2
ecgclass,11.8191,1075.942,2
ecgclass,11.8196,1075.608,2
