task,send_time_s,latency_ms,phase
ecgclass,0.0002,340.486,1
ecgclass,1.2030,716.212,1
ecgclass,2.3705,1120.581,1
ecgclass,3.5636,1578.340,1
ecgclass,3.7037,1683.904,1
ecgclass,3.7460,2038.820,1
ecgclass,4.4724,2695.056,1
ecgclass,5.1774,3123.295,1
ecgclass,6.7401,3986.839,1
ecgclass,6.7792,4148.799,1
ecgclass,7.3026,4527.533,1
ecgclass,7.3381,4593.692,1
ecgclass,7.8825,4686.689,1
ecgclass,8.7486,4700.906,1
ecgclass,8.9418,4856.377,1
ecgclass,9.5579,5246.387,1
ecgclass,9.6353,5219.452,1
ecgclass,9.6801,5327.158,1
ecgclass,9.8380,5616.851,1
ecgclass,10.2883,6068.086,2
ecgclass,10.3009,6104.573,2
ecgclass,10.3406,6215.785,2
ecgclass,10.3472,6260.279,2
ecgclass,10.4042,6350.525,2
ecgclass,10.4434,6410.373,2
ecgclass,10.4638,6489.972,2
ecgclass,10.4764,6576.407,2
ecgclass,10.4911,6611.811,2
ecgclass,10.4927,6658.731,2
ecgclass,10.4983,6702.331,2
ecgclass,10.5200,6732.370,2
ecgclass,10.5326,6769.601,2
ecgclass,10.5718,6828.151,2
ecgclass,10.5942,6857.281,2
ecgclass,10.6018,6901.541,2
ecgclass,10.6161,6989.882,2
ecgclass,10.6361,7020.406,2
ecgclass,10.6468,7059.515,2
ecgclass,10.6577,7149.254,2
ecgclass,10.6836,7223.413,2
ecgclass,10.6944,7261.711,2
ecgclass,10.7348,7426.323,2
ecgclass,10.7784,7534.377,2
ecgclass,10.8121,7798.890,2
ecgclass,10.8149,7896.864,2
ecgclass,10.8506,7911.749,2
ecgclass,10.8926,8022.063,2
ecgclass,10.9272,8039.138,2
ecgclass,10.9363,8080.011,2
ecgclass,10.9469,8118.606,2
ecgclass,10.9515,8165.908,2
ecgclass,10.9621,8206.227,2
ecgclass,10.9637,8253.950,2
ecgclass,10.9683,8511.323,2
ecgclass,11.0095,8470.111,2
ecgclass,11.1340,8345.628,2
ecgclass,11.1522,8370.462,2
