task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
ecgclass,fifo,0.0003,377.7184,374.625,345.1012,0.0033,28.2492,1.9586,0.0,3.0934,1777948784601991394,1
ecgclass,fifo,1.2032,55.403,53.2408,51.8378,0.0018,0.8114,1.4174,0.0,2.1622,1777948785804415765,1
ecgclass,fifo,2.3709,70.2565,68.1588,65.486,0.0023,1.8323,1.2825,0.0,2.0977,1777948786971906876,1
ecgclass,fifo,3.5629,58.665,56.4402,55.3651,0.0014,0.5322,1.3978,0.0,2.2249,1777948788164069071,1
ecgclass,fifo,3.7037,56.2484,54.0696,51.4726,0.0012,2.0526,1.3218,0.0,2.1788,1777948788304833061,1
ecgclass,fifo,3.7468,68.6514,54.9648,52.4425,0.0011,2.0988,12.8665,0.0,13.6866,1777948788359465288,1
ecgclass,fifo,4.4731,72.3629,70.1831,67.5283,0.0024,1.8172,1.3814,0.0,2.1798,1777948789074262672,1
ecgclass,fifo,5.1778,69.6788,67.6902,66.0299,0.0023,0.8343,1.2288,0.0,1.9886,1777948789778819770,1
ecgclass,fifo,6.74,59.1156,57.0165,56.1058,0.0011,0.3699,1.3468,0.0,2.0992,1777948791341139025,1
ecgclass,fifo,6.7809,79.6671,60.9426,58.4788,0.0011,2.0726,17.9286,0.0,18.7245,1777948791398626896,1
ecgclass,fifo,7.3028,74.2943,72.2821,70.5904,0.0024,0.876,1.2405,0.0,2.0122,1777948791903787516,1
ecgclass,fifo,7.3377,105.4432,65.3931,62.7412,0.0013,2.0818,39.2537,0.0,40.0501,1777948791976693684,1
ecgclass,fifo,7.8822,69.8779,67.7588,66.0845,0.0025,0.8547,1.2994,0.0,2.119,1777948792483254075,1
ecgclass,fifo,8.7478,36.4769,34.1874,33.1853,0.0013,0.4509,1.2083,0.0,2.2895,1777948793348801528,1
ecgclass,fifo,8.9417,66.6466,64.7951,62.3279,0.0013,2.057,1.085,0.0,1.8515,1777948793542535405,1
ecgclass,fifo,9.5572,54.5826,52.5476,49.9356,0.0013,2.0844,1.3328,0.0,2.035,1777948794158335081,1
ecgclass,fifo,9.634,61.1331,58.0055,55.525,0.0014,2.0447,1.1539,0.0,3.1276,1777948794234912084,1
ecgclass,fifo,9.6801,86.5691,71.2676,68.6275,0.0015,2.0426,14.4553,0.0,15.3014,1777948794294300065,1
ecgclass,fifo,9.8381,63.7438,61.8301,59.3241,0.0021,2.0266,1.2016,0.0,1.9138,1777948794439096293,1
ecgclass,fifo,10.2886,66.7918,64.8041,62.2379,0.0013,1.8282,1.3349,0.0,1.9877,1777948794889687253,2
ecgclass,fifo,10.3011,201.9989,147.1509,135.4926,0.0013,3.708,54.1518,0.0,54.8481,1777948794955009919,2
ecgclass,fifo,10.3404,162.7083,147.1509,135.4926,0.0013,3.708,14.8487,0.0,15.5574,1777948794955009919,2
ecgclass,fifo,10.3468,156.5087,147.1509,135.4926,0.0013,3.708,8.4836,0.0,9.3578,1777948794955009919,2
ecgclass,fifo,10.405,236.9285,138.0499,135.4828,0.0011,0.7011,98.2354,0.0,98.8785,1777948795103011396,2
ecgclass,fifo,10.4427,199.3053,138.0499,135.4828,0.0011,0.7011,60.569,0.0,61.2554,1777948795103011396,2
ecgclass,fifo,10.4633,178.7994,138.0499,135.4828,0.0011,0.7011,39.9284,0.0,40.7495,1777948795103011396,2
ecgclass,fifo,10.4759,303.257,136.4403,133.8235,0.0012,0.6949,166.1851,0.0,166.8167,1777948795241844471,2
ecgclass,fifo,10.4902,289.0885,136.4403,133.8235,0.0012,0.6949,151.854,0.0,152.6482,1777948795241844471,2
ecgclass,fifo,10.4926,286.8161,136.4403,133.8235,0.0012,0.6949,149.5068,0.0,150.3758,1777948795241844471,2
ecgclass,fifo,10.499,415.7596,134.7322,131.825,0.0012,0.6974,280.4885,0.0,281.0274,1777948795379213382,2
ecgclass,fifo,10.5204,394.5107,134.7322,131.825,0.0012,0.6974,259.011,0.0,259.7785,1777948795379213382,2
ecgclass,fifo,10.5321,383.0066,134.7322,131.825,0.0012,0.6974,247.3874,0.0,248.2744,1777948795379213382,2
ecgclass,fifo,10.5717,477.8516,133.8044,131.1939,0.0014,0.6867,343.2763,0.0,344.0472,1777948795514762634,2
ecgclass,fifo,10.594,455.6639,133.8044,131.1939,0.0014,0.6867,320.9698,0.0,321.8595,1777948795514762634,2
ecgclass,fifo,10.6014,448.2763,133.8044,131.1939,0.0014,0.6867,313.5614,0.0,314.4719,1777948795514762634,2
ecgclass,fifo,10.616,572.6919,137.6113,135.0001,0.0015,0.6664,433.5964,0.0,435.0807,1777948795649406264,2
ecgclass,fifo,10.6354,553.3895,137.6113,135.0001,0.0015,0.6664,414.2654,0.0,415.7783,1777948795649406264,2
ecgclass,fifo,10.6464,542.5508,137.6113,135.0001,0.0015,0.6664,403.2516,0.0,404.9395,1777948795649406264,2
ecgclass,fifo,10.657,667.7942,135.9179,133.3422,0.0016,0.6876,531.0838,0.0,531.8763,1777948795787824664,2
ecgclass,fifo,10.6844,640.3811,135.9179,133.3422,0.0016,0.6876,503.6478,0.0,504.4632,1777948795787824664,2
ecgclass,fifo,10.6947,630.1856,135.9179,133.3422,0.0016,0.6876,493.3255,0.0,494.2677,1777948795787824664,2
ecgclass,fifo,10.7351,728.2186,137.7678,135.1452,0.0016,0.6707,589.7038,0.0,590.4508,1777948795924547802,2
ecgclass,fifo,10.7781,685.1649,137.7678,135.1452,0.0016,0.6707,546.6337,0.0,547.3972,1777948795924547802,2
ecgclass,fifo,10.812,651.5148,137.7678,135.1452,0.0016,0.6707,512.7501,0.0,513.747,1777948795924547802,2
ecgclass,fifo,10.8146,785.5306,136.075,133.3428,0.0015,0.6866,648.7525,0.0,649.4556,1777948796063145779,2
ecgclass,fifo,10.8501,750.0868,136.075,133.3428,0.0015,0.6866,613.2593,0.0,614.0118,1777948796063145779,2
ecgclass,fifo,10.8923,708.0319,136.075,133.3428,0.0015,0.6866,571.0344,0.0,571.9569,1777948796063145779,2
ecgclass,fifo,10.9273,810.0121,136.2751,133.6582,0.0017,0.683,673.0642,0.0,673.737,1777948796200087120,2
ecgclass,fifo,10.9365,800.8614,136.2751,133.6582,0.0017,0.683,663.8222,0.0,664.5863,1777948796200087120,2
ecgclass,fifo,10.9472,790.4024,136.2751,133.6582,0.0017,0.683,653.1091,0.0,654.1273,1777948796200087120,2
ecgclass,fifo,10.9516,921.7861,135.1596,132.5331,0.0016,0.6891,785.8808,0.0,786.6265,1777948796337275449,2
ecgclass,fifo,10.962,911.3898,135.1596,132.5331,0.0016,0.6891,775.4648,0.0,776.2302,1777948796337275449,2
ecgclass,fifo,10.9634,910.182,135.1596,132.5331,0.0016,0.6891,774.1077,0.0,775.0224,1777948796337275449,2
ecgclass,fifo,10.9688,1042.7127,137.2538,134.6267,0.0013,0.6927,904.736,0.0,905.4588,1777948796473264141,2
ecgclass,fifo,11.0091,1002.3644,137.2538,134.6267,0.0013,0.6927,864.3675,0.0,865.1106,1777948796473264141,2
ecgclass,fifo,11.1356,876.0831,137.2538,134.6267,0.0013,0.6927,737.88,0.0,738.8293,1777948796473264141,2
ecgclass,fifo,11.1523,997.3285,137.2267,134.6072,0.0014,0.6845,859.2277,0.0,860.1019,1777948796611324808,2
ecgclass,fifo,11.1607,989.141,137.2267,134.6072,0.0014,0.6845,850.8804,0.0,851.9143,1777948796611324808,2
ecgclass,fifo,11.1734,976.531,137.2267,134.6072,0.0014,0.6845,838.1827,0.0,839.3044,1777948796611324808,2
ecgclass,fifo,11.1847,1099.5464,133.7102,131.1227,0.0014,0.6893,964.9363,0.0,965.8362,1777948796749444670,2
ecgclass,fifo,11.1888,1095.5315,133.7102,131.1227,0.0014,0.6893,960.8934,0.0,961.8213,1777948796749444670,2
ecgclass,fifo,11.2225,1061.9872,133.7102,131.1227,0.0014,0.6893,927.2184,0.0,928.277,1777948796749444670,2
ecgclass,fifo,11.2653,1157.6288,137.7181,135.0721,0.0015,0.692,1018.9929,0.0,1019.9107,1777948796884017613,2
ecgclass,fifo,11.3126,1110.4116,137.7181,135.0721,0.0015,0.692,971.6339,0.0,972.6936,1777948796884017613,2
ecgclass,fifo,11.4787,944.3004,137.7181,135.0721,0.0015,0.692,805.5007,0.0,806.5823,1777948796884017613,2
ecgclass,fifo,11.5439,1015.9893,136.0068,133.4164,0.0015,0.695,878.9585,0.0,879.9825,1777948797022609864,2
ecgclass,fifo,11.5953,964.6406,136.0068,133.4164,0.0015,0.695,827.5805,0.0,828.6338,1777948797022609864,2
ecgclass,fifo,11.628,931.9119,136.0068,133.4164,0.0015,0.695,794.8153,0.0,795.9051,1777948797022609864,2
