task,send_time_s,latency_ms,phase
ecgclass,0.0003,297.112,1
ecgclass,1.2027,40.574,1
ecgclass,2.3706,33.903,1
ecgclass,3.5629,66.858,1
ecgclass,3.7045,50.491,1
ecgclass,3.7469,69.686,1
ecgclass,4.4722,60.810,1
ecgclass,5.1778,35.721,1
ecgclass,6.7402,56.386,1
ecgclass,6.7794,47.295,1
ecgclass,7.3030,49.994,1
ecgclass,7.3383,76.381,1
ecgclass,7.8821,70.308,1
ecgclass,8.7485,79.152,1
ecgclass,8.9415,80.544,1
ecgclass,9.5571,92.409,1
ecgclass,9.6346,112.074,1
ecgclass,9.6804,163.683,1
ecgclass,9.8381,83.905,1
ecgclass,10.2889,59.324,2
ecgclass,10.3015,85.571,2
ecgclass,10.3407,124.508,2
ecgclass,10.3474,198.998,2
ecgclass,10.4049,220.159,2
ecgclass,10.4428,262.266,2
ecgclass,10.4639,320.618,2
ecgclass,10.4768,387.783,2
ecgclass,10.4912,455.129,2
ecgclass,10.4925,533.370,2
ecgclass,10.4990,603.995,2
ecgclass,10.5197,662.228,2
ecgclass,10.5323,729.941,2
ecgclass,10.5722,767.235,2
ecgclass,10.5935,823.374,2
ecgclass,10.6012,893.417,2
ecgclass,10.6154,956.937,2
ecgclass,10.6354,1015.121,2
ecgclass,10.6471,1082.969,2
ecgclass,10.6580,1152.640,2
ecgclass,10.6850,1205.677,2
ecgclass,10.6937,1276.911,2
ecgclass,10.7356,1313.861,2
ecgclass,10.7787,1352.437,2
ecgclass,10.8128,1397.243,2
ecgclass,10.8146,1473.728,2
ecgclass,10.8497,1518.305,2
ecgclass,10.8925,1555.403,2
ecgclass,10.9278,1600.783,2
ecgclass,10.9364,1670.205,2
ecgclass,10.9459,1737.799,2
ecgclass,10.9516,1810.078,2
ecgclass,10.9622,1877.722,2
ecgclass,10.9627,1957.225,2
ecgclass,10.9683,2030.134,2
ecgclass,11.0093,2066.352,2
ecgclass,11.1343,2020.607,2
ecgclass,11.1522,2085.675,2
ecgclass,11.1608,2156.115,2
ecgclass,11.1733,2222.216,2
ecgclass,11.1842,2288.750,2
ecgclass,11.1890,2376.675,2
ecgclass,11.2224,2438.766,2
ecgclass,11.2655,2478.361,2
ecgclass,11.3129,2509.725,2
ecgclass,11.4790,2420.821,2
ecgclass,11.5440,2435.082,2
ecgclass,11.5957,2465.140,2
ecgclass,11.6280,2509.794,2
ecgclass,11.6477,2566.178,2
ecgclass,11.6478,2642.486,2
ecgclass,11.6780,2693.320,2
ecgclass,11.6972,2754.141,2
ecgclass,11.7459,2784.075,2
ecgclass,11.8080,2838.980,2
ecgclass,11.8190,2906.799,2
ecgclass,11.8194,2984.064,2
ecgclass,11.8486,3033.599,2
ecgclass,11.9287,3033.106,2
ecgclass,11.9542,3086.182,2
ecgclass,12.0213,3096.468,2
ecgclass,12.0450,3150.385,2
ecgclass,12.0859,3182.597,2
ecgclass,12.0947,3248.374,2
ecgclass,12.0986,3277.487,2
ecgclass,12.1033,3336.811,2
ecgclass,12.1071,3401.890,2
ecgclass,12.1087,3470.046,2
ecgclass,12.1624,3487.519,2
ecgclass,12.1761,3547.846,2
ecgclass,12.1887,3613.603,2
ecgclass,12.2173,3663.981,2
ecgclass,12.2239,3736.006,2
ecgclass,12.2837,3756.308,2
ecgclass,12.3242,3796.369,2
ecgclass,12.3338,3865.844,2
ecgclass,12.3400,3938.046,2
ecgclass,12.3566,4000.964,2
ecgclass,12.3674,4107.918,2
ecgclass,12.3693,4186.420,2
ecgclass,12.3849,4251.171,2
ecgclass,12.4548,4258.882,2
ecgclass,12.4864,4304.472,2
ecgclass,12.5827,4287.821,2
ecgclass,12.6469,4303.072,2
ecgclass,12.6815,4347.574,2
ecgclass,12.7390,4368.994,2
ecgclass,12.7617,4423.274,2
ecgclass,12.7953,4468.778,2
ecgclass,12.8078,4534.703,2
ecgclass,12.8144,4605.923,2
ecgclass,12.8811,4621.915,2
ecgclass,12.8858,4698.531,2
ecgclass,12.8914,4772.599,2
ecgclass,12.9020,4840.385,2
ecgclass,12.9312,4892.870,2
ecgclass,12.9458,4957.144,2
ecgclass,12.9661,5015.968,2
ecgclass,13.0333,5030.945,2
ecgclass,13.0820,5064.013,2
ecgclass,13.1177,5106.623,2
ecgclass,13.1233,5181.070,2
ecgclass,13.1601,5222.884,2
ecgclass,13.1747,5286.077,2
ecgclass,13.1783,5361.566,2
ecgclass,13.1916,5428.350,2
ecgclass,13.1933,5509.950,2
ecgclass,13.2224,5562.417,2
ecgclass,13.2522,5612.146,2
ecgclass,13.2612,5683.332,2
ecgclass,13.2629,5762.629,2
ecgclass,13.3482,5755.919,2
ecgclass,13.3750,5808.681,2
ecgclass,13.4198,5842.812,2
ecgclass,13.4315,5910.803,2
ecgclass,13.4834,5936.300,2
ecgclass,13.5351,5965.371,2
ecgclass,13.5381,6040.220,2
ecgclass,13.7077,5950.158,2
ecgclass,13.7284,6007.264,2
ecgclass,13.7721,6043.609,2
ecgclass,13.7797,6113.825,2
ecgclass,13.8108,6161.578,2
ecgclass,13.8191,6233.228,2
ecgclass,13.8695,6260.913,2
ecgclass,13.8841,6330.109,2
ecgclass,13.9101,6381.723,2
ecgclass,13.9253,6444.439,2
ecgclass,13.9494,6499.056,2
ecgclass,13.9635,6563.995,2
ecgclass,13.9823,6622.406,2
ecgclass,13.9839,6698.153,2
ecgclass,14.0335,6727.666,2
ecgclass,14.1127,6726.896,2
ecgclass,14.1301,6787.216,2
ecgclass,14.2361,6759.835,2
ecgclass,14.2417,6833.342,2
ecgclass,14.3280,6826.150,2
ecgclass,14.3407,6891.240,2
ecgclass,14.3610,6948.380,2
ecgclass,14.4372,6950.780,2
ecgclass,14.4410,7024.771,2
ecgclass,14.4466,7098.291,2
ecgclass,14.4886,7133.281,2
ecgclass,14.5191,7180.020,2
ecgclass,14.5296,7247.327,2
ecgclass,14.5423,7312.093,2
ecgclass,14.5659,7366.854,2
ecgclass,14.6246,7386.573,2
ecgclass,14.6361,7452.302,2
ecgclass,14.6612,7504.755,2
ecgclass,14.6715,7573.168,2
ecgclass,14.6803,7641.972,2
ecgclass,14.7476,7652.496,2
ecgclass,14.7647,7714.015,2
ecgclass,14.8068,7750.118,2
ecgclass,14.8174,7817.874,2
ecgclass,14.8220,7892.841,2
ecgclass,14.8578,7935.439,2
ecgclass,14.9015,7971.112,2
ecgclass,14.9315,8018.663,2
ecgclass,14.9687,8060.599,2
ecgclass,15.0010,8106.255,2
ecgclass,15.0350,8152.027,2
ecgclass,15.1049,8159.932,2
ecgclass,15.1928,8150.663,2
ecgclass,15.2139,8207.291,2
ecgclass,15.2169,8284.923,2
ecgclass,15.2604,8319.841,2
ecgclass,15.2877,8370.161,2
ecgclass,15.3634,8372.037,2
ecgclass,15.3963,8417.281,2
ecgclass,15.4008,8490.561,2
ecgclass,15.4334,8534.744,2
ecgclass,15.4506,8598.493,2
ecgclass,15.4549,8672.174,2
ecgclass,15.4633,8742.368,2
ecgclass,15.5721,8710.574,2
ecgclass,15.5840,8775.833,2
ecgclass,15.5924,8845.380,2
ecgclass,15.6072,8911.093,2
ecgclass,15.6706,8925.769,2
ecgclass,15.7054,8968.590,2
ecgclass,15.7110,9040.731,2
ecgclass,15.7111,9119.318,2
ecgclass,15.7252,9184.613,2
ecgclass,15.7296,9258.165,2
ecgclass,15.7945,9272.272,2
ecgclass,15.7979,9346.215,2
ecgclass,15.8190,9406.487,2
ecgclass,15.8523,9450.387,2
ecgclass,15.9407,9439.724,2
ecgclass,15.9511,9507.113,2
ecgclass,16.0044,9531.868,2
ecgclass,16.0287,9584.542,2
ecgclass,16.0821,9608.509,2
ecgclass,16.0937,9676.409,2
ecgclass,16.1043,9743.860,2
ecgclass,16.1117,9814.172,2
ecgclass,16.1445,9862.033,2
ecgclass,16.1649,9919.321,2
ecgclass,16.1912,9971.048,2
ecgclass,16.2316,10008.426,2
ecgclass,16.2677,10050.140,2
ecgclass,16.3003,10094.825,2
ecgclass,16.3445,10129.816,2
ecgclass,16.3446,10209.255,2
ecgclass,16.3925,10241.039,2
ecgclass,16.4340,10278.327,2
ecgclass,16.4465,10343.985,2
ecgclass,16.4541,10413.324,2
ecgclass,16.4766,10470.198,2
ecgclass,16.5400,10485.741,2
ecgclass,16.5508,10552.858,2
ecgclass,16.5948,10586.361,2
ecgclass,16.6886,10570.158,2
ecgclass,16.7002,10637.671,2
ecgclass,16.8343,10582.156,2
ecgclass,16.8359,10658.205,2
ecgclass,16.8375,10734.097,2
ecgclass,16.8950,10754.257,2
ecgclass,16.9155,10812.165,2
ecgclass,16.9351,11056.979,2
ecgclass,16.9960,10996.187,2
ecgclass,17.0732,10918.986,2
ecgclass,17.0988,10950.507,2
ecgclass,17.1654,10922.871,2
ecgclass,17.1963,10969.807,2
ecgclass,17.2120,11031.021,2
ecgclass,17.2192,11101.710,2
ecgclass,17.2625,11136.626,2
ecgclass,17.3290,11188.752,2
ecgclass,17.4125,11183.353,2
ecgclass,17.4228,11251.179,2
ecgclass,17.4540,11298.055,2
ecgclass,17.4702,11320.917,2
ecgclass,17.5250,11345.643,2
ecgclass,17.5306,11417.553,2
ecgclass,17.5322,11495.996,2
ecgclass,17.5433,11563.097,2
ecgclass,17.5460,11638.433,2
ecgclass,17.5603,11701.077,2
ecgclass,17.5759,11764.429,2
ecgclass,17.5795,11838.306,2
ecgclass,17.6763,11818.566,2
ecgclass,17.6869,11886.283,2
ecgclass,17.7225,11929.127,2
ecgclass,17.7291,12000.282,2
ecgclass,17.7447,12063.008,2
ecgclass,17.7483,12137.910,2
ecgclass,17.7516,12212.059,2
ecgclass,17.7518,12290.949,2
ecgclass,17.8021,12318.426,2
ecgclass,17.8138,12383.674,2
ecgclass,17.8354,12444.840,2
ecgclass,17.8627,12494.649,2
ecgclass,17.8682,12565.854,2
ecgclass,17.9594,12552.665,2
ecgclass,17.9767,12612.204,2
ecgclass,17.9793,12686.329,2
ecgclass,17.9819,12760.926,2
ecgclass,17.9981,12821.538,2
ecgclass,18.0018,12894.616,2
ecgclass,18.0120,12961.275,2
ecgclass,18.0351,13016.374,2
ecgclass,18.0368,13091.231,2
ecgclass,18.0474,13156.839,2
ecgclass,18.0964,13184.353,2
ecgclass,18.0990,13258.556,2
ecgclass,18.1300,13304.384,2
ecgclass,18.1334,13378.548,2
ecgclass,18.2145,13373.947,2
ecgclass,18.2231,13442.249,2
ecgclass,18.2306,13511.279,2
ecgclass,18.2641,13554.436,2
ecgclass,18.3353,13559.971,2
ecgclass,18.4342,13539.153,2
ecgclass,18.4781,13572.748,2
ecgclass,18.5314,13596.097,2
ecgclass,18.5668,13637.359,2
ecgclass,18.5724,13708.548,2
ecgclass,18.6085,13749.146,2
ecgclass,18.6141,13820.121,2
ecgclass,18.6449,13867.377,2
ecgclass,18.6694,13919.463,2
ecgclass,18.6796,13986.034,2
ecgclass,18.7025,14039.778,2
ecgclass,18.7305,14088.569,2
ecgclass,18.7371,14159.180,2
ecgclass,18.7507,14224.181,2
ecgclass,18.7640,14289.114,2
ecgclass,18.7677,14361.874,2
ecgclass,18.7759,14430.419,2
ecgclass,18.8080,14474.985,2
ecgclass,18.8457,14514.195,2
ecgclass,18.8633,14573.776,2
ecgclass,18.8838,14630.835,2
ecgclass,18.8947,14697.462,2
ecgclass,18.9322,14736.698,2
ecgclass,18.9438,14802.075,2
ecgclass,18.9741,14849.208,2
ecgclass,18.9954,14904.686,2
ecgclass,19.0130,14963.688,2
ecgclass,19.1027,14951.552,2
ecgclass,19.1691,14961.759,2
ecgclass,19.1990,15008.664,2
ecgclass,19.2368,15047.389,2
ecgclass,19.2410,15119.578,2
ecgclass,19.2559,15181.375,2
ecgclass,19.2962,15218.355,2
ecgclass,19.3295,15261.432,2
ecgclass,19.3362,15331.565,2
ecgclass,19.4340,15312.577,2
ecgclass,19.4342,15388.554,2
ecgclass,19.4697,15429.706,2
ecgclass,19.4713,15504.628,2
ecgclass,19.5492,15504.013,2
ecgclass,19.5508,15578.892,2
ecgclass,19.5996,15606.645,2
ecgclass,19.6053,15677.859,2
ecgclass,19.7469,15612.674,2
ecgclass,19.7665,15669.816,2
ecgclass,19.8033,15710.719,2
ecgclass,19.8331,15757.683,2
ecgclass,19.8537,15813.689,2
ecgclass,19.8988,15846.590,2
ecgclass,19.9217,15900.295,2
ecgclass,20.0078,15890.874,3
ecgclass,20.0376,15937.578,3
ecgclass,22.7171,13335.828,3
ecgclass,23.1316,12997.984,3
ecgclass,23.2786,12927.560,3
ecgclass,23.5721,12710.771,3
ecgclass,24.1936,12166.206,3
ecgclass,24.6932,11743.192,3
ecgclass,25.7354,10778.699,3
ecgclass,26.8737,9716.864,3
ecgclass,27.3462,9322.309,3
ecgclass,28.1331,8611.870,3
ecgclass,28.4705,8351.157,3
ecgclass,28.5281,8370.308,3
ecgclass,28.7987,8176.219,3
ecgclass,28.9470,8105.874,3
ecgclass,29.9339,7195.544,3
