task,send_time_s,latency_ms,phase
gestureclass,0.0002,638.612,1
gestureclass,0.0036,635.319,1
gestureclass,0.0120,627.011,1
gestureclass,0.0223,616.637,1
gestureclass,0.0577,581.320,1
gestureclass,0.0591,580.090,1
gestureclass,0.0634,575.830,1
gestureclass,0.0657,573.570,1
gestureclass,0.0669,572.467,1
gestureclass,0.0902,549.289,1
gestureclass,0.1066,532.895,1
gestureclass,0.1311,508.437,1
gestureclass,0.1345,505.138,1
gestureclass,0.1448,494.886,1
gestureclass,0.1682,471.573,1
gestureclass,0.1756,464.271,1
gestureclass,0.1799,459.990,1
gestureclass,0.2013,438.633,1
gestureclass,0.2117,428.382,1
gestureclass,0.2118,428.298,1
gestureclass,0.3163,323.874,1
gestureclass,0.3307,309.479,1
gestureclass,0.3471,293.094,1
gestureclass,0.3554,504.921,1
gestureclass,0.3788,481.946,1
gestureclass,0.4206,440.189,1
gestureclass,0.4361,424.748,1
gestureclass,0.4565,404.370,1
gestureclass,0.4668,394.135,1
gestureclass,0.5086,352.352,1
gestureclass,0.5331,327.924,1
gestureclass,0.5615,299.667,1
gestureclass,0.5699,291.267,1
gestureclass,0.5782,282.928,1
gestureclass,0.5825,278.672,1
gestureclass,0.5948,266.377,1
gestureclass,0.5982,263.101,1
gestureclass,0.6085,252.820,1
gestureclass,0.6119,249.433,1
gestureclass,0.6131,248.187,1
gestureclass,0.6304,230.903,1
gestureclass,0.6317,413.734,1
gestureclass,0.6693,376.115,1
gestureclass,0.6758,369.806,1
gestureclass,0.7011,344.449,1
gestureclass,0.7065,339.239,1
gestureclass,0.7509,294.996,1
gestureclass,0.7614,284.497,1
gestureclass,0.7688,277.220,1
gestureclass,0.7771,268.994,1
gestureclass,0.7784,267.665,1
gestureclass,0.7868,259.416,1
gestureclass,0.8091,237.102,1
gestureclass,0.8092,237.026,1
gestureclass,0.8386,207.645,1
gestureclass,0.8805,308.748,1
gestureclass,0.8850,304.469,1
gestureclass,0.8963,293.261,1
gestureclass,0.9236,266.043,1
gestureclass,0.9614,228.363,1
gestureclass,0.9717,218.035,1
gestureclass,0.9911,198.817,1
gestureclass,1.0054,184.547,1
gestureclass,1.0198,170.334,1
gestureclass,1.0231,167.089,1
gestureclass,1.0294,160.817,1
gestureclass,1.0397,263.274,1
gestureclass,1.0564,246.580,1
gestureclass,1.0727,230.362,1
gestureclass,1.1121,191.060,1
gestureclass,1.1145,188.709,1
gestureclass,1.1198,183.522,1
gestureclass,1.1411,162.284,1
gestureclass,1.1474,155.994,1
gestureclass,1.1617,141.715,1
gestureclass,1.2144,207.318,1
gestureclass,1.2339,187.914,1
gestureclass,1.2373,184.510,1
gestureclass,1.2567,165.186,1
gestureclass,1.2581,163.841,1
gestureclass,1.2685,153.531,1
gestureclass,1.2698,152.699,1
gestureclass,1.2821,140.396,1
gestureclass,1.2925,130.052,1
gestureclass,1.2968,125.711,1
gestureclass,1.3176,198.872,1
gestureclass,1.3319,184.525,1
gestureclass,1.3513,165.167,1
gestureclass,1.3617,154.965,1
gestureclass,1.3841,132.587,1
gestureclass,1.4044,112.279,1
gestureclass,1.4067,109.960,1
gestureclass,1.4211,217.719,1
gestureclass,1.4490,189.926,1
gestureclass,1.4504,188.707,1
gestureclass,1.4678,171.335,1
gestureclass,1.4702,168.926,1
gestureclass,1.4816,157.611,1
gestureclass,1.5055,133.670,1
gestureclass,1.5289,213.590,1
gestureclass,1.5523,190.197,1
gestureclass,1.5687,173.839,1
gestureclass,1.6001,142.462,1
gestureclass,1.6002,142.369,1
gestureclass,1.6276,114.944,1
gestureclass,1.6277,114.873,1
gestureclass,1.6331,109.500,1
gestureclass,1.6493,140.415,1
gestureclass,1.6737,116.078,1
gestureclass,1.7281,61.673,1
gestureclass,1.7421,100.680,1
gestureclass,1.7648,78.001,1
gestureclass,1.7672,75.593,1
gestureclass,1.7815,61.310,1
gestureclass,1.7999,98.530,1
gestureclass,1.8082,90.228,1
gestureclass,1.8396,58.876,1
gestureclass,1.8590,73.967,1
gestureclass,1.8704,62.588,1
gestureclass,1.9179,39.503,1
gestureclass,1.9572,24.762,1
gestureclass,1.9816,24.438,1
gestureclass,2.0122,25.148,1
gestureclass,2.0316,29.184,1
gestureclass,2.0565,28.481,1
gestureclass,2.0619,70.518,1
gestureclass,2.0663,66.213,1
gestureclass,2.0717,60.822,1
gestureclass,2.1102,77.630,1
gestureclass,2.1136,74.326,1
gestureclass,2.1209,67.063,1
gestureclass,2.1272,60.787,1
gestureclass,2.1520,62.145,1
gestureclass,2.1932,44.627,1
gestureclass,2.2570,25.377,1
gestureclass,2.2604,45.671,1
gestureclass,2.2885,45.449,1
gestureclass,2.3028,31.123,1
gestureclass,2.3252,32.896,1
gestureclass,2.3381,61.143,1
gestureclass,2.3525,46.813,1
gestureclass,2.3558,43.485,1
gestureclass,2.3683,56.056,1
gestureclass,2.4165,37.979,1
gestureclass,2.4212,33.387,1
gestureclass,2.4236,74.107,1
