task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
ecgclass,stfq,0.0001,380.3051,378.684,347.2363,0.0033,30.0782,1.0824,0.0,1.621,1778107446885946641,1
ecgclass,stfq,0.4812,379.1213,227.8011,225.2604,0.0037,1.3705,150.4617,0.0,151.3202,1778107447516421457,1
ecgclass,stfq,0.949,240.0997,152.4125,149.911,0.0037,1.1377,87.06,0.0,87.6872,1778107447920791185,1
ecgclass,stfq,1.4257,212.6153,122.9557,120.4298,0.0042,0.4745,89.011,0.0,89.6596,1778107448399436741,1
ecgclass,stfq,1.4816,156.6846,122.9557,120.4298,0.0042,0.4745,33.0582,0.0,33.729,1778107448399436741,1
ecgclass,stfq,1.4991,139.2379,122.9557,120.4298,0.0042,0.4745,15.5995,0.0,16.2822,1778107448399436741,1
ecgclass,stfq,1.7895,109.2656,57.5136,54.6642,0.0037,1.4878,51.4596,0.0,51.7519,1778107448725680161,1
ecgclass,stfq,2.0715,61.3542,48.717,46.0807,0.0021,1.2569,12.3336,0.0,12.6372,1778107448968604627,1
ecgclass,stfq,2.6965,53.4992,31.2826,29.5964,0.0043,0.3947,21.6544,0.0,22.2167,1778107449602888280,1
ecgclass,stfq,2.7118,38.1672,31.2826,29.5964,0.0043,0.3947,6.2995,0.0,6.8847,1778107449602888280,1
ecgclass,stfq,2.9213,95.1805,84.1926,81.2537,0.0018,1.4202,10.6795,0.0,10.9879,1778107449816684170,1
ecgclass,stfq,2.9356,149.4074,69.9287,67.637,0.002,0.7237,78.7303,0.0,79.4787,1778107449899108369,1
ecgclass,stfq,3.1531,94.5194,64.7133,62.6137,0.0037,0.8191,29.331,0.0,29.806,1778107450067130965,1
ecgclass,stfq,3.4995,67.364,43.0503,40.8495,0.0039,0.7315,23.8509,0.0,24.3137,1778107450408083934,1
ecgclass,stfq,3.5776,110.1751,68.8767,66.6154,0.0023,1.0411,40.5655,0.0,41.2984,1778107450502921208,1
ecgclass,stfq,3.8248,114.4135,82.933,79.7308,0.0019,0.6568,30.9188,0.0,31.4805,1778107450740447904,1
ecgclass,stfq,3.8543,84.9376,82.933,79.7308,0.0019,0.6568,1.4265,0.0,2.0046,1778107450740447904,1
ecgclass,stfq,3.8721,122.5867,57.5917,55.2145,0.0042,1.1135,64.4515,0.0,64.995,1778107450821276498,1
ecgclass,stfq,3.9359,153.4441,95.639,93.4112,0.0037,1.1169,57.2114,0.0,57.805,1778107450877829787,1
ecgclass,stfq,4.1162,135.9386,95.8178,93.1785,0.0043,1.394,39.33,0.0,40.1208,1778107451040293577,1
ecgclass,stfq,4.1987,160.234,108.6702,105.1598,0.0025,2.1231,51.2347,0.0,51.5638,1778107451134718030,1
ecgclass,stfq,4.4474,62.8092,58.1629,56.063,0.0039,0.8228,4.1316,0.0,4.6464,1778107451336293821,1
ecgclass,stfq,4.4927,52.1123,35.7443,33.691,0.0038,0.9401,15.8918,0.0,16.3681,1778107451393336776,1
ecgclass,stfq,4.8603,115.7899,106.6779,104.3595,0.0041,0.9746,8.5099,0.0,9.112,1778107451753596673,1
ecgclass,stfq,5.1059,123.234,121.1026,117.8959,0.0035,1.851,1.591,0.0,2.1314,1778107451992260680,1
ecgclass,stfq,5.2368,142.9601,97.761,94.4581,0.0022,1.8403,44.9159,0.0,45.199,1778107452166411361,1
ecgclass,stfq,5.3204,141.7022,84.0321,81.6977,0.0035,1.0802,56.7901,0.0,57.6701,1778107452261938765,1
ecgclass,stfq,5.4111,156.822,106.95,104.7804,0.0047,0.5376,49.2709,0.0,49.872,1778107452345156611,1
ecgclass,stfq,5.4258,142.1525,106.95,104.7804,0.0047,0.5376,34.5838,0.0,35.2025,1778107452345156611,1
ecgclass,stfq,5.4619,211.5431,106.324,104.2344,0.0043,1.1301,104.6302,0.0,105.2191,1778107452451237952,1
ecgclass,stfq,5.5993,129.9441,56.4277,54.5048,0.0044,0.9813,72.9601,0.0,73.5164,1778107452557046072,1
ecgclass,stfq,5.6764,99.6816,47.6449,45.5885,0.004,0.9664,51.4779,0.0,52.0367,1778107452612605987,1
ecgclass,stfq,5.9291,127.8236,82.8496,79.4497,0.0038,2.0355,44.5981,0.0,44.974,1778107452858465975,1
ecgclass,stfq,6.0715,88.1758,47.7427,45.5587,0.0046,0.971,39.7434,0.0,40.4331,1778107452995962455,1
ecgclass,stfq,6.1191,95.721,56.4598,53.0322,0.0023,1.4542,38.9307,0.0,39.2612,1778107453042742318,1
ecgclass,stfq,6.2117,90.4551,54.1138,51.1225,0.0033,1.2104,35.9838,0.0,36.3413,1778107453132417489,1
ecgclass,stfq,6.3397,93.0641,48.7765,46.1952,0.004,0.9088,43.8378,0.0,44.2876,1778107453268289981,1
ecgclass,stfq,6.4086,116.3976,93.753,91.5178,0.0021,1.0017,22.1043,0.0,22.6446,1778107453315450609,1
ecgclass,stfq,6.4739,156.9977,106.5816,104.436,0.0046,1.0588,49.8004,0.0,50.4161,1778107453408428590,1
ecgclass,stfq,6.6481,116.128,68.1217,65.1514,0.0023,0.8423,47.6248,0.0,48.0063,1778107453580469079,1
ecgclass,stfq,6.7078,150.5826,95.6386,93.3907,0.0039,1.0874,54.3513,0.0,54.9439,1778107453646918168,1
ecgclass,stfq,6.9746,126.6365,48.9517,46.8485,0.0038,0.7996,77.1086,0.0,77.6849,1778107453936404421,1
ecgclass,stfq,7.2528,92.4532,67.5531,65.3879,0.0039,0.8198,24.2643,0.0,24.9001,1778107454161793611,1
ecgclass,stfq,7.4695,89.8645,82.7206,80.3881,0.0037,1.2132,6.2399,0.0,7.1439,1778107454360454396,1
ecgclass,stfq,7.4846,156.3623,83.0458,80.8602,0.0045,0.9843,72.7522,0.0,73.3165,1778107454442066454,1
ecgclass,stfq,7.711,41.1932,31.9334,30.0403,0.0052,0.8616,8.6741,0.0,9.2598,1778107454604457318,1
ecgclass,stfq,7.9821,89.1767,52.9684,50.2438,0.004,0.8787,35.7952,0.0,36.2082,1778107454902668447,1
ecgclass,stfq,8.206,88.9442,55.2572,53.1114,0.0043,0.94,32.9201,0.0,33.687,1778107455123631020,1
ecgclass,stfq,8.262,86.2856,54.3315,52.4176,0.0039,1.0128,31.2135,0.0,31.9541,1778107455178002620,1
ecgclass,stfq,8.3261,89.1042,67.6668,65.5773,0.0043,1.0214,20.8821,0.0,21.4374,1778107455231709735,1
ecgclass,stfq,8.3595,167.5069,112.0433,109.6617,0.0048,1.244,54.4071,0.0,55.4636,1778107455298652253,1
ecgclass,stfq,8.4304,218.0078,122.571,120.3147,0.0037,0.3637,94.6882,0.0,95.4368,1778107455409783000,1
ecgclass,stfq,8.4347,213.6455,122.571,120.3147,0.0037,0.3637,90.2982,0.0,91.0745,1778107455409783000,1
ecgclass,stfq,8.468,180.3546,122.571,120.3147,0.0037,0.3637,56.998,0.0,57.7836,1778107455409783000,1
ecgclass,stfq,8.7311,60.0388,32.7696,30.4192,0.0021,1.0077,26.6895,0.0,27.2692,1778107455642561377,1
ecgclass,stfq,9.5305,75.7756,54.6627,52.4291,0.0043,0.8457,20.2947,0.0,21.1129,1778107456435520323,1
ecgclass,stfq,9.6426,63.467,33.036,30.772,0.0035,0.8981,29.8181,0.0,30.431,1778107456557195145,1
ecgclass,stfq,9.7004,70.8003,66.3435,64.2463,0.0038,1.1263,3.8548,0.0,4.4568,1778107456589001404,1
ecgclass,stfq,9.7794,91.7001,54.6424,52.3623,0.0024,0.7728,36.3388,0.0,37.0577,1778107456700447760,1
ecgclass,stfq,9.8512,66.443,48.2528,45.6593,0.0023,1.0867,17.8978,0.0,18.1902,1778107456753850128,1
ecgclass,stfq,9.8772,106.6501,66.8083,63.7749,0.0042,2.0805,38.842,0.0,39.8419,1778107456800803029,1
ecgclass,stfq,10.095,58.7378,33.8516,31.628,0.0023,0.7771,24.2975,0.0,24.8862,1778107457004004317,1
ecgclass,stfq,10.3696,71.8515,48.7583,46.4669,0.0048,0.9881,22.3401,0.0,23.0932,1778107457276726071,1
ecgclass,stfq,10.6709,110.8832,106.4588,103.529,0.0024,1.6664,3.973,0.0,4.4245,1778107457559632413,1
ecgclass,stfq,11.7342,178.8199,81.8554,79.6074,0.0041,0.9683,96.4112,0.0,96.9645,1778107458715308476,1
ecgclass,stfq,12.1544,120.281,82.6172,80.2273,0.0051,1.1351,37.0996,0.0,37.6638,1778107459076191019,1
ecgclass,stfq,12.4835,79.6742,46.6491,44.433,0.0043,1.1395,32.3122,0.0,33.0251,1778107459400501959,1
ecgclass,stfq,12.6918,50.7202,25.9812,24.5694,0.0043,0.4953,24.1592,0.0,24.739,1778107459600658072,1
ecgclass,stfq,12.8109,85.0616,66.9504,64.8267,0.0042,0.4724,17.4992,0.0,18.1112,1778107459713180667,1
ecgclass,stfq,12.8195,76.5345,66.9504,64.8267,0.0042,0.4724,8.9567,0.0,9.5841,1778107459713180667,1
ecgclass,stfq,13.0105,79.2005,35.469,33.2587,0.0036,0.8529,43.1828,0.0,43.7315,1778107459938391626,1
ecgclass,stfq,13.1361,63.5889,57.2532,54.5846,0.0044,1.3744,5.8975,0.0,6.3357,1778107460026751372,1
ecgclass,stfq,13.4363,75.7475,34.4651,32.1371,0.0034,1.0445,40.6888,0.0,41.2824,1778107460361716775,1
ecgclass,stfq,13.8423,202.3547,172.4213,170.0721,0.0039,1.1396,29.388,0.0,29.9334,1778107460756469230,1
ecgclass,stfq,13.9089,334.846,199.8362,197.5331,0.0039,0.5911,134.2299,0.0,135.0098,1778107460927853793,1
ecgclass,stfq,13.9194,324.3859,199.8362,197.5331,0.0039,0.5911,123.7476,0.0,124.5497,1778107460927853793,1
ecgclass,stfq,14.1033,236.4738,96.7513,94.3386,0.0038,1.0805,138.8571,0.0,139.7225,1778107461126894292,1
ecgclass,stfq,14.6138,169.0118,147.3563,144.6136,0.0036,1.2044,20.6494,0.0,21.6555,1778107461519237542,1
ecgclass,stfq,14.7784,85.629,83.0263,80.7086,0.0046,1.175,2.0251,0.0,2.6027,1778107461665134959,1
ecgclass,stfq,15.2046,70.6522,66.6566,64.4824,0.0023,0.9499,3.3414,0.0,3.9956,1778107462092670532,1
ecgclass,stfq,15.3551,26.9432,25.627,23.9236,0.0039,0.616,0.8409,0.0,1.3162,1778107462240723901,1
