task,send_time_s,latency_ms,phase
gestureclass,0.0002,608.860,1
gestureclass,0.0037,605.506,1
gestureclass,0.0121,597.061,1
gestureclass,0.0225,586.662,1
gestureclass,0.0580,551.260,1
gestureclass,0.0583,550.976,1
gestureclass,0.0625,546.775,1
gestureclass,0.0658,543.511,1
gestureclass,0.0671,542.277,1
gestureclass,0.0904,519.161,1
gestureclass,0.1068,502.743,1
gestureclass,0.1303,479.219,1
gestureclass,0.1347,474.833,1
gestureclass,0.1451,464.556,1
gestureclass,0.1685,441.180,1
gestureclass,0.1759,433.848,1
gestureclass,0.1802,429.504,1
gestureclass,0.2016,408.213,1
gestureclass,0.2120,397.825,1
gestureclass,0.2121,397.786,1
gestureclass,0.3145,295.338,1
gestureclass,0.3299,279.955,1
gestureclass,0.3474,462.523,1
gestureclass,0.3558,454.110,1
gestureclass,0.3794,430.663,1
gestureclass,0.4208,389.252,1
gestureclass,0.4363,373.745,1
gestureclass,0.4557,354.439,1
gestureclass,0.4661,344.078,1
gestureclass,0.5088,301.312,1
gestureclass,0.5332,276.917,1
gestureclass,0.5607,249.544,1
gestureclass,0.5711,239.106,1
gestureclass,0.5785,231.749,1
gestureclass,0.5828,227.409,1
gestureclass,0.5951,215.119,1
gestureclass,0.5984,211.813,1
gestureclass,0.6087,385.242,1
gestureclass,0.6111,382.895,1
gestureclass,0.6133,380.789,1
gestureclass,0.6306,363.526,1
gestureclass,0.6309,363.280,1
gestureclass,0.6692,325.015,1
gestureclass,0.6756,318.677,1
gestureclass,0.7029,291.394,1
gestureclass,0.7063,288.052,1
gestureclass,0.7507,243.676,1
gestureclass,0.7611,233.319,1
gestureclass,0.7685,226.040,1
gestureclass,0.7768,217.763,1
gestureclass,0.7791,215.525,1
gestureclass,0.7863,208.307,1
gestureclass,0.8093,303.578,1
gestureclass,0.8094,304.964,1
gestureclass,0.8385,275.894,1
gestureclass,0.8810,233.419,1
gestureclass,0.8843,230.061,1
gestureclass,0.8967,217.736,1
gestureclass,0.9221,192.355,1
gestureclass,0.9619,152.555,1
gestureclass,0.9722,142.206,1
gestureclass,0.9916,226.726,1
gestureclass,1.0058,212.491,1
gestureclass,1.0202,198.211,1
gestureclass,1.0226,195.841,1
gestureclass,1.0289,189.883,1
gestureclass,1.0392,179.602,1
gestureclass,1.0555,163.284,1
gestureclass,1.0729,145.927,1
gestureclass,1.1123,200.041,1
gestureclass,1.1145,197.909,1
gestureclass,1.1198,192.573,1
gestureclass,1.1402,172.403,1
gestureclass,1.1475,165.077,1
gestureclass,1.1618,150.769,1
gestureclass,1.2152,97.411,1
gestureclass,1.2330,189.940,1
gestureclass,1.2373,185.613,1
gestureclass,1.2566,166.333,1
gestureclass,1.2580,165.030,1
gestureclass,1.2682,154.844,1
gestureclass,1.2695,153.589,1
gestureclass,1.2838,139.356,1
gestureclass,1.2921,131.083,1
gestureclass,1.2964,126.859,1
gestureclass,1.3168,210.266,1
gestureclass,1.3322,194.932,1
gestureclass,1.3515,175.614,1
gestureclass,1.3619,165.297,1
gestureclass,1.3842,143.016,1
gestureclass,1.4046,122.708,1
gestureclass,1.4070,120.358,1
gestureclass,1.4193,108.067,1
gestureclass,1.4488,190.994,1
gestureclass,1.4502,189.755,1
gestureclass,1.4695,170.411,1
gestureclass,1.4696,170.355,1
gestureclass,1.4810,158.963,1
gestureclass,1.5059,134.169,1
gestureclass,1.5285,212.696,1
gestureclass,1.5519,189.358,1
gestureclass,1.5682,173.038,1
gestureclass,1.5996,141.656,1
gestureclass,1.6011,140.277,1
gestureclass,1.6284,112.951,1
gestureclass,1.6285,112.852,1
gestureclass,1.6329,108.503,1
gestureclass,1.6502,136.364,1
gestureclass,1.6736,112.970,1
gestureclass,1.7291,57.507,1
gestureclass,1.7408,99.264,1
gestureclass,1.7645,75.571,1
gestureclass,1.7669,73.195,1
gestureclass,1.7823,57.838,1
gestureclass,1.8001,86.266,1
gestureclass,1.8086,77.869,1
gestureclass,1.8398,89.181,1
gestureclass,1.8593,69.618,1
gestureclass,1.8708,58.161,1
gestureclass,1.9177,36.455,1
gestureclass,1.9573,27.025,1
gestureclass,1.9817,27.496,1
gestureclass,2.0124,26.820,1
gestureclass,2.0318,32.880,1
gestureclass,2.0564,36.372,1
gestureclass,2.0618,31.006,1
gestureclass,2.0658,62.920,1
gestureclass,2.0724,56.341,1
gestureclass,2.1099,54.547,1
gestureclass,2.1143,50.175,1
gestureclass,2.1206,43.876,1
gestureclass,2.1270,69.039,1
gestureclass,2.1529,43.180,1
gestureclass,2.1928,30.823,1
gestureclass,2.2558,29.816,1
gestureclass,2.2603,50.017,1
gestureclass,2.2888,48.258,1
gestureclass,2.3032,33.894,1
gestureclass,2.3245,38.046,1
gestureclass,2.3382,65.419,1
gestureclass,2.3526,51.069,1
gestureclass,2.3560,47.676,1
gestureclass,2.3668,62.335,1
gestureclass,2.4159,55.308,1
gestureclass,2.4212,49.953,1
gestureclass,2.4235,47.652,1
gestureclass,2.4353,68.041,1
gestureclass,2.4456,57.770,1
gestureclass,2.4733,74.831,1
gestureclass,2.4877,60.492,1
gestureclass,2.4941,54.131,1
gestureclass,2.5085,73.477,1
gestureclass,2.5168,65.153,1
gestureclass,2.5462,68.761,1
gestureclass,2.5534,61.636,1
gestureclass,2.5841,62.721,1
gestureclass,2.6065,40.386,1
gestureclass,2.6150,76.112,1
gestureclass,2.6324,58.762,1
gestureclass,2.6388,52.347,1
gestureclass,2.6933,29.232,1
gestureclass,2.7277,55.542,1
gestureclass,2.7322,51.118,1
gestureclass,2.7621,46.636,1
gestureclass,2.7885,61.188,1
gestureclass,2.7887,60.935,1
gestureclass,2.7960,53.636,1
gestureclass,2.8399,42.652,1
gestureclass,2.8433,39.272,1
gestureclass,2.8476,86.983,1
gestureclass,2.8508,83.786,1
gestureclass,2.8581,76.516,1
gestureclass,2.8604,74.260,1
gestureclass,2.8807,135.418,1
gestureclass,2.9198,96.359,1
gestureclass,2.9199,96.365,1
gestureclass,2.9215,94.766,1
gestureclass,2.9238,92.441,1
gestureclass,2.9441,140.212,1
gestureclass,2.9474,136.927,1
gestureclass,2.9687,115.629,1
gestureclass,3.0092,75.216,1
gestureclass,3.0194,129.548,1
gestureclass,3.0348,114.190,1
gestureclass,3.0572,91.865,1
gestureclass,3.0635,85.528,1
gestureclass,3.0678,81.236,1
gestureclass,3.1061,76.465,1
gestureclass,3.1164,66.100,1
gestureclass,3.1522,94.439,1
gestureclass,3.1568,89.864,1
gestureclass,3.1600,86.765,1
gestureclass,3.1753,71.494,1
gestureclass,3.2428,28.802,1
gestureclass,3.2681,28.929,1
gestureclass,3.2757,44.492,1
gestureclass,3.3374,26.473,1
gestureclass,3.3398,68.895,1
gestureclass,3.3461,62.690,1
gestureclass,3.3504,58.394,1
gestureclass,3.3617,47.131,1
gestureclass,3.4040,38.529,1
gestureclass,3.4054,37.184,1
gestureclass,3.4109,56.879,1
gestureclass,3.4507,47.097,1
gestureclass,3.4541,43.725,1
gestureclass,3.4749,48.066,1
gestureclass,3.5224,84.562,1
gestureclass,3.5225,84.457,1
gestureclass,3.5422,64.771,1
gestureclass,3.5437,63.340,1
gestureclass,3.5437,63.266,1
gestureclass,3.5559,132.003,1
gestureclass,3.5663,121.647,1
gestureclass,3.5767,111.244,1
gestureclass,3.5813,106.717,1
gestureclass,3.5919,96.205,1
gestureclass,3.6312,111.104,1
gestureclass,3.6386,103.712,1
gestureclass,3.6510,91.348,1
gestureclass,3.6563,85.975,1
gestureclass,3.6857,123.260,1
gestureclass,3.6880,120.980,1
gestureclass,3.6986,110.508,1
gestureclass,3.7200,89.161,1
gestureclass,3.7273,81.794,1
gestureclass,3.7745,80.132,1
gestureclass,3.7940,60.678,1
gestureclass,3.8054,49.272,1
gestureclass,3.8078,110.223,1
gestureclass,3.8276,90.456,1
gestureclass,3.8419,76.174,1
gestureclass,3.8432,74.860,1
gestureclass,3.8618,122.045,1
gestureclass,3.8651,118.745,1
gestureclass,3.8827,101.162,1
gestureclass,3.9396,125.641,1
gestureclass,3.9420,123.365,1
gestureclass,3.9482,117.097,1
gestureclass,3.9515,113.832,1
gestureclass,3.9719,93.485,1
gestureclass,3.9910,157.115,1
gestureclass,4.0115,136.721,1
gestureclass,4.0289,119.374,1
gestureclass,4.0290,119.313,1
gestureclass,4.0434,104.911,1
gestureclass,4.0435,104.833,1
gestureclass,4.0935,136.992,1
gestureclass,4.0949,135.607,1
gestureclass,4.1386,91.944,1
gestureclass,4.1410,89.608,1
gestureclass,4.1453,85.332,1
gestureclass,4.1494,196.217,1
gestureclass,4.1568,189.099,1
gestureclass,4.1911,154.749,1
gestureclass,4.1975,148.427,1
gestureclass,4.2091,136.872,1
gestureclass,4.2144,131.582,1
gestureclass,4.2167,129.262,1
gestureclass,4.2271,118.922,1
gestureclass,4.2509,187.472,1
gestureclass,4.2545,183.892,1
gestureclass,4.2609,177.467,1
gestureclass,4.2643,174.188,1
gestureclass,4.2837,154.791,1
gestureclass,4.2911,147.394,1
gestureclass,4.2965,142.014,1
gestureclass,4.3952,89.648,1
gestureclass,4.4206,64.231,1
gestureclass,4.4280,56.834,1
gestureclass,4.4541,62.970,1
gestureclass,4.5193,72.245,1
gestureclass,4.5197,71.862,1
gestureclass,4.5311,60.451,1
gestureclass,4.5376,53.943,1
gestureclass,4.5570,61.311,1
gestureclass,4.6017,41.600,1
gestureclass,4.6195,48.738,1
gestureclass,4.6456,50.608,1
gestureclass,4.6632,33.051,1
gestureclass,4.6885,32.336,1
gestureclass,4.7044,46.642,1
gestureclass,4.7068,44.250,1
gestureclass,4.7220,72.119,1
gestureclass,4.7221,72.055,1
gestureclass,4.7221,72.030,1
gestureclass,4.7532,134.974,1
gestureclass,4.7533,134.907,1
gestureclass,4.7576,130.614,1
gestureclass,4.7577,130.543,1
gestureclass,4.7811,107.140,1
gestureclass,4.7835,104.826,1
gestureclass,4.7898,98.538,1
gestureclass,4.7983,183.152,1
gestureclass,4.8038,177.750,1
gestureclass,4.8071,174.504,1
gestureclass,4.8113,170.253,1
gestureclass,4.8387,142.933,1
gestureclass,4.8614,120.182,1
gestureclass,4.8906,158.404,1
gestureclass,4.9141,134.952,1
gestureclass,4.9166,132.498,1
gestureclass,4.9680,81.131,1
gestureclass,4.9704,78.721,1
gestureclass,4.9921,122.554,1
gestureclass,4.9922,122.475,1
gestureclass,5.0066,108.076,1
gestureclass,5.0067,108.036,1
gestureclass,5.0262,88.636,1
gestureclass,5.0475,187.269,1
gestureclass,5.0503,184.583,1
gestureclass,5.0504,184.810,1
gestureclass,5.0517,183.501,1
gestureclass,5.0620,173.203,1
gestureclass,5.0724,162.848,1
gestureclass,5.0757,159.570,1
gestureclass,5.0991,136.167,1
gestureclass,5.1046,130.726,1
gestureclass,5.1490,151.462,1
gestureclass,5.1544,146.057,1
gestureclass,5.1608,139.684,1
gestureclass,5.1752,125.321,1
gestureclass,5.2286,71.920,1
gestureclass,5.2320,150.499,1
gestureclass,5.2558,126.739,1
gestureclass,5.2582,124.661,1
gestureclass,5.2635,119.312,1
gestureclass,5.2700,112.913,1
gestureclass,5.3001,165.253,1
gestureclass,5.3127,152.620,1
gestureclass,5.3129,152.500,1
gestureclass,5.3378,127.624,1
gestureclass,5.3462,119.171,1
gestureclass,5.3860,183.693,1
gestureclass,5.3904,179.338,1
gestureclass,5.3958,173.961,1
gestureclass,5.4062,163.612,1
gestureclass,5.4211,148.731,1
gestureclass,5.4267,143.134,1
gestureclass,5.4756,199.103,1
gestureclass,5.4770,197.835,1
gestureclass,5.4793,195.546,1
gestureclass,5.4794,195.575,1
gestureclass,5.4997,175.277,1
gestureclass,5.5102,164.835,1
gestureclass,5.5587,116.402,1
gestureclass,5.5993,130.278,1
gestureclass,5.6016,128.036,1
gestureclass,5.6159,113.738,1
gestureclass,5.7156,60.780,1
gestureclass,5.7221,54.328,1
gestureclass,5.7438,64.474,1
gestureclass,5.7543,54.078,1
gestureclass,5.7877,73.778,1
gestureclass,5.7879,73.591,1
gestureclass,5.7915,69.999,1
gestureclass,5.7991,62.437,1
gestureclass,5.8525,42.280,1
gestureclass,5.8527,42.194,1
gestureclass,5.8807,46.241,1
gestureclass,5.8808,46.163,1
gestureclass,5.9091,62.365,1
gestureclass,5.9093,62.218,1
gestureclass,5.9149,56.728,1
gestureclass,5.9303,107.372,1
gestureclass,5.9326,105.223,1
gestureclass,5.9350,102.909,1
gestureclass,5.9593,78.712,1
gestureclass,5.9714,119.854,1
gestureclass,5.9858,105.483,1
gestureclass,6.0012,90.105,1
gestureclass,6.0236,67.693,1
gestureclass,6.0378,100.646,1
gestureclass,6.0603,78.089,1
gestureclass,6.1076,75.474,1
gestureclass,6.1318,51.336,1
gestureclass,6.1380,89.240,1
gestureclass,6.1436,83.618,1
gestureclass,6.1782,49.083,1
gestureclass,6.1863,95.204,1
gestureclass,6.2214,60.143,1
gestureclass,6.2215,60.025,1
gestureclass,6.2395,107.275,1
gestureclass,6.2482,98.749,1
gestureclass,6.2527,94.203,1
gestureclass,6.2702,76.699,1
gestureclass,6.2727,74.267,1
gestureclass,6.2811,120.652,1
gestureclass,6.2887,113.061,1
gestureclass,6.3291,72.682,1
gestureclass,6.3501,85.152,1
gestureclass,6.3875,47.778,1
gestureclass,6.4103,118.541,1
gestureclass,6.4126,118.691,1
gestureclass,6.4240,107.383,1
