task,send_time_s,latency_ms,phase
gestureclass,0.0002,392.564,1
gestureclass,0.0036,412.494,1
gestureclass,0.0119,428.426,1
gestureclass,0.0223,442.222,1
gestureclass,0.0578,430.939,1
gestureclass,0.0581,454.421,1
gestureclass,0.0634,473.036,1
gestureclass,0.0657,494.280,1
gestureclass,0.0669,517.780,1
gestureclass,0.0912,517.648,1
gestureclass,0.1067,526.534,1
gestureclass,0.1303,526.390,1
gestureclass,0.1347,545.843,1
gestureclass,0.1452,559.202,1
gestureclass,0.1686,559.688,1
gestureclass,0.1760,576.145,1
gestureclass,0.1805,595.738,1
gestureclass,0.2009,599.679,1
gestureclass,0.2113,613.792,1
gestureclass,0.2114,637.643,1
gestureclass,0.3160,556.791,1
gestureclass,0.3305,566.649,1
gestureclass,0.3469,574.347,1
gestureclass,0.3554,590.528,1
gestureclass,0.3790,591.347,1
gestureclass,0.4203,574.199,1
gestureclass,0.4367,583.153,1
gestureclass,0.4565,587.703,1
gestureclass,0.4657,602.619,1
gestureclass,0.5079,609.056,1
gestureclass,0.5327,608.112,1
gestureclass,0.5611,603.710,1
gestureclass,0.5695,618.871,1
gestureclass,0.5778,634.106,1
gestureclass,0.5822,653.773,1
gestureclass,0.5948,665.355,1
gestureclass,0.5982,687.974,1
gestureclass,0.6087,700.233,1
gestureclass,0.6120,720.830,1
gestureclass,0.6133,743.656,1
gestureclass,0.6306,750.387,1
gestureclass,0.6309,774.135,1
gestureclass,0.6708,759.318,1
gestureclass,0.6752,779.671,1
gestureclass,0.7018,777.716,1
gestureclass,0.7065,797.928,1
gestureclass,0.7505,778.240,1
gestureclass,0.7603,792.283,1
gestureclass,0.7687,808.430,1
gestureclass,0.7773,823.693,1
gestureclass,0.7787,846.337,1
gestureclass,0.7869,863.118,1
gestureclass,0.8087,865.743,1
gestureclass,0.8088,889.223,1
gestureclass,0.8393,882.482,1
gestureclass,0.8809,865.629,1
gestureclass,0.8853,885.370,1
gestureclass,0.8967,898.266,1
gestureclass,0.9225,896.540,1
gestureclass,0.9615,905.580,1
gestureclass,0.9715,919.578,1
gestureclass,0.9909,923.684,1
gestureclass,1.0056,933.147,1
gestureclass,1.0196,942.570,1
gestureclass,1.0230,962.940,1
gestureclass,1.0293,980.538,1
gestureclass,1.0397,994.187,1
gestureclass,1.0554,1001.967,1
gestureclass,1.0735,1008.504,1
gestureclass,1.1122,993.124,1
gestureclass,1.1147,1015.877,1
gestureclass,1.1201,1034.024,1
gestureclass,1.1404,1037.073,1
gestureclass,1.1480,1053.462,1
gestureclass,1.1603,1064.503,1
