task,send_time_s,latency_ms,phase
ecgclass,0.0001,387.221,1
ecgclass,0.4812,58.781,1
ecgclass,0.9494,57.595,1
ecgclass,1.4254,61.585,1
ecgclass,1.4811,52.746,1
ecgclass,1.4992,87.780,1
ecgclass,1.7892,59.478,1
ecgclass,2.0712,53.946,1
ecgclass,2.6966,49.078,1
ecgclass,2.7120,83.049,1
ecgclass,2.9216,55.965,1
ecgclass,2.9352,96.117,1
ecgclass,3.1530,51.873,1
ecgclass,3.4993,47.486,1
ecgclass,3.5774,57.664,1
ecgclass,3.8233,57.223,1
ecgclass,3.8542,101.925,1
ecgclass,3.8724,83.734,1
ecgclass,3.9352,77.912,1
ecgclass,4.1158,57.926,1
ecgclass,4.1985,56.379,1
ecgclass,4.4482,61.197,1
ecgclass,4.4922,65.765,1
ecgclass,4.8605,55.031,1
ecgclass,5.1058,58.692,1
ecgclass,5.2361,55.100,1
ecgclass,5.3204,58.217,1
ecgclass,5.4106,56.604,1
ecgclass,5.4263,115.644,1
ecgclass,5.4619,80.118,1
ecgclass,5.5988,56.071,1
ecgclass,5.6771,60.936,1
ecgclass,5.9293,58.288,1
ecgclass,6.0714,57.538,1
ecgclass,6.1192,65.768,1
ecgclass,6.2117,58.357,1
ecgclass,6.3398,57.381,1
ecgclass,6.4084,57.360,1
ecgclass,6.4730,49.933,1
ecgclass,6.6482,58.627,1
ecgclass,6.7080,50.026,1
ecgclass,6.9742,58.310,1
ecgclass,7.2529,54.712,1
ecgclass,7.4694,59.144,1
ecgclass,7.4845,100.438,1
ecgclass,7.7114,54.836,1
ecgclass,7.9820,53.983,1
ecgclass,8.2061,58.365,1
ecgclass,8.2618,51.618,1
ecgclass,8.3262,52.080,1
ecgclass,8.3597,68.126,1
ecgclass,8.4300,55.384,1
ecgclass,8.4343,122.335,1
ecgclass,8.4678,88.836,1
ecgclass,8.7321,57.949,1
ecgclass,9.5301,53.519,1
ecgclass,9.6440,54.838,1
ecgclass,9.6999,51.891,1
ecgclass,9.7799,56.764,1
ecgclass,9.8516,49.548,1
ecgclass,9.8790,73.040,1
ecgclass,10.0944,56.293,1
ecgclass,10.3694,44.505,1
ecgclass,10.6710,54.654,1
ecgclass,11.7335,58.426,1
ecgclass,12.1543,55.432,1
ecgclass,12.4836,57.738,1
ecgclass,12.6921,54.090,1
ecgclass,12.8109,46.436,1
ecgclass,12.8195,89.825,1
ecgclass,13.0111,55.906,1
ecgclass,13.1363,56.699,1
ecgclass,13.4366,53.831,1
ecgclass,13.8426,58.601,1
ecgclass,13.9087,50.618,1
ecgclass,13.9191,95.921,1
ecgclass,14.1034,60.902,1
ecgclass,14.6139,58.351,1
ecgclass,14.7788,57.405,1
ecgclass,15.2046,56.402,1
ecgclass,15.3548,43.800,1
ecgclass,15.6178,50.684,1
ecgclass,15.6759,56.603,1
ecgclass,15.7028,93.668,1
ecgclass,15.7312,65.301,1
ecgclass,15.7547,117.919,1
ecgclass,15.7652,107.424,1
ecgclass,16.1096,49.298,1
ecgclass,16.1986,58.275,1
ecgclass,16.2755,57.788,1
ecgclass,16.4633,56.880,1
ecgclass,16.5007,75.629,1
ecgclass,16.8840,50.080,1
ecgclass,17.1435,51.167,1
ecgclass,17.2089,57.235,1
ecgclass,17.2487,74.099,1
ecgclass,17.3541,54.800,1
ecgclass,17.4158,55.455,1
ecgclass,17.4303,96.951,1
ecgclass,17.5314,56.430,1
ecgclass,17.9819,57.351,1
ecgclass,18.1840,37.018,1
ecgclass,18.8000,54.825,1
ecgclass,19.2091,56.624,1
ecgclass,19.4327,58.897,1
ecgclass,19.8025,56.629,1
ecgclass,19.9484,60.317,1
ecgclass,20.1619,38.210,1
ecgclass,20.2375,46.835,1
ecgclass,20.2822,49.745,1
ecgclass,20.7103,59.443,1
ecgclass,20.7401,77.683,1
ecgclass,20.7767,97.114,1
ecgclass,20.8381,85.749,1
ecgclass,21.0321,43.552,1
ecgclass,21.1152,43.539,1
ecgclass,21.2516,41.670,1
ecgclass,21.6832,44.447,1
ecgclass,21.9920,50.477,1
ecgclass,22.2266,49.307,1
ecgclass,22.2599,72.188,1
ecgclass,22.4990,57.497,1
ecgclass,22.5892,56.674,1
ecgclass,22.6135,80.554,1
ecgclass,22.6934,56.649,1
ecgclass,22.7082,98.440,1
ecgclass,22.8915,63.043,1
ecgclass,23.0851,61.706,1
ecgclass,23.1454,57.742,1
ecgclass,23.1529,97.895,1
ecgclass,23.6987,50.636,1
ecgclass,23.8619,50.949,1
ecgclass,24.1588,49.572,1
ecgclass,24.2299,49.092,1
ecgclass,24.5637,48.019,1
ecgclass,24.8926,47.054,1
ecgclass,24.9120,83.516,1
ecgclass,25.9970,54.954,1
ecgclass,26.1333,53.725,1
ecgclass,26.4117,55.549,1
ecgclass,26.4607,52.830,1
ecgclass,26.6572,53.698,1
ecgclass,26.7141,57.579,1
ecgclass,27.0378,56.989,1
ecgclass,27.1295,58.079,1
ecgclass,27.2860,60.774,1
ecgclass,27.3914,58.411,1
ecgclass,27.5417,57.923,1
ecgclass,27.6364,57.995,1
ecgclass,27.7586,55.507,1
ecgclass,27.7643,101.282,1
ecgclass,28.0821,57.671,1
ecgclass,28.5854,50.314,1
ecgclass,28.6999,57.982,1
ecgclass,29.3809,57.819,1
ecgclass,29.4143,81.080,1
ecgclass,29.9717,53.009,1
ecgclass,30.0450,45.294,1
ecgclass,30.1782,49.236,1
ecgclass,30.6658,57.214,1
ecgclass,30.6910,81.064,1
ecgclass,30.7292,96.353,1
ecgclass,30.9980,57.072,1
ecgclass,31.1951,53.841,1
ecgclass,31.2521,57.465,1
ecgclass,31.3409,49.025,1
ecgclass,31.4912,54.542,1
ecgclass,31.8701,41.815,1
ecgclass,31.9420,57.077,1
ecgclass,32.0955,53.531,1
ecgclass,32.1662,57.272,1
ecgclass,32.2269,54.287,1
ecgclass,32.6534,57.276,1
ecgclass,32.7654,57.015,1
ecgclass,33.0332,50.954,1
ecgclass,33.0943,54.166,1
ecgclass,33.1301,69.296,1
ecgclass,33.3587,49.381,1
ecgclass,33.6422,52.226,1
ecgclass,33.8331,55.536,1
ecgclass,34.0702,48.775,1
ecgclass,34.2740,58.685,1
ecgclass,34.4922,57.928,1
ecgclass,34.9439,63.044,1
ecgclass,35.5081,61.121,1
ecgclass,35.6405,60.728,1
ecgclass,35.6581,99.910,1
ecgclass,35.9394,62.039,1
ecgclass,36.1081,61.723,1
ecgclass,36.5969,53.439,1
ecgclass,36.8050,49.741,1
ecgclass,36.8334,76.263,1
ecgclass,37.0434,57.934,1
ecgclass,37.1582,48.290,1
ecgclass,37.1806,70.666,1
ecgclass,37.2356,65.315,1
ecgclass,37.9305,51.444,1
ecgclass,38.0119,52.014,1
ecgclass,38.0636,56.083,1
ecgclass,38.1524,58.826,1
ecgclass,38.5656,46.306,1
ecgclass,38.7826,40.007,1
ecgclass,38.8225,46.572,1
ecgclass,38.8248,96.553,1
ecgclass,38.9119,59.348,1
ecgclass,38.9425,81.529,1
ecgclass,39.3560,57.647,1
ecgclass,39.3764,93.435,1
ecgclass,39.5135,55.823,1
ecgclass,39.7176,56.791,1
ecgclass,40.2909,62.783,1
ecgclass,40.3495,54.098,1
ecgclass,40.6961,56.144,1
ecgclass,40.8490,55.013,1
ecgclass,41.1948,45.151,1
ecgclass,41.2666,44.493,1
ecgclass,41.3331,42.529,1
ecgclass,41.3840,48.458,1
ecgclass,41.5926,52.533,1
ecgclass,41.7230,56.950,1
ecgclass,41.8960,49.811,1
ecgclass,42.1524,54.085,1
ecgclass,42.3830,43.716,1
ecgclass,42.5926,59.448,1
ecgclass,42.8718,59.107,1
ecgclass,42.8791,108.220,1
ecgclass,43.1809,53.691,1
ecgclass,43.4401,58.198,1
ecgclass,43.5276,58.567,1
ecgclass,43.5757,67.536,1
ecgclass,43.7175,52.531,1
ecgclass,44.1234,59.249,1
ecgclass,44.1882,57.053,1
ecgclass,44.4749,58.142,1
ecgclass,45.0689,58.612,1
ecgclass,45.1480,57.469,1
ecgclass,46.0093,49.414,1
ecgclass,46.0208,102.970,1
ecgclass,46.0280,95.716,1
ecgclass,46.3994,57.204,1
ecgclass,46.5289,55.634,1
ecgclass,46.6497,55.401,1
ecgclass,47.0421,39.821,1
ecgclass,47.5371,44.377,1
ecgclass,47.7022,46.027,1
ecgclass,48.1233,53.196,1
ecgclass,48.3249,49.502,1
ecgclass,48.4265,40.907,1
ecgclass,48.4746,34.554,1
ecgclass,48.7499,56.049,1
ecgclass,49.1777,47.860,1
ecgclass,49.7113,59.084,1
ecgclass,49.7725,48.510,1
ecgclass,49.9773,34.459,1
ecgclass,50.0804,55.764,1
ecgclass,50.4222,51.364,1
ecgclass,50.4678,58.185,1
ecgclass,50.4788,94.013,1
ecgclass,50.5510,96.365,1
ecgclass,50.5641,83.223,1
ecgclass,50.6586,58.357,1
ecgclass,50.7566,58.630,1
ecgclass,50.7790,88.277,1
ecgclass,51.3969,50.153,1
ecgclass,51.4567,57.457,1
ecgclass,51.6960,59.111,1
ecgclass,51.7360,67.024,1
ecgclass,51.8381,62.080,1
ecgclass,51.8561,147.005,1
ecgclass,51.8798,123.344,1
ecgclass,51.8821,121.023,1
ecgclass,52.2049,59.295,1
ecgclass,52.2760,57.963,1
ecgclass,52.4144,55.884,1
ecgclass,52.5888,54.724,1
ecgclass,52.6243,75.922,1
ecgclass,53.2109,58.950,1
ecgclass,53.3200,50.723,1
ecgclass,53.3354,106.715,1
ecgclass,53.3568,85.356,1
ecgclass,53.4564,57.103,1
ecgclass,53.4820,87.403,1
ecgclass,53.5471,78.860,1
ecgclass,53.6960,59.809,1
ecgclass,53.7043,107.221,1
ecgclass,53.7763,88.711,1
ecgclass,54.0900,59.434,1
ecgclass,54.1044,101.828,1
ecgclass,54.2982,58.350,1
ecgclass,54.3088,95.087,1
ecgclass,54.8440,48.018,1
ecgclass,54.8951,56.822,1
ecgclass,54.9444,56.866,1
ecgclass,55.1618,50.402,1
ecgclass,55.6144,53.156,1
ecgclass,56.2526,54.021,1
ecgclass,56.5283,57.148,1
ecgclass,56.8736,42.681,1
ecgclass,57.0929,45.044,1
ecgclass,57.1313,62.289,1
