task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
ecgclass,fifo,0.0001,388.2651,386.6199,367.4237,0.0026,18.34,0.9968,0.0,1.6452,1778109126533873269,1
ecgclass,fifo,0.4815,55.9528,54.2943,51.5948,0.0026,2.0778,1.0962,0.0,1.6585,1778109127015346648,1
ecgclass,fifo,0.9486,52.2416,50.7141,48.0116,0.0024,2.0485,0.9685,0.0,1.5275,1778109127482307989,1
ecgclass,fifo,1.4258,55.6622,53.817,51.1181,0.0024,2.0516,0.9453,0.0,1.8451,1778109127959512024,1
ecgclass,fifo,1.4812,54.6689,53.4186,50.7547,0.0027,2.0388,0.6833,0.0,1.2503,1778109128014677317,1
ecgclass,fifo,1.4987,91.8915,54.1171,51.4534,0.0025,2.0271,37.1284,0.0,37.7744,1778109128068544802,1
ecgclass,fifo,1.7896,54.7676,53.2663,50.5567,0.0026,2.0642,0.9081,0.0,1.5013,1778109128323268055,1
ecgclass,fifo,2.0713,54.1821,52.706,49.9818,0.0028,2.0576,0.8767,0.0,1.476,1778109128604916920,1
ecgclass,fifo,2.6963,56.0133,54.5103,51.823,0.0028,2.0493,0.9077,0.0,1.5031,1778109129229997982,1
ecgclass,fifo,2.7117,95.8669,54.7621,52.1173,0.0025,2.0627,40.5152,0.0,41.1048,1778109129284963439,1
ecgclass,fifo,2.9214,56.2747,54.8171,52.1215,0.0025,2.0634,0.8698,0.0,1.4575,1778109129455017174,1
ecgclass,fifo,2.9352,97.3918,54.4246,51.7393,0.0023,2.0629,42.3791,0.0,42.9672,1778109129510283179,1
ecgclass,fifo,3.1535,50.7295,49.3286,46.6316,0.0025,2.0486,0.7932,0.0,1.4009,1778109129687067494,1
ecgclass,fifo,3.4995,54.9674,53.5232,50.8302,0.0028,2.03,0.8917,0.0,1.4442,1778109130033179467,1
ecgclass,fifo,3.5768,55.3675,53.9927,51.2516,0.0024,2.0857,0.8314,0.0,1.3748,1778109130110380967,1
ecgclass,fifo,3.8231,54.6639,53.0691,50.3525,0.0034,2.016,0.9949,0.0,1.5948,1778109130356797207,1
ecgclass,fifo,3.8538,114.8615,90.3908,76.6193,0.0027,6.5543,23.8469,0.0,24.4707,1778109130410351122,1
ecgclass,fifo,3.872,96.5934,90.3908,76.6193,0.0027,6.5543,5.5647,0.0,6.2025,1778109130410351122,1
ecgclass,fifo,3.9356,84.6725,51.1108,48.395,0.0028,2.0159,32.9719,0.0,33.5616,1778109130501280903,1
ecgclass,fifo,4.1153,55.8727,54.4252,51.7319,0.0031,1.9825,0.8783,0.0,1.4475,1778109130648882029,1
ecgclass,fifo,4.1981,54.8811,53.6539,50.9298,0.0029,2.0229,0.6948,0.0,1.2272,1778109130731540835,1
ecgclass,fifo,4.4481,54.462,52.9626,50.247,0.0026,2.0534,0.9098,0.0,1.4993,1778109130981777803,1
ecgclass,fifo,4.4929,64.2624,54.0614,51.3913,0.0031,2.0319,9.6567,0.0,10.201,1778109131035329403,1
ecgclass,fifo,4.8605,55.8362,54.105,51.3871,0.0026,2.0282,0.963,0.0,1.7312,1778109131394251107,1
ecgclass,fifo,5.1053,54.0206,52.5635,49.847,0.0024,2.0362,0.8793,0.0,1.4572,1778109131638936349,1
ecgclass,fifo,5.2371,54.1296,52.6897,49.9791,0.0027,2.0521,0.8266,0.0,1.4399,1778109131770707789,1
ecgclass,fifo,5.3204,54.6982,53.2135,50.4989,0.0031,2.0586,0.8547,0.0,1.4847,1778109131854048618,1
ecgclass,fifo,5.4111,54.2653,52.8582,50.1625,0.0028,1.8954,0.8609,0.0,1.4071,1778109131944672776,1
ecgclass,fifo,5.4259,118.2637,78.2711,75.5894,0.003,1.0262,39.3021,0.0,39.9926,1778109131997995685,1
ecgclass,fifo,5.4617,82.4938,78.2711,75.5894,0.003,1.0262,3.5176,0.0,4.2227,1778109131997995685,1
ecgclass,fifo,5.5991,54.9958,53.2239,50.4875,0.0027,2.0128,1.1477,0.0,1.7718,1778109132132961240,1
ecgclass,fifo,5.6772,54.4937,53.0384,50.3255,0.0027,2.0453,0.8352,0.0,1.4553,1778109132210827560,1
ecgclass,fifo,5.9298,56.0377,54.223,51.5155,0.003,2.0346,0.9058,0.0,1.8147,1778109132463447126,1
ecgclass,fifo,6.0711,54.9521,53.4715,50.7297,0.0026,2.0426,0.8891,0.0,1.4806,1778109132604741150,1
ecgclass,fifo,6.1191,61.8176,54.382,51.6662,0.0029,2.0387,6.8505,0.0,7.4356,1778109132658652905,1
ecgclass,fifo,6.2115,55.3663,53.8182,51.1335,0.0036,2.0056,0.9191,0.0,1.5481,1778109132745158972,1
ecgclass,fifo,6.3393,55.2537,53.7056,51.0032,0.0026,2.0428,0.9162,0.0,1.5481,1778109132872958818,1
ecgclass,fifo,6.4087,45.6302,43.8643,41.1679,0.0026,2.042,0.8478,0.0,1.766,1778109132942323239,1
ecgclass,fifo,6.4738,55.7234,54.1778,51.4698,0.0027,1.9887,0.9639,0.0,1.5456,1778109133007484454,1
ecgclass,fifo,6.6481,55.5694,54.0462,51.311,0.0028,2.0408,0.8941,0.0,1.5232,1778109133181701332,1
ecgclass,fifo,6.7082,56.3645,54.9571,52.2637,0.0028,2.0499,0.8204,0.0,1.4075,1778109133241781893,1
ecgclass,fifo,6.9759,55.1205,53.6084,50.8758,0.0027,2.0296,0.8936,0.0,1.5121,1778109133509587352,1
ecgclass,fifo,7.2532,55.1419,53.6372,50.9299,0.0025,2.0568,0.8686,0.0,1.5047,1778109133786823020,1
ecgclass,fifo,7.471,55.2833,53.7146,50.9816,0.0027,1.6718,0.9429,0.0,1.5687,1778109134004691030,1
ecgclass,fifo,7.484,96.7696,53.9722,51.3032,0.0024,2.0702,42.1731,0.0,42.7974,1778109134058895034,1
ecgclass,fifo,7.7113,56.0234,54.5301,51.8304,0.0028,2.069,0.9351,0.0,1.4932,1778109134244997805,1
ecgclass,fifo,7.9818,51.3542,49.928,47.2435,0.003,2.0496,0.818,0.0,1.4261,1778109134515407994,1
ecgclass,fifo,8.2075,54.7698,53.0782,50.3553,0.0029,2.0539,0.922,0.0,1.6915,1778109134741213844,1
ecgclass,fifo,8.2621,54.7113,53.4855,50.8421,0.0027,2.0386,0.6669,0.0,1.2258,1778109134795533620,1
ecgclass,fifo,8.3266,55.5394,54.1979,51.5137,0.0027,2.0623,0.7718,0.0,1.3415,1778109134860153506,1
ecgclass,fifo,8.3599,77.2297,54.6763,51.998,0.0024,2.0578,22.0907,0.0,22.5534,1778109134914737150,1
ecgclass,fifo,8.4302,86.0841,78.5853,75.9265,0.0031,0.9911,6.8362,0.0,7.4988,1778109134969790648,1
ecgclass,fifo,8.4345,81.8133,78.5853,75.9265,0.0031,0.9911,2.5444,0.0,3.228,1778109134969790648,1
ecgclass,fifo,8.468,103.3425,54.6302,51.8925,0.0025,2.0541,48.1958,0.0,48.7124,1778109135048941965,1
ecgclass,fifo,8.7313,56.2637,54.7458,52.0398,0.0028,2.036,0.9117,0.0,1.5179,1778109135264921971,1
ecgclass,fifo,9.5301,52.9346,51.4408,48.7393,0.0026,1.9819,0.8645,0.0,1.4939,1778109136063671079,1
ecgclass,fifo,9.643,55.2378,53.7336,51.0147,0.0028,1.9756,0.9038,0.0,1.5041,1778109136176636965,1
ecgclass,fifo,9.6994,55.7687,54.5102,51.8701,0.0026,2.0007,0.679,0.0,1.2585,1778109136232791699,1
ecgclass,fifo,9.7793,55.7547,54.2933,51.5766,0.0023,2.0587,0.8135,0.0,1.4614,1778109136312868483,1
ecgclass,fifo,9.852,54.5924,53.1072,50.3851,0.0026,2.0241,0.7417,0.0,1.4852,1778109136385490482,1
ecgclass,fifo,9.8774,83.962,54.5511,51.896,0.0027,2.0257,28.8444,0.0,29.4108,1778109136439023017,1
ecgclass,fifo,10.0941,56.3817,54.9316,52.1827,0.0023,2.0588,0.8986,0.0,1.4501,1778109136627737152,1
ecgclass,fifo,10.3694,53.9532,52.4754,49.794,0.0025,2.0196,0.8857,0.0,1.4778,1778109136903008800,1
ecgclass,fifo,10.6714,56.088,54.698,52.0055,0.0026,2.0188,0.7982,0.0,1.3899,1778109137204971393,1
ecgclass,fifo,11.7328,51.6489,50.2072,47.5255,0.0026,1.6151,0.9141,0.0,1.4416,1778109138266423436,1
ecgclass,fifo,12.1548,55.7473,54.4982,51.7571,0.0031,2.0332,0.7608,0.0,1.2491,1778109138688292746,1
ecgclass,fifo,12.4837,55.3401,53.7738,51.0902,0.0024,1.9905,0.9325,0.0,1.5662,1778109139017378923,1
ecgclass,fifo,12.6916,55.0587,53.5258,50.8126,0.0023,2.064,0.9344,0.0,1.533,1778109139225253506,1
ecgclass,fifo,12.8104,55.7873,54.3251,51.6466,0.0036,2.0009,0.8492,0.0,1.4623,1778109139343983274,1
ecgclass,fifo,12.819,101.8326,54.1155,51.4709,0.0031,2.0233,47.1427,0.0,47.7172,1778109139398861177,1
ecgclass,fifo,13.0112,54.6339,53.1682,50.4661,0.0032,2.0135,0.8855,0.0,1.4656,1778109139544801047,1
ecgclass,fifo,13.1357,55.912,54.2595,51.5532,0.0026,2.0405,1.0512,0.0,1.6525,1778109139669515046,1
ecgclass,fifo,13.4364,55.4094,53.8843,51.1595,0.0029,2.0487,0.9792,0.0,1.5251,1778109139970172212,1
ecgclass,fifo,13.8416,55.1882,53.7836,51.0722,0.0031,2.0361,0.8211,0.0,1.4046,1778109140375185527,1
ecgclass,fifo,13.9084,55.8727,54.3566,51.6562,0.0024,2.0216,0.9103,0.0,1.5161,1778109140442074389,1
ecgclass,fifo,13.9188,97.609,51.5283,50.3879,0.0028,0.4841,45.356,0.0,46.0808,1778109140496923901,1
ecgclass,fifo,14.1035,55.4249,53.9183,51.2009,0.0026,2.0421,0.8986,0.0,1.5066,1778109140637178119,1
ecgclass,fifo,14.6145,54.5075,52.9577,50.2487,0.0035,2.0432,0.9334,0.0,1.5498,1778109141148131180,1
ecgclass,fifo,14.7784,55.5749,54.0529,51.3503,0.0026,2.0553,0.9618,0.0,1.522,1778109141312092272,1
ecgclass,fifo,15.2041,56.0319,54.5533,51.8205,0.0026,2.0794,0.8676,0.0,1.4786,1778109141737729734,1
ecgclass,fifo,15.3552,56.0291,54.4766,51.7749,0.0028,2.05,0.932,0.0,1.5525,1778109141888833677,1
ecgclass,fifo,15.6177,55.3668,54.0181,51.3079,0.0027,2.0403,0.7772,0.0,1.3486,1778109142151198470,1
ecgclass,fifo,15.6762,56.4203,54.9719,52.1481,0.0024,2.166,0.8435,0.0,1.4484,1778109142209786312,1
ecgclass,fifo,15.7031,108.2747,78.0109,75.3118,0.0029,1.0032,29.5217,0.0,30.2638,1778109142265349150,1
ecgclass,fifo,15.7315,79.9198,78.0109,75.3118,0.0029,1.0032,1.1466,0.0,1.9089,1778109142265349150,1
ecgclass,fifo,15.7553,138.042,81.3961,78.6037,0.0017,0.6544,55.9504,0.0,56.6458,1778109142343958011,1
ecgclass,fifo,15.7654,127.8989,81.3961,78.6037,0.0017,0.6544,45.7914,0.0,46.5028,1778109142343958011,1
ecgclass,fifo,16.1091,54.7094,53.1095,50.4013,0.0027,2.0469,0.9725,0.0,1.6,1778109142642832406,1
ecgclass,fifo,16.1985,55.4945,53.9278,51.2358,0.0035,2.028,0.9508,0.0,1.5667,1778109142732192090,1
ecgclass,fifo,16.2767,54.9715,53.4378,50.7568,0.0027,2.0229,0.9112,0.0,1.5336,1778109142810308474,1
ecgclass,fifo,16.4631,56.4055,54.7282,52.0246,0.0023,1.9937,0.8337,0.0,1.6773,1778109142996704434,1
ecgclass,fifo,16.5008,73.5469,54.6285,51.8039,0.0025,2.1135,18.378,0.0,18.9183,1778109143051873672,1
ecgclass,fifo,16.8843,55.2258,53.7663,51.0521,0.0024,1.9976,0.8605,0.0,1.4596,1778109143417931134,1
ecgclass,fifo,17.1432,55.9335,54.3749,51.6507,0.0032,2.0321,0.9277,0.0,1.5585,1778109143676877483,1
ecgclass,fifo,17.2093,55.2704,53.7726,51.0727,0.0026,2.0367,0.8638,0.0,1.4979,1778109143742929884,1
ecgclass,fifo,17.2483,71.3849,54.6554,51.9697,0.0026,2.0611,16.1455,0.0,16.7295,1778109143797144974,1
ecgclass,fifo,17.3542,55.8774,54.4473,51.719,0.0029,1.9883,0.7975,0.0,1.4301,1778109143887708393,1
ecgclass,fifo,17.4159,55.1894,53.7818,51.0854,0.0033,1.9851,0.8318,0.0,1.4076,1778109143949524411,1
ecgclass,fifo,17.4304,95.7332,54.5099,51.7468,0.0026,2.0418,40.6051,0.0,41.2233,1778109144003741245,1
ecgclass,fifo,17.5313,55.8684,54.5032,51.8126,0.0025,2.0662,0.8264,0.0,1.3651,1778109144064865883,1
ecgclass,fifo,17.9814,56.1686,54.5359,51.8319,0.0027,2.0568,0.9799,0.0,1.6326,1778109144515173085,1
ecgclass,fifo,18.1839,54.9283,53.4605,50.7001,0.0027,2.0668,0.8562,0.0,1.4678,1778109144717492851,1
ecgclass,fifo,18.7998,56.1259,54.6163,51.8908,0.0033,2.0286,0.8609,0.0,1.5096,1778109145333381269,1
ecgclass,fifo,19.2093,55.912,54.4201,51.7262,0.0024,1.9901,0.8543,0.0,1.492,1778109145742928406,1
ecgclass,fifo,19.4332,55.0134,53.3871,50.7127,0.0025,1.9787,0.9906,0.0,1.6263,1778109145966935797,1
ecgclass,fifo,19.8031,54.5218,52.9928,50.2711,0.0028,2.0136,0.8874,0.0,1.529,1778109146336726669,1
ecgclass,fifo,19.9483,56.3116,54.6944,52.0006,0.0025,1.6031,0.9305,0.0,1.6172,1778109146481944426,1
ecgclass,fifo,20.1618,54.6038,53.2186,50.5085,0.0026,2.0502,0.8423,0.0,1.3852,1778109146695364602,1
ecgclass,fifo,20.238,56.3231,54.7874,52.069,0.0024,2.0235,0.8566,0.0,1.5356,1778109146771579825,1
ecgclass,fifo,20.2815,67.6086,54.3472,51.6761,0.0026,2.0509,12.6119,0.0,13.2614,1778109146826821393,1
ecgclass,fifo,20.7109,55.5844,53.9455,51.2263,0.0026,2.0174,1.0321,0.0,1.6389,1778109147244716861,1
ecgclass,fifo,20.7399,81.7542,54.5773,51.8973,0.0024,2.0666,26.4764,0.0,27.177,1778109147299121005,1
ecgclass,fifo,20.7763,100.2121,54.4877,51.7143,0.0024,1.9792,45.13,0.0,45.7244,1778109147354183630,1
ecgclass,fifo,20.8389,92.4566,54.4206,51.6947,0.0029,2.0364,37.4291,0.0,38.036,1778109147409110523,1
ecgclass,fifo,21.0319,54.0864,52.737,50.0221,0.0022,2.0569,0.7958,0.0,1.3495,1778109147565425767,1
ecgclass,fifo,21.1155,54.3718,52.9798,50.2594,0.0028,2.0678,0.838,0.0,1.392,1778109147649078917,1
ecgclass,fifo,21.2516,54.775,53.2804,50.5808,0.0033,2.0477,0.8936,0.0,1.4946,1778109147785213966,1
ecgclass,fifo,21.6839,49.3431,47.7672,45.0595,0.0025,2.0465,0.9997,0.0,1.576,1778109148217689609,1
ecgclass,fifo,21.9914,54.5702,53.2164,50.4983,0.0025,2.0445,0.7784,0.0,1.3538,1778109148524891443,1
