task,send_time_s,latency_ms,phase
ecgclass,0.0001,369.082,1
ecgclass,0.4816,97.013,1
ecgclass,0.9493,33.374,1
ecgclass,1.4253,40.444,1
ecgclass,1.4817,31.869,1
ecgclass,1.5001,37.238,1
ecgclass,1.7898,34.418,1
ecgclass,2.0711,36.126,1
ecgclass,2.6967,47.328,1
ecgclass,2.7121,55.320,1
ecgclass,2.9214,39.523,1
ecgclass,2.9362,48.367,1
ecgclass,3.1534,46.921,1
ecgclass,3.4999,35.514,1
ecgclass,3.5773,30.231,1
ecgclass,3.8230,49.526,1
ecgclass,3.8541,42.213,1
ecgclass,3.8722,47.771,1
ecgclass,3.9351,33.907,1
ecgclass,4.1156,46.541,1
ecgclass,4.1986,36.569,1
ecgclass,4.4477,26.733,1
ecgclass,4.4936,28.747,1
ecgclass,4.8604,28.074,1
ecgclass,5.1060,29.132,1
ecgclass,5.2369,43.468,1
ecgclass,5.3200,32.995,1
ecgclass,5.4104,40.588,1
ecgclass,5.4261,49.388,1
ecgclass,5.4622,38.452,1
ecgclass,5.5997,46.629,1
ecgclass,5.6772,41.002,1
ecgclass,5.9298,32.241,1
ecgclass,6.0713,37.182,1
ecgclass,6.1186,39.331,1
ecgclass,6.2109,43.752,1
ecgclass,6.3393,35.619,1
ecgclass,6.4090,39.745,1
ecgclass,6.4723,50.122,1
ecgclass,6.6480,44.183,1
ecgclass,6.7077,32.958,1
ecgclass,6.9743,32.558,1
ecgclass,7.2529,48.519,1
ecgclass,7.4700,51.667,1
ecgclass,7.4841,61.346,1
ecgclass,7.7110,49.597,1
ecgclass,7.9816,44.289,1
ecgclass,8.2062,37.679,1
ecgclass,8.2624,29.996,1
ecgclass,8.3269,39.555,1
ecgclass,8.3596,31.122,1
ecgclass,8.4305,34.233,1
ecgclass,8.4348,54.562,1
ecgclass,8.4679,44.885,1
ecgclass,8.7308,45.471,1
ecgclass,9.5303,30.704,1
ecgclass,9.6433,162.632,1
ecgclass,9.7004,129.528,1
ecgclass,9.7798,75.043,1
ecgclass,9.8518,27.166,1
ecgclass,9.8780,50.937,1
ecgclass,10.0939,33.040,1
ecgclass,10.3690,28.379,1
ecgclass,10.6706,45.520,1
ecgclass,11.7336,29.386,1
ecgclass,12.1542,48.869,1
ecgclass,12.4831,35.995,1
ecgclass,12.6915,47.923,1
ecgclass,12.8102,27.463,1
ecgclass,12.8194,42.498,1
ecgclass,13.0104,48.108,1
ecgclass,13.1348,45.895,1
ecgclass,13.4364,39.234,1
ecgclass,13.8423,37.761,1
ecgclass,13.9083,46.543,1
ecgclass,13.9188,60.772,1
ecgclass,14.1034,50.247,1
ecgclass,14.6141,40.859,1
ecgclass,14.7781,50.431,1
ecgclass,15.2047,46.336,1
ecgclass,15.3556,44.268,1
ecgclass,15.6181,32.750,1
ecgclass,15.6758,49.571,1
ecgclass,15.7027,48.660,1
ecgclass,15.7315,71.584,1
ecgclass,15.7545,73.818,1
ecgclass,15.7652,113.131,1
ecgclass,16.1086,48.310,1
ecgclass,16.1988,32.776,1
ecgclass,16.2769,29.773,1
ecgclass,16.4634,44.766,1
ecgclass,16.4999,33.005,1
ecgclass,16.8836,44.880,1
ecgclass,17.1429,36.002,1
ecgclass,17.2086,44.230,1
ecgclass,17.2486,28.812,1
ecgclass,17.3545,48.231,1
ecgclass,17.4156,37.250,1
ecgclass,17.4305,47.759,1
ecgclass,17.5309,46.736,1
ecgclass,17.9813,47.326,1
ecgclass,18.1832,42.813,1
ecgclass,18.7998,35.822,1
ecgclass,19.2097,42.479,1
ecgclass,19.4326,36.809,1
ecgclass,19.8038,30.969,1
ecgclass,19.9490,30.858,1
ecgclass,20.1621,35.789,1
ecgclass,20.2377,33.042,1
ecgclass,20.2823,37.781,1
ecgclass,20.7108,27.992,1
ecgclass,20.7386,48.565,1
ecgclass,20.7765,34.714,1
ecgclass,20.8380,45.285,1
ecgclass,21.0323,44.853,1
ecgclass,21.1149,36.322,1
ecgclass,21.2511,47.818,1
ecgclass,21.6837,31.673,1
ecgclass,21.9922,43.885,1
ecgclass,22.2261,32.628,1
ecgclass,22.2608,48.294,1
ecgclass,22.4992,32.812,1
ecgclass,22.5887,41.635,1
ecgclass,22.6139,41.237,1
ecgclass,22.6937,36.014,1
ecgclass,22.7083,45.143,1
ecgclass,22.8908,32.226,1
ecgclass,23.0857,31.703,1
ecgclass,23.1442,44.894,1
ecgclass,23.1529,59.550,1
ecgclass,23.6992,46.216,1
ecgclass,23.8618,28.480,1
ecgclass,24.1579,45.382,1
ecgclass,24.2285,47.877,1
ecgclass,24.5637,26.435,1
ecgclass,24.8932,34.293,1
ecgclass,24.9113,42.791,1
ecgclass,25.9971,37.756,1
ecgclass,26.1319,46.678,1
ecgclass,26.4112,31.482,1
ecgclass,26.4605,31.969,1
ecgclass,26.6571,28.278,1
ecgclass,26.7144,43.166,1
ecgclass,27.0379,34.370,1
ecgclass,27.1298,42.494,1
ecgclass,27.2854,32.159,1
ecgclass,27.3908,48.190,1
ecgclass,27.5417,42.308,1
ecgclass,27.6366,43.444,1
ecgclass,27.7589,43.069,1
ecgclass,27.7647,61.309,1
ecgclass,28.0821,36.852,1
ecgclass,28.5840,42.453,1
ecgclass,28.7005,46.795,1
ecgclass,29.3812,45.696,1
ecgclass,29.4152,35.391,1
ecgclass,29.9717,35.302,1
ecgclass,30.0459,34.145,1
ecgclass,30.1782,50.086,1
ecgclass,30.6663,35.231,1
ecgclass,30.6912,34.274,1
ecgclass,30.7297,46.613,1
ecgclass,30.9975,50.123,1
ecgclass,31.1944,50.149,1
ecgclass,31.2517,40.597,1
ecgclass,31.3404,49.069,1
ecgclass,31.4902,48.302,1
ecgclass,31.8701,41.739,1
ecgclass,31.9418,44.732,1
ecgclass,32.0963,38.682,1
ecgclass,32.1659,43.511,1
ecgclass,32.2273,32.457,1
ecgclass,32.6538,52.489,1
ecgclass,32.7659,38.804,1
ecgclass,33.0329,43.216,1
ecgclass,33.0933,31.343,1
ecgclass,33.1308,42.668,1
ecgclass,33.3587,35.675,1
ecgclass,33.6426,50.315,1
ecgclass,33.8337,31.248,1
ecgclass,34.0703,40.781,1
ecgclass,34.2738,33.644,1
ecgclass,34.4940,34.967,1
ecgclass,34.9438,27.827,1
ecgclass,35.5076,30.120,1
ecgclass,35.6401,43.410,1
ecgclass,35.6587,48.883,1
ecgclass,35.9393,36.805,1
ecgclass,36.1088,39.322,1
ecgclass,36.5967,35.726,1
ecgclass,36.8055,46.038,1
ecgclass,36.8342,40.736,1
ecgclass,37.0434,50.201,1
ecgclass,37.1580,31.903,1
ecgclass,37.1810,32.320,1
ecgclass,37.2352,26.492,1
ecgclass,37.9306,39.057,1
ecgclass,38.0117,34.287,1
ecgclass,38.0636,32.093,1
ecgclass,38.1514,43.898,1
ecgclass,38.5653,48.098,1
ecgclass,38.7827,27.241,1
ecgclass,38.8224,37.535,1
ecgclass,38.8247,59.454,1
ecgclass,38.9115,47.040,1
ecgclass,38.9423,40.648,1
ecgclass,39.3550,31.410,1
ecgclass,39.3771,33.067,1
ecgclass,39.5141,44.342,1
ecgclass,39.7174,39.495,1
ecgclass,40.2908,35.317,1
ecgclass,40.3491,26.771,1
ecgclass,40.6960,51.716,1
ecgclass,40.8491,47.303,1
ecgclass,41.1948,49.670,1
ecgclass,41.2666,51.817,1
ecgclass,41.3330,35.221,1
ecgclass,41.3841,35.096,1
ecgclass,41.5932,49.072,1
ecgclass,41.7223,45.871,1
ecgclass,41.8956,51.634,1
ecgclass,42.1522,45.841,1
ecgclass,42.3834,37.393,1
ecgclass,42.5925,52.024,1
ecgclass,42.8716,46.307,1
ecgclass,42.8789,64.443,1
ecgclass,43.1807,36.493,1
ecgclass,43.4404,50.823,1
ecgclass,43.5277,37.927,1
ecgclass,43.5758,38.097,1
ecgclass,43.7181,219.169,1
ecgclass,44.1233,39.892,1
ecgclass,44.1881,51.226,1
ecgclass,44.4753,34.614,1
ecgclass,45.0692,41.603,1
ecgclass,45.1484,37.237,1
ecgclass,46.0085,29.514,1
ecgclass,46.0213,40.210,1
ecgclass,46.0282,80.914,1
ecgclass,46.4001,50.087,1
ecgclass,46.5287,43.842,1
ecgclass,46.6500,44.107,1
ecgclass,47.0417,41.465,1
ecgclass,47.5369,33.116,1
ecgclass,47.7024,37.954,1
ecgclass,48.1230,32.433,1
ecgclass,48.3249,51.145,1
ecgclass,48.4257,47.138,1
ecgclass,48.4740,48.260,1
ecgclass,48.7500,42.938,1
ecgclass,49.1778,35.644,1
ecgclass,49.7119,45.573,1
ecgclass,49.7718,34.896,1
ecgclass,49.9786,29.413,1
ecgclass,50.0802,27.501,1
ecgclass,50.4225,29.009,1
ecgclass,50.4666,33.479,1
ecgclass,50.4782,45.597,1
ecgclass,50.5508,47.114,1
ecgclass,50.5646,57.082,1
ecgclass,50.6588,38.094,1
ecgclass,50.7562,38.311,1
ecgclass,50.7789,39.748,1
ecgclass,51.3968,38.762,1
ecgclass,51.4567,28.484,1
ecgclass,51.6962,37.840,1
ecgclass,51.7362,47.193,1
ecgclass,51.8381,45.562,1
ecgclass,51.8561,51.845,1
ecgclass,51.8796,52.477,1
ecgclass,51.8819,99.055,1
ecgclass,52.2050,49.624,1
ecgclass,52.2767,29.999,1
ecgclass,52.4144,41.109,1
ecgclass,52.5883,43.142,1
ecgclass,52.6243,31.121,1
ecgclass,53.2110,44.691,1
ecgclass,53.3209,34.059,1
ecgclass,53.3357,44.033,1
ecgclass,53.3571,73.147,1
ecgclass,53.4561,49.949,1
ecgclass,53.4813,48.600,1
ecgclass,53.5474,31.506,1
ecgclass,53.6957,32.374,1
ecgclass,53.7044,47.763,1
ecgclass,53.7757,50.673,1
ecgclass,54.0896,41.166,1
ecgclass,54.1050,50.704,1
ecgclass,54.2989,152.818,1
ecgclass,54.3086,166.731,1
ecgclass,54.8449,28.583,1
ecgclass,54.8950,27.761,1
ecgclass,54.9443,28.087,1
ecgclass,55.1624,39.018,1
ecgclass,55.6139,41.474,1
ecgclass,56.2517,48.329,1
ecgclass,56.5282,46.159,1
ecgclass,56.8737,47.918,1
ecgclass,57.0933,30.223,1
ecgclass,57.1317,42.038,1
ecgclass,57.3657,35.832,1
ecgclass,57.3978,27.916,1
ecgclass,57.5954,29.531,1
ecgclass,57.7492,50.654,1
ecgclass,57.8210,27.793,1
ecgclass,57.9627,38.125,1
ecgclass,58.1433,34.016,1
ecgclass,58.1899,36.693,1
ecgclass,58.2734,51.884,1
ecgclass,58.3582,43.213,1
ecgclass,58.3801,45.842,1
ecgclass,58.4381,37.443,1
ecgclass,58.6437,32.310,1
ecgclass,58.8821,46.485,1
ecgclass,58.9970,32.592,1
ecgclass,59.1176,37.691,1
ecgclass,59.1973,32.621,1
ecgclass,59.4296,50.429,1
ecgclass,59.5112,44.008,1
ecgclass,59.7025,29.128,1
ecgclass,59.8306,51.622,1
ecgclass,59.9507,33.070,1
ecgclass,60.5253,34.345,2
ecgclass,60.5297,55.605,2
ecgclass,60.5319,109.314,2
ecgclass,60.5342,132.279,2
ecgclass,60.5342,158.565,2
