task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
ecgclass,stfq,0.0001,374.6767,372.9873,355.6505,0.0029,15.806,1.0307,0.0,1.6894,1778600546847416408,1
ecgclass,stfq,0.482,85.5525,25.1751,23.5532,0.0035,0.6559,59.8991,0.0,60.3773,1778600547388174168,1
ecgclass,stfq,0.9489,45.2971,25.1729,23.6202,0.0035,0.5741,19.6614,0.0,20.1242,1778600547814836772,1
ecgclass,stfq,1.4261,26.3546,24.5761,22.9134,0.0039,0.7706,1.3454,0.0,1.7785,1778600548273732911,1
ecgclass,stfq,1.4816,42.923,25.09,23.5932,0.0043,0.5743,17.3788,0.0,17.833,1778600548345249842,1
ecgclass,stfq,1.4989,49.2198,24.4612,22.9342,0.0037,0.6196,24.3287,0.0,24.7586,1778600548369539792,1
ecgclass,stfq,1.7897,44.2755,24.1266,22.5723,0.0033,0.5132,19.6433,0.0,20.1489,1778600548655610507,1
ecgclass,stfq,2.0718,48.6436,24.6679,23.3351,0.0032,0.512,23.2763,0.0,23.9757,1778600548941361377,1
ecgclass,stfq,2.6964,43.2434,24.2807,22.9981,0.0029,0.4261,18.5893,0.0,18.9627,1778600549561267601,1
ecgclass,stfq,2.7117,51.0623,23.7918,22.3503,0.0025,0.7109,26.896,0.0,27.2705,1778600549584923402,1
ecgclass,stfq,2.922,49.5636,30.7881,29.4515,0.0027,0.4665,18.3845,0.0,18.7756,1778600549786706611,1
ecgclass,stfq,2.9357,58.7656,23.5747,22.2854,0.0025,0.4484,34.8306,0.0,35.1909,1778600549816833935,1
ecgclass,stfq,3.1532,32.531,28.5757,26.7359,0.0042,0.7739,3.463,0.0,3.9553,1778600550002974799,1
ecgclass,stfq,3.5002,29.6211,25.2242,23.7925,0.0028,0.4806,3.9532,0.0,4.397,1778600550350455628,1
ecgclass,stfq,3.5766,28.8103,25.5716,24.1546,0.0027,0.5758,2.857,0.0,3.2386,1778600550425713170,1
ecgclass,stfq,3.8238,29.6834,25.0134,23.8079,0.0024,0.5785,4.2319,0.0,4.67,1778600550674262967,1
ecgclass,stfq,3.8546,48.0728,24.33,23.1281,0.0025,0.4414,23.3645,0.0,23.7428,1778600550724234580,1
ecgclass,stfq,3.8728,53.4701,24.1832,22.9553,0.002,0.4845,28.9176,0.0,29.2869,1778600550747968341,1
ecgclass,stfq,3.9364,37.9927,24.6777,23.4671,0.0024,0.417,12.9507,0.0,13.315,1778600550795620318,1
ecgclass,stfq,4.1156,50.504,37.534,36.1605,0.0022,0.592,12.5823,0.0,12.9699,1778600550974496870,1
ecgclass,stfq,4.1979,32.9502,30.4254,29.1383,0.0031,0.4912,2.0998,0.0,2.5247,1778600551046316895,1
ecgclass,stfq,4.4477,48.3296,24.9488,23.3188,0.0037,0.621,22.9502,0.0,23.3808,1778600551316978776,1
ecgclass,stfq,4.4923,27.6985,24.4384,22.8191,0.0038,0.6096,2.5179,0.0,3.2601,1778600551341061326,1
ecgclass,stfq,4.8605,27.8485,23.8472,22.493,0.0032,0.5784,3.6416,0.0,4.0013,1778600551710430181,1
ecgclass,stfq,5.1054,31.244,24.9167,23.4084,0.0036,0.5825,5.8184,0.0,6.3274,1778600551957532673,1
ecgclass,stfq,5.2365,44.1506,25.0136,23.5565,0.0033,0.54,18.7223,0.0,19.137,1778600552101468019,1
ecgclass,stfq,5.32,32.1643,24.5225,23.1622,0.0027,0.5713,7.2448,0.0,7.6419,1778600552173561196,1
ecgclass,stfq,5.4103,39.6769,24.9556,23.4377,0.0033,0.5893,14.1785,0.0,14.7213,1778600552270792992,1
ecgclass,stfq,5.4259,47.8759,24.6661,23.1494,0.0034,0.5771,22.7163,0.0,23.2098,1778600552294925137,1
ecgclass,stfq,5.4623,36.3753,25.6034,24.1116,0.0034,0.6195,10.195,0.0,10.7718,1778600552318727574,1
ecgclass,stfq,5.5997,42.4788,25.317,23.4722,0.0042,0.6988,16.5815,0.0,17.1618,1778600552462553264,1
ecgclass,stfq,5.6772,36.3016,24.2493,22.6205,0.0037,0.6438,11.6005,0.0,12.0523,1778600552535047415,1
