task,send_time_s,latency_ms,phase
gestureclass,0.0002,718.555,1
gestureclass,0.0005,718.269,1
gestureclass,0.0068,712.015,1
gestureclass,0.0172,701.661,1
gestureclass,0.0246,694.361,1
gestureclass,0.0247,694.354,1
gestureclass,0.0541,664.939,1
gestureclass,0.0565,662.612,1
gestureclass,0.0718,647.358,1
gestureclass,0.0881,631.038,1
gestureclass,0.0895,629.781,1
gestureclass,0.0909,628.442,1
gestureclass,0.0909,628.439,1
gestureclass,0.0964,623.061,1
gestureclass,0.1109,608.620,1
gestureclass,0.1132,606.312,1
gestureclass,0.1145,605.081,1
gestureclass,0.1298,589.820,1
gestureclass,0.1321,587.555,1
gestureclass,0.1594,560.305,1
gestureclass,0.1708,549.035,1
gestureclass,0.1851,534.743,1
gestureclass,0.2205,499.414,1
gestureclass,0.2229,497.033,1
gestureclass,0.2372,482.793,1
gestureclass,0.2436,476.441,1
gestureclass,0.2460,474.199,1
gestureclass,0.2613,458.945,1
gestureclass,0.2615,458.805,1
gestureclass,0.2928,427.541,1
gestureclass,0.3121,408.233,1
gestureclass,0.3776,651.026,1
gestureclass,0.3887,639.914,1
gestureclass,0.4303,600.496,1
gestureclass,0.4337,597.056,1
gestureclass,0.4461,584.697,1
gestureclass,0.4584,572.369,1
gestureclass,0.4778,552.990,1
gestureclass,0.5265,504.270,1
gestureclass,0.5542,476.641,1
gestureclass,0.5543,476.523,1
gestureclass,0.5688,462.051,1
gestureclass,0.5741,456.677,1
gestureclass,0.5765,454.348,1
gestureclass,0.5878,443.009,1
gestureclass,0.5962,434.680,1
gestureclass,0.5962,434.610,1
gestureclass,0.6106,420.240,1
gestureclass,0.6120,418.913,1
gestureclass,0.6352,395.642,1
gestureclass,0.6395,391.352,1
gestureclass,0.6548,376.083,1
gestureclass,0.6581,372.811,1
gestureclass,0.6970,333.922,1
gestureclass,0.6971,333.805,1
gestureclass,0.7345,521.656,1
gestureclass,0.7369,519.257,1
gestureclass,0.7392,517.132,1
gestureclass,0.7554,500.891,1
gestureclass,0.7678,488.593,1
gestureclass,0.8211,435.385,1
gestureclass,0.8325,424.010,1
gestureclass,0.8359,420.712,1
gestureclass,0.8512,405.444,1
gestureclass,0.8655,391.144,1
gestureclass,0.8778,378.884,1
gestureclass,0.9342,322.599,1
gestureclass,0.9396,317.239,1
gestureclass,0.9480,308.907,1
gestureclass,0.9776,279.374,1
gestureclass,0.9950,262.011,1
gestureclass,0.9983,258.727,1
gestureclass,1.0217,235.456,1
gestureclass,1.0251,447.951,1
gestureclass,1.0433,429.778,1
gestureclass,1.0758,397.295,1
gestureclass,1.0992,373.914,1
gestureclass,1.0993,373.830,1
gestureclass,1.1117,361.502,1
gestureclass,1.1140,359.209,1
gestureclass,1.1213,351.970,1
gestureclass,1.1436,329.710,1
gestureclass,1.1470,326.418,1
gestureclass,1.1913,282.133,1
gestureclass,1.1914,282.080,1
gestureclass,1.1948,278.745,1
gestureclass,1.1950,278.585,1
gestureclass,1.2073,266.362,1
gestureclass,1.2116,262.131,1
gestureclass,1.2239,249.897,1
gestureclass,1.2583,438.955,1
gestureclass,1.2747,422.588,1
gestureclass,1.2748,422.571,1
gestureclass,1.2748,422.623,1
gestureclass,1.2942,403.303,1
gestureclass,1.2955,402.066,1
gestureclass,1.3069,390.804,1
gestureclass,1.3472,350.584,1
gestureclass,1.3616,336.290,1
gestureclass,1.3830,314.998,1
gestureclass,1.3913,306.714,1
gestureclass,1.3997,298.448,1
gestureclass,1.3998,298.430,1
gestureclass,1.4021,296.181,1
gestureclass,1.4034,294.976,1
gestureclass,1.4096,288.706,1
gestureclass,1.4283,270.454,1
gestureclass,1.4306,268.226,1
gestureclass,1.4600,238.947,1
gestureclass,1.4724,455.199,1
gestureclass,1.4873,440.327,1
gestureclass,1.5159,411.747,1
gestureclass,1.5273,400.480,1
gestureclass,1.5426,385.149,1
gestureclass,1.5550,372.863,1
gestureclass,1.5563,371.621,1
gestureclass,1.5595,368.379,1
gestureclass,1.5868,341.150,1
gestureclass,1.6432,284.794,1
gestureclass,1.6466,281.465,1
gestureclass,1.6550,273.158,1
gestureclass,1.6603,267.857,1
gestureclass,1.6778,250.480,1
gestureclass,1.6922,236.103,1
gestureclass,1.6923,236.023,1
gestureclass,1.7491,346.725,1
gestureclass,1.7921,303.757,1
gestureclass,1.8125,283.568,1
gestureclass,1.8269,269.133,1
gestureclass,1.8313,264.756,1
gestureclass,1.8397,256.381,1
gestureclass,1.8461,250.110,1
gestureclass,1.8565,239.744,1
gestureclass,1.8566,239.741,1
gestureclass,1.8871,209.323,1
gestureclass,1.9015,194.976,1
gestureclass,1.9120,184.521,1
gestureclass,1.9310,343.765,1
gestureclass,1.9524,322.378,1
gestureclass,1.9525,322.479,1
gestureclass,1.9549,320.047,1
gestureclass,1.9663,308.708,1
gestureclass,1.9946,280.342,1
gestureclass,2.0241,251.664,1
gestureclass,2.0295,246.274,1
gestureclass,2.0529,222.915,1
gestureclass,2.0532,222.651,1
gestureclass,2.0728,203.035,1
gestureclass,2.0831,192.734,1
gestureclass,2.0884,187.417,1
gestureclass,2.1017,268.989,1
gestureclass,2.1170,253.621,1
gestureclass,2.1635,207.286,1
gestureclass,2.2200,150.887,1
gestureclass,2.2304,140.491,1
gestureclass,2.2588,112.121,1
gestureclass,2.2672,103.739,1
gestureclass,2.2831,234.068,1
gestureclass,2.2876,229.578,1
gestureclass,2.2901,227.197,1
gestureclass,2.3025,214.882,1
gestureclass,2.3090,208.463,1
gestureclass,2.3153,202.209,1
gestureclass,2.3154,202.211,1
gestureclass,2.3178,199.854,1
gestureclass,2.3371,180.568,1
gestureclass,2.3546,163.172,1
gestureclass,2.3651,152.664,1
gestureclass,2.3791,251.016,1
gestureclass,2.3804,249.717,1
gestureclass,2.4078,222.490,1
gestureclass,2.4222,208.098,1
gestureclass,2.4416,188.783,1
gestureclass,2.4440,186.471,1
gestureclass,2.4613,169.147,1
gestureclass,2.4807,149.836,1
gestureclass,2.4861,144.494,1
gestureclass,2.5430,143.451,1
gestureclass,2.5504,136.055,1
gestureclass,2.5878,98.609,1
gestureclass,2.6153,71.168,1
gestureclass,2.6537,86.354,1
gestureclass,2.6642,76.021,1
gestureclass,2.6666,73.597,1
gestureclass,2.6700,70.239,1
gestureclass,2.6916,154.325,1
gestureclass,2.7044,141.584,1
gestureclass,2.7141,131.872,1
gestureclass,2.7245,121.558,1
gestureclass,2.7246,121.486,1
gestureclass,2.7310,115.093,1
gestureclass,2.7734,137.782,1
gestureclass,2.7898,121.359,1
gestureclass,2.7932,117.992,1
gestureclass,2.8226,88.655,1
gestureclass,2.8421,69.219,1
gestureclass,2.8923,63.701,1
gestureclass,2.8977,58.296,1
gestureclass,2.9011,54.874,1
gestureclass,2.9383,84.324,1
gestureclass,2.9466,76.051,1
gestureclass,2.9530,69.649,1
gestureclass,2.9732,104.604,1
gestureclass,2.9806,97.198,1
gestureclass,2.9840,93.817,1
gestureclass,3.0053,72.488,1
gestureclass,3.0198,152.813,1
gestureclass,3.0212,151.572,1
gestureclass,3.0419,130.837,1
gestureclass,3.0443,128.456,1
gestureclass,3.0446,128.235,1
gestureclass,3.0619,110.948,1
gestureclass,3.0653,107.562,1
gestureclass,3.0800,127.488,1
gestureclass,3.1870,46.164,1
gestureclass,3.2363,27.122,1
gestureclass,3.2407,51.238,1
gestureclass,3.2461,45.871,1
gestureclass,3.2656,77.745,1
gestureclass,3.2657,77.724,1
gestureclass,3.2811,62.316,1
gestureclass,3.2855,57.967,1
gestureclass,3.3021,98.998,1
gestureclass,3.3216,79.601,1
gestureclass,3.3390,62.158,1
gestureclass,3.3404,60.811,1
gestureclass,3.3427,114.859,1
gestureclass,3.3766,80.940,1
gestureclass,3.3791,78.510,1
gestureclass,3.3894,68.130,1
gestureclass,3.4203,102.455,1
gestureclass,3.4205,102.365,1
gestureclass,3.4238,99.008,1
gestureclass,3.4432,79.637,1
gestureclass,3.4436,79.319,1
gestureclass,3.4573,122.171,1
gestureclass,3.4878,91.679,1
gestureclass,3.5017,77.827,1
gestureclass,3.5350,88.802,1
gestureclass,3.5405,83.408,1
gestureclass,3.5619,62.019,1
gestureclass,3.5940,75.289,1
gestureclass,3.5984,70.868,1
gestureclass,3.6300,92.968,1
gestureclass,3.6314,91.641,1
gestureclass,3.6457,77.327,1
gestureclass,3.6491,73.955,1
gestureclass,3.6689,99.887,1
gestureclass,3.6834,85.394,1
gestureclass,3.7008,68.012,1
gestureclass,3.7292,84.548,1
