task,send_time_s,latency_ms,phase
gestureclass,0.0002,713.695,1
gestureclass,0.0005,713.448,1
gestureclass,0.0067,707.303,1
gestureclass,0.0171,697.001,1
gestureclass,0.0244,689.770,1
gestureclass,0.0247,689.546,1
gestureclass,0.0540,660.233,1
gestureclass,0.0564,657.858,1
gestureclass,0.0717,642.626,1
gestureclass,0.0882,626.301,1
gestureclass,0.0895,624.928,1
gestureclass,0.0899,624.560,1
gestureclass,0.0912,623.363,1
gestureclass,0.0965,618.100,1
gestureclass,0.1108,603.767,1
gestureclass,0.1132,601.500,1
gestureclass,0.1146,600.143,1
gestureclass,0.1290,585.862,1
gestureclass,0.1324,582.540,1
gestureclass,0.1598,555.149,1
gestureclass,0.1712,543.783,1
gestureclass,0.1856,529.378,1
gestureclass,0.2200,494.998,1
gestureclass,0.2234,491.662,1
gestureclass,0.2378,477.378,1
gestureclass,0.2443,470.921,1
gestureclass,0.2466,468.683,1
gestureclass,0.2610,454.379,1
gestureclass,0.2623,453.027,1
gestureclass,0.2927,422.717,1
gestureclass,0.3121,403.270,1
gestureclass,0.3776,642.160,1
gestureclass,0.3882,632.068,1
gestureclass,0.4300,590.183,1
gestureclass,0.4335,586.730,1
gestureclass,0.4460,574.351,1
gestureclass,0.4585,561.962,1
gestureclass,0.4779,542.497,1
gestureclass,0.5270,493.500,1
gestureclass,0.5525,468.124,1
gestureclass,0.5540,466.761,1
gestureclass,0.5684,452.377,1
gestureclass,0.5749,445.962,1
gestureclass,0.5763,444.549,1
gestureclass,0.5877,433.230,1
gestureclass,0.5962,424.826,1
gestureclass,0.5963,424.733,1
gestureclass,0.6108,410.329,1
gestureclass,0.6112,409.964,1
gestureclass,0.6346,386.749,1
gestureclass,0.6401,381.232,1
gestureclass,0.6546,366.780,1
gestureclass,0.6577,363.661,1
gestureclass,0.6962,325.242,1
gestureclass,0.6976,323.811,1
gestureclass,0.7347,516.803,1
gestureclass,0.7373,514.256,1
gestureclass,0.7397,511.958,1
gestureclass,0.7551,496.643,1
gestureclass,0.7697,482.136,1
gestureclass,0.8212,430.701,1
gestureclass,0.8327,419.266,1
gestureclass,0.8362,415.805,1
gestureclass,0.8506,401.425,1
gestureclass,0.8650,387.270,1
gestureclass,0.8775,374.904,1
gestureclass,0.9340,318.478,1
gestureclass,0.9395,313.079,1
gestureclass,0.9479,304.757,1
gestureclass,0.9777,275.151,1
gestureclass,0.9952,257.618,1
gestureclass,0.9987,254.222,1
gestureclass,1.0215,452.238,1
gestureclass,1.0250,448.823,1
gestureclass,1.0444,429.420,1
gestureclass,1.0759,398.442,1
gestureclass,1.1469,327.465,1
gestureclass,1.1914,282.976,1
gestureclass,1.1915,282.923,1
gestureclass,1.1951,279.366,1
gestureclass,1.1952,279.251,1
gestureclass,1.2068,267.774,1
gestureclass,1.2122,262.378,1
gestureclass,1.2237,251.424,1
gestureclass,1.0994,375.721,1
gestureclass,1.0995,375.599,1
gestureclass,1.1120,363.106,1
gestureclass,1.1145,360.694,1
gestureclass,1.1209,354.245,1
gestureclass,1.1444,330.790,1
gestureclass,1.2581,439.085,1
gestureclass,1.2745,422.649,1
gestureclass,1.2749,422.343,1
gestureclass,1.2749,422.550,1
gestureclass,1.2944,403.108,1
gestureclass,1.2947,402.790,1
gestureclass,1.3072,390.367,1
gestureclass,1.3476,349.947,1
gestureclass,1.3621,335.478,1
gestureclass,1.3826,315.011,1
gestureclass,1.3911,306.916,1
gestureclass,1.3995,298.474,1
gestureclass,1.3996,298.577,1
gestureclass,1.4021,296.137,1
gestureclass,1.4035,294.803,1
gestureclass,1.4098,288.460,1
gestureclass,1.4277,270.668,1
gestureclass,1.4301,268.286,1
gestureclass,1.4605,237.906,1
gestureclass,1.4730,452.062,1
gestureclass,1.4879,437.137,1
gestureclass,1.5158,409.252,1
gestureclass,1.5272,397.892,1
gestureclass,1.5426,382.504,1
gestureclass,1.5551,370.095,1
gestureclass,1.5564,368.797,1
gestureclass,1.5597,365.496,1
gestureclass,1.5871,338.228,1
gestureclass,1.6436,281.809,1
gestureclass,1.6470,278.373,1
gestureclass,1.6554,270.076,1
gestureclass,1.6608,264.757,1
gestureclass,1.6772,248.397,1
gestureclass,1.6916,233.994,1
gestureclass,1.6917,233.918,1
gestureclass,1.7486,342.020,1
gestureclass,1.7915,299.063,1
gestureclass,1.8129,277.816,1
gestureclass,1.8254,265.375,1
gestureclass,1.8319,258.862,1
gestureclass,1.8395,251.369,1
gestureclass,1.8469,243.966,1
gestureclass,1.8553,235.615,1
gestureclass,1.8556,235.409,1
gestureclass,1.8870,204.103,1
gestureclass,1.9014,189.767,1
gestureclass,1.9118,179.391,1
gestureclass,1.9315,329.180,1
gestureclass,1.9520,308.734,1
gestureclass,1.9521,308.751,1
gestureclass,1.9555,305.474,1
gestureclass,1.9659,295.107,1
gestureclass,1.9943,266.726,1
gestureclass,2.0237,237.359,1
gestureclass,2.0301,231.031,1
gestureclass,2.0535,207.685,1
gestureclass,2.0536,207.590,1
gestureclass,2.0734,187.830,1
gestureclass,2.0838,177.474,1
gestureclass,2.0881,252.000,1
gestureclass,2.1014,238.757,1
gestureclass,2.1168,223.326,1
gestureclass,2.1632,177.027,1
gestureclass,2.2206,119.621,1
gestureclass,2.2311,109.224,1
gestureclass,2.2585,198.986,1
gestureclass,2.2675,189.993,1
gestureclass,2.2829,174.644,1
gestureclass,2.2873,170.241,1
gestureclass,2.2897,167.942,1
gestureclass,2.3041,153.587,1
gestureclass,2.3095,148.281,1
gestureclass,2.3149,142.889,1
gestureclass,2.3162,141.558,1
gestureclass,2.3185,139.275,1
gestureclass,2.3378,228.751,1
gestureclass,2.3545,212.154,1
gestureclass,2.3649,201.845,1
gestureclass,2.3793,187.449,1
gestureclass,2.3796,187.230,1
gestureclass,2.4079,158.961,1
gestureclass,2.4223,144.602,1
gestureclass,2.4417,125.233,1
gestureclass,2.4441,122.833,1
gestureclass,2.4621,169.608,1
gestureclass,2.4797,152.027,1
gestureclass,2.4863,145.479,1
gestureclass,2.5438,87.991,1
gestureclass,2.5502,81.572,1
gestureclass,2.5871,79.174,1
gestureclass,2.6146,51.711,1
gestureclass,2.6531,38.359,1
gestureclass,2.6637,70.249,1
gestureclass,2.6661,67.862,1
gestureclass,2.6696,64.372,1
gestureclass,2.6915,145.959,1
gestureclass,2.7042,133.309,1
gestureclass,2.7140,123.586,1
gestureclass,2.7243,113.325,1
gestureclass,2.7243,113.263,1
gestureclass,2.7307,106.892,1
gestureclass,2.7733,119.533,1
gestureclass,2.7898,103.113,1
gestureclass,2.7933,99.690,1
gestureclass,2.8227,70.297,1
gestureclass,2.8408,79.093,1
gestureclass,2.8921,70.083,1
gestureclass,2.8971,65.133,1
gestureclass,2.9015,60.816,1
gestureclass,2.9378,88.153,1
gestureclass,2.9461,79.844,1
gestureclass,2.9534,72.499,1
gestureclass,2.9724,133.908,1
gestureclass,2.9798,126.541,1
gestureclass,2.9842,122.249,1
gestureclass,3.0055,100.919,1
gestureclass,3.0200,86.514,1
gestureclass,3.0213,85.205,1
gestureclass,3.0414,147.525,1
gestureclass,3.0448,144.126,1
gestureclass,3.0449,144.083,1
gestureclass,3.0613,127.701,1
gestureclass,3.0657,123.355,1
gestureclass,3.0800,108.983,1
gestureclass,3.1862,37.038,1
gestureclass,3.2354,26.773,1
gestureclass,3.2399,50.494,1
gestureclass,3.2462,44.160,1
gestureclass,3.2664,74.039,1
gestureclass,3.2665,73.958,1
gestureclass,3.2809,59.584,1
gestureclass,3.2853,55.205,1
gestureclass,3.3025,73.662,1
gestureclass,3.3220,54.220,1
gestureclass,3.3394,81.096,1
gestureclass,3.3396,80.842,1
gestureclass,3.3427,77.903,1
gestureclass,3.3760,89.462,1
gestureclass,3.3793,86.145,1
gestureclass,3.3896,75.853,1
gestureclass,3.4200,125.124,1
gestureclass,3.4201,125.042,1
gestureclass,3.4238,121.394,1
gestureclass,3.4434,101.815,1
gestureclass,3.4439,101.365,1
gestureclass,3.4584,86.903,1
gestureclass,3.4877,124.809,1
gestureclass,3.5026,109.945,1
gestureclass,3.5350,77.624,1
gestureclass,3.5405,72.202,1
gestureclass,3.5624,104.699,1
gestureclass,3.5934,73.753,1
gestureclass,3.5989,68.296,1
gestureclass,3.6299,92.244,1
gestureclass,3.6315,90.673,1
gestureclass,3.6461,76.168,1
gestureclass,3.6485,73.703,1
gestureclass,3.6693,99.525,1
gestureclass,3.6817,87.180,1
gestureclass,3.7011,67.772,1
gestureclass,3.7295,84.335,1
gestureclass,3.7401,73.719,1
gestureclass,3.7447,69.121,1
gestureclass,3.7771,62.367,1
gestureclass,3.8242,44.950,1
gestureclass,3.8554,57.352,1
gestureclass,3.8578,54.910,1
gestureclass,3.8847,73.396,1
gestureclass,3.9011,56.990,1
gestureclass,3.9115,125.887,1
gestureclass,3.9125,124.972,1
gestureclass,3.9324,105.139,1
gestureclass,3.9506,86.914,1
gestureclass,3.9551,82.422,1
gestureclass,3.9633,128.473,1
gestureclass,3.9667,125.116,1
gestureclass,4.0110,80.778,1
gestureclass,4.0214,70.371,1
gestureclass,4.0370,100.643,1
gestureclass,4.0518,85.840,1
gestureclass,4.0775,60.242,1
gestureclass,4.0949,122.011,1
gestureclass,4.0993,117.686,1
gestureclass,4.1096,107.389,1
gestureclass,4.1161,100.911,1
gestureclass,4.1264,90.580,1
gestureclass,4.1439,167.928,1
gestureclass,4.1552,156.580,1
gestureclass,4.1706,141.228,1
gestureclass,4.1740,137.960,1
gestureclass,4.1854,126.622,1
gestureclass,4.2044,107.588,1
gestureclass,4.2212,157.778,1
gestureclass,4.2295,149.486,1
gestureclass,4.2339,145.125,1
gestureclass,4.2823,96.852,1
gestureclass,4.2977,81.460,1
gestureclass,4.3091,174.327,1
gestureclass,4.3114,172.125,1
gestureclass,4.3342,149.351,1
gestureclass,4.3486,134.969,1
gestureclass,4.3530,130.565,1
gestureclass,4.3531,130.482,1
gestureclass,4.3655,118.088,1
gestureclass,4.3689,114.697,1
