task,send_time_s,latency_ms,phase
gestureclass,0.0002,392.811,1
gestureclass,0.0005,419.456,1
gestureclass,0.0068,441.280,1
gestureclass,0.0172,458.930,1
gestureclass,0.0246,479.373,1
gestureclass,0.0247,505.006,1
gestureclass,0.0541,500.702,1
gestureclass,0.0565,525.051,1
gestureclass,0.0719,536.010,1
gestureclass,0.0883,545.173,1
gestureclass,0.0897,570.020,1
gestureclass,0.0900,594.899,1
gestureclass,0.0913,619.847,1
gestureclass,0.0966,640.215,1
gestureclass,0.1109,651.666,1
gestureclass,0.1133,674.810,1
gestureclass,0.1146,698.371,1
gestureclass,0.1299,709.062,1
gestureclass,0.1322,732.245,1
gestureclass,0.1595,730.472,1
gestureclass,0.1710,744.450,1
gestureclass,0.1854,757.133,1
gestureclass,0.2208,747.173,1
gestureclass,0.2232,770.202,1
gestureclass,0.2376,782.045,1
gestureclass,0.2441,802.342,1
gestureclass,0.2465,825.775,1
gestureclass,0.2609,837.143,1
gestureclass,0.2622,862.336,1
gestureclass,0.2936,856.800,1
gestureclass,0.3130,862.921,1
gestureclass,0.3779,824.659,1
gestureclass,0.3884,841.005,1
gestureclass,0.4302,824.889,1
gestureclass,0.4336,848.213,1
gestureclass,0.4460,864.499,1
gestureclass,0.4583,876.111,1
gestureclass,0.4783,880.417,1
gestureclass,0.5262,888.362,1
gestureclass,0.5530,887.316,1
gestureclass,0.5545,909.929,1
gestureclass,0.5690,920.254,1
gestureclass,0.5744,939.124,1
gestureclass,0.5767,961.262,1
gestureclass,0.5877,974.837,1
gestureclass,0.5961,990.364,1
gestureclass,0.5964,1014.244,1
gestureclass,0.6101,1024.439,1
gestureclass,0.6114,1047.734,1
gestureclass,0.6346,1049.229,1
gestureclass,0.6400,1068.723,1
gestureclass,0.6544,1078.020,1
gestureclass,0.6578,1098.579,1
gestureclass,0.6961,1083.925,1
gestureclass,0.6975,1106.836,1
gestureclass,0.7334,1095.413,1
gestureclass,0.7366,1117.204,1
gestureclass,0.7401,1138.246,1
gestureclass,0.7546,1148.297,1
gestureclass,0.7678,1159.276,1
gestureclass,0.8211,1130.571,1
gestureclass,0.8325,1144.037,1
gestureclass,0.8359,1165.581,1
gestureclass,0.8512,1174.386,1
gestureclass,0.8637,1185.784,1
gestureclass,0.8786,1195.625,1
gestureclass,0.9346,1163.780,1
gestureclass,0.9390,1183.349,1
gestureclass,0.9488,1197.315,1
gestureclass,0.9782,1216.012,1
gestureclass,0.9946,1223.397,1
gestureclass,0.9989,1243.810,1
gestureclass,1.0218,1245.277,1
gestureclass,1.0252,1266.649,1
gestureclass,1.0435,1274.481,1
gestureclass,1.0755,1266.782,1
gestureclass,1.0992,1267.576,1
gestureclass,1.0993,1292.090,1
gestureclass,1.1118,1303.791,1
gestureclass,1.1142,1325.403,1
gestureclass,1.1206,1343.768,1
gestureclass,1.1438,1345.126,1
gestureclass,1.1472,1365.643,1
gestureclass,1.1911,1345.315,1
gestureclass,1.1913,1369.803,1
gestureclass,1.1947,1390.096,1
gestureclass,1.1960,1412.881,1
