task,send_time_s,latency_ms,phase
ecgclass,0.0001,393.703,1
ecgclass,0.4814,65.622,1
ecgclass,0.9493,63.851,1
ecgclass,1.4254,66.525,1
ecgclass,1.4827,62.196,1
ecgclass,1.4991,110.293,1
ecgclass,1.7895,65.808,1
ecgclass,2.0724,66.528,1
ecgclass,2.6968,67.467,1
ecgclass,2.7124,116.167,1
ecgclass,2.9212,65.199,1
ecgclass,2.9355,114.920,1
ecgclass,3.1539,66.586,1
ecgclass,3.4996,66.055,1
ecgclass,3.5768,66.471,1
ecgclass,3.8230,66.077,1
ecgclass,3.8543,138.534,1
ecgclass,3.8723,120.545,1
ecgclass,3.9356,114.381,1
ecgclass,4.1159,66.796,1
ecgclass,4.1992,65.418,1
ecgclass,4.4479,66.333,1
ecgclass,4.4926,86.110,1
ecgclass,4.8599,65.945,1
ecgclass,5.1059,65.760,1
ecgclass,5.2372,57.890,1
ecgclass,5.3209,66.463,1
ecgclass,5.4112,66.324,1
ecgclass,5.4272,142.670,1
ecgclass,5.4618,108.088,1
ecgclass,5.5987,65.527,1
ecgclass,5.6764,65.275,1
ecgclass,5.9296,66.279,1
ecgclass,6.0716,65.956,1
ecgclass,6.1185,83.823,1
ecgclass,6.2126,65.336,1
ecgclass,6.3400,66.350,1
ecgclass,6.4085,64.472,1
ecgclass,6.4728,63.856,1
ecgclass,6.6485,66.787,1
ecgclass,6.7082,60.469,1
ecgclass,6.9748,66.769,1
ecgclass,7.2531,65.763,1
ecgclass,7.4691,66.581,1
ecgclass,7.4843,116.023,1
ecgclass,7.7111,65.784,1
ecgclass,7.9814,64.498,1
ecgclass,8.2058,66.817,1
ecgclass,8.2629,74.662,1
ecgclass,8.3281,74.038,1
ecgclass,8.3597,107.086,1
ecgclass,8.4300,129.053,1
ecgclass,8.4344,124.701,1
ecgclass,8.4679,156.372,1
ecgclass,8.7312,65.142,1
ecgclass,9.5305,64.993,1
ecgclass,9.6427,66.103,1
ecgclass,9.7008,72.793,1
ecgclass,9.7790,65.594,1
ecgclass,9.8518,65.504,1
ecgclass,9.8776,91.229,1
ecgclass,10.0942,65.909,1
ecgclass,10.3706,67.186,1
ecgclass,10.6711,66.255,1
ecgclass,11.7333,67.448,1
ecgclass,12.1545,68.195,1
ecgclass,12.4832,66.188,1
ecgclass,12.6916,65.767,1
ecgclass,12.8104,66.969,1
ecgclass,12.8194,122.528,1
ecgclass,13.0110,58.959,1
ecgclass,13.1347,66.015,1
ecgclass,13.4364,66.656,1
ecgclass,13.8426,68.393,1
ecgclass,13.9086,67.105,1
ecgclass,13.9181,124.603,1
ecgclass,14.1035,65.380,1
ecgclass,14.6144,65.857,1
ecgclass,14.7783,66.095,1
ecgclass,15.2041,66.357,1
ecgclass,15.3548,64.861,1
ecgclass,15.6176,66.886,1
ecgclass,15.6758,73.566,1
ecgclass,15.7030,138.710,1
ecgclass,15.7309,110.875,1
ecgclass,15.7548,179.481,1
ecgclass,15.7652,169.109,1
ecgclass,16.1094,60.212,1
ecgclass,16.1987,65.849,1
ecgclass,16.2754,64.553,1
ecgclass,16.4625,66.524,1
ecgclass,16.5007,93.098,1
ecgclass,16.8838,66.037,1
ecgclass,17.1423,66.230,1
ecgclass,17.2080,65.226,1
ecgclass,17.2486,89.223,1
ecgclass,17.3544,65.316,1
ecgclass,17.4167,67.662,1
ecgclass,17.4309,105.042,1
ecgclass,17.5314,69.463,1
ecgclass,17.9818,65.639,1
ecgclass,18.1834,68.110,1
ecgclass,18.8001,67.022,1
ecgclass,19.2089,63.602,1
ecgclass,19.4330,66.224,1
ecgclass,19.8033,65.792,1
ecgclass,19.9481,66.186,1
ecgclass,20.1622,66.492,1
ecgclass,20.2383,65.358,1
ecgclass,20.2819,86.233,1
ecgclass,20.7104,65.855,1
ecgclass,20.7388,102.091,1
ecgclass,20.7760,156.746,1
ecgclass,20.8389,93.839,1
ecgclass,21.0322,69.159,1
ecgclass,21.1156,53.194,1
ecgclass,21.2515,66.995,1
ecgclass,21.6836,54.117,1
ecgclass,21.9917,65.163,1
ecgclass,22.2263,68.394,1
ecgclass,22.2606,88.054,1
ecgclass,22.5002,67.092,1
ecgclass,22.5895,66.169,1
ecgclass,22.6144,106.019,1
ecgclass,22.6939,118.611,1
ecgclass,22.7078,104.679,1
ecgclass,22.8924,65.517,1
ecgclass,23.0856,69.078,1
ecgclass,23.1440,75.557,1
ecgclass,23.1545,129.612,1
ecgclass,23.6996,65.695,1
ecgclass,23.8605,66.639,1
ecgclass,24.1584,67.370,1
ecgclass,24.2289,64.435,1
ecgclass,24.5642,66.907,1
ecgclass,24.8925,67.028,1
ecgclass,24.9114,113.170,1
ecgclass,25.9979,65.987,1
ecgclass,26.1320,66.326,1
ecgclass,26.4111,66.774,1
ecgclass,26.4617,83.858,1
ecgclass,26.6574,65.239,1
ecgclass,26.7144,72.618,1
ecgclass,27.0369,65.500,1
ecgclass,27.1297,65.388,1
ecgclass,27.2851,66.829,1
ecgclass,27.3909,66.697,1
ecgclass,27.5417,65.038,1
ecgclass,27.6360,65.657,1
ecgclass,27.7588,67.074,1
ecgclass,27.7642,128.709,1
ecgclass,28.0825,65.259,1
ecgclass,28.5840,68.094,1
ecgclass,28.7002,65.126,1
ecgclass,29.3810,66.406,1
ecgclass,29.4144,97.508,1
ecgclass,29.9719,66.300,1
ecgclass,30.0443,65.190,1
ecgclass,30.1785,65.822,1
ecgclass,30.6658,66.210,1
ecgclass,30.6907,134.238,1
ecgclass,30.7297,95.228,1
ecgclass,30.9981,66.900,1
ecgclass,31.1946,65.704,1
ecgclass,31.2522,73.247,1
ecgclass,31.3402,64.979,1
ecgclass,31.4909,65.831,1
ecgclass,31.8710,65.491,1
ecgclass,31.9417,65.577,1
ecgclass,32.0948,66.266,1
ecgclass,32.1662,53.692,1
ecgclass,32.2271,65.619,1
ecgclass,32.6533,65.831,1
ecgclass,32.7647,63.279,1
ecgclass,33.0334,68.455,1
ecgclass,33.0947,71.959,1
ecgclass,33.1301,101.422,1
ecgclass,33.3589,65.907,1
ecgclass,33.6437,67.016,1
ecgclass,33.8327,65.473,1
ecgclass,34.0701,65.741,1
ecgclass,34.2739,65.816,1
ecgclass,34.4920,66.566,1
ecgclass,34.9430,67.076,1
ecgclass,35.5080,65.947,1
ecgclass,35.6402,66.292,1
ecgclass,35.6585,112.487,1
ecgclass,35.9389,66.287,1
ecgclass,36.1084,67.161,1
ecgclass,36.5969,66.560,1
ecgclass,36.8058,65.771,1
ecgclass,36.8349,101.268,1
ecgclass,37.0432,63.203,1
ecgclass,37.1581,66.323,1
ecgclass,37.1808,108.213,1
ecgclass,37.2356,117.799,1
ecgclass,37.9305,66.840,1
ecgclass,38.0112,65.880,1
ecgclass,38.0634,78.371,1
ecgclass,38.1524,64.410,1
ecgclass,38.5654,66.192,1
ecgclass,38.7832,66.745,1
ecgclass,38.8224,119.921,1
ecgclass,38.8247,117.638,1
ecgclass,38.9117,90.131,1
ecgclass,38.9421,120.290,1
ecgclass,39.3555,66.064,1
ecgclass,39.3773,111.652,1
ecgclass,39.5133,170.760,1
ecgclass,39.7168,66.143,1
ecgclass,40.2907,66.808,1
ecgclass,40.3501,71.707,1
ecgclass,40.6963,68.280,1
ecgclass,40.8490,65.929,1
ecgclass,41.1961,65.721,1
ecgclass,41.2670,66.263,1
ecgclass,41.3330,64.809,1
ecgclass,41.3843,78.602,1
ecgclass,41.5926,67.041,1
ecgclass,41.7223,68.542,1
ecgclass,41.8954,65.816,1
ecgclass,42.1521,64.614,1
ecgclass,42.3829,67.425,1
ecgclass,42.5920,66.178,1
ecgclass,42.8721,70.083,1
ecgclass,42.8785,128.352,1
ecgclass,43.1806,66.162,1
ecgclass,43.4400,66.781,1
