task,send_time_s,latency_ms,phase
ecgclass,0.0001,361.799,1
ecgclass,0.4844,97.646,1
ecgclass,0.9492,38.526,1
ecgclass,1.4258,46.655,1
ecgclass,1.4826,45.810,1
ecgclass,1.4993,52.974,1
ecgclass,1.7899,31.549,1
ecgclass,2.0716,45.739,1
ecgclass,2.6968,42.133,1
ecgclass,2.7124,49.707,1
ecgclass,2.9225,32.398,1
ecgclass,2.9354,42.432,1
ecgclass,3.1535,34.309,1
ecgclass,3.4994,41.139,1
ecgclass,3.5768,34.440,1
ecgclass,3.8234,42.148,1
ecgclass,3.8536,35.537,1
ecgclass,3.8727,70.839,1
ecgclass,3.9349,32.494,1
ecgclass,4.1164,38.963,1
ecgclass,4.1992,28.226,1
ecgclass,4.4477,42.062,1
ecgclass,4.4929,44.493,1
ecgclass,4.8603,31.371,1
ecgclass,5.1052,34.187,1
ecgclass,5.2366,28.124,1
ecgclass,5.3195,37.237,1
ecgclass,5.4109,39.917,1
ecgclass,5.4266,49.086,1
ecgclass,5.4616,61.450,1
ecgclass,5.5990,40.636,1
ecgclass,5.6782,31.240,1
ecgclass,5.9296,43.703,1
ecgclass,6.0715,44.829,1
ecgclass,6.1185,45.326,1
ecgclass,6.2116,47.954,1
ecgclass,6.3392,46.380,1
ecgclass,6.4088,53.556,1
ecgclass,6.4726,38.726,1
ecgclass,6.6490,36.184,1
ecgclass,6.7081,51.601,1
ecgclass,6.9748,30.202,1
ecgclass,7.2529,43.118,1
ecgclass,7.4696,39.096,1
ecgclass,7.4845,47.393,1
ecgclass,7.7106,31.100,1
ecgclass,7.9816,44.591,1
ecgclass,8.2058,34.006,1
ecgclass,8.2625,49.061,1
ecgclass,8.3281,37.524,1
ecgclass,8.3598,35.395,1
ecgclass,8.4305,234.065,1
ecgclass,8.4348,355.357,1
ecgclass,8.4682,345.928,1
ecgclass,8.7314,106.302,1
ecgclass,9.5304,43.673,1
ecgclass,9.6434,26.766,1
ecgclass,9.7003,40.357,1
ecgclass,9.7790,36.822,1
ecgclass,9.8513,37.683,1
ecgclass,9.8772,35.622,1
ecgclass,10.0943,34.985,1
ecgclass,10.3693,56.363,1
ecgclass,10.6708,60.266,1
ecgclass,11.7335,40.325,1
