task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
ecgclass,stfq,0.0001,374.6572,372.8178,355.5119,0.0041,15.8075,1.153,0.0,1.8393,1778608202411769826,1
ecgclass,stfq,0.4812,43.6223,24.7843,23.1936,0.0024,0.5431,18.2178,0.0,18.8379,1778608202909965343,1
ecgclass,stfq,0.9482,34.6045,24.8051,23.3174,0.0022,0.5288,9.253,0.0,9.7994,1778608203367967785,1
ecgclass,stfq,1.4262,39.1402,25.7799,24.3257,0.0022,0.5094,12.9364,0.0,13.3603,1778608203849592838,1
ecgclass,stfq,1.4827,30.3423,24.617,23.1109,0.0022,0.5526,5.2865,0.0,5.7253,1778608203898541209,1
ecgclass,stfq,1.4996,36.9146,24.2548,22.9385,0.002,0.4659,12.2731,0.0,12.6598,1778608203922386297,1
ecgclass,stfq,1.789,46.1805,25.5563,24.0711,0.0023,0.5405,20.124,0.0,20.6242,1778608204219645054,1
ecgclass,stfq,2.071,48.363,24.849,23.3503,0.0025,0.5191,23.0877,0.0,23.514,1778608204504616538,1
ecgclass,stfq,2.6965,36.0506,25.4854,23.7483,0.0025,0.477,10.1461,0.0,10.5651,1778608205117165346,1
ecgclass,stfq,2.712,43.8867,24.2759,22.9194,0.0019,0.5168,19.201,0.0,19.6108,1778608205141675899,1
ecgclass,stfq,2.9211,49.2687,25.1414,23.6335,0.0023,0.5153,23.5958,0.0,24.1274,1778608205355206973,1
ecgclass,stfq,2.936,59.3486,25.5683,23.9213,0.0028,0.5689,33.1092,0.0,33.7803,1778608205379598703,1
ecgclass,stfq,3.154,35.0249,24.386,22.8469,0.0023,0.5638,10.2212,0.0,10.6389,1778608205574678037,1
ecgclass,stfq,3.4997,31.5824,24.2572,22.7137,0.003,0.5229,6.7613,0.0,7.3251,1778608205916973414,1
ecgclass,stfq,3.5769,27.1206,25.1435,23.6376,0.0025,0.5195,1.5392,0.0,1.977,1778608205988942383,1
ecgclass,stfq,3.8233,49.3963,25.8706,24.3325,0.0024,0.5693,22.6667,0.0,23.5256,1778608206256441903,1
ecgclass,stfq,3.8537,43.0236,25.1678,23.6182,0.0025,0.5162,17.3345,0.0,17.8558,1778608206281524883,1
ecgclass,stfq,3.8724,49.1991,25.6987,24.1856,0.0027,0.5387,22.9993,0.0,23.5004,1778608206305911848,1
ecgclass,stfq,3.9353,36.6647,26.7457,25.2759,0.0026,0.5365,9.4101,0.0,9.919,1778608206355169228,1
ecgclass,stfq,4.1157,27.8718,24.6032,23.1064,0.0023,0.5008,2.7001,0.0,3.2686,1778608206528872615,1
ecgclass,stfq,4.1984,44.3144,25.9373,24.4444,0.0025,0.5201,17.9024,0.0,18.3771,1778608206626829288,1
ecgclass,stfq,4.4484,41.1704,27.8368,26.2392,0.0023,0.5824,12.747,0.0,13.3335,1778608206871605990,1
ecgclass,stfq,4.4928,49.15,25.01,23.5123,0.0029,0.5337,23.6816,0.0,24.14,1778608206926945733,1
ecgclass,stfq,4.8599,46.1698,25.4784,23.7739,0.0025,0.6151,20.1395,0.0,20.6914,1778608207290549130,1
ecgclass,stfq,5.1051,47.8392,24.526,22.9256,0.0026,0.6428,22.8324,0.0,23.3131,1778608207538395330,1
ecgclass,stfq,5.237,37.6964,26.1203,24.5731,0.0027,0.5543,10.9832,0.0,11.5761,1778608207658506194,1
ecgclass,stfq,5.3215,26.7351,24.5601,23.0189,0.0024,0.5404,1.6642,0.0,2.1749,1778608207733656241,1
ecgclass,stfq,5.4117,37.6787,27.546,25.9297,0.0022,0.5119,9.6531,0.0,10.1328,1778608207831829617,1
ecgclass,stfq,5.426,47.6875,25.2039,23.7319,0.0025,0.4892,22.0733,0.0,22.4836,1778608207858564084,1
ecgclass,stfq,5.462,35.8932,24.9732,23.6272,0.0023,0.5084,10.5269,0.0,10.92,1778608207883061152,1
ecgclass,stfq,5.5986,42.5539,24.568,23.1809,0.0025,0.503,17.5486,0.0,17.9859,1778608208026676210,1
ecgclass,stfq,5.677,36.1454,25.0334,23.4639,0.0024,0.5571,10.628,0.0,11.112,1778608208098129357,1
ecgclass,stfq,5.9301,47.2093,24.7413,23.1295,0.0032,0.6129,22.0089,0.0,22.468,1778608208362663700,1
ecgclass,stfq,6.071,51.1847,25.5851,23.9196,0.0026,0.6306,25.1901,0.0,25.5996,1778608208506680017,1
ecgclass,stfq,6.1193,26.5877,24.5774,22.9281,0.0024,0.7104,1.5852,0.0,2.0103,1778608208531372300,1
ecgclass,stfq,6.2108,29.9706,24.1721,22.6449,0.0023,0.5593,5.3008,0.0,5.7986,1778608208626608772,1
ecgclass,stfq,6.3391,44.9374,23.9319,22.5505,0.0021,0.5566,20.6161,0.0,21.0055,1778608208770189892,1
ecgclass,stfq,6.4086,46.4773,24.7703,23.3869,0.0022,0.569,21.3323,0.0,21.707,1778608208840450157,1
ecgclass,stfq,6.4722,31.024,25.2089,23.6716,0.0025,0.5687,5.3775,0.0,5.8151,1778608208888123582,1
ecgclass,stfq,6.6482,47.7707,26.1759,24.602,0.0027,0.605,21.2338,0.0,21.5948,1778608209079971746,1
ecgclass,stfq,6.7081,35.9058,24.7259,23.1795,0.0023,0.6303,10.7472,0.0,11.1799,1778608209129392830,1
ecgclass,stfq,6.9742,31.5208,24.9353,23.2079,0.0027,0.666,6.1028,0.0,6.5856,1778608209390846968,1
ecgclass,stfq,7.253,40.463,25.4818,23.6731,0.0032,0.7988,14.5459,0.0,14.9812,1778608209678012950,1
ecgclass,stfq,7.4696,45.6057,25.5795,23.8057,0.0031,0.6909,19.5117,0.0,20.0262,1778608209899637289,1
ecgclass,stfq,7.4839,55.4049,25.0191,23.4523,0.0025,0.5987,29.9301,0.0,30.3858,1778608209924302745,1
ecgclass,stfq,7.7112,47.0021,24.7569,23.1007,0.0029,0.7356,21.843,0.0,22.2452,1778608210143567338,1
ecgclass,stfq,7.9818,40.9319,24.8696,23.2196,0.0026,0.5724,15.5873,0.0,16.0624,1778608210407886540,1
ecgclass,stfq,8.2065,33.489,24.3763,22.7918,0.0027,0.5824,8.6241,0.0,9.1127,1778608210625586723,1
ecgclass,stfq,8.2625,49.6905,25.019,23.4291,0.0024,0.6325,24.2374,0.0,24.6714,1778608210697240050,1
ecgclass,stfq,8.3268,33.7107,24.502,22.8857,0.0029,0.6397,8.7667,0.0,9.2087,1778608210746033214,1
ecgclass,stfq,8.36,48.7301,24.5994,23.0797,0.0024,0.6049,23.6669,0.0,24.1307,1778608210794124129,1
ecgclass,stfq,8.4304,29.8839,27.913,26.1334,0.0028,0.8168,1.5388,0.0,1.9709,1778608210842439401,1
ecgclass,stfq,8.4343,50.4427,25.4108,23.7786,0.0027,0.5852,24.5435,0.0,25.0319,1778608210869312290,1
ecgclass,stfq,8.4677,41.3954,25.365,23.6063,0.0024,0.8538,15.6181,0.0,16.0304,1778608210893842087,1
ecgclass,stfq,8.7309,230.1192,213.7694,212.0028,0.0029,0.6777,15.831,0.0,16.3498,1778608211157204823,1
ecgclass,stfq,9.53,37.2849,23.8933,22.3895,0.0023,0.659,12.9199,0.0,13.3915,1778608211953421146,1
