task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,stfq,0.0001,365.0143,363.1999,345.3971,0.003,16.0236,1.1237,0.0,1.8144,1778007400613652857
ecgclass,stfq,0.2414,157.0644,49.511,42.3772,0.002,5.4421,106.8153,0.0,107.5534,1778007400960665386
ecgclass,stfq,0.4745,56.2453,45.9925,43.1678,0.0025,1.3943,9.8665,0.0,10.2529,1778007401096797073
ecgclass,stfq,0.713,77.4295,45.807,43.3827,0.0025,0.4022,31.0915,0.0,31.6225,1778007401356485537
ecgclass,stfq,0.7411,49.2756,45.807,43.3827,0.0025,0.4022,2.9223,0.0,3.4686,1778007401356485537
ecgclass,stfq,0.75,84.7254,45.5863,42.9499,0.002,1.2254,38.841,0.0,39.1391,1778007401401251950
ecgclass,stfq,0.8955,67.5879,43.1337,40.9588,0.0026,0.86,23.6292,0.0,24.4542,1778007401531591798
ecgclass,stfq,1.0361,58.2564,45.6313,43.5054,0.0025,0.8833,11.8716,0.0,12.6251,1778007401660367218
ecgclass,stfq,1.349,52.6655,45.4722,43.3532,0.0038,1.0126,6.6638,0.0,7.1933,1778007401968109061
ecgclass,stfq,1.3565,89.2148,44.9942,42.8094,0.0033,0.7748,43.6692,0.0,44.2206,1778007402012621412
ecgclass,stfq,1.4613,69.9,43.6884,41.1947,0.0034,0.4453,25.7044,0.0,26.2117,1778007402099410566
ecgclass,stfq,1.4677,63.5142,43.6884,41.1947,0.0034,0.4453,19.2864,0.0,19.8259,1778007402099410566
ecgclass,stfq,1.5767,85.2563,47.0786,44.428,0.0021,1.2862,37.787,0.0,38.1778,1778007402226922792
ecgclass,stfq,1.7506,85.0756,43.6071,41.3882,0.0026,0.3736,40.8566,0.0,41.4685,1778007402403893761
ecgclass,stfq,1.7887,47.004,43.6071,41.3882,0.0026,0.3736,2.769,0.0,3.3969,1778007402403893761
ecgclass,stfq,1.9118,55.0766,47.0274,44.1776,0.0023,1.5524,7.3154,0.0,8.0492,1778007402531531437
ecgclass,stfq,1.9271,84.1112,46.5139,43.967,0.002,0.5037,37.1966,0.0,37.5973,1778007402576675314
ecgclass,stfq,1.9367,74.5101,46.5139,43.967,0.002,0.5037,27.58,0.0,27.9962,1778007402576675314
ecgclass,stfq,1.9681,86.8859,45.2552,42.4849,0.0018,1.2739,41.2972,0.0,41.6307,1778007402621834335
ecgclass,stfq,2.0581,82.0332,43.5169,41.0863,0.0028,1.3531,38.1348,0.0,38.5162,1778007402708687224
ecgclass,stfq,2.0998,83.6828,44.6554,42.1081,0.0034,1.1214,38.6732,0.0,39.0274,1778007402750924454
ecgclass,stfq,2.2245,47.61,45.2235,43.2391,0.0029,0.9805,1.6603,0.0,2.3866,1778007402838542844
ecgclass,stfq,2.2469,69.4809,45.1933,43.2015,0.0027,0.9816,23.7224,0.0,24.2876,1778007402883074033
ecgclass,stfq,2.4304,59.6633,44.6754,42.4625,0.0024,0.9338,14.3077,0.0,14.9879,1778007403057126661
ecgclass,stfq,2.5533,37.631,25.3964,23.8189,0.0025,0.5563,11.7824,0.0,12.2347,1778007403177541404
ecgclass,stfq,2.6192,45.5596,34.6469,32.2906,0.003,1.3383,10.5131,0.0,10.9128,1778007403242102538
ecgclass,stfq,2.6601,48.254,44.7978,42.4384,0.0019,0.7595,2.9488,0.0,3.4562,1778007403275440642
ecgclass,stfq,2.7055,57.9157,30.946,28.7777,0.0023,0.2635,26.3553,0.0,26.9697,1778007403344237153
ecgclass,stfq,2.7139,49.5307,30.946,28.7777,0.0023,0.2635,17.9486,0.0,18.5847,1778007403344237153
ecgclass,stfq,2.7314,73.1518,42.0517,40.0013,0.0023,0.8319,30.6203,0.0,31.1001,1778007403374429826
ecgclass,stfq,2.8001,36.8941,33.5001,31.3285,0.0034,1.1366,2.8529,0.0,3.394,1778007403415403793
ecgclass,stfq,2.8392,73.797,33.2555,31.3344,0.0022,0.8348,40.0097,0.0,40.5415,1778007403491594738
ecgclass,stfq,2.9656,43.6327,28.3961,26.4212,0.0028,0.7844,14.7147,0.0,15.2367,1778007403592782839
ecgclass,stfq,3.0357,47.1818,45.3576,43.2616,0.0024,0.8636,1.164,0.0,1.8242,1778007403649273827
ecgclass,stfq,3.06,67.8904,46.4237,44.0549,0.0034,1.4568,21.0078,0.0,21.4667,1778007403693415721
ecgclass,stfq,3.1061,66.4833,45.6938,42.3633,0.0033,1.7837,20.3681,0.0,20.7894,1778007403738890101
ecgclass,stfq,3.1698,88.9511,43.9063,41.6172,0.0037,0.4688,44.3699,0.0,45.0448,1778007403826591551
ecgclass,stfq,3.2048,53.9889,43.9063,41.6172,0.0037,0.4688,9.3846,0.0,10.0826,1778007403826591551
ecgclass,stfq,3.2371,65.3172,45.1941,42.5569,0.0024,1.3714,19.7339,0.0,20.1231,1778007403869241171
ecgclass,stfq,3.3249,66.1077,45.1449,42.9831,0.003,0.8988,20.2155,0.0,20.9629,1778007403957509811
ecgclass,stfq,3.3538,80.5652,44.7286,42.5979,0.0033,0.8985,35.2137,0.0,35.8366,1778007404001466254
ecgclass,stfq,3.4887,75.3124,44.67,42.0209,0.0024,0.775,30.3283,0.0,30.6424,1778007404131480316
ecgclass,stfq,3.6263,71.5082,45.1755,42.9977,0.0022,0.6719,25.4185,0.0,26.3326,1778007404264163628
ecgclass,stfq,3.7347,49.6345,44.3773,42.3046,0.0027,0.75,4.7488,0.0,5.2572,1778007404351842382
ecgclass,stfq,3.742,85.7573,44.427,42.1282,0.0028,1.1075,40.6659,0.0,41.3302,1778007404395122598
ecgclass,stfq,3.8555,61.2514,46.0755,43.978,0.0024,0.8235,14.6248,0.0,15.1759,1778007404482589404
ecgclass,stfq,3.9912,55.3243,42.9475,40.8318,0.0031,1.0105,11.6873,0.0,12.3768,1778007404615278362
ecgclass,stfq,4.1039,74.0678,45.8264,43.6981,0.0032,0.9924,27.6544,0.0,28.2415,1778007404743940395
ecgclass,stfq,4.131,91.4967,45.6057,43.6031,0.0028,0.4909,45.3403,0.0,45.891,1778007404788808189
ecgclass,stfq,4.164,58.5327,45.6057,43.6031,0.0028,0.4909,12.3599,0.0,12.927,1778007404788808189
