task,send_time_s,latency_ms
ecgclass,0.0001,386.200
ecgclass,0.2407,192.356
ecgclass,0.4748,45.532
ecgclass,0.7130,46.665
ecgclass,0.7417,96.309
ecgclass,0.7494,88.588
ecgclass,0.8965,51.535
ecgclass,1.0356,56.626
ecgclass,1.3486,50.108
ecgclass,1.3561,94.881
ecgclass,1.4607,52.055
ecgclass,1.4681,89.782
ecgclass,1.5770,49.108
ecgclass,1.7505,55.304
ecgclass,1.7889,65.915
ecgclass,1.9116,50.979
ecgclass,1.9271,97.293
ecgclass,1.9368,87.548
ecgclass,1.9678,112.550
ecgclass,2.0580,75.420
ecgclass,2.1000,78.610
ecgclass,2.2239,57.069
ecgclass,2.2466,83.209
ecgclass,2.4309,51.308
ecgclass,2.5532,58.024
ecgclass,2.6190,56.017
ecgclass,2.6606,64.800
ecgclass,2.7060,82.786
ecgclass,2.7135,75.384
ecgclass,2.7316,113.128
ecgclass,2.7994,114.633
ecgclass,2.8387,75.293
ecgclass,2.9655,54.892
ecgclass,3.0356,50.835
ecgclass,3.0595,72.418
ecgclass,3.1056,78.699
ecgclass,3.1704,59.010
ecgclass,3.2040,77.709
ecgclass,3.2365,92.991
ecgclass,3.3242,49.343
ecgclass,3.3539,71.612
ecgclass,3.4889,56.803
ecgclass,3.6266,53.731
ecgclass,3.7348,48.744
ecgclass,3.7422,93.414
ecgclass,3.8558,48.245
ecgclass,3.9912,56.374
ecgclass,4.1037,53.996
ecgclass,4.1319,69.646
ecgclass,4.1632,102.264
ecgclass,4.1805,85.005
ecgclass,4.2157,141.002
ecgclass,4.2181,138.696
ecgclass,4.2344,122.356
ecgclass,4.3665,56.978
ecgclass,4.7660,51.779
ecgclass,4.8219,46.200
ecgclass,4.8505,70.596
ecgclass,4.8904,75.930
ecgclass,4.9263,100.296
ecgclass,4.9387,87.874
ecgclass,5.0472,47.752
ecgclass,5.1846,56.011
ecgclass,5.3357,56.334
ecgclass,5.8665,49.839
ecgclass,6.0770,52.714
ecgclass,6.2417,57.755
ecgclass,6.3459,42.444
ecgclass,6.4055,45.136
ecgclass,6.4104,85.902
ecgclass,6.5064,42.454
ecgclass,6.5680,46.309
ecgclass,6.7190,42.941
ecgclass,6.9222,36.148
ecgclass,6.9545,47.662
ecgclass,6.9594,91.325
ecgclass,7.0520,49.726
ecgclass,7.3074,36.979
ecgclass,7.3893,49.314
ecgclass,7.6033,51.779
ecgclass,7.6782,53.771
ecgclass,7.8106,49.953
ecgclass,7.8382,89.563
ecgclass,7.8526,75.119
ecgclass,7.8656,153.691
ecgclass,7.8779,141.608
ecgclass,7.8827,136.815
ecgclass,8.0558,48.382
ecgclass,8.0993,57.065
ecgclass,8.1381,69.055
ecgclass,8.2319,55.134
ecgclass,8.2515,80.501
ecgclass,8.4427,53.969
ecgclass,8.5713,55.613
ecgclass,8.6047,88.412
ecgclass,8.6254,67.753
ecgclass,8.6771,63.404
ecgclass,8.7086,95.930
ecgclass,8.7160,88.490
ecgclass,8.7657,91.236
ecgclass,8.9908,51.381
ecgclass,9.0919,49.178
ecgclass,9.3999,56.386
ecgclass,9.6059,57.661
ecgclass,9.7171,57.337
ecgclass,9.9014,38.267
ecgclass,9.9752,44.480
