task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,fifo,0.0001,393.6162,392.1305,375.9935,0.0023,15.3279,1.035,0.0,1.4857,1778007455875973856
ecgclass,fifo,0.2416,199.7888,46.933,44.2757,0.0026,1.9942,152.2641,0.0,152.8558,1778007456268678317
ecgclass,fifo,0.4751,37.1535,35.7324,34.4837,0.002,0.5818,0.9048,0.0,1.4211,1778007456350827699
ecgclass,fifo,0.7137,48.2349,46.8191,44.1142,0.0027,2.0382,0.8886,0.0,1.4158,1778007456589429225
ecgclass,fifo,0.7413,109.983,88.7901,74.5591,0.0025,6.7815,20.5171,0.0,21.1928,1778007456636693296
ecgclass,fifo,0.75,101.3262,88.7901,74.5591,0.0025,6.7815,11.8442,0.0,12.5361,1778007456636693296
ecgclass,fifo,0.8953,54.2314,52.6372,49.9301,0.0023,2.0117,0.9871,0.0,1.5942,1778007456771104515
ecgclass,fifo,1.0366,53.1089,51.7254,49.0426,0.0021,2.0367,0.869,0.0,1.3835,1778007456912295190
ecgclass,fifo,1.349,55.4867,53.8489,51.1462,0.0023,2.0629,1.0729,0.0,1.6378,1778007457224894952
ecgclass,fifo,1.3567,98.9647,50.7753,49.37,0.0028,0.629,47.6799,0.0,48.1894,1778007457279184819
ecgclass,fifo,1.4608,54.5142,53.0635,50.4343,0.0021,2.008,0.7393,0.0,1.4506,1778007457336366641
ecgclass,fifo,1.4682,98.6865,51.1667,48.4901,0.0022,2.0267,46.9244,0.0,47.5198,1778007457389930107
ecgclass,fifo,1.577,49.5496,48.138,45.492,0.0024,2.0253,0.7706,0.0,1.4116,1778007457452560902
ecgclass,fifo,1.7498,52.9795,51.6016,48.9178,0.0025,2.0786,0.9081,0.0,1.3779,1778007457625504160
ecgclass,fifo,1.7891,68.186,53.9449,51.2792,0.002,2.0314,13.5665,0.0,14.2412,1778007457677459933
ecgclass,fifo,1.912,49.1402,47.7612,46.5688,0.002,0.5644,0.9096,0.0,1.379,1778007457787730468
ecgclass,fifo,1.9271,110.2674,75.7115,73.0679,0.0023,1.0036,33.9034,0.0,34.5559,1778007457835869798
ecgclass,fifo,1.9368,100.5793,75.7115,73.0679,0.0023,1.0036,24.2,0.0,24.8678,1778007457835869798
ecgclass,fifo,1.9683,123.8618,54.2489,51.5399,0.0026,2.0162,69.0145,0.0,69.6129,1778007457912127809
ecgclass,fifo,2.058,85.7475,50.9703,48.3116,0.0021,2.03,33.9253,0.0,34.7772,1778007457966795807
ecgclass,fifo,2.0997,95.3765,51.1548,48.4935,0.0024,1.9905,43.6409,0.0,44.2217,1778007458018219820
ecgclass,fifo,2.2242,52.2895,51.0284,48.3534,0.0023,2.0538,0.7315,0.0,1.261,1778007458099730054
ecgclass,fifo,2.247,81.5361,51.2697,48.6121,0.0026,2.0122,29.3572,0.0,30.2664,1778007458151186223
ecgclass,fifo,2.4309,52.5932,51.0439,48.3711,0.0022,2.0261,0.9222,0.0,1.5494,1778007458306612833
ecgclass,fifo,2.5533,47.6105,46.195,44.9774,0.0025,0.5851,0.8914,0.0,1.4156,1778007458428977018
ecgclass,fifo,2.62,53.3044,51.862,49.2009,0.0024,2.0253,0.8833,0.0,1.4424,1778007458495748727
ecgclass,fifo,2.6608,59.4862,46.5843,45.4017,0.0021,0.5876,12.3577,0.0,12.9018,1778007458547993285
ecgclass,fifo,2.706,88.8739,73.967,71.3398,0.0022,1.0051,14.2159,0.0,14.9068,1778007458595018141
ecgclass,fifo,2.7134,81.4624,73.967,71.3398,0.0022,1.0051,6.7875,0.0,7.4954,1778007458595018141
ecgclass,fifo,2.7316,117.7106,53.9854,51.2918,0.0021,2.0475,63.1616,0.0,63.7252,1778007458669563296
ecgclass,fifo,2.7994,119.1337,68.8115,66.1277,0.0025,1.0117,49.6721,0.0,50.3222,1778007458723946572
ecgclass,fifo,2.8391,79.4535,68.8115,66.1277,0.0025,1.0117,9.9766,0.0,10.6419,1778007458723946572
ecgclass,fifo,2.9655,49.6643,48.3402,45.6839,0.0026,2.0094,0.7486,0.0,1.324,1778007458841070595
ecgclass,fifo,3.0363,49.1195,47.9935,46.8504,0.0021,0.5315,0.684,0.0,1.126,1778007458911782972
ecgclass,fifo,3.0594,77.0431,50.4286,47.7992,0.0023,2.0515,26.0856,0.0,26.6145,1778007458960296990
ecgclass,fifo,3.1055,85.357,53.9089,51.2397,0.0022,2.038,30.7534,0.0,31.448,1778007459011130860
ecgclass,fifo,3.1697,64.3747,42.8853,40.2123,0.002,2.0688,20.9401,0.0,21.4893,1778007459065494094
ecgclass,fifo,3.2051,80.6367,51.1179,48.3795,0.002,2.0457,28.9035,0.0,29.5189,1778007459108851808
ecgclass,fifo,3.2362,101.0358,51.1393,48.4514,0.0021,2.062,49.3922,0.0,49.8965,1778007459160468837
ecgclass,fifo,3.3244,56.7951,43.2635,40.6532,0.002,2.0451,12.8696,0.0,13.5316,1778007459212069096
ecgclass,fifo,3.3539,81.6138,53.9843,51.3393,0.0027,2.0339,27.0138,0.0,27.6294,1778007459255746518
ecgclass,fifo,3.4875,51.0345,49.514,46.8323,0.002,2.0443,0.8848,0.0,1.5204,1778007459363186081
ecgclass,fifo,3.6272,45.2852,43.3101,40.6175,0.002,2.0282,0.8993,0.0,1.9751,1778007459502959892
ecgclass,fifo,3.7356,55.151,53.6896,51.0218,0.0022,2.0177,0.8705,0.0,1.4614,1778007459611272648
ecgclass,fifo,3.7421,100.3995,51.3798,48.7281,0.0021,1.9914,48.4605,0.0,49.0197,1778007459665347120
ecgclass,fifo,3.8563,52.1207,50.8454,48.1753,0.0022,2.0079,0.7455,0.0,1.2753,1778007459731870872
ecgclass,fifo,3.9916,53.7784,52.3473,49.8436,0.0027,1.8873,0.845,0.0,1.4311,1778007459867289098
ecgclass,fifo,4.103,45.4814,44.1766,41.5064,0.0026,2.0448,0.7548,0.0,1.3049,1778007459978620702
ecgclass,fifo,4.1313,69.0551,51.3426,48.6818,0.0024,2.0193,17.1099,0.0,17.7124,1778007460023209461
ecgclass,fifo,4.164,109.4587,72.7723,71.5052,0.0028,0.3235,36.1226,0.0,36.6864,1778007460074975784
ecgclass,fifo,4.1803,93.1785,72.7723,71.5052,0.0028,0.3235,19.8243,0.0,20.4062,1778007460074975784
ecgclass,fifo,4.2155,159.4148,100.8573,98.1105,0.0031,0.6735,57.9565,0.0,58.5575,1778007460148276334
ecgclass,fifo,4.2179,157.0373,100.8573,98.1105,0.0031,0.6735,55.5644,0.0,56.18,1778007460148276334
ecgclass,fifo,4.2344,140.4884,100.8573,98.1105,0.0031,0.6735,39.0086,0.0,39.6311,1778007460148276334
ecgclass,fifo,4.3663,59.0334,50.0333,48.8214,0.0026,0.5735,8.5657,0.0,9.0001,1778007460249721220
ecgclass,fifo,4.7652,43.8037,42.5051,39.8108,0.0021,2.0489,0.7913,0.0,1.2986,1778007460640782555
ecgclass,fifo,4.8231,52.51,51.0059,48.339,0.0027,2.0449,0.859,0.0,1.5041,1778007460698816088
ecgclass,fifo,4.85,70.1087,44.0846,42.8767,0.0022,0.5665,25.4817,0.0,26.0241,1778007460750281915
ecgclass,fifo,4.8898,80.5781,49.8985,47.2681,0.0028,1.9438,30.1096,0.0,30.6796,1778007460794749469
ecgclass,fifo,4.9263,121.665,77.1985,74.4584,0.0027,0.9979,43.9084,0.0,44.4665,1778007460845081458
ecgclass,fifo,4.9389,109.1669,77.1985,74.4584,0.0027,0.9979,31.3716,0.0,31.9684,1778007460845081458
ecgclass,fifo,5.0475,52.5887,51.259,48.5833,0.0022,2.0078,0.7706,0.0,1.3297,1778007460923147615
ecgclass,fifo,5.1846,54.4002,53.0718,50.3968,0.0024,2.0307,0.7215,0.0,1.3284,1778007461060119226
ecgclass,fifo,5.3362,52.5622,51.0754,48.3556,0.0022,2.0422,0.8759,0.0,1.4868,1778007461211938470
ecgclass,fifo,5.867,55.0556,53.6188,50.9593,0.0027,1.965,0.9296,0.0,1.4369,1778007461742777763
ecgclass,fifo,6.0771,49.8295,48.455,45.8129,0.0024,2.0034,0.7794,0.0,1.3745,1778007461952726728
ecgclass,fifo,6.2428,50.5354,48.9592,46.3033,0.0021,2.021,0.9041,0.0,1.5762,1778007462118552162
ecgclass,fifo,6.3463,52.8405,51.4785,48.8037,0.0025,1.9868,0.7825,0.0,1.3619,1778007462221874450
