task,send_time_s,latency_ms
ecgclass,0.0001,359.947
ecgclass,0.0805,355.775
ecgclass,0.1601,363.649
ecgclass,0.2379,374.530
ecgclass,0.2482,364.273
ecgclass,0.2505,361.969
ecgclass,0.2984,358.353
ecgclass,0.3455,354.948
ecgclass,0.4501,336.197
ecgclass,0.4524,333.946
ecgclass,0.4873,342.617
ecgclass,0.4897,340.259
ecgclass,0.5262,349.862
ecgclass,0.5836,336.810
ecgclass,0.5980,365.617
ecgclass,0.6376,326.050
ecgclass,0.6430,320.704
ecgclass,0.6463,360.090
ecgclass,0.6564,349.999
ecgclass,0.6869,319.576
ecgclass,0.7002,348.664
ecgclass,0.7415,350.395
ecgclass,0.7497,385.876
ecgclass,0.8102,370.679
ecgclass,0.8511,329.722
ecgclass,0.8742,351.140
ecgclass,0.8873,380.613
ecgclass,0.9029,364.979
ecgclass,0.9045,363.357
ecgclass,0.9111,400.609
ecgclass,0.9338,421.714
ecgclass,0.9475,452.668
ecgclass,0.9886,456.076
ecgclass,1.0130,476.548
ecgclass,1.0205,469.071
ecgclass,1.0359,453.651
ecgclass,1.0575,475.342
ecgclass,1.0688,507.078
ecgclass,1.0796,496.259
ecgclass,1.1091,509.760
ecgclass,1.1196,499.404
ecgclass,1.1631,545.844
ecgclass,1.2095,543.706
ecgclass,1.2458,507.418
ecgclass,1.2482,549.649
ecgclass,1.2855,512.377
ecgclass,1.3312,551.195
ecgclass,1.3698,512.639
ecgclass,1.3774,505.037
ecgclass,1.3880,538.631
ecgclass,1.3935,533.179
ecgclass,1.4054,521.324
ecgclass,1.4058,565.779
ecgclass,1.4117,559.949
ecgclass,1.4552,560.950
ecgclass,1.5904,555.054
ecgclass,1.6078,537.654
ecgclass,1.6183,527.141
ecgclass,1.6312,558.326
ecgclass,1.6426,592.108
ecgclass,1.6472,587.479
ecgclass,1.6837,595.870
ecgclass,1.7292,594.028
ecgclass,1.7804,585.697
ecgclass,1.9574,583.151
ecgclass,2.0267,601.870
ecgclass,2.0816,590.419
ecgclass,2.1157,556.272
ecgclass,2.1361,580.575
ecgclass,2.1375,579.217
ecgclass,2.1697,635.668
ecgclass,2.1894,615.952
ecgclass,2.2402,608.858
ecgclass,2.3071,541.929
ecgclass,2.3197,573.131
ecgclass,2.3198,573.095
ecgclass,2.3510,585.727
ecgclass,2.4375,542.470
ecgclass,2.4635,561.623
ecgclass,2.5346,534.738
ecgclass,2.5595,554.109
ecgclass,2.6034,553.902
ecgclass,2.6139,543.493
ecgclass,2.6173,583.145
ecgclass,2.6226,577.900
ecgclass,2.6258,618.001
ecgclass,2.6281,615.717
ecgclass,2.6850,603.845
ecgclass,2.7004,633.499
ecgclass,2.7132,664.352
ecgclass,2.7447,632.849
ecgclass,2.7502,669.255
ecgclass,2.8142,690.490
ecgclass,2.8575,647.123
ecgclass,2.8689,679.841
ecgclass,2.8753,673.459
ecgclass,2.8924,656.353
ecgclass,2.9034,690.658
ecgclass,2.9057,688.377
ecgclass,2.9222,760.283
ecgclass,2.9971,728.956
ecgclass,3.0313,738.316
ecgclass,3.1342,680.616
ecgclass,3.2017,658.839
ecgclass,3.2392,621.373
ecgclass,3.3009,646.538
ecgclass,3.3254,665.342
ecgclass,3.3605,630.231
ecgclass,3.3740,705.249
ecgclass,3.3809,742.968
ecgclass,3.4524,715.347
ecgclass,3.4567,754.480
ecgclass,3.4636,747.553
ecgclass,3.4739,737.293
ecgclass,3.5058,748.719
ecgclass,3.5194,778.598
ecgclass,3.5420,800.704
ecgclass,3.6159,858.784
ecgclass,3.6660,852.880
ecgclass,3.7052,858.867
ecgclass,3.7106,853.465
ecgclass,3.7506,858.902
ecgclass,3.7664,886.514
ecgclass,3.7693,883.661
ecgclass,3.7830,914.021
ecgclass,3.7853,911.725
ecgclass,3.8152,925.063
ecgclass,3.8485,935.396
ecgclass,3.8581,970.283
ecgclass,3.8595,968.962
ecgclass,3.9499,923.653
ecgclass,3.9776,939.452
ecgclass,4.0275,933.764
ecgclass,4.0386,1007.664
ecgclass,4.0942,1038.971
ecgclass,4.1495,983.768
ecgclass,4.1528,1025.055
ecgclass,4.3336,931.546
ecgclass,4.3555,953.344
ecgclass,4.4022,950.014
ecgclass,4.4107,941.612
ecgclass,4.4434,953.052
ecgclass,4.4538,942.695
ecgclass,4.5068,1021.805
ecgclass,4.5220,1006.662
ecgclass,4.5481,1067.145
ecgclass,4.5662,1094.126
ecgclass,4.5909,1069.434
ecgclass,4.6066,1098.690
ecgclass,4.6267,1078.696
ecgclass,4.6280,1121.689
ecgclass,4.6808,1113.038
ecgclass,4.7648,1115.737
ecgclass,4.7837,1141.472
ecgclass,4.8981,1115.047
ecgclass,4.9026,1110.650
ecgclass,4.9962,1103.898
ecgclass,5.0079,1135.154
ecgclass,5.0299,1159.519
ecgclass,5.1112,1122.562
ecgclass,5.1156,1118.165
ecgclass,5.1220,1155.421
ecgclass,5.1679,1109.546
ecgclass,5.2001,1120.855
ecgclass,5.2105,1110.412
ecgclass,5.2235,1097.414
ecgclass,5.2492,1114.710
ecgclass,5.3120,1138.026
ecgclass,5.3244,1125.605
ecgclass,5.3499,1144.027
ecgclass,5.3625,1131.490
ecgclass,5.3728,1121.101
ecgclass,5.4429,1182.317
ecgclass,5.4622,1163.056
ecgclass,5.5060,1161.625
ecgclass,5.5163,1151.350
ecgclass,5.5219,1187.765
ecgclass,5.5606,1193.336
ecgclass,5.6074,1191.577
ecgclass,5.6408,1203.384
ecgclass,5.6790,1208.479
ecgclass,5.7128,1218.555
ecgclass,5.7495,1226.275
ecgclass,5.8240,1151.730
ecgclass,5.9184,1146.698
ecgclass,5.9410,1124.178
ecgclass,5.9433,1166.442
ecgclass,5.9902,1163.353
ecgclass,6.0183,1178.694
ecgclass,6.0997,1097.339
ecgclass,6.1347,1106.273
ecgclass,6.1390,1101.970
ecgclass,6.1747,1155.707
ecgclass,6.1936,1180.439
ecgclass,6.1969,1177.243
ecgclass,6.2074,1166.837
ecgclass,6.3221,1095.605
ecgclass,6.3364,1123.246
ecgclass,6.3440,1115.730
ecgclass,6.3593,1143.971
ecgclass,6.4286,1074.754
ecgclass,6.4642,1084.784
ecgclass,6.4705,1123.254
ecgclass,6.4707,1123.104
ecgclass,6.4854,1152.434
ecgclass,6.4907,1147.170
ecgclass,6.5603,1121.696
ecgclass,6.5636,1162.021
ecgclass,6.5866,1139.033
ecgclass,6.6204,1151.423
ecgclass,6.7153,1145.530
ecgclass,6.7256,1135.273
ecgclass,6.7835,1120.724
ecgclass,6.8091,1138.155
ecgclass,6.8661,1170.461
ecgclass,6.8784,1158.103
ecgclass,6.8890,1192.221
ecgclass,6.8994,1181.825
ecgclass,6.9329,1235.147
ecgclass,6.9542,1213.812
ecgclass,6.9831,1227.747
ecgclass,7.0260,1184.780
ecgclass,7.0642,1189.798
ecgclass,7.0991,1199.949
ecgclass,7.1470,1196.321
ecgclass,7.1471,1196.233
ecgclass,7.1968,1234.082
ecgclass,7.2402,1234.245
ecgclass,7.2555,1263.133
ecgclass,7.2628,1255.836
ecgclass,7.2871,1276.742
ecgclass,7.3544,1296.578
ecgclass,7.3648,1286.208
ecgclass,7.4134,1237.638
ecgclass,7.5118,1315.272
ecgclass,7.5262,1300.949
ecgclass,7.6685,1332.261
ecgclass,7.6709,1329.929
ecgclass,7.6721,1328.687
ecgclass,7.7340,1310.386
ecgclass,7.7559,1333.606
ecgclass,7.7760,1313.445
ecgclass,7.8410,1336.046
ecgclass,7.9234,1383.646
ecgclass,7.9509,1400.424
ecgclass,8.0209,1375.404
ecgclass,8.0546,1341.793
ecgclass,8.0720,1368.351
ecgclass,8.0794,1360.920
ecgclass,8.1260,1358.311
ecgclass,8.1971,1330.223
ecgclass,8.2856,1286.126
ecgclass,8.2956,1321.341
ecgclass,8.3302,1330.683
ecgclass,8.3467,1314.265
ecgclass,8.4044,1256.554
ecgclass,8.4118,1292.874
ecgclass,8.4132,1291.540
ecgclass,8.4255,1279.209
ecgclass,8.4279,1320.453
ecgclass,8.4437,1347.511
ecgclass,8.4601,1331.233
ecgclass,8.4634,1327.872
ecgclass,8.5664,1402.387
ecgclass,8.5762,1436.498
ecgclass,8.6164,1482.304
ecgclass,8.6238,1518.696
ecgclass,8.6407,1545.390
ecgclass,8.6430,1543.167
ecgclass,8.6475,1583.693
ecgclass,8.6476,1583.660
ecgclass,8.7016,1574.274
ecgclass,8.7133,1605.870
ecgclass,8.7364,1625.634
ecgclass,8.7654,1596.660
ecgclass,8.7717,1634.488
ecgclass,8.8687,1582.828
ecgclass,8.8877,1608.216
ecgclass,8.8900,1649.341
ecgclass,8.8933,1646.091
ecgclass,8.9096,1629.831
ecgclass,8.9142,1668.801
ecgclass,8.9253,1657.702
ecgclass,8.9507,1718.000
ecgclass,8.9507,1717.988
ecgclass,8.9634,1751.169
ecgclass,9.0155,1787.327
ecgclass,9.0178,1829.028
ecgclass,9.0508,1795.994
ecgclass,9.0521,1837.399
ecgclass,9.1412,1748.355
ecgclass,9.1495,1783.481
ecgclass,9.1579,1775.174
ecgclass,9.1945,1738.543
ecgclass,9.2700,1752.417
ecgclass,9.3761,1690.373
ecgclass,9.4217,1688.738
ecgclass,9.4794,1674.385
ecgclass,9.5158,1682.157
ecgclass,9.5222,1675.828
ecgclass,9.5614,1681.121
ecgclass,9.5668,1720.685
ecgclass,9.6012,1686.259
ecgclass,9.6254,1706.068
ecgclass,9.6370,1738.244
ecgclass,9.6605,1803.993
ecgclass,9.6912,1817.443
ecgclass,9.6986,1810.042
ecgclass,9.7129,1795.788
ecgclass,9.7266,1826.179
ecgclass,9.7308,1821.935
ecgclass,9.7411,1855.534
ecgclass,9.7749,1821.834
ecgclass,9.8145,1825.160
ecgclass,9.8336,1849.188
ecgclass,9.8540,1828.785
ecgclass,9.8664,1816.431
ecgclass,9.9058,1822.274
ecgclass,9.9194,1853.337
ecgclass,9.9519,1908.684
ecgclass,9.9719,1888.681
ecgclass,9.9931,1910.663
